Conference, Year, Topic
sigmod,2018,Benchmarking and performance evaluation,
sigmod,2018,Crowd sourcing,
sigmod,2018,Data models; semantics; query languages,
sigmod,2018,Data provenance,
sigmod,2018,Data visualization,
sigmod,2018,Data warehousing; OLAP; SQL Analytics,
sigmod,2018,Database monitoring and tuning,
sigmod,2018,Database security; privacy; access control,
sigmod,2018,Database usability,
sigmod,2018,Databases for emerging hardware,
sigmod,2018,Distributed and parallel databases,
sigmod,2018,Graph data management; RDF; social networks,
sigmod,2018,Information extraction,
sigmod,2018,Information retrieval and text mining,
sigmod,2018,Knowledge discovery; clustering; data mining,
sigmod,2018,Query processing and optimization,
sigmod,2018,Schema matching; data integration; and data cleaning,
sigmod,2018,Scientific databases,
sigmod,2018,Semi-structured data,
sigmod,2018,Spatio-temporal databases,
sigmod,2018,Storage; indexing; and physical database design,
sigmod,2018,Streams; sensor networks; complex event processing,
sigmod,2018,Transaction processing,
sigmod,2018,Uncertain; probabilistic; and approximate database,
sigmod,2017,Benchmarking and performance evaluation,
sigmod,2017,Crowdsourcing,
sigmod,2017,Data models; semantics; query languages,
sigmod,2017,Data provenance,
sigmod,2017,Data visualization,
sigmod,2017,Data warehousing; OLAP; SQL Analytics,
sigmod,2017,Database monitoring and tuning,
sigmod,2017,Database security; privacy; access control,
sigmod,2017,Database usability,
sigmod,2017,Databases for emerging hardware,
sigmod,2017,Distributed and parallel databases,
sigmod,2017,Graph data management; RDF; social networks,
sigmod,2017,Information extraction,
sigmod,2017,Information retrieval and text mining,
sigmod,2017,Knowledge discovery; clustering; data mining,
sigmod,2017,Query processing and optimization,
sigmod,2017,Schema matching; data integration; and data cleaning,
sigmod,2017,Scientific databases,
sigmod,2017,Semi-structured data,
sigmod,2017,Spatio-temporal databases,
sigmod,2017,Storage; indexing; and physical database design,
sigmod,2017,Streams; sensor networks; complex event processing,
sigmod,2017,Transaction processing,
sigmod,2017,Uncertain; probabilistic; and approximate database,
sigmod,2016,Benchmarking and performance evaluation,
sigmod,2016,Crowd sourcing,
sigmod,2016,Data models; semantics; query languages,
sigmod,2016,Data provenance,
sigmod,2016,Data visualization,
sigmod,2016,Data warehousing; OLAP; SQL Analytics,
sigmod,2016,Database monitoring and tuning,
sigmod,2016,Database security; privacy; access control,
sigmod,2016,Database usability,
sigmod,2016,Databases for emerging hardware,
sigmod,2016,Distributed and parallel databases,
sigmod,2016,Graph data management; RDF; social networks,
sigmod,2016,Information extraction,
sigmod,2016,Information retrieval and text mining,
sigmod,2016,Knowledge discovery; clustering; data mining,
sigmod,2016,Query processing and optimization,
sigmod,2016,Schema matching; data integration; and data cleaning,
sigmod,2016,Scientific databases,
sigmod,2016,Semi-structured data,
sigmod,2016,Spatio-temporal databases,
sigmod,2016,Storage; indexing; and physical database design,
sigmod,2016,Streams; sensor networks; complex event processing,
sigmod,2016,Transaction processing,
sigmod,2016,Uncertain; probabilistic; and approximate database,
vldb,2018,Access Methods; Concurrency Control; Recovery; Transactions; Indexing and Search; In-memory Data Management; Hardware Accelerators; Query Processing and Optimization; Storage Management,
vldb,2018,Privacy and Security in Data Management,
vldb,2018,Graph Data Management; Social Networks; Recommendation Systems,
vldb,2018,Data Mining and Analytics; Warehousing,
vldb,2018,Crowdsourcing; Embedded and Mobile Databases; Real-time Databases; Sensors and IoT; Stream Databases,
vldb,2018,Data Mining and Analytics; Warehousing,
vldb,2018,Data Models and Query Languages; Schema Management and Design; Database Usability; User Interfaces and Visualization,
vldb,2018,Data Mining and Analytics; Warehousing,
vldb,2018,Tuning; Benchmarking; Performance Measurement; Database Administration and Manageability,
vldb,2018,Distributed Database Systems; Cloud Data Management; NoSQL; Scalable Analytics; Distributed Transactions; Consistency; P2P and Networked Data Management; Database-as-a-Service; Content Delivery Networks,
