TelegraphCQ: continuous dataflow processing,Sirish Chandrasekaran; Owen Cooper; Amol Deshpande; Michael J Franklin; Joseph M Hellerstein; Wei Hong; Sailesh Krishnamurthy; Samuel R Madden; Fred Reiss; Mehul A Shah,At Berkeley; we are developing TelegraphCQ [1; 2]; a dataflow system for processingcontinuous queries over data streams. TelegraphCQ is based on a novel; highly-adaptivearchitecture supporting dynamic query workloads in volatile data streaming environments. Inthis demonstration we show our current version of TelegraphCQ; which we implemented byleveraging the code base of the open source PostgreSQL database system. AlthoughTelegraphCQ differs significantly from a traditional database system; we found that asignificant portion of the PostgreSQL code was easily reusable. We also found theextensibility features of PostgreSQL very useful; particularly its rich data types and the abilityto load user-developed functions. Challenges: As discussed in [1]; sharing and adaptivityare our main techniques for implementing a continuous query system. Doing this in the …,Proceedings of the 2003 ACM SIGMOD international conference on Management of data,2003,1844,22
Model-driven data acquisition in sensor networks,Amol Deshpande; Carlos Guestrin; Samuel R Madden; Joseph M Hellerstein; Wei Hong,Abstract Declarative queries are proving to be an attractive paradigm for ineracting withnetworks of wireless sensors. The metaphor that" the sensornet is a database" isproblematic; however; because sensors do not exhaustively represent the data in the realworld. In order to map the raw sensor readings onto physical reality; a model of that reality isrequired to complement the readings. In this paper; we enrich interactive sensor queryingwith statistical modeling techniques. We demonstrate that such models can help provideanswers that are both more meaningful; and; by introducing approximations withprobabilistic confidences; significantly more efficient to compute in both time and energy.Utilizing the combination of a model and live data acquisition raises the challengingoptimization problem of selecting the best sensor readings to acquire; balancing the …,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,1340,22
Approximate data collection in sensor networks using probabilistic models,David Chu; Amol Deshpande; Joseph M Hellerstein; Wei Hong,Wireless sensor networks are proving to be useful in a variety of settings. A core challengein these networks is to minimize energy consumption. Prior database research hasproposed to achieve this by pushing data-reducing operators like aggregation and selectiondown into the network. This approach has proven unpopular with early adopters of sensornetwork technology; who typically want to extract complete" dumps" of the sensor readings;ie; to run" SELECT*" queries. Unfortunately; because these queries do no data reduction;they consume significant energy in current sensornet query processors. In this paper weattack the" SELECT" problem for sensor networks. We propose a robust approximatetechnique called Ken that uses replicated dynamic probabilistic models to minimizecommunication from sensor nodes to the network's PC base station. In addition to data …,Data Engineering; 2006. ICDE'06. Proceedings of the 22nd International Conference on,2006,544,4
Adaptive query processing,Amol Deshpande; Zachary Ives; Vijayshankar Raman,Abstract As the data management field has diversified to consider settings in which queriesare increasingly complex; statistics are less available; or data is stored remotely; there hasbeen an acknowledgment that the traditional optimize-then-execute paradigm is insufficient.This has led to a plethora of new techniques; generally placed under the common banner ofadaptive query processing; that focus on using runtime feedback to modify query processingin a way that provides better response time or more efficient CPU utilization.,Foundations and Trends® in Databases,2007,323,23
Representing and querying correlated tuples in probabilistic databases,Prithviraj Sen; Amol Deshpande,Probabilistic databases have received considerable attention recently due to the need forstoring uncertain data produced by many real world applications. The widespread use ofprobabilistic databases is hampered by two limitations:(1) current probabilistic databasesmake simplistic assumptions about the data (eg; complete independence among tuples) thatmake it difficult to use them in applications that naturally produce correlated data; and (2)most probabilistic databases can only answer a restricted subset of the queries that can beexpressed using traditional query languages. We address both these limitations byproposing a framework that can represent not only probabilistic tuples; but also correlationsthat may be present among them. Our proposed framework naturally lends itself to thepossible world semantics thus preserving the precise query semantics extant in current …,Data Engineering; 2007. ICDE 2007. IEEE 23rd International Conference on,2007,289,13
Adaptive query processing: Technology in evolution,Joseph M.  Hellerstein; Michael J.  Franklin; Sirish Chandrasekaran; Amol Deshpande; Kris Hildrum; Samuel Madden; Vijayshankar Raman; Mehul A.  Shah,Abstract As query engines are scaled and federated; they must cope with highlyunpredictable and changeable environments. In the Telegraph project; we are attempting toarchitect and implement a continuously adaptive query engine suitable for global-areasystems; massive parallelism; and sensor networks. To set the stage for our research; wepresent a survey of prior work on adaptive query processing; focusing on threecharacterizations of adaptivity: the frequency of adaptivity; the effects of adaptivity; and theextent of adaptivity. Given this survey; we sketch directions for research in the Telegraphproject.,IEEE Data Eng. Bull.,2000,277,10
MauveDB: supporting model-based user views in database systems,Amol Deshpande; Samuel Madden,Abstract Real-world data---especially when generated by distributed measurementinfrastructures such as sensor networks---tends to be incomplete; imprecise; and erroneous;making it impossible to present it to users or feed it directly into applications. The traditionalapproach to dealing with this problem is to first process the data using statistical orprobabilistic models that can provide more robust interpretations of the data. Currentdatabase systems; however; do not provide adequate support for applying models to suchdata; especially when those models need to be frequently updated as new data arrives inthe system. Hence; most scientists and engineers who depend on models for managing theirdata do not use database systems for archival or querying at all; at best; databases serve asa persistent raw data store. In this paper we define a new abstraction called model-based …,Proceedings of the 2006 ACM SIGMOD international conference on Management of data,2006,217,3
Data management in the worldwide sensor web,Magdalena Balazinska; Amol Deshpande; Michael J Franklin; Phillip B Gibbons; Jim Gray; Mark Hansen; Michael Liebhold; Suman Nath; Alexander Szalay; Vincent Tao,Harvesting the benefits of a sensor-rich world presents many data management challenges.Recent advances in research and industry aim to address these challenges. With the rapidlyincreasing number of large-scale sensor network deployments; the vision of a worldwidesensor Web is close to becoming a reality.,IEEE Pervasive Computing,2007,206,22
Cache-and-query for wide area sensor databases,Amol Deshpande; Suman Nath; Phillip B Gibbons; Srinivasan Seshan,Abstract Webcams; microphones; pressure gauges and other sensors provide exciting newopportunities for querying and monitoring the physical world. In this paper we focus onquerying wide area sensor databases; containing (XML) data derived from sensors spreadover tens to thousands of miles. We present the first scalable system for executing XPATHqueries on such databases. The system maintains the logical view of the data as a singleXML document; while physically the data is fragmented across any number of host nodes.For scalability; sensor data is stored close to the sensors; but can be cached elsewhere asdictated by the queries. Our design enables self starting distributed queries that jump directlyto the lowest common ancestor of the query result; dramatically reducing query responsetimes. We present a novel query-evaluate gather technique (using XSLT) for detecting (1) …,Proceedings of the 2003 ACM SIGMOD international conference on Management of data,2003,182,3
Exploiting correlated attributes in acquisitional query processing,Amol Deshpande; Carlos Guestrin; Wei Hong; Samuel Madden,Sensor networks and other distributed information systems (such as the Web) mustfrequently access data that has a high per-attribute acquisition cost; in terms of energy;latency; or computational resources. When executing queries that contain several predicatesover such expensive attributes; we observe that it can be beneficial to use correlations toautomatically introduce low-cost attributes whose observation will allow the query processorto better estimate die selectivity of these expensive predicates. In particular; we show how tobuild conditional plans that branch into one or more sub-plans; each with a different orderingfor the expensive query predicates; based on the runtime observation of low-cost attributes.We frame the problem of constructing the optimal conditional plan for a given user query andset of candidate low-cost attributes as an optimization problem. We describe an …,Data Engineering; 2005. ICDE 2005. Proceedings. 21st International Conference on,2005,172,10
