Identifying meaningful return information for XML keyword search,Ziyang Liu; Yi Chen,Abstract Keyword search enables web users to easily access XML data without the need tolearn a structured query language and to study possibly complex data schemas. Existingwork has addressed the problem of selecting qualified data nodes that match keywords andconnecting them in a meaningful way; in the spirit of inferring a where clause in XQuery.However; how to infer the return clause for keyword search is an open problem. To addressthis challenge; we present an XML keyword search engine; XSeek; to infer the semantics ofthe search and identify return nodes effectively. XSeek recognizes possible entities andattributes inherently represented in the data. It also distinguishes between search predicatesand return specifications in the keywords. Then based on the analysis of both XML datastructures and keyword match patterns; XSeek generates return nodes. Extensive …,Proceedings of the 2007 ACM SIGMOD international conference on Management of data,2007,363,10
Reasoning and identifying relevant matches for xml keyword search,Ziyang Liu; Yi Chen,Abstract Keyword search is a user-friendly mechanism for retrieving XML data in web andscientific applications. An intuitively compelling but vaguely defined goal is to identifymatches to query keywords that are relevant to the user. However; it is hard to directlyevaluate the relevance of query results due to the inherent ambiguity of search semantics. Inthis work; we investigate an axiomatic framework that includes two intuitive and non-trivialproperties that an XML keyword search technique should ideally satisfy: monotonicity andconsistency; with respect to data and query. This is the first work that reasons about keywordsearch strategies from a formal perspective. Then we propose a novel semantics foridentifying relevant matches; which; to the best of our knowledge; is the only existingalgorithm that satisfies both properties. An efficient algorithm is designed for realizing this …,Proceedings of the VLDB Endowment,2008,186,15
Keyword search on structured and semi-structured data,Yi Chen; Wei Wang; Ziyang Liu; Xuemin Lin,Abstract Empowering users to access databases using simple keywords can relieve theusers from the steep learning curve of mastering a structured query language andunderstanding complex and possibly fast evolving data schemas. In this tutorial; we give anoverview of the state-of-the-art techniques for supporting keyword search on structured andsemi-structured data; including query result definition; ranking functions; result generationand top-k query processing; snippet generation; result clustering; query cleaning;performance optimization; and search quality evaluation. Various data models will bediscussed; including relational data; XML data; graph-structured data; data streams; andworkflows. We also discuss applications that are built upon keyword search; such askeyword based database selection; query generation; and analytical processing. Finally …,Proceedings of the 2009 ACM SIGMOD International Conference on Management of data,2009,180,20
An efficient XPath query processor for XML streams,Yi Chen; Susan B Davidson; Yifeng Zheng,Streaming XPath evaluation algorithms must record a potentially exponential number ofpattern matches when both predicates and descendant axes are present in queries; and theXML data is recursive. In this paper; we use a compact data structure to encode thesepattern matches rather than storing them explicitly. We then propose a polynomial timestreaming algorithm to evaluate XPath queries by probing the data structure in a lazyfashion. Extensive experiments show that our approach not only has a good theoreticalcomplexity bound but is also efficient in practice.,Data Engineering; 2006. ICDE'06. Proceedings of the 22nd International Conference on,2006,146,17
Query biased snippet generation in XML search,Yu Huang; Ziyang Liu; Yi Chen,Abstract Snippets are used by almost every text search engine to complement rankingscheme in order to effectively handle user searches; which are inherently ambiguous andwhose relevance semantics are difficult to assess. Despite the fact that XML is a standardrepresentation format of web data; research on generating result snippets for XML searchremains untouched. In this paper we present a system; eXtract; which addresses thisimportant yet open problem. We identify that a good XML result snippet should be a self-contained meaningful information unit of a small size that effectively summarizes this queryresult and differentiates it from others; according to which users can quickly assess therelevance of the query result. We have designed and implemented a novel algorithm tosatisfy these requirements and verified its efficiency and effectiveness through …,Proceedings of the 2008 ACM SIGMOD international conference on Management of data,2008,125,10
Blas: An efficient xpath processing system,Yi Chen; Susan B Davidson; Yifeng Zheng,Abstract We present BLAS; a Bi-LAbeling based System; for efficiently processing complexXPath queries over XML data. BLAS uses P-labeling to process queries involvingconsecutive child axes; and D-labeling to process queries involving descendant axestraversal. The XML data is stored in labeled form; and indexed to optimize descendent axistraversals. Three algorithms are presented for translating complex XPath queries to SQLexpressions; and two alternate query engines are provided. Experimental resultsdemonstrate that the BLAS system has a substantial performance improvement compared totraditional XPath processing using D-labeling.,Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,94,20
Structured search result differentiation,Ziyang Liu; Peng Sun; Yi Chen,Abstract Studies show that about 50% of web search is for information exploration purpose;where a user would like to investigate; compare; evaluate; and synthesize multiple relevantresults. Due to the absence of general tools that can effectively analyze and differentiatemultiple results; a user has to manually read and comprehend potentially large results in anexploratory search. Such a process is time consuming; labor intensive and error prone. Withmeta information embedded; keyword search on structured data provides the potential forautomating or semi-automating the comparison of multiple results. In this paper we presentan approach for differentiating search results on structured data. We define thedifferentiability of query results and quantify the degree of difference. Then we define theproblem of identifying a limited number of valid features in a result that can maximally …,Proceedings of the VLDB Endowment,2009,93,17
Constraint preserving XML storage in relations,Yi Chen; Susan B Davidson; Yifeng Zheng,Abstract As XML becomes a standard for data representation on the internet; there is agrowing interest in storing XML using relational database technology. To date; none of thesetechniques have considered the semantics of XML as expressed by keys and foreign keys.In this paper; we present a storage mapping which preserves not only the content andstructure of XML data; but also its semantics.,*,2002,79,4
RRXS: Redundancy reducing XML storage in relations,Yi Chen; Susan Davidson; Carmem Hara; Yifeng Zheng,This chapter proposes a novel constraint definition called XML functional dependencies(XFDs) that capture structural as well as semantic information. It presents a set of rewritingrules for XFDs; and use them to design a polynomial time algorithm which; given an input setof XFDs; computes a reduced set of XFDs. Based on this algorithm; it presents a redundancyremoving storage mapping from XML to relations called redundancy reducing XML (RRXS).RRXS produces a relational design that preserves structural and semantic constraints of theXML data while reducing redundancies. The effectiveness of the mapping is demonstratedby experiments on three data sets. The chapter considers the problem of providing amapping from XML to a relational database taking structural as well as a broad class ofsemantic constraints into account. RRXS generates much smaller relational instances …,Proceedings of the 29th international conference on Very large data bases-Volume 29,2003,77,20
XSeek: a semantic XML search engine using keywords,Ziyang Liu; Jeffrey Walker; Yi Chen,Abstract We present XSeek; a keyword search engine that enables users to easily accessXML data without the need of learning XPath or XQuery and studying possibly complex dataschemas. XSeek addresses a challenge in XML keyword search that has been neglected inthe literature: how to determine the desired return information; analogous to inferring a"return" clause in XQuery. To infer the search semantics; XSeek recognizes possible entitiesand attributes in the data; differentiates search predicates and return specifications in thekeywords; and generates meaningful search results based on the analysis.,Proceedings of the 33rd international conference on Very large data bases,2007,74,0
