Resisting structural re-identification in anonymized social networks,Michael Hay; Gerome Miklau; David Jensen; Don Towsley; Philipp Weis,Abstract We identify privacy risks associated with releasing network data sets and providean algorithm that mitigates those risks. A network consists of entities connected by linksrepresenting relations such as friendship; communication; or shared activity. Maintainingprivacy when publishing networked data is uniquely challenging because an individual'snetwork context can be used to identify them even if other identifying information is removed.In this paper; we quantify the privacy risks associated with three classes of attacks on theprivacy of individuals in networks; based on the knowledge used by the adversary. We showthat the risks of these attacks vary greatly based on network structure and size. We proposea novel approach to anonymizing network data that models aggregate network structure andthen allows samples to be drawn from that model. The approach guarantees anonymity …,Proceedings of the VLDB Endowment,2008,517,21
Anonymizing social networks,Michael Hay; Gerome Miklau; David Jensen; Philipp Weis; Siddharth Srivastava,Abstract Advances in technology have made it possible to collect data about individuals andthe connections between them; such as email correspondence and friendships. Agenciesand researchers who have collected such social network data often have a compellinginterest in allowing others to analyze the data. However; in many cases the data describesrelationships that are private (eg; email correspondence) and sharing the data in full canresult in unacceptable disclosures. In this paper; we present a framework for assessing theprivacy risk of sharing anonymized network data. This includes a model of adversaryknowledge; for which we consider several variants and make connections to known graphtheoretical results. On several real-world social networks; we show that simpleanonymization techniques are inadequate; resulting in substantial breaches of privacy for …,Computer Science Department Faculty Publication Series,2007,377,21
Containment and equivalence for an XPath fragment,Gerome Miklau; Dan Suciu,Abstract XPath is a simple language for navigating an XML document and selecting a set ofelement nodes. XPath expressions are used to query XML data; describe key constraints;express transformations; and reference elements in remote documents. This paper studiesthe containment and equivalence problems for a fragment of the XPath query language; withapplications in all these contexts. In particular; we study a class of XPath queries that containbranching; label wildcards and can express descendant relationships between nodes. Priorwork has shown that languages which combine any two of these three features haveefficient containment algorithms. However; we show that for the combination of features;containment is coNP-complete. We provide a sound and complete EXPTIME algorithm forcontainment; and study parameterized PTIME special cases. While we identify two …,Proceedings of the twenty-first ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2002,369,12
Controlling access to published data using cryptography,Gerome Miklau; Dan Suciu,Abstract We propose a framework for enforcing access control policies on published XMLdocuments using cryptography. In this framework the owner publishes a single datainstance; which is partially encrypted; and which enforces all access control policies. Ourcontributions include a declarative language for access policies; and the resolution of thesepolicies into a logical" protection model" which protects an XML tree with keys. The dataowner enforces an access control policy by granting keys to users. The model is quitepowerful; allowing the data owner to describe complex access scenarios; and is also quiteelegant; allowing logical optimizations to be described as rewriting rules. Finally; wedescribe cryptographic techniques for enforcing the protection model on published data; andprovide a performance analysis using real datasets.,Proceedings of the 29th international conference on Very large data bases-Volume 29,2003,358,3
Containment and equivalence for a fragment of XPath,Gerome Miklau; Dan Suciu,Abstract XPath is a language for navigating an XML document and selecting a set ofelement nodes. XPath expressions are used to query XML data; describe key constraints;express transformations; and reference elements in remote documents. This article studiesthe containment and equivalence problems for a fragment of the XPath query language; withapplications in all these contexts. In particular; we study a class of XPath queries that containbranching; label wildcards and can express descendant relationships between nodes. Priorwork has shown that languages that combine any two of these three features have efficientcontainment algorithms. However; we show that for the combination of features; containmentis coNP-complete. We provide a sound and complete algorithm for containment that runs inexponential time; and study parameterized PTIME special cases. While we identify one …,Journal of the ACM (JACM),2004,357,0
Boosting the accuracy of differentially private histograms through consistency,Michael Hay; Vibhor Rastogi; Gerome Miklau; Dan Suciu,Abstract We show that it is possible to significantly improve the accuracy of a general classof histogram queries while satisfying differential privacy. Our approach carefully chooses aset of queries to evaluate; and then exploits consistency constraints that should hold overthe noisy output. In a post-processing phase; we compute the consistent input most likely tohave produced the noisy output. The final output is differentially-private and consistent; butin addition; it is often much more accurate. We show; both theoretically and experimentally;that these techniques can be used for estimating the degree sequence of a graph veryprecisely; and for computing a histogram that can support arbitrary range queries accurately.,Proceedings of the VLDB Endowment,2010,345,12
Processing XML streams with deterministic automata,Todd J Green; Gerome Miklau; Makoto Onizuka; Dan Suciu,Abstract We consider the problem of evaluating a large number of XPath expressions on anXML stream. Our main contribution consists in showing that Deterministic Finite Automata(DFA) can be used effectively for this problem: in our experiments we achieve a throughputof about 5.4 MB/s; independent of the number of XPath expressions (up to 1;000;000 in ourtests). The major problem we face is that of the size of the DFA. Since the number of statesgrows exponentially with the number of XPath expressions; it was previously believed thatDFAs cannot be used to process large sets of expressions. We make a theoretical analysisof the number of states in the DFA resulting from XPath expressions; and consider both thecase when it is constructed eagerly; and when it is constructed lazily. Our analysis indicatesthat; when the automaton is constructed lazily; and under certain assumptions about the …,International Conference on Database Theory,2003,328,16
The Piazza peer data management project,Igor Tatarinov; Zachary Ives; Jayant Madhavan; Alon Halevy; Dan Suciu; Nilesh Dalvi; Xin Luna Dong; Yana Kadiyska; Gerome Miklau; Peter Mork,Abstract A major problem in today's information-driven world is that sharing heterogeneous;semantically rich data is incredibly difficult. Piazza is a peer data management system thatenables sharing heterogeneous data in a distributed and scalable way. Piazza assumes theparticipants to be interested in sharing data; and willing to define pairwise mappingsbetween their schemas. Then; users formulate queries over their preferred schema; and aquery answering system expands recursively any mappings relevant to the query; retrievingdata from other peers. In this paper; we provide a brief overview of the Piazza projectincluding our work on developing mapping languages and query reformulation algorithms;assisting the users in defining mappings; indexing; and enforcing access control overshared data.,ACM Sigmod Record,2003,263,21
A formal analysis of information disclosure in data exchange,Gerome Miklau; Dan Suciu,Abstract We perform a theoretical study of the following query-view security problem: given aview V to be published; does V logically disclose information about a confidential query S?The problem is motivated by the need to manage the risk of unintended informationdisclosure in today's world of universal data exchange. We present a novel information-theoretic standard for query-view security. This criterion can be used to provide a preciseanalysis of information disclosure for a host of data exchange scenarios; including multi-party collusion and the use of outside knowledge by an adversary trying to learn privilegedfacts about the database. We prove a number of theoretical results for deciding securityaccording to this standard. We also generalize our security criterion to account for priorknowledge a user or adversary may possess; and introduce techniques for measuring the …,Journal of Computer and System Sciences,2007,262,12
Processing XML streams with deterministic automata and stream indexes,Todd J Green; Ashish Gupta; Gerome Miklau; Makoto Onizuka; Dan Suciu,Abstract We consider the problem of evaluating a large number of XPath expressions on astream of XML packets. We contribute two novel techniques. The first is to use a singleDeterministic Finite Automaton (DFA). The contribution here is to show that the DFA can beused effectively for this problem: in our experiments we achieve a constant throughput;independently of the number of XPath expressions. The major issue is the size of the DFA;which; in theory; can be exponential in the number of XPath expressions. We provide aseries of theoretical results and experimental evaluations that show that the lazy DFA has asmall number of states; for all practical purposes. These results are of general interest inXPath processing; beyond stream processing. The second technique is the Streaming IndeX(SIX); which consists of adding a small amount of binary data to each XML packet that …,ACM Transactions on Database Systems (TODS),2004,259,12
