Biodegradation aspects of polycyclic aromatic hydrocarbons (PAHs): a review,AK Haritash; CP Kaushik,Abstract PAHs are aromatic hydrocarbons with two or more fused benzene rings with naturalas well as anthropogenic sources. They are widely distributed environmental contaminantsthat have detrimental biological effects; toxicity; mutagenecity and carcinogenicity. Due totheir ubiquitous occurrence; recalcitrance; bioaccumulation potential and carcinogenicactivity; the PAHs have gathered significant environmental concern. Although PAH mayundergo adsorption; volatilization; photolysis; and chemical degradation; microbialdegradation is the major degradation process. PAH degradation depends on theenvironmental conditions; number and type of the microorganisms; nature and chemicalstructure of the chemical compound being degraded. They are biodegraded/biotransformedinto less complex metabolites; and through mineralization into inorganic minerals; H 2 O …,*,2009,1550
Heavy metal contamination of river Yamuna; Haryana; India: assessment by metal enrichment factor of the sediments,A Kaushik; Ankur Kansal; Shiv Kumari; CP Kaushik,Abstract Concentration of Heavy Metals (Cd; Cr; Fe; Ni) in water; plants and sediments ofriver Yamuna flowing in Haryana through Delhi are reported here selecting 14 stationscovering the upstream and downstream sites of major industrial complexes of the State.Some important characteristics of river water and sediments (pH; EC; Cl−; SO 3 2−; and PO4 3− in water and sediments; COD of water and organic matter content of sediments) werealso analysed and inter-relationships of all these parameters with heavy metal concentrationin different compartments were examined. The sediments of the river show significantenrichment with Cd and Ni indicating inputs from industrial sources. Concentrations of Crare moderate and show high enrichment values only at a few sites. Enrichment factor for Feis found to be< 1; showing insignificant effect of anthropogenic flux. Concentrations of …,Journal of hazardous materials,2009,157
Defluoridation of groundwater using brick powder as an adsorbent,Asheesh Kumar Yadav; CP Kaushik; Anil Kumar Haritash; Ankur Kansal; Neetu Rani,Abstract Defluoridation of groundwater using brick powder as an adsorbent was studied inbatch process. Different parameters of adsorption; viz. effect of pH; effect of dose and contacttime were selected and optimized for the study. Feasible optimum conditions were applied totwo groundwater samples of high fluoride concentration to study the suitability of adsorbentin field conditions. Comparison of adsorption by brick powder was made with adsorption bycommercially available activated charcoal. In the optimum condition of pH and dose ofadsorbents; the percentage defluoridation from synthetic sample; increased from 29.8 to54.4% for brick powder and from 47.6 to 80.4% for commercially available activatedcharcoal with increasing the contact time starting from 15 to 120 min. Fluoride removal wasfound to be 48.73 and 56.4% from groundwater samples having 3.14 and 1.21 mg l− 1 …,Journal of Hazardous materials,2006,157
Response surface methodological approach for optimizing removal of Cr (VI) from aqueous solution using immobilized cyanobacterium,Bala Kiran; Anubha Kaushik; CP Kaushik,Abstract The potential use of alginate immobilized algal beads for the removal of chromiumfrom aqueous solution has been investigated under optimized conditions in this study usinga novel cyanobacterium; Lyngbya putealis isolated from metal contaminated soil. Batchmode experiments were performed to determine the adsorption equilibrium and kineticbehaviour of chromium in aqueous solution allowing the computation of kinetic parametersand maximum metal adsorption capacity. Influences of other parameters like initial metal ionconcentration (10–100 mg/L); pH (2–6) and temperature (25–45° C) on chromiumadsorption were also examined; using Box–Behnken design. Very high regressioncoefficient between the variables and the response (R 2= 0.9984) indicates excellentevaluation of experimental data by second-order polynomial regression model. The …,Chemical Engineering Journal,2007,154
Short-term variation in air quality associated with firework events: a case study,Khaiwal Ravindra; Suman Mor; CP Kaushik,The effect of fireworks on air quality was assessed from the ambient concentrations ofvarious air pollutants (SO2; NO2; PM10 and TSP) during Diwali festival in Hisar city (India);in November 1999. The extensive use of fireworks was found to be related to short-termvariation in air quality. During the festival the concentration of SO2 was observed to beincreased∼ 10-fold at few sites; whereas the concentrations of NO2; PM10 and TSPincreased 2–3 times; compared to the data collected on a typical winter day in December1999. The maximum NO2 concentration was observed a day after the festival. The diurnalpattern of the above pollutants showed a slight increase in the night. The levels of thesepollutants observed during Diwali were found to be moderately high; which can beassociated with serious health impacts.,Journal of Environmental Monitoring,2003,144
Impact of long and short term irrigation of a sodic soil with distillery effluent in combination with bioamendments,A Kaushik; R Nisha; K Jagjeeta; CP Kaushik,Abstract The study reports the effects of irrigation of a sodic soil with post methanationeffluent (PME) of a distillery. Impact of long term effluent irrigation in the field (10 years) andshort term effluent irrigation using different doses of PME in the laboratory (30 days) wasstudied in combination with three bioamendments ie farmyard manure; brassica residuesand rice husk. Impact on various soil properties like EC; pH; total organic carbon (TOC); totalKjeldahl nitrogen (TKN); available phosphorus; exchangeable K; Na; Ca; Cl; microbialpopulation and soil enzyme activities were studied. Long term application of PME proveduseful in significantly increasing TOC; TKN; K; P and soil enzymatic activities in the soil buttended to build up harmful concentration of Na; that could be chelated by bioamendments. Inshort terms studies; application of 50% PME along with bioamendments proved to be the …,Bioresource technology,2005,129
Kinetics study of methylene blue dye bioadsorption on baggase,SP Raghuvanshi; R Singh; CP Kaushik; AK Raghav,Abstract. The adsorption potential of agricultural (sugarcane) by-product; the baggase wasinvestigated in batch experiments with two different forms ie; raw and chemically activatedforms; for the removal of Methylene Blue dye; with different parameters like dyeconcentration; contact time; temperature and adsorbent dose. The removal is better andmore effective with chemically activated baggase in comparison to the raw baggase. Anaverage percent removal difference between the two adsorbents of around 18% wasachieved under the different conditions in the experiment. The data fit well in the Freundlichisotherm.,Applied Ecology and Environmental Research,2004,117
Feasibility of utilization of horse dung spiked filter cake in vermicomposters using exotic earthworm Eisenia foetida,Pritam Sangwan; CP Kaushik; VK Garg,Abstract This contribution reports the potential of vermicomposting technology in themanagement of horse dung (HD) spiked sugar mill filter cake (SMFC) using an epigeicearthworm Eisenia foetida under laboratory conditions. A total of six vermicomposters filledwith different ratios of HD and SMFC were maintained for this study. The growth andfecundity of E. foetida was monitored for 12 weeks. Maximum growth was recorded in 90%HD+ 10% SMFC feed mixture containing vermicomposter. Earthworms' biomass gain andreproduction was favorably up to 50% HD+ 50% SMFC feed composition. Maximumcocoons were also recorded in 90% HD+ 10% SMFC feed mixtures; however increasingproportions of SMFC in different vermicomposters affected the growth and fecundity ofworms. A significant decrease in C: N ratio and increase in total kjeldahl nitrogen; total …,Bioresource Technology,2008,74
Biosorption of Cr (VI) by native isolate of Lyngbya putealis (HH-15) in the presence of salts,Bala Kiran; Anubha Kaushik; CP Kaushik,Abstract Industrial wastewaters containing heavy metals along with high concentration ofsoluble salts pose a major environmental problem that needs to be remedied. The presentstudy reports on biosorption of Cr (VI) by native isolate of Lyngbya putealis HH-15 in batchsystem under varying range of pH (2.0–10.0); initial metal ion concentration (10–100 mg/l)and salt concentration (0–0.2%). Maximum metal removal (94.8%) took place at pH 3.0 withinitial Cr concentration of 50 mg/l; which got reduced (90.1%) in the presence of 0.2% salts.Adsorption equilibrium and kinetic behavior of Cr (VI) in solution was also examined. BothLangmuir and Freundlich models fitted well to explain the adsorption data (R 2= 0.90 and0.87; respectively) at 0.2% salt concentration. Pseudo-second order kinetic model also fittedwell to both the systems; viz. Cr (VI) and Cr (VI)+ salt.,Journal of hazardous materials,2007,69
Assessment of ambient air quality in urban centres of Haryana (India) in relation to different anthropogenic activities and health risks,CP Kaushik; Khaiwal Ravindra; Krishan Yadav; Surender Mehta; AK Haritash,Abstract Considering the mounting evidences of the effects of air pollution on health; thepresent study was undertaken to assess the ambient air quality status in the fast growingurban centres of Haryana state; India. The samples were collected for total suspendedparticulate matter (TSPM); respirable suspended particulate matter (PM 10); sulfur dioxide(SO 2); and oxides of nitrogen (NO 2) during different seasons from 8 districts of Haryanaduring January; 1999 to September; 2000. The four types of sampling sites with differentanthropogenic activities ie residential; sensitive; commercial and industrial were identified ineach city. The ambient air concentration of TSPM and PM 10 observed was well above theprescribed standards at almost all the sites. The average ambient air concentrations of SO 2and NO 2 were found below the permissible limits at all the centres. Comparatively higher …,Environmental monitoring and assessment,2006,69
Vermiconversion of industrial sludge for recycling the nutrients,Pritam Sangwan; CP Kaushik; VK Garg,Abstract The aim of the present study was to investigate the transformation of sugar millsludge (PM) amended with biogas plant slurry (BPS) into vermicompost employing anepigeic earthworm Eisenia fetida. To achieve the objectives experiments were conducted for13 weeks under controlled environmental conditions. In all the waste mixtures; a decrease inpH; TOC; TK and C: N ratio; but increase in TKN and TP was recorded. Maximum wormbiomass and growth rate was attained in 20% PM containing waste mixture. It was inferredfrom the study that addition of 30–50% of PM with BPS had no adverse effect on the fertilizervalue of the vermicompost as well as growth of E. fetida. The results indicated thatvermicomposting can be an alternate technology for the management and nutrient recoveryfrom press mud if mixed with bulking agent in appropriate quantities.,Bioresource technology,2008,66
Biosorption of reactive dye by waste biomass of Nostoc linckia,Sharma Mona; Anubha Kaushik; CP Kaushik,Abstract Potential of spent biomass of a cyanobacterium; Nostoc linckia HA 46; from ahydrogen bioreactor was studied for biosorption of a textile dye; reactive red 198. The wastebiomass was immobilized in calcium alginate and used for biosorption of the dye fromaqueous solution using response surface methodology (RSM). Kinetics of the dye inaqueous solution was studied in batch mode. Interactive effects of initial dye concentration(100–500 mg/L); pH (2–6) and temperature (25–45° C) on dye removal were examinedusing Box-Behnken design. Maximum adsorption capacity of the immobilized biomass was93.5 mg/g at pH 2.0; initial concentration of 100 mg/L and 35° C temperature; when 94% ofthe dye was removed. Fourier transform infrared (FT-IR) studies revealed that biosorptionwas mainly mediated by functional groups like hydroxyl; amide; carboxylate; methyl and …,Ecological Engineering,2011,63
Vermicomposting of sugar industry waste (press mud) mixed with cow dung employing an epigeic earthworm Eisenia fetida,P Sangwan; CP Kaushik; VK Garg,In India; millions of tons of press mud (PM) are generated by sugar mills every year. Thispaper reports the potential of vermitechnology to convert sugar industry waste PM mixedwith cow dung (CD) into vermicompost; employing an epigeic earthworm Eisenia fetida. Atotal of six different reactors were established having different ratios of PM and CD includingone control (CD only). The growth and fecundity of E. fetida was monitored for 13 weeks.Maximum growth was recorded in 100% CD; but earthworms grew and reproducedfavourably up to 1: 1 PM and CD feed composition. However; greater percentages of PM indifferent reactors significantly affected the growth and fecundity of worms. Vermicompostingresulted in a decrease in carbon concentration and an increase in nitrogen; phosphorus andcalcium concentrations of the vermicompost. Investigations indicated that …,Waste Management & Research,2010,59
Effect of indigenous cyanobacterial application on structural stability and productivity of an organically poor semi-arid soil,R Nisha; A Kaushik; CP Kaushik,Abstract Multi-strain biofertilizer consisting of three indigenous cyanobacterial isolates wasapplied to an organically poor semi-arid clay–loam soil (pH 7; electrical conductivity; EC; 0.8dSm− 1; total organic carbon; TOC; 0.34%; total Kjeldahl Nitrogen; TKN; 0.06%) in pot-house experiment. During the 240 d experiment under conditions of limited water regime (6–12% soil moisture); there was a significant (p< 0.05) increase in TOC; TKN and PO 4 3− Pduring the middle; which; however; diminished at later stages of the experiment. Thebiofertilizer (BF) improved carbon and nitrogen mineralization by promoting soil microbialactivities and narrowed down C: N ratio. Effect of BF on cation exchange capacity of the soilbecame evident with time. Physical structure of the soil was influenced due to BF asindicated by significant (p< 0.01) decline in bulk density and increase in water holding …,Geoderma,2007,58
