Generalized probabilistic framework for optimum inspection and maintenance planning,Sunyong Kim; Dan M Frangopol; Mohamed Soliman,Abstract This paper proposes a generalized probabilistic framework for optimum inspectionand maintenance planning of deteriorating structures. The proposed framework covers (1)the damage occurrence and propagation and service life prediction under uncertainty;(2) therelation between degree of damage and probability of damage detection of an inspectionmethod; and (3) the effects of inspection and maintenance on service life and life-cycle cost.Optimum inspection and maintenance types and times are obtained through an optimizationformulation by maximizing the expected service life and minimizing the expected total life-cycle cost consisting of inspection and maintenance costs. The service life; life-cycle cost;and maintenance delay; along with inspection and maintenance actions; are formulatedusing a decision tree model. The selection of the appropriate maintenance type depends …,Journal of Structural Engineering,2013,72
Life-cycle of structural systems: recent achievements and future directions,Dan M Frangopol; Mohamed Soliman,Structural systems are under deterioration due to ageing; mechanical stressors; and harshenvironment; among other threats. Corrosion and fatigue can cause gradual structuraldeterioration. Moreover; natural and man-made hazards may lead to a sudden drop in thestructural performance. Inspection and maintenance actions are performed to monitor thestructural safety and maintain the performance over certain thresholds. However; theseactions must be effectively planned throughout the life-cycle of a system to ensure theoptimum budget allocation and maximum possible service life without adverse effects on thestructural system safety. Life-cycle engineering provides rational means to optimise life-cycleaspects; starting from the initial design and construction to dismantling and replacing thesystem at the end of its service life. This paper presents a brief overview of the recent …,Structure and infrastructure engineering,2016,62
Optimization of life-cycle maintenance of deteriorating bridges with respect to expected annual system failure rate and expected cumulative cost,Giorgio Barone; Dan M Frangopol; Mohamed Soliman,Abstract Civil infrastructure systems are subjected to progressive deterioration resulting frommultiple mechanical and environmental stressors. This deterioration process is developedunder uncertainties related to load effects; structural resistance; and inspection outcomes;among others. In this context; life-cycle optimization techniques provide a rational approachto manage these systems considering uncertainties and several budgetary and safetyconstraints. This paper proposes a novel optimization procedure for life-cycle inspection andmaintenance planning of aging structures. In this procedure; the structural system effects areaccounted for by modeling the structure as a series; parallel; or a series-parallel systemwhose components are subjected to time-dependent deterioration phenomena. Differentpossible repair options are considered depending on the damage state and the outcomes …,Journal of Structural Engineering,2013,33
Probabilistic optimum inspection planning of steel bridges with multiple fatigue sensitive details,Mohamed Soliman; Dan M Frangopol; Sunyong Kim,Abstract Inspection planning of fatigue sensitive bridges is a complex process. This; in part;is due to various uncertainties associated with the damage propagation and the detectiontechnique used to perform inspections. The planning process starts with identifying the mostcritical locations of fatigue damage occurrence. In this context; non-destructive testing (NDT)techniques; applied at different times along the service life; can be used to monitor the crackgrowth and support the fatigue life estimation. The next step is to establish an inspectionplan which considers the available budget and the target performance level of theinvestigated bridge. This paper proposes a probabilistic approach for providing effectiveinspection plans for fatigue critical bridges. The proposed approach considers multiplefatigue critical locations in the bridge and chooses the best inspection option among a set …,Engineering Structures,2013,28
Life-cycle management of fatigue-sensitive structures integrating inspection information,S Mohamed Soliman; Dan M Frangopol,Abstract Successful management of deteriorating structures requires the reliable predictionof damage occurrence as well as the time-dependent damage propagation underuncertainty. The reliability of the performance prediction process can be significantlyimproved by integrating information gained from inspection and monitoring actions. Thisintegration leads to a more accurate prediction of the time-dependent damage level and;eventually; to a better supported decision-making process. In this paper; a probabilisticapproach is proposed to find an optimum management plan for fatigue-sensitive structuresby integrating the available information from inspection actions. The proposed approachutilizes a probabilistic time-dependent damage criterion; inspection cost; and failure cost tofind the optimum inspection times under uncertainty. New information resulting from …,Journal of Infrastructure Systems,2013,24
Probabilistic fatigue life estimation of steel bridges by using a bilinear S-N approach,Kihyon Kwon; Dan M Frangopol; Mohamed Soliman,This paper focuses on estimating the fatigue life below the constant amplitude fatiguethreshold (CAFT) of steel bridges by using a probabilistic approach on the basis of a bilinearstress life (ie; the SN approach). The current AASHTO SN approach uses a single SN line forpredicting the fatigue life. However; because of the variation of actual applied live-loadstress cycles; this approach very often results in a severe underestimation of the useful life ofstructures. It implies that fatigue damage in respective structural steel details may beoverestimated. To improve fatigue life estimation; a bilinear SN approach is integrated into aprobabilistic framework that can model the uncertainties associated with the fatiguedeterioration process. In this approach; the equivalent stress range is computed by usingtwo SN slopes and several probability density functions associated with stress ranges …,Journal of Bridge Engineering,2011,22
Fatigue reliability and service life prediction of aluminum naval ship details based on monitoring data,Mohamed Soliman; Giorgio Barone; Dan M Frangopol,The evolution of naval vessels toward high-speed crafts subjected to severe sea conditionshas promoted an increasing interest in lightweight high-strength materials. Due to itsstrength and weight characteristics; aluminum has been proven especially suitable asconstruction material for hull structures as well as other vessel parts. However; fatigue inaluminum naval crafts needs to be effectively addressed for the proper life-cycleassessment. Structural health monitoring systems constitute effective tools for measuring thestructural response and assessing the structural performance under actual operationalconditions. In this article; an approach for using structural health monitoring information inthe fatigue reliability analysis and service life prediction of aluminum naval vessels ispresented. The accumulated fatigue damage and the fatigue reliability are quantified …,Structural Health Monitoring,2015,16
Fatigue assessment and service life prediction of existing steel bridges by integrating SHM into a probabilistic bilinear S-N approach,Mohamed Soliman; Dan M Frangopol; Kihyon Kown,Abstract Fatigue assessment of several steel bridge details; having equivalent stress rangebelow the constant amplitude fatigue threshold (CAFT); showed that many of these detailsare free of cracks; although the remaining life calculations predicted that they should havealready been suffering from cracks. This shows that the current methods for predicting thefatigue remaining life of steel bridges can be conservative and may lead to unnecessaryretrofit and rehabilitation actions. For a better fatigue life prediction; a bilinear SN approachhas been proposed. In this approach; the bilinear SN lines have different slopes above andbelow the CAFT. This paper addresses fatigue assessment and service life prediction ofexisting fatigue-prone steel bridges by integrating structural health monitoring (SHM) datainto a probabilistic bilinear SN approach. The effect of changing the value of the slope of …,Journal of Structural Engineering,2012,16
Maintenance and operation of infrastructure systems,Mauricio Sánchez-Silva; Dan M Frangopol; Jamie Padgett; Mohamed Soliman,Abstract Infrastructure management plays an important role in sustainable development andis essential for the evaluation of the socioeconomic feasibility of existing projects and thedevelopment of new ones. This paper presents a review of key aspects involved in themaintenance and operation of infrastructure under uncertainty. It discusses the mainconceptual and theoretical principles and guides the reader through different aspects of theproblem by offering a large set of state-of-the-art references. Although the paper does notprovide a comprehensive description of all maintenance methods and policies available inthe literature; it critically reviews the main approaches. The concepts presented anddiscussed in this paper provide the basis to build models that can be used for making betterdecisions for maintaining and operating infrastructure systems.,Journal of Structural Engineering,2016,12
Bridge stress calculation based on the dynamic response of coupled train–bridge system,Huile Li; He Xia; Mohamed Soliman; Dan M Frangopol,Abstract Stress responses under vehicle loads are of great significance during the life-cycleof a bridge. The accurate identification of these responses is necessary for the bridgedesign; construction; assessment; maintenance; and rehabilitation. This paper presents anumerical approach for the stress analysis of railway bridges based on train–bridge coupleddynamics. A coupled train-bridge system model composed of a 3D vehicle model; a 3Dbridge model established with the direct stiffness method; and an assumed wheel–railcontact relationship considering random excitations due to track irregularities; is developed.Based on the results of the train–bridge coupled analysis; bridge dynamic stress responsesare then computed by elastic finite element method. The field measurement data of a 32 msimply-supported concrete bridge on a heavy haul railway is analyzed to validate the …,Engineering Structures,2015,12
A probabilistic approach for optimizing inspection; monitoring; and maintenance actions against fatigue of critical ship details,Mohamed Soliman; Dan M Frangopol; Alysson Mondoro,Abstract Fatigue is one of the main deteriorating mechanisms that affect the safety andreliability of ship structures. Fatigue cracks can appear at various locations along the shipstructure and may occur at early stages in the service life of a ship. Inspection; monitoringand/or repair actions are applied to prevent sudden failures of damaged structuralcomponents and their associated consequences. However; these actions increase theoperational cost of the ship and should be optimally planned during its service life. Due tothe presence of significant uncertainties associated with crack initiation and propagation; theplanning of such actions should be performed probabilistically. In this paper; a probabilisticapproach for inspection; monitoring; and maintenance optimization for ship details underfatigue effects is proposed. Based on the stress profile and the crack geometry at the …,Structural Safety,2016,10
