Implementing reproducible research,Victoria Stodden; Friedrich Leisch; Roger D Peng,In computational science; reproducibility requires that researchers make code and dataavailable to others so that the data can be analyzed in a similar manner as in the originalpublication. Code must be available to be distributed; data must be accessible in a readableformat; and a platform must be available for widely distributing the data and code. Inaddition; both data and code need to be licensed permissively enough so that others canreproduce the work without a substantial legal burden. Implementing ReproducibleResearch covers many of the elements necessary for conducting and distributingreproducible research. It explains how to accurately reproduce a scientific result. Dividedinto three parts; the book discusses the tools; practices; and dissemination platforms forensuring reproducibility in computational science. It describes: Computational tools; such …,*,2014,123
ReproZip: Using Provenance to Support Computational Reproducibility.,Fernando Seabra Chirigati; Dennis E Shasha; Juliana Freire,Abstract We describe ReproZip; a tool that makes it easier for authors to publishreproducible results and for reviewers to validate these results. By tracking operating systemcalls; ReproZip systematically captures detailed provenance of existing experiments;including data dependencies; libraries used; and configuration parameters. This informationis combined into a package that can be installed and run on a different environment. Animportant goal that we have for ReproZip is usability. Besides simplifying the creation ofreproducible results; the system also helps reviewers. Because the package isselfcontained; reviewers need not install any additional software to run the experiments. Inaddition; ReproZip generates a workflow specification for the experiment. This not onlyenables reviewers to execute this specification within a workflow system to explore the …,TaPP,2013,65
Chiron: a parallel engine for algebraic scientific workflows,Eduardo Ogasawara; Jonas Dias; Vitor Silva; Fernando Chirigati; Daniel Oliveira; Fabio Porto; Patrick Valduriez; Marta Mattoso,SUMMARY Large-scale scientific experiments based on computer simulations are typicallymodeled as scientific workflows; which eases the chaining of different programs. Thesescientific workflows are defined; executed; and monitored by scientific workflowmanagement systems (SWfMS). As these experiments manage large amounts of data; itbecomes critical to execute them in high-performance computing environments; such asclusters; grids; and clouds. However; few SWfMS provide parallel support. The ones that doso are usually labor-intensive for workflow developers and have limited primitives tooptimize workflow execution. To address these issues; we developed workflow algebra tospecify and enable the optimization of parallel execution of scientific workflows. In thispaper; we show how the workflow algebra is efficiently implemented in Chiron; an …,Concurrency and Computation: Practice and Experience,2013,62
noWorkflow: Capturing and Analyzing Provenance of Scripts,Leonardo Murta; Vanessa Braganholo; Fernando Chirigati; David Koop; Juliana Freire,Abstract We propose noWorkflow; a tool that transparently captures provenance of scriptsand enables reproducibility. Unlike existing approaches; noWorkflow is non-intrusive anddoes not require users to change the way they work–users need not wrap their experimentsin scientific workflow systems; install version control systems; or instrument their scripts. Thetool leverages Software Engineering techniques; such as abstract syntax tree analysis;reflection; and profiling; to collect different types of provenance; including detailedinformation about the underlying libraries. We describe how noWorkflow captures multiplekinds of provenance and the different classes of analyses it supports: graph-basedvisualization; differencing over provenance trails; and inference queries.,Provenance and Annotation of Data and Processes: 5th International Provenance and Annotation Workshop; IPAW 2014; Cologne; Germany; June 9-13; 2014. Revised Selected Papers,2015,61
Exploring many task computing in scientific workflows,Eduardo Ogasawara; Daniel de Oliveira; Fernando Chirigati; Carlos Eduardo Barbosa; Renato Elias; Vanessa Braganholo; Alvaro Coutinho; Marta Mattoso,Abstract One of the main advantages of using a scientific workflow management system(SWfMS) to orchestrate data flows among scientific activities is to control and register thewhole workflow execution. The execution of activities within a workflow with highperformance computing (HPC) presents challenges in SWfMS execution control. Currentsolutions leave the scheduling to the HPC queue system. Since the workflow executionengine does not run on remote clusters; SWfMS are not aware of the parallel strategy of theworkflow execution. Consequently; remote execution control and provenance registry of theparallel activities is very limited from the SWfMS side. This work presents a set ofcomponents to be included on the workflow specification of any SWMfS to controlparallelization of activities as MTC. In addition; these components can gather provenance …,Proceedings of the 2nd Workshop on Many-Task Computing on Grids and Supercomputers,2009,55
YesWorkflow: a user-oriented; language-independent tool for recovering workflow information from scripts,Timothy McPhillips; Tianhong Song; Tyler Kolisnik; Steve Aulenbach; Khalid Belhajjame; Kyle Bocinsky; Yang Cao; Fernando Chirigati; Saumen Dey; Juliana Freire; Deborah Huntzinger; Christopher Jones; David Koop; Paolo Missier; Mark Schildhauer; Christopher Schwalm; Yaxing Wei; James Cheney; Mark Bieda; Bertram Ludaescher,Abstract: Scientific workflow management systems offer features for composing complexcomputational pipelines from modular building blocks; for executing the resulting automatedworkflows; and for recording the provenance of data products resulting from workflow runs.Despite the advantages such features provide; many automated workflows continue to beimplemented and executed outside of scientific workflow systems due to the convenienceand familiarity of scripting languages (such as Perl; Python; R; and MATLAB); and to thehigh productivity many scientists experience when using these languages. YesWorkflow is aset of software tools that aim to provide such users of scripting languages with many of thebenefits of scientific workflow systems. YesWorkflow requires neither the use of a workflowengine nor the overhead of adapting code to run effectively in such a system. Instead …,arXiv preprint arXiv:1502.02403,2015,45
The more the merrier: Efficient multi-source graph traversal,Manuel Then; Moritz Kaufmann; Fernando Chirigati; Tuan-Anh Hoang-Vu; Kien Pham; Alfons Kemper; Thomas Neumann; Huy T Vo,Abstract Graph analytics on social networks; Web data; and communication networks hasbeen widely used in a plethora of applications. Many graph analytics algorithms are basedon breadth-first search (BFS) graph traversal; which is not only time-consuming for largedatasets but also involves much redundant computation when executed multiple times fromdifferent start vertices. In this paper; we propose Multi-Source BFS (MS-BFS); an algorithmthat is designed to run multiple concurrent BFSs over the same graph on a single CPU corewhile scaling up as the number of cores increases. MS-BFS leverages the properties ofsmall-world networks; which apply to many real-world graphs; and enables efficient graphtraversal that:(i) shares common computation across concurrent BFSs;(ii) greatly reduces thenumber of random memory accesses; and (iii) does not incur synchronization costs. We …,Proceedings of the VLDB Endowment,2014,32
Reproducibility Using VisTrails,J Freire; D Koop; FS Chirigati; C Silva,Science has long placed an emphasis on revisiting and reusing past results: reproducibilityis a core component of the scientific process. Testing and extending published results arestandard activities that lead to practical progress: science moves forward using past workand allowing scientists to “stand on the shoulders of giants.” In natural science; long traditionrequires experiments to be described in enough detail so that they can be reproduced,*,2014,30
The PBase scientific workflow provenance repository,Víctor Cuevas-Vicenttín; Parisa Kianmajd; Bertram Ludäscher; Paolo Missier; Fernando Chirigati; Yaxing Wei; David Koop; Saumen Dey,Scientific workflows and their supporting systems are becoming increasingly popular forcompute-intensive and data-intensive scientific experiments. The advantages scientificworkflows offer include rapid and easy workflow design; software and data reuse; scalableexecution; sharing and collaboration; and other advantages that altogether facilitate“reproducible science”. In this context; provenance–information about the origin; context;derivation; ownership; or history of some artifact–plays a key role; since scientists areinterested in examining and auditing the results of scientific experiments. However; in orderto perform such analyses on scientific results as part of extended research collaborations; anadequate environment and tools are required. Concretely; the need arises for a repositorythat will facilitate the sharing of scientific workflows and their associated execution traces …,International Journal of Digital Curation,2014,26
Similarity-based workflow clustering,Vıtor Silva; Fernando Chirigati; Kely Maia; Eduardo Ogasawara; D Oliveira; Vanessa Braganholo; Leonardo Murta; Marta Mattoso,ABSTRACT Scientists have been using scientific workflow management systems (SWfMS) tosupport scientific experiments. However; SWfMS expect a modeled workflow to berepresented on its workflow language to be executed. The scientist does not have anassistance or guidance to obtain a modeled workflow. Experiment lines; which are a novelapproach to deal with these limitations; allow for the abstract representation and systematiccomposition of experiments. Since there are many scientific workflows already modeled andsuccessfully executed; they can be used to leverage the construction of new abstractrepresentations. These previous experiments can be helpful by identifying scientificworkflow clusters that are generated according to similarity criteria. This paper proposesSimiFlow; which is an architecture for similarity-based comparison and clustering to build …,JCIS,2011,21
