Efficient similarity joins for near-duplicate detection,Chuan Xiao; Wei Wang; Xuemin Lin; Jeffrey Xu Yu; Guoren Wang,Abstract With the increasing amount of data and the need to integrate data from multipledata sources; one of the challenging issues is to identify near-duplicate records efficiently. Inthis article; we focus on efficient algorithms to find a pair of records such that their similaritiesare no less than a given threshold. Several existing algorithms rely on the prefix filteringprinciple to avoid computing similarity values for all possible pairs of records. We proposenew filtering techniques by exploiting the token ordering information; they are integrated intothe existing methods and drastically reduce the candidate sizes and hence improve theefficiency. We have also studied the implementation of our proposed algorithm in stand-alone and RDBMS-based settings. Experimental results show our proposed algorithms canoutperform previous algorithms on several real datasets.,ACM Transactions on Database Systems (TODS),2011,559
Graph clustering based on structural/attribute similarities,Yang Zhou; Hong Cheng; Jeffrey Xu Yu,Abstract The goal of graph clustering is to partition vertices in a large graph into differentclusters based on various criteria such as vertex connectivity or neighborhood similarity.Graph clustering techniques are very useful for detecting densely connected groups in alarge graph. Many existing graph clustering methods mainly focus on the topologicalstructure for clustering; but largely ignore the vertex properties which are oftenheterogenous. In this paper; we propose a novel graph clustering algorithm; SA-Cluster;based on both structural and attribute similarities through a unified distance measure. Ourmethod partitions a large graph associated with attributes into k clusters so that each clustercontains a densely connected subgraph with homogeneous attribute values. An effectivemethod is proposed to automatically learn the degree of contributions of structural …,Proceedings of the VLDB Endowment,2009,540
-Holistic Twig Joins on Indexed XML Documents,Haifeng Jiang; Wei Wang; Hongjun Lu; Jeffrey Xu Yu,XML is emerging as a de facto standard for information exchange over the Internet. AlthoughXML documents could have rather complex internal structures; they can generally modeledas ordered trees. Finding all the occurrences of a twig pattern specified by a selectionpredicate on multiple elements in an XML document is a core operation for efficientevaluation of XML queries. Holistic twig join algorithms were proposed as an optimalsolution when the twig pattern only involves ancestor-descendant relationships. The chapteraddresses the problem of efficient processing of holistic twig joins on all/partly indexed XMLdocuments. It proposes an algorithm that utilizes available indices on element sets. While itcan be shown analytically that the proposed algorithm is as efficient as the existing state-of-the-art algorithms in terms of worst case I/O and CPU cost; experimental results on …,*,2003,404
Efficient computation of the skyline cube,Yidong Yuan; Xuemin Lin; Qing Liu; Wei Wang; Jeffrey Xu Yu; Qing Zhang,Abstract Skyline has been proposed as an important operator for multi-criteria decisionmaking; data mining and visualization; and user-preference queries. In this paper. weconsider the problem of efficiently computing a SKYCUBE; which consists of skylines of allpossible non-empty subsets of a given set of dimensions. While existing skyline computationalgorithms can be immediately extended to computing each skyline query independently;such" shared-nothing" algorithms are inefficient. We develop several computation sharingstrategies based on effectively identifying the computation dependencies among multiplerelated skyline queries. Based on these sharing strategies; two novel algorithms; Bottom-Upand Top-Down algorithms; are proposed to compute SKYCUBE efficiently. Finally; ourextensive performance evaluations confirm the effectiveness of the sharing strategies. It is …,Proceedings of the 31st international conference on Very large data bases,2005,369
Parameter free bursty events detection in text streams,Gabriel Pui Cheong Fung; Jeffrey Xu Yu; Philip S Yu; Hongjun Lu,Abstract Text classification is a major data mining task. An advanced text classificationtechnique is known as partially supervised text classification; which can build a text classifierusing a small set of positive examples only. This leads to our curiosity whether it is possibleto find a set of features that can be used to describe the positive examples. Therefore; usersdo not even need to specify a set of positive examples. As the first step; in this paper; weformalize it as a new problem; called hot bursty events detection; to detect bursty events froma text stream which is a sequence of chronologically ordered documents. Here; a burstyevent is a set of bursty features; and is considered as a potential category to build a textclassifier. It is important to know that the hot bursty events detection problem; we study in thispaper; is different from TDT (topic detection and tracking) which attempts to cluster …,Proceedings of the 31st international conference on Very large data bases,2005,357
Finding top-k min-cost connected trees in databases,Bolin Ding; Jeffrey Xu Yu; Shan Wang; Lu Qin; Xiao Zhang; Xuemin Lin,It is widely realized that the integration of database and information retrieval techniques willprovide users with a wide range of high quality services. In this paper; we study processingan l-keyword query; p 1; p 1;...; pl; against a relational database which can be modeled as aweighted graph; G (V; E). Here V is a set of nodes (tuples) and E is a set of edgesrepresenting foreign key references between tuples. Let V i⊆ V be a set of nodes thatcontain the keyword p i. We study finding top-k minimum cost connected trees that contain atleast one node in every subset V i; and denote our problem as GST-k When k= 1; it is knownas a minimum cost group Steiner tree problem which is NP-complete. We observe that thenumber of keywords; l; is small; and propose a novel parameterized solution; with l as aparameter; to find the optimal GST-1; in time complexity O (3 l n+ 2 l ((l+ logn) n+ m)) …,Data Engineering; 2007. ICDE 2007. IEEE 23rd International Conference on,2007,339
High Electron Mobility in Room‐Temperature Discotic Liquid‐Crystalline Perylene Diimides,Zesheng An; Junsheng Yu; Simon C Jones; Stephen Barlow; Seunghyup Yoo; Benoit Domercq; Paulette Prins; Laurens DA Siebbeles; Bernard Kippelen; SR Marder,Discotic liquid crystals (LCs) that can self-assemble into ordered one-dimensional columnarstacks are promising candidates for use as charge-transport materials in organic electronicand optoelectronic devices;[1] intermolecular π-orbital overlap within the stacks maypotentially lead to increased carrier mobilities compared to those in amorphous materials.Perylene diimides and their derivatives have attracted increasing attention and have beenused in photovoltaic cells;[2] field-effect transistors;[3] and color-tunable light-emittingdiodes.[4] Mobilities of 0.1 cm2 V–1 s–1 and 0.2 cm2 V–1 s–1 have been measured bypulse-radiolysis time-resolved microwave conductivity (PR-TRMC) for LC and polycrystallineN; N′-dioctadecyl-3; 4; 9; 10-perylene diimide; respectively;[5] and a similar value wasfound for a substituted analogue.[6] High field-effect mobilities have also been …,Advanced Materials,2005,270
Politician control; agency problems and ownership reform,Lixin Colin Xu; Tian Zhu; Yi‐min Lin,Abstract Using data from a recent national survey on the ownership reform of state-ownedenterprises in China; we study the effects of reducing politician control and agency problemson a number of reform outcomes. Taking into account the endogenous nature of the reform;we find that these outcome measures of the reform's success are positively affected by thelessening of politician control through increasing the firm's flexibility in labour deploymentand by the mitigation of agency costs through the introduction of more effective corporategovernance mechanisms such as one-share one-vote and shareholding-based boardstructure composition. Ownership structure also matters: relative to shareholding by thestate; foreign ownership has a positive effect on reform outcomes; individual (mostlyemployee) shareholding has a negative or insignificant effect. Somewhat surprisingly …,Economics of Transition,2005,236
Condensed cube: An effective approach to reducing data cube size,Wei Wang; Jianlin Feng; Hongjun Lu; Jeffrey Xu Yu,Pre-computed data cube facilitates OLAP (on-line analytical processing). It is well-knownthat data cube computation is an expensive operation. While most algorithms have beendevoted to optimizing memory management and reducing computation costs; less work hasaddressed a fundamental issue: the size of a data cube is huge when a large base relationwith a large number of attributes is involved. In this paper; we propose a new concept; calleda condensed data cube. The condensed cube is of much smaller size than a complete non-condensed cube. More importantly; it is a fully pre-computed cube without compression;and; hence; it requires neither decompression nor further aggregation when answeringqueries. Several algorithms for computing a condensed cube are proposed. Results ofexperiments on the effectiveness of condensed data cube are presented; using both …,Data Engineering; 2002. Proceedings. 18th International Conference on,2002,236
Dual labeling: Answering graph reachability queries in constant time,Haixun Wang; Hao He; Jun Yang; Philip S Yu; Jeffrey Xu Yu,Graph reachability is fundamental to a wide range of applications; including XML indexing;geographic navigation; Internet routing; ontology queries based on RDF/OWL; etc. Manyapplications involve huge graphs and require fast answering of reachability queries. Severalreachability labeling methods have been proposed for this purpose. They assign labels tothe vertices; such that the reachability between any two vertices may be decided using theirlabels only. For sparse graphs; 2-hop based reachability labeling schemes answerreachability queries efficiently using relatively small label space. However; the labelingprocess itself is often too time consuming to be practical for large graphs. In this paper; wepropose a novel labeling scheme for sparse graphs. Our scheme ensures that graphreachability queries can be answered in constant time. Furthermore; for sparse graphs …,Data Engineering; 2006. ICDE'06. Proceedings of the 22nd International Conference on,2006,235
Taming verification hardness: an efficient algorithm for testing subgraph isomorphism,Haichuan Shang; Ying Zhang; Xuemin Lin; Jeffrey Xu Yu,Abstract Graphs are widely used to model complicated data semantics in many applications.In this paper; we aim to develop efficient techniques to retrieve graphs; containing a givenquery graph; from a large set of graphs. Considering the problem of testing subgraphisomorphism is generally NP-hard; most of the existing techniques are based on theframework of filtering-and-verification to reduce the precise computation costs; consequentlyvarious novel feature-based indexes have been developed. While the existing techniqueswork well for small query graphs; the verification phase becomes a bottleneck when thequery graph size increases. Motivated by this; in the paper we firstly propose a novel andefficient algorithm for testing subgraph isomorphism; QuickSI. Secondly; we develop a newfeature-based index technique to accommodate QuickSI in the filtering phase. Our …,Proceedings of the VLDB Endowment,2008,232
Graph indexing: tree+ delta<= graph,Peixiang Zhao; Jeffrey Xu Yu; Philip S Yu,Abstract Recent scientific and technological advances have witnessed an abundance ofstructural patterns modeled as graphs. As a result; it is of special interest to process graphcontainment queries effectively on large graph databases. Given a graph database G; and aquery raph q; the graph containment query is to retrieve all graphs in G which contain q assubgraph (s). Due to the vast number of graphs in G and the nature of complexity forsubgraph isomorphism testing; it is desirable to make use of high-quality graph indexingmechanisms to reduce the overall query processing cost. In this paper; we propose a newcost-effective graph indexing method based on frequent tree-features of the graph database.We analyze the effectiveness and efficiency of tree as indexing feature from three criticalaspects: feature size; feature selection cost; and pruning power. In order to achieve better …,Proceedings of the 33rd international conference on Very large data bases,2007,231
