Doping Strategies for Monolayer MoS2 via Surface Adsorption: A Systematic Study,Priyank Rastogi; Sanjay Kumar; Somnath Bhowmick; Amit Agarwal; Yogesh Singh Chauhan,Using density functional theory calculations; we have systematically explored the effect ofsurface adsorption of different atoms on the electronic properties of monolayer molybdenumdisulfide (MoS2). We have chosen a few representative members from each group in theperiodic table; ranging from alkali metals (group I) to halogens (group VII); and calculatedthe electronic band structure of the adatom–MoS2 system for the most energetically stablelocation of the adatom adsorbed on MoS2. The calculated value of charge transfer from theadsorbed adatom to MoS2 and resultant shifting of the Fermi level to the conduction bandsuggest that the group I (Li; Na; K) and group II metals (Mg; Ca) are the most effectiveadatoms to enhance the n-type mobile carrier density in MoS2. Our calculation is in goodagreement with the experimental observation for K [Nano Lett. 2013; 13; 1991].,J. Phys. Chem. C,2014,44
Equation of motion approach to non-adiabatic quantum charge pumping,Amit Agarwal; Diptiman Sen,Abstract We use the equations of motion of non-interacting electrons in a one-dimensionalsystem to numerically study different aspects of charge pumping. We study the effects of thepumping frequency; amplitude; band filling and finite bias on the charge pumped per cycle;and the Fourier transforms of the charge and energy currents in the leads. Our method worksfor all values of parameters; and gives the complete time dependences of the current andcharge at any site of the system. Our results agree with Floquet and adiabatic scatteringtheory where these are applicable; and provides support for a mechanism proposedelsewhere for charge pumping by a travelling potential wave. For non-adiabatic and strongpumping; the charge and energy currents are found to have a marked asymmetry betweenthe two leads; and pumping can work even against a substantial bias.,Journal of Physics: Condensed Matter,2007,36
Electric field induced gap modification in ultrathin blue phosphorous,Barun Ghosh; Suhas Nahas; Somnath Bhowmick; Amit Agarwal,Abstract We investigate the possibility of band structure engineering in the recently predicted2D layered form of blue phosphorus via an electric field (E z) applied perpendicular to thelayer (s). Using density functional theory; we study the effect of a transverse electric field inmonolayer as well as three differently stacked bilayer structures of blue phosphorus. We findthat for E z> 0.2 V/Å the direct energy gap at the Γ point; which is much larger than thedefault indirect band gap of mono-and bilayer blue phosphorus; decreases linearly with theincreasing electric field; becomes comparable to the default indirect band gap at E z≈ 0.45(0.35) V/Å for monolayer (bilayers); and decreases further until the semiconductor to metaltransition of 2D blue phosphorus takes place at E z≈ 0.7 (0.5) V/Å for monolayer (bilayers).Calculated values of the electron and hole effective masses along various high symmetry …,Phys. Rev. B,2014,34
Plasmon mass and Drude weight in strongly spin-orbit-coupled two-dimensional electron gases,Amit Agarwal; Stefano Chesi; T Jungwirth; Jairo Sinova; Giovanni Vignale; Marco Polini,Abstract Spin-orbit-coupled two-dimensional electron gases (2DEGs) are a textbookexample of helical Fermi liquids; ie; quantum liquids in which spin (or pseudospin) andmomentum degrees of freedom at the Fermi surface have a well-defined correlation. Herewe study the long-wavelength plasmon dispersion and the Drude weight of archetypical spin-orbit-coupled 2DEGs. We first show that these measurable quantities are sensitive toelectron-electron interactions due to broken Galilean invariance and then discuss in detailwhy the popular random phase approximation is not capable of describing the collectivedynamics of these systems even at very long wavelengths. This work is focused onpresenting approximate microscopic calculations of these quantities based on the minimaltheoretical scheme that captures the basic physics correctly; ie; the time-dependent …,Physical Review B,2011,34
Nonadiabatic charge pumping in a one-dimensional system of noninteracting electrons by an oscillating potential,Amit Agarwal; Diptiman Sen,Abstract Using a tight-binding model; we study one-parameter charge pumping in a one-dimensional system of noninteracting electrons. An oscillating potential is applied at onesite; while a static potential is applied in a different region. Using Floquet scattering theory;we calculate the current up to second order in the oscillation amplitude and exactly in theoscillation frequency. For low frequency; the charge pumped per cycle is proportional to thefrequency and; therefore; vanishes in the adiabatic limit. If the static potential has a boundstate; we find that such a state has a significant effect on the pumped charge if the oscillatingpotential can excite the bound state into the continuum states or vice versa. Finally; we usethe equation of motion for the density matrix to numerically compute the pumped current forany value of the amplitude and frequency. The numerical results confirm the unusual …,Physical Review B,2007,29
Charge transport in a Tomonaga-Luttinger liquid: Effects of pumping and bias,Amit Agarwal; Diptiman Sen,Abstract We study the current produced in a Tomonaga-Luttinger liquid by an applied biasand by weak; pointlike impurity potentials which are oscillating in time. We use bosonizationto perturbatively calculate the current up to second order in the impurity potentials. In theregime of small bias and low pumping frequency; both the dc and ac components of thecurrent have power-law dependences on the bias and pumping frequencies with anexponent 2 K− 1 for spinless electrons; where K is the interaction parameter. For K< 1∕ 2;the current grows large for special values of the bias. For noninteracting electrons with K= 1;our results agree with those obtained using Floquet scattering theory for Dirac fermions. Wealso discuss the cases of extended impurities and of spin-1∕ 2 electrons.,Physical Review B,2007,29
Finite time interaction quench in a Luttinger Liquid,Rashi Sachdeva; Tanay Nag; Amit Agarwal; Amit Dutta,Abstract We analyze the dynamics of a Luttinger model following a quench in the electron-electron interaction strength; where the change in the interaction strength occurs over a finitetime scale τ. We study the Loschmidt echo (the overlap between the initial and final state) asa function of time; both numerically and within a perturbation scheme; treating the change inthe interaction strength as a small parameter; for all τ. We derive the corrections appearingin (a) the Loschmidt echo for a finite quench duration τ;(b) the scaling of the echo following asudden (τ→ 0) quench; and (c) the scaling of the echo after an adiabatic (τ→∞) quench. Westudy in detail the limiting cases of the echo in the early-time and infinite-time limits; andprovide scaling arguments to understand these in a general context. We also show that ourperturbative results are in good agreement with the exact numerical ones.,Phys. Rev. B,2014,25
Enhancement of tunneling density of states at a junction of three Luttinger liquid wires,Amit Agarwal; Sourin Das; Sumathi Rao; Diptiman Sen,Abstract We study the tunneling density of states (TDOS) for a junction of three Tomonaga-Luttinger liquid wires. We show that there are fixed points which allow for the enhancementof the TDOS; which is unusual for Luttinger liquids. The distance from the junction overwhich this enhancement occurs is of the order of x= v/(2 ω); where v is the plasmon velocityand ω is the bias frequency. Beyond this distance; the TDOS crosses over to the standardbulk value independent of the fixed point describing the junction. This finite range ofdistances opens up the possibility of experimentally probing the enhancement in each wireindividually.,Physical review letters,2009,25
Analysis and compact modeling of negative capacitance transistor with high ON-current and negative output differential resistance—Part II: Model validation,Girish Pahwa; Tapas Dutta; Amit Agarwal; Sourabh Khandelwal; Sayeef Salahuddin; Chenming Hu; Yogesh Singh Chauhan,In this paper; we show a validation of our compact model for negative capacitance FET(NCFET) presented in Part I. The model is thoroughly validated with the TCAD simulationswith respect to ferroelectric thickness scaling and temperature effects. Interestingly; we findthat an NCFET with PZT ferroelectric of a large thickness provides a negative outputdifferential resistance in addition to an expected high ON current and a sub-60 mV/decadesubthreshold swing. The model is also tested for the Gummel symmetry and its transientcapabilities are highlighted through a ring oscillator circuit simulation.,IEEE transactions on electron devices,2016,20
Thickness and electric-field-dependent polarizability and dielectric constant in phosphorene,Piyush Kumar; BS Bhadoria; Sanjay Kumar; Somnath Bhowmick; Yogesh Singh Chauhan; Amit Agarwal,Abstract Based on extensive first-principles calculations; we explore the thickness-dependent effective dielectric constant and slab polarizability of few-layer blackphosphorene. We find that the dielectric constant in ultrathin phosphorene is thickness-dependent and it can be further tuned by applying an out-of-plane electric field. Thedecreasing dielectric constant with reducing number of layers of phosphorene is a directconsequence of the lower permittivity of the outer layers and the increasing surface-to-volume ratio. We also show that the slab polarizability depends linearly on the number oflayers; implying a nearly constant polarizability per phosphorus atom. Our calculation of thethickness-and electric-field-dependent dielectric properties will be useful for designing andinterpreting transport experiments in gated phosphorene devices; wherever electrostatic …,Physical Review B,2016,20
Long-lived spin plasmons in a spin-polarized two-dimensional electron gas,Amit Agarwal; Marco Polini; Giovanni Vignale; Michael E Flatte,Abstract Collective charge-density modes (plasmons) of the clean two-dimensionalunpolarized electron gas are stable; for momentum conservation prevents them fromdecaying into single-particle excitations. Collective spin-density modes (spin plasmons)possess no similar protection and rapidly decay by production of electron-hole pairs.Nevertheless; if the electron gas has a sufficiently high degree of spin polarization (P> 1/7;where P is the ratio of the equilibrium spin density and the total electron density; for aparabolic single-particle spectrum) we find that a long-lived spin plasmon—a collectivemode in which the densities of up and down spins oscillate with opposite phases—can existwithin a “pseudogap” of the single-particle excitation spectrum. The ensuing collectivizationof the spin excitation spectrum is quite remarkable and should be directly visible in …,Phys. Rev. B,2014,20
