Self-trapping of partially spatially incoherent light,Matthew Mitchell; Zhigang Chen; Ming-feng Shih; Mordechai Segev,Optical spatial solitons have been extensively studied during the last three decades[1]. Self-trappingof optical beams occurs when diffraction is exactly balanced by self- focusing due to an opticalnonlinearity [2]. Self-focusing was first studied in gases [3]; fluids [4]; and solids [5] which possessKerr-like nonlinearities. It has been found that self-trapping of a two dimensional beam in Kerrme- dia is unstable; which leads to catastrophic self-focusing [6] and eventually to beambreakup. Furthermore; even self-trapping of a one dimensional beam in a bulk Kerr mediumis unstable: It suffers from transverse instabil- ities that lead to beam breakup and filamentation[7]. Thus only self-trapping of a one dimensional beam in a slab waveguide is stable in a Kerrmedium [5]. Theoret- ical studies have shown that saturable Kerr media should be able to supportstable self-trapping of a two dimen- sional beam [8]. The first … FIG.2. Photographs of …,Physical review letters,1996,489
Observation of discrete vortex solitons in optically induced photonic lattices,Dragomir N Neshev; Tristram J Alexander; Elena A Ostrovskaya; Yuri S Kivshar; Hector Martin; Igor Makasyuk; Zhigang Chen,Abstract We report on the first experimental observation of discrete vortex solitons in two-dimensional optically induced photonic lattices. We demonstrate strong stabilization of anoptical vortex by the lattice in a self-focusing nonlinear medium and study the generation ofthe discrete vortices from a broad class of singular beams.,Physical review letters,2004,464
Discrete solitons and soliton-induced dislocations in partially coherent photonic lattices,Hector Martin; Eugenia D Eugenieva; Zhigang Chen; Demetrios N Christodoulides,Abstract We investigate both experimentally and theoretically the interaction between a lightbeam and a photonic lattice optically induced with partially coherent light. We demonstrate aclear transition from two-dimensional discrete diffraction to discrete solitons in such apartially coherent lattice and show that the nonlinear interaction process is associated with ahost of new phenomena including lattice dislocation; lattice deformation; and creation ofstructures akin to optical polarons.,Physical review letters,2004,289
Optical spatial solitons: historical overview and recent advances,Zhigang Chen; Mordechai Segev; Demetrios N Christodoulides,Abstract Solitons; nonlinear self-trapped wavepackets; have been extensively studied inmany and diverse branches of physics such as optics; plasmas; condensed matter physics;fluid mechanics; particle physics and even astrophysics. Interestingly; over the past twodecades; the field of solitons and related nonlinear phenomena has been substantiallyadvanced and enriched by research and discoveries in nonlinear optics. While opticalsolitons have been vigorously investigated in both spatial and temporal domains; it is nowfair to say that much soliton research has been mainly driven by the work on optical spatialsolitons. This is partly due to the fact that although temporal solitons as realized in fiber opticsystems are fundamentally one-dimensional entities; the high dimensionality associatedwith their spatial counterparts has opened up altogether new scientific possibilities in …,*,2012,261
Trapping and guiding microparticles with morphing autofocusing Airy beams,Peng Zhang; Jai Prakash; Ze Zhang; Matthew S Mills; Nikolaos K Efremidis; Demetrios N Christodoulides; Zhigang Chen,We observe optical trapping and manipulation of dielectric microparticles using autofocusingradially symmetric Airy beams. This is accomplished by exploiting either the inward oroutward transverse acceleration associated with their chirped wavefronts. Weexperimentally demonstrate; for the first time to our knowledge; that such Airy beams morphinto nondiffracting Bessel beams in their far-field. Furthermore; the ability of guiding andtransporting microparticles along the primary rings of this class of beams is explored.,Optics letters,2011,257
Observation of incoherently coupled photorefractive spatial soliton pairs,Zhigang Chen; Mordechai Segev; Tamer H Coskun; Demetrios N Christodoulides,Page 1. 1436 OPTICS LETTERS / Vol. 21; No. 18 / September 15; 1996 Observation ofincoherently coupled photorefractive spatial soliton pairs Zhigang Chen and Mordechai SegevDepartment of Electrical Engineering and Center for Photonics and Optoelectronic Materials;Princeton University; Princeton; New Jersey 08544 Tamer H. Coskun and Demetrios N.Christodoulides Department of Electrical Engineering and Computer Science; Lehigh University;Bethlehem; Pennsylvania 18015 Received April 5; 1996 We report what is to our knowledgethe first observation of incoherently coupled photorefractive spatial soliton pairs. © 1996 OpticalSociety of America There has been a growth of interest in optical spa- tial solitons since thefirst observation of self-trapping of light. Recently a new type of soliton; the photore- fractivespatial soliton;1–3 was predicted and success- fully observed …,Optics letters,1996,220
Self-trapping of dark incoherent light beams,Zhigang Chen; Matthew Mitchell; Mordechai Segev; Tamer H Coskun; Demetrios N Christodoulides,“Dark beams” are nonuniform optical beams that contain either a one-dimensional (1D) darkstripe or a two-dimensional (2D) dark hole resulting from a phase singularity or an amplitudedepression in their optical field. Thus far; self-trapped dark beams (dark solitons) have beenobserved using coherent light only. Here; self-trapped dark incoherent light beams (self-trapped dark incoherent wavepackets) were observed. Both dark stripes and dark holesnested in a broad partially spatially incoherent wavefront were self-trapped to form darksolitons in a host photorefractive medium. These self-trapped 1D and 2D dark beamsinduced refractive-index changes akin to planar and circular dielectric waveguides. Theexperiments introduce the possibility of controlling high-power coherent laser beams withlow-power incoherent light sources such as light emitting diodes.,Science,1998,217
Coupled photorefractive spatial-soliton pairs,Zhigang Chen; Mordechai Segev; Tamer H Coskun; Demetrios N Christodoulides; Yuri S Kivshar,We provide a comprehensive experimental and theoretical study of incoherently coupledphotorefractive spatial-soliton pairs in all three possible realizations: bright–bright; dark–dark; and dark–bright. We also show that when the total intensity of two coupled solitons ismuch lower than the effective dark irradiance; the coupled soliton pair is reduced toManakov solitons. In all cases; mutual trapping of both components in the coupled solitonpair is verified by analyzing; experimentally and numerically; the beam evolution afterdecoupling.,JOSA B,1997,192
Nonparaxial Mathieu and Weber accelerating beams,Peng Zhang; Yi Hu; Tongcang Li; Drake Cannan; Xiaobo Yin; Roberto Morandotti; Zhigang Chen; Xiang Zhang,Abstract We demonstrate both theoretically and experimentally nonparaxial Mathieu andWeber accelerating beams; generalizing the concept of previously found acceleratingbeams. We show that such beams bend into large angles along circular; elliptical; orparabolic trajectories but still retain nondiffracting and self-healing capabilities. The circularnonparaxial accelerating beams can be considered as a special case of the Mathieuaccelerating beams; while an Airy beam is only a special case of the Weber beams at theparaxial limit. Not only do generalized nonparaxial accelerating beams open up manypossibilities of beam engineering for applications; but the fundamental concept developedhere can be applied to other linear wave systems in nature; ranging from electromagneticand elastic waves to matter waves.,Physical review letters,2012,183
Plasmonic Airy beams with dynamically controlled trajectories,Peng Zhang; Sheng Wang; Yongmin Liu; Xiaobo Yin; Changgui Lu; Zhigang Chen; Xiang Zhang,We report the experimental generation and dynamic trajectory control of plasmonic Airybeams (PABs). The PABs are created by directly coupling free-space Airy beams to surfaceplasmon polaritons through a grating coupler on a metal surface. We show that the ballisticmotion of the PABs can be reconfigured in real time by either a computer addressed spatiallight modulator or mechanical means.,Optics letters,2011,172
Observation of two-dimensional surface solitons,Xiaosheng Wang; Anna Bezryadina; Zhigang Chen; KG Makris; DN Christodoulides; GI Stegeman,Abstract We report the first experimental observation of two-dimensional surface solitons atthe boundaries (edges or corners) of a finite optically induced photonic lattice. Both in-phaseand gap nonlinear surface self-trapped states were observed under single-site excitationconditions. Our experimental results are in good agreement with theoretical predictions.,Physical review letters,2007,172
Self-trapping of an optical vortex by use of the bulk photovoltaic effect,Zhigang Chen; Mordechai Segev; Daniel W Wilson; Richard E Muller; Paul D Maker,Abstract We report the first observation of self-trapping of an optical vortex due to the bulkphotovoltaic effect. A singly charged vortex nested on a broad cw laser beam is trapped inboth transverse dimensions in a lithium niobate crystal. Although the optically inducedphotovoltaic current is inherently polar; the space charge field gives rise to two-dimensionalself-defocusing effects. We observe both circular and elliptical self-trapped vortices; as wellas beam deformation due to modulation instability.,Physical review letters,1997,165
