Towards sensor database systems,Philippe Bonnet; Johannes Gehrke; Praveen Seshadri,Abstract Sensor networks are being widely deployed for measurement; detection andsurveillance applications. In these new applications; users issue long-running queries overa combination of stored data and sensor data. Most existing applications rely on acentralized system for collecting sensor data. These systems lack flexibility because data isextracted in a predefined way; also; they do not scale to a large number of devices becauselarge volumes of raw data are transferred regardless of the queries that are submitted. In ournew concept of sensor database system; queries dictate which data is extracted from thesensors. In this paper; we define the concept of sensor databases mixing stored datarepresented as relations and sensor data represented as time series. Each long-runningquery formulated over a sensor database defines a persistent view; which is maintained …,International Conference on Mobile Data Management,2001,1079
Querying the physical world,Philippe Bonnet; Johannes Gehrke; Praveen Seshadri,In the next decade; millions of sensors and small-scale mobile devices will integrateprocessors; memory; and communication capabilities. Networks of devices will be widelydeployed for monitoring applications. In these new applications; users need to query verylarge collections of devices in an ad hoc manner. Most existing systems rely on a centralizedsystem for collecting device data. These systems lack flexibility because data is extracted ina predefined way. Also; they do not scale to a large number of devices because largevolumes of raw data are transferred. In our new concept of a device database system;distributed query execution techniques are applied to leverage the computing capabilities ofdevices; and to reduce communication. We define an abstraction that allows us to representa device network as a database and we describe how distributed query processing …,IEEE personal Communications,2000,650
Database tuning: principles; experiments; and troubleshooting techniques,Dennis Shasha; Philippe Bonnet,Tuning your database for optimal performance means more than following a few short stepsin a vendor-specific guide. For maximum improvement; you need a broad and deepknowledge of basic tuning principles; the ability to gather data in a systematic way; and theskill to make your system run faster. This is an art as well as a science; and DatabaseTuning: Principles; Experiments; and Troubleshooting Techniques will help you developportable skills that will allow you to tune a wide variety of database systems on a multitude ofhardware and operating systems. Further; these skills; combined with the scripts provided forvalidating results; are exactly what you need to evaluate competing database products andto choose the right one. Forward by Jim Gray; with invited chapters by Joe Celko and AlbertoLerner Includes industrial contributions by Bill McKenna (RedBrick/Informix); Hany …,*,2002,280
uFLIP: Understanding flash IO patterns,Luc Bouganim; Björn Jónsson; Philippe Bonnet,Abstract: Does the advent of flash devices constitute a radical change for secondarystorage? How should database systems adapt to this new form of secondary storage?Before we can answer these questions; we need to fully understand the performancecharacteristics of flash devices. More specifically; we want to establish what kind of IOsshould be favored (or avoided) when designing algorithms and architectures for flash-basedsystems. In this paper; we focus on flash IO patterns; that capture relevant distribution of IOsin time and space; and our goal is to quantify their performance. We define uFLIP; abenchmark for measuring the response time of flash IO patterns. We also present abenchmarking methodology which takes into account the particular characteristics of flashdevices. Finally; we present the results obtained by measuring eleven flash devices; and …,arXiv preprint arXiv:0909.1780,2009,210
Adaptive and decentralized operator placement for in-network query processing,Boris Jan Bonfils; Philippe Bonnet,Abstract In-network query processing is critical for reducing network traffic when accessingand manipulating sensor data. It requires placing a tree of query operators such as filtersand aggregations but also correlations onto sensor nodes in order to minimize the amount ofdata transmitted in the network. In this paper; we show that this problem is a variant of thetask assignment problem for which polynomial algorithms have been developed. Thesealgorithms are however centralized and cannot be used in a sensor network. We describean adaptive and decentralized algorithm that progressively refines the placement ofoperators by walking through neighbor nodes. Simulation results illustrate the potentialbenefits of our approach. They also show that our placement strategy can achieve nearoptimal placement onto various graph topologies despite the risks of local minima.,Telecommunication Systems,2004,210
Bluetooth and sensor networks: A reality check,Martin Leopold; Mads Bondo Dydensborg; Philippe Bonnet,Abstract The current generation of sensor nodes rely on commodity components. The choiceof the radio is particularly important as it impacts not only energy consumption but alsosoftware design (eg; network self-assembly; multihop routing and in-network processing).Bluetooth is one of the most popular commodity radios for wireless devices. As arepresentative of the frequency hopping spread spectrum radios; it is a natural alternative tobroadcast radios in the context of sensor networks. The question is whether Bluetooth canbe a viable alternative in practice. In this paper; we report our experience using Bluetooth forthe sensor network regime. We describe our tiny Bluetooth stack that allows TinyOSapplications to run on Bluetooth-based sensor nodes; we present a multihop networkassembly procedure that leverages Bluetooth's device discovery protocol; and we discuss …,Proceedings of the 1st international conference on Embedded networked sensor systems,2003,160
Smart-tag based data dissemination,Allan Beaufour; Martin Leopold; Philippe Bonnet,Abstract Monitoring wide; hostile areas requires disseminating data between fixed;disconnected clusters of sensor nodes. It is not always possible to install long-range radiosin order to cover the whole area. We propose to leverage the movement of mobileindividuals; equipped with smart-tags; to disseminate data across disconnected static nodesspread across a wide area. Static nodes and mobile smart-tags exchange data when theyare in the vicinity of each other; smart-tags disseminate data as they move around. In thispaper; we propose an algorithm for update propagation and a model for smart-tag baseddata dissemination. We use simulation to study the characteristics of the model we propose.Finally; we present an implementation based on Bluetooth smart-tags.,Proceedings of the 1st ACM international workshop on Wireless sensor networks and applications,2002,151
GADT: A probability space ADT for representing and querying the physical world,Anton Faradjian; Johannes Gehrke; P Bonnett,Large sensor networks are being widely deployed for measurement; detection andmonitoring applications. Many of these applications involve database systems to store andprocess data from the physical world. This data has inherent measurement uncertainties thatare properly represented by continuous probability distribution functions (PDFs). Weintroduce a new object-relational abstract data type (ADT)-the Gaussian ADT (GADT)-thatmodels physical data as Gaussian PDFs; and we show that existing index structures can beused as fast access methods for GADT data. We also present a measurement-theoreticmodel of probabilistic data and evaluate GADT in its light.,Data Engineering; 2002. Proceedings. 18th International Conference on,2002,103
Database tuning: a principled approach,Dennis E Shasha,*,*,1992,90
The distributed information search component (Disco) and the World Wide Web,Anthony Tomasic; Remy Amouroux; Philippe Bonnet; Olga Kapitskaia; Hubert Naacke; Louiqa Raschid,Abstract The Distributed Information Search COmponent (DISCO) is a prototypeheterogeneous distributed database that accesses underlying data sources. The DISCOprototype currently focuses on three central research problems in the context of thesesystems. First; since the capabilities of each data source is different; transforming queriesinto subqueries on data source is difficult. We call this problem the weak data sourceproblem. Second; since each data source performs operations in a generally unique way;the cost for performing an operation may vary radically from one wrapper to another. We callthis problem the radical cost problem. Finally; existing systems behave rudely whenattempting to access an unavailable data source. We call this problem the ungraceful failureproblem. DISCO copes with these problems. For the weak data source problem; the …,ACM SIGMOD Record,1997,88
Linux block IO: introducing multi-queue SSD access on multi-core systems,Matias Bjørling; Jens Axboe; David Nellans; Philippe Bonnet,Abstract The IO performance of storage devices has accelerated from hundreds of IOPS fiveyears ago; to hundreds of thousands of IOPS today; and tens of millions of IOPS projected infive years. This sharp evolution is primarily due to the introduction of NAND-flash devicesand their data parallel design. In this work; we demonstrate that the block layer within theoperating system; originally designed to handle thousands of IOPS; has become abottleneck to overall storage system performance; specially on the high NUMA-factorprocessors systems that are becoming commonplace. We describe the design of a nextgeneration block layer that is capable of handling tens of millions of IOPS on a multi-coresystem equipped with a single storage device. Our experiments show that our design scalesgraciously with the number of cores; even on NUMA systems with multiple sockets.,Proceedings of the 6th international systems and storage conference,2013,78
Computational reproducibility: state-of-the-art; challenges; and database research opportunities,Juliana Freire; Philippe Bonnet; Dennis Shasha,Abstract Computational experiments have become an integral part of the scientific method;but reproducing; archiving; and querying them is still a challenge. The first barrier to a wideradoption is the fact that it is hard both for authors to derive a compendium that encapsulatesall the components needed to reproduce a result and for reviewers to verify the results. Inthis tutorial; we will present a series of guidelines and; through hands-on examples; reviewexisting tools to help authors create of reproducible results. We will also outline openproblems and new directions for database-related research having to do with queryingcomputational experiments.,Proceedings of the 2012 ACM SIGMOD international conference on management of data,2012,57
Partial answers for unavailable data sources,Philippe Bonnet; Anthony Tomasic,Abstract Many heterogeneous database system products and prototypes exist today; theywill soon be deployed in a wide variety of environments. Most existing systems suffer froman Achilles' heel: they ungracefully fail in presence of unavailable data sources. If some datasources are unavailable when accessed; these systems either silently ignore them orgenerate an error. This behavior is improper in environments where there is a non-negligible probability that data sources cannot be accessed (eg; Internet). In case some datasources cannot be accessed when processing a query; the complete answer to this querycannot be computed; some work can however be done with the data sources that areavailable. In this paper; we propose a novel approach where; in presence of unavailabledata sources; the answer to a query is a partial answer. A partial answer is a …,International Conference on Flexible Query answering systems,1998,53
