Integrating classification and association rule mining,Bing Liu Wynne Hsu Yiming Ma; Bing Liu,*,Proceedings of the fourth international conference on knowledge discovery and data mining,1998,2773
Mining association rules with multiple minimum supports,Bing Liu; Wynne Hsu; Yiming Ma,Abstract Association rule mining is an important model in data mining. Its mining algorithmsdiscover all item associations (or rules) in the data that satisfy the user-specified minimumsupport (minsup) and minimum confidence (minconf) constraints. Minsup controls theminimum number of data cases that a rule must cover. Minconf controls the predictivestrength of the rule. Since only one minsup is used for the whole database; the modelimplicitly assumes that all items in the data are of the same nature and/or have similarfrequencies in the data. This is; however; seldom the case in reallife applications. In manyapplications; some items appear very frequently in the data; while others rarely appear. Ifminsup is set too high; those rules that involve rare items will not be found. To find rules thatinvolve both frequent and rare items; minsup has to be set very low. This may cause …,Proceedings of the fifth ACM SIGKDD international conference on Knowledge discovery and data mining,1999,837
Pruning and summarizing the discovered associations,Bing Liu; Wynne Hsu; Yiming Ma,Abstract Association rules are a fundamental class of patterns that exist in data. The keystrength of association rule mining is its completeness. It finds all associations in the datathat satisfy the user specified minimum support and minimum confidence constraints. Thisstrength; however; comes with a major drawback. It often produces a huge number ofassociations. This~ is particularly true for data sets whose attributes are highly correlated.The huge number of associations makes it very difficult; if not impossible; for a human userto analyze in order to identify those interesting/useful ones. In this paper; we propose anovel technique to overcome this problem. The technique first prunes the discoveredassociations to remove those insignificant associations; and then finds a special subset ofthe unpruned associations to form a summary of the discovered associations. We call this …,Proceedings of the fifth ACM SIGKDD international conference on Knowledge discovery and data mining,1999,517
Current research in the conceptual design of mechanical products,Wynne Hsu; Irene MY Woon,Abstract Decisions made at the conceptual design stage have significant influence onfactors such as costs; performance; reliability; safety and environmental impact of a product.However; knowledge of all the design requirements and constraints during this early phaseof a product's life cycle is usually imprecise; approximate or unknown. Faced with suchcomplexity; individual designers have restricted themselves to narrow; well-defined sub-tasks and as a result; progress in this area has been patchy and spasmodic. The purpose ofthis survey is to document the current state of research and development in this crucialdesign activity and in doing so; to identify avenues of fruitful exploration. In this paper; weprovide a comparison of the advantages/disadvantages and limitations between the varioustechniques/tools and; where applicable; suggest possible future research directions.,Computer-Aided Design,1998,359
Analyzing the subjective interestingness of association rules,Bing Liu; Wynne Hsu; Shu Chen; Yiming Ma,Association rules; a class of important regularities in databases; have proven very useful inpractical applications; but association-rule-mining algorithms tend to produce huge numbersof rules; most of which are of no interest. Users have considerable difficulty manuallyanalyzing so many rules to identify the truly interesting ones. To solve that problem; we havedeveloped a new approach to help them find interesting rules (in particular; unexpectedrules) from a set of discovered association rules. This interestingness analysis system (IAS)leverages the user's existing domain knowledge to analyze discovered associations andthen rank discovered rules according to various interestingness criteria; such as conformityand various types of unexpectedness. This article describes how we have implemented thistechnique and used it successfully in a number of applications.,IEEE Intelligent Systems and their Applications,2000,311
A prime number labeling scheme for dynamic ordered XML trees,Xiaodong Wu; Mong-Li Lee; Wynne Hsu,Efficient evaluation of XML queries requires the determination of whether a relationshipexists between two elements. A number of labeling schemes have been designed to labelthe element nodes such that the relationships between nodes can be easily determined bycomparing their labels. With the increased popularity of XML on the Web; finding a labelingscheme that is able to support order-sensitive queries in the presence of dynamic updatesbecomes urgent. We propose a new labeling scheme that take advantage of the uniqueproperty of prime numbers to meet this need. The global order of the nodes can be capturedby generating simultaneous congruence values from the prime number node labels.Theoretical analysis of the label size requirements for the various labeling schemes is given.Experiment results indicate that the prime number labeling scheme is compact compared …,Data Engineering; 2004. Proceedings. 20th International Conference on,2004,301
XClust: clustering XML schemas for effective integration,Mong Li Lee; Liang Huai Yang; Wynne Hsu; Xia Yang,Abstract It is increasingly important to develop scalable integration techniques for thegrowing number of XML data sources. A practical starting point for the integration of largenumbers of Document Type Definitions (DTDs) of XML sources would be to first find clustersof DTDs that are similar in structure and semantics. Reconciling similar DTDs within such acluster will be an easier task than reconciling DTDs that are different in structure andsemantics as the latter would involve more restructuring. We introduce XClust; a novelintegration strategy that involves the clustering of DTDs. A matching algorithm based on thesemantics; immediate descendents and leaf-context similarity of DTD elements isdeveloped. Our experiments to integrate real world DTDs demonstrate the effectiveness ofthe XClust approach.,Proceedings of the eleventh international conference on Information and knowledge management,2002,297
Using General Impressions to Analyze Discovered Classification Rules.,Bing Liu; Wynne Hsu; Shu Chen,*,KDD,1997,285
An integrated color-spatial approach to content-based image retrieval,Wynne Hsu; ST Chua; HH Pung,Abstract The use of color information for image retrieval has been used widely in manycontent-based retrieval system with some success. However; histogram-based colorretrieval techniques suffer from a lack of important spatial knowledge. We discuss atechnique of integrating color information with spatial knowledge to obtain an overallimpression of the image. The technique involves three steps: the selection of a set ofrepresentative colors; the analysis of spatial information of the selected colors; and theretrieval process based on the integrated color-spatial information.,Proceedings of the third ACM international conference on Multimedia,1995,285
-Supporting Frequent Updates in R-Trees: A Bottom-Up Approach,Mong Li Lee; Wynne Hsu; Christian S Jensen; Bin Cui; Keng Lik Teo,This paper proposes a generalized bottom-up update strategy for R-trees. This strategy ismotivated by the class of monitoring applications; which are characterized by large volumesof updates; and the increasingly important role of indexing. This update strategy can easilybe applied to the members of the family of R-tree-based indexing techniques; as it preservesthe index structure and takes into account concurrency control. The strategy improves therobustness of R-trees by supporting different levels of index reorganization—ranging fromlocal to global—during updates; thus using expensive top-down updates only whennecessary. This chapter presents a compact main-memory summary structure along withefficient bottom-up algorithms that reduce the numbers of disk accesses and CPU resourcesused for update and querying. Empirical studies indicate that the new strategy …,*,2003,237
Post-analysis of learned rules,Bing Liu; Wynne Hsu,*,AAAI/IAAI; Vol. 1,1996,219
Finding interesting patterns using user expectations,Bing Liu; Wynne Hsu; Lai-Fun Mun; Hing-Yan Lee,One of the major problems in the field of knowledge discovery (or data mining) is theinterestingness problem. Past research and applications have found that; in practice; it is alltoo easy to discover a huge number of patterns in a database. Most of these patterns areactually useless or uninteresting to the user. But due to the huge number of patterns; it isdifficult for the user to comprehend them and to identify those interesting to him/her. Toprevent the user from being overwhelmed by the large number of patterns; techniques areneeded to rank them according to their interestingness. In this paper; we propose such atechnique; called the user-expectation method. In this technique; the user is first asked toprovide his/her expected patterns according to his/her past knowledge or intuitive feelings.Given these expectations; the system uses a fuzzy matching technique to match the …,IEEE Transactions on Knowledge and Data Engineering,1999,211
An effective approach to detect lesions in color retinal images,Huan Wang; Wynne Hsu; Kheng Guan Goh; Mong Li Lee,Diabetic-related eye diseases are the most common cause of blindness in the world. So farthe most effective treatment for these eye diseases is early detection through regularscreening. To lower the cost of such screenings; we employ state-of-the-art imageprocessing techniques to automatically detect the presence of abnormalities in the retinalimages obtained during the screenings. The authors focus on one of the abnormal signs: thepresence of exudates/lesions in the retinal images. We propose a novel approach thatcombines brightness adjustment procedure with statistical classification method and local-window-based verification strategy. Experimental results indicate that we are able to achieve100% accuracy in terms of identifying all the retinal images with exudates while maintaininga 70% accuracy in correctly classifying the truly normal retinal images as normal. This …,Computer Vision and Pattern Recognition; 2000. Proceedings. IEEE Conference on,2000,206
Image mining: Trends and developments,Wynne Hsu; Mong Li Lee; Ji Zhang,Abstract Advances in image acquisition and storage technology have led to tremendousgrowth in very large and detailed image databases. These images; if analyzed; can revealuseful information to the human users. Image mining deals with the extraction of implicitknowledge; image data relationship; or other patterns not explicitly stored in the images.Image mining is more than just an extension of data mining to image domain. It is aninterdisciplinary endeavor that draws upon expertise in computer vision; image processing;image retrieval; data mining; machine learning; database; and artificial intelligence. In thispaper; we will examine the research issues in image mining; current developments in imagemining; particularly; image mining frameworks; state-of-the-art techniques and systems. Wewill also identify some future research directions for image mining.,Journal of Intelligent Information Systems,2002,184
-Efficient Mining of XML Query Patterns for Caching,Liang Huai Yang; Mong Li Lee; Wynne Hsu,This chapter discusses the efficient mining of XML query patterns for caching. As XMLbecomes ubiquitous; the efficient retrieval of XML data becomes critical. Research toimprove query response time has been largely concentrated on indexing paths andoptimizing XML queries. An orthogonal approach is to discover frequent XML query patternsand cache their results to improve the performance of XML management systems. Thischapter presents an efficient algorithm called Fast X-Miner; to discover frequent XML querypatterns. This chapter develops theorems to prove that only a small subset of the generatedcandidate patterns needs to undergo expensive tree containment tests. In addition; itdemonstrates how the frequent query patterns can be used to improve caching performance.Experiment results show that Fast X-Miner is efficient and scalable; and caching the …,*,2003,139
Image mining: Issues; frameworks and techniques,Ji Zhang; Wynne Hsu; Mong Li Lee,Abstract Advances in image acquisition and storage technology have led to tremendousgrowth in significantly large and detailed image databases. These images; if analyzed; canreveal useful information to the human users. Image mining deals with the extraction ofimplicit knowledge; image data relationship; or other patterns not explicitly stored in theimages. Image mining is more than just an extension of data mining to image domain. It is aninterdisciplinary endeavor that draws upon expertise in computer vision; image processing;image retrieval; data mining; machine learning; database; and artificial intelligence. Despitethe development of many applications and algorithms in the individual research fields citedabove; research in image mining is still in its infancy. In this paper; we will examine theresearch issues in image mining; current developments in image mining; particularly …,Proceedings of the Second International Conference on Multimedia Data Mining,2001,137
Conceptual design: issues and challenges,Wynne Hsu; Bing Liu,*,*,2000,135
Quantitative assessment of early diabetic retinopathy using fractal analysis,Ning Cheung; Kim C Donaghue; Gerald Liew; Sophie L Rogers; Jie Jin Wang; Shueh-Wen Lim; Alicia J Jenkins; Wynne Hsu; Mong Li Lee; Tien Y Wong,OBJECTIVE—Fractal analysis can quantify the geometric complexity of the retinal vascularbranching pattern and may therefore offer a new method to quantify early diabeticmicrovascular damage. In this study; we examined the relationship between retinal fractaldimension and retinopathy in young individuals with type 1 diabetes. RESEARCH DESIGNAND METHODS—We conducted a cross-sectional study of 729 patients with type 1 diabetes(aged 12–20 years) who had seven-field stereoscopic retinal photographs taken of botheyes. From these photographs; retinopathy was graded according to the modified AirlieHouse classification; and fractal dimension was quantified using a computer-based programfollowing a standardized protocol. RESULTS—In this study; 137 patients (18.8%) haddiabetic retinopathy signs; of these; 105 had mild retinopathy. Median (interquartile range …,Diabetes care,2009,133
The role of domain knowledge in the detection of retinal hard exudates,Wynne Hsu; PMDS Pallawala; Mong Li Lee; Kah-Guan Au Eong,Diabetic retinopathy is a major cause of blindness in the world. Regular screening andtimely intervention can halt or reverse the progression of this disease. Digital retinal imagingtechnologies have become an integral part of eye screening programs worldwide due totheir greater accuracy and repeatability in staging diabetic retinopathy. These screeningprograms produce an enormous number of retinal images since diabetic patients typicallyhave both their eyes examined at least once a year. Automated detection of retinal lesionscan reduce the workload and increase the efficiency of doctors and other eye-carepersonnel reading the retinal images and facilitate the follow-up management of diabeticpatients. Existing techniques to detect retinal lesions are neither adaptable nor sufficientlysensitive and specific for real-life screening application. In this paper; we demonstrate the …,Computer Vision and Pattern Recognition; 2001. CVPR 2001. Proceedings of the 2001 IEEE Computer Society Conference on,2001,118
