Niclosamide inhibits androgen receptor variants expression and overcomes enzalutamide resistance in castration-resistant prostate cancer,Chengfei Liu; Wei Lou; Yezi Zhu; Nagalakshmi Nadiminty; Chad T Schwartz; Christopher P Evans; Allen C Gao,Purpose: Enzalutamide; a second-generation antiandrogen; was recently approved for thetreatment of castration-resistant prostate cancer (CRPC) in patients who no longer respondto docetaxel. Despite these advances that provide temporary respite; resistance toenzalutamide occurs frequently. Androgen receptor (AR) splice variants such as AR-V7have recently been shown to drive castration-resistant growth and resistance toenzalutamide. This study was designed to identify inhibitors of AR variants and test its abilityto overcome resistance to enzalutamide. Experimental Design: The drug screening wasconducted using luciferase activity assay to determine the activity of AR-V7 after treatmentwith the compounds in the Prestwick Chemical Library; which contains about 1;120 FDA-approved drugs. The effects of the identified inhibitors on AR-V7 activity and …,Clinical cancer research,2014,119
NF-κB2/p52 induces resistance to enzalutamide in prostate cancer: role of androgen receptor and its variants,Nagalakshmi Nadiminty; Ramakumar Tummala; Chengfei Liu; Joy Yang; Wei Lou; Christopher P Evans; Allen C Gao,Resistance of prostate cancer cells to the next-generation antiandrogen enzalutamide maybe mediated by a multitude of survival signaling pathways. In this study; we tested whetherincreased expression of NF-κB2/p52 induces prostate cancer cell resistance toenzalutamide and whether this response is mediated by aberrant androgen receptor (AR)activation and AR splice variant production. LNCaP cells stably expressing NF-κB2/p52exhibited higher survival rates than controls when treated with enzalutamide. C4-2B andCWR22Rv1 cells chronically treated with enzalutamide were found to express higher levelsof NF-κB2/p52. Downregulation of NF-κB2/p52 in CWR22Rv1 cells chronically treated withenzalutamide rendered them more sensitive to cell growth inhibition by enzalutamide.Analysis of the expression levels of AR splice variants by quantitative reverse …,Molecular cancer therapeutics,2013,101
Intracrine androgens and AKR1C3 activation confer resistance to enzalutamide in prostate cancer,Chengfei Liu; Wei Lou; Yezi Zhu; Joy C Yang; Nagalakshmi Nadiminty; Nilesh W Gaikwad; Christopher P Evans; Allen C Gao,The introduction of enzalutamide and abiraterone has led to improvement in the treatment ofmetastatic castration-resistant prostate cancer. However; acquired resistance toenzalutamide and abiraterone therapies frequently develops within a short period in manypatients. In the present study; we developed enzalutamide-resistant prostate cancer cells inan effort to understand the mechanisms of resistance. Global gene-expression analysisshowed that the steroid biosynthesis pathway is activated in enzalutamide-resistant prostatecancer cells. One of the crucial steroidogenic enzymes; AKR1C3; was significantly elevatedin enzalutamide-resistant cells. In addition; AKR1C3 is highly expressed in metastatic andrecurrent prostate cancer and in enzalutamide-resistant prostate xenograft tumors. LC/MSanalysis of the steroid metabolites revealed that androgen precursors such as cholesterol …,Cancer research,2015,63
Functional p53 determines docetaxel sensitivity in prostate cancer cells,Chengfei Liu; Yezi Zhu; Wei Lou; Nagalakshmi Nadiminty; Xinbin Chen; Qinghua Zhou; Xu Bao Shi; Ralph W deVere White; Allen C Gao,BACKGROUND Docetaxel is the first line treatment for castration resistant prostate cancer(CRPC). However; docetaxel resistance rapidly develops. Identifying the criticalmechanisms giving rise to docetaxel resistance is the major challenge in advanced prostatecancer. METHODS The effects of docetaxel on human DU145; PC3; LNCaP; and C4-2prostate cancer cells were examined in cell culture; and p53 expression were analyzed byWestern blot analysis. The potential role of p53 in docetaxel sensitivity in prostate cancercells was tested by either p53 silencing using shRNA or p53 overexpression by introducingwild-type p53. RESULTS We found that DU145 (mutant p53) and PC3 (p53 null) cells wereless sensitive than LNCaP and C4-2 cells expressing functional p53 in response todocetaxel. Docetaxel treatment induces considerably higher apoptosis in LNCaP and C4 …,The Prostate,2013,62
Functional p53 determines docetaxel sensitivity in prostate cancer cells,Chengfei Liu; Yezi Zhu; Wei Lou; Nagalakshmi Nadiminty; Xinbin Chen; Qinghua Zhou; Xu Bao Shi; Ralph W deVere White; Allen C Gao,BACKGROUND Docetaxel is the first line treatment for castration resistant prostate cancer(CRPC). However; docetaxel resistance rapidly develops. Identifying the criticalmechanisms giving rise to docetaxel resistance is the major challenge in advanced prostatecancer. METHODS The effects of docetaxel on human DU145; PC3; LNCaP; and C4-2prostate cancer cells were examined in cell culture; and p53 expression were analyzed byWestern blot analysis. The potential role of p53 in docetaxel sensitivity in prostate cancercells was tested by either p53 silencing using shRNA or p53 overexpression by introducingwild-type p53. RESULTS We found that DU145 (mutant p53) and PC3 (p53 null) cells wereless sensitive than LNCaP and C4-2 cells expressing functional p53 in response todocetaxel. Docetaxel treatment induces considerably higher apoptosis in LNCaP and C4 …,The Prostate,2013,62
Andrographolide; an herbal medicine; inhibits interleukin-6 expression and suppresses prostate cancer cell growth,Jae Yeon Chun; Ramakumar Tummala; Nagalakshmi Nadiminty; Wei Lou; Chengfei Liu; Joy Yang; Christopher P Evans; Qinghua Zhou; Allen C Gao,Elevated interleukin-6 (IL-6); a major mediator of the inflammatory response; has beenimplicated in androgen receptor (AR) activation; cellular growth and differentiation; playsimportant roles in the development and progression of prostate cancer; and is a potentialtarget in cancer therapy. Through drug screening using human prostate cancer cellsexpressing IL-6 autocrine loop; we found that andrographolide; a diterpenoid lactoneisolated from a traditional Chinese and Indian medicinal plant Andrographis paniculata;could inhibit IL-6 expression and suppress IL-6–mediated signals. Andrographolide inhibitsIL-6 expression at both mRNA and protein levels in a dose-dependent manner.Andrographolide suppresses both IL-6 autocrine loop–and paracrine loop–induced cellsignaling including Stat3 and Erk phosphorylation. Furthermore; andrographolide inhibits …,Genes & cancer,2010,60
Inhibition of Stat3 activation by sanguinarine suppresses prostate cancer cell growth and invasion,Meng Sun; Chengfei Liu; Nagalakshmi Nadiminty; Wei Lou; Yezi Zhu; Joy Yang; Christopher P Evans; Qinghua Zhou; Allen C Gao,BACKGROUND Signal transducer and activator of transcription 3 (Stat3) is an oncogenictranscriptional factor that plays a critical role in carcinogenesis and cancer progression andis a potential therapeutic target. Sanguinarine; a benzophenanthridine alkaloid derivedprimarily from the bloodroot plant; was identified previously as a novel inhibitor of survivinthat selectively kills prostate cancer cells over “normal” prostate epithelial cells. METHODSDU145; C4-2B; and LNCaP cells were treated with sanguinarine. The phosphorylationstatus of Stat3 and related proteins were measured with Western blots. Activation oftranscription by Stat3 was measured with luciferase reporter assay. The effect ofsanguinarine on anchorage-independent growth was examined with soft agar assay; and oncell migration and invasion of DU145 cells were measured with scratch assay and …,The Prostate,2012,58
Inhibition of ABCB1 expression overcomes acquired docetaxel resistance in prostate cancer,Yezi Zhu; Chengfei Liu; Nagalakshmi Nadiminty; Wei Lou; Ramakumar Tummala; Christopher P Evans; Allen C Gao,Docetaxel is the first-line standard treatment for castration-resistant prostate cancer.However; relapse eventually occurs due to the development of resistance to docetaxel. Tounravel the mechanism of acquired docetaxel resistance; we established docetaxel-resistantprostate cancer cells; TaxR; from castration-resistant C4-2B prostate cancer cells. The IC 50for docetaxel in TaxR cells was about 70-fold higher than parental C4-2B cells. Global geneexpression analysis revealed alteration of expression of a total of 1;604 genes; with 52%being upregulated and 48% downregulated. ABCB1; which belongs to the ATP-bindingcassette (ABC) transporter family; was identified among the top upregulated genes in TaxRcells. The role of ABCB1 in the development of docetaxel resistance was examined.Knockdown of ABCB1 expression by its specific shRNA or inhibitor resensitized …,Molecular cancer therapeutics,2013,40
Inhibition of constitutively active Stat3 reverses enzalutamide resistance in LNCaP derivative prostate cancer cells,Chengfei Liu; Yezi Zhu; Wei Lou; Yuanyuan Cui; Christopher P Evans; Allen C Gao,PURPOSE Use of enzalutamide has improved the treatment of advanced prostate cancer.However; resistance to enzalutamide can develop frequently in initial responders. This studyaimed to test whether overexpression of IL-6 and constitutive activation of Stat3 in prostatecancer cells increase resistance to enzalutamide.,The Prostate,2014,34
Niclosamide suppresses cell migration and invasion in enzalutamide resistant prostate cancer cells via Stat3‐AR axis inhibition,Chengfei Liu; Wei Lou; Cameron Armstrong; Yezi Zhu; Christopher P Evans; Allen C Gao,PURPOSE It is known that over expression of IL6 in prostate cancer cells conferenzalutamide resistance and that this may occur through constitutive Stat3 activation.Additionally; recent pre-clinical studies suggested enzalutamide might have the potentialadverse effect of inducing metastasis of prostate cancer cells via Stat3 activation. This studyis aimed to target Stat3 activation and improve enzalutamide therapy.,The Prostate,2015,33
Niclosamide enhances abiraterone treatment via inhibition of androgen receptor variants in castration resistant prostate cancer,Chengfei Liu; Cameron Armstrong; Yezi Zhu; Wei Lou; Allen C Gao,Abstract Considerable evidence from both clinical and experimental studies suggests thatandrogen receptor variants; particularly androgen receptor variant 7 (AR-V7); are critical inthe induction of resistance to enzalutamide and abiraterone. In this study; we investigatedthe role of AR-V7 in the cross-resistance of enzalutamide and abiraterone and examined ifinhibition of AR-V7 can improve abiraterone treatment response. We found thatenzalutamide-resistant cells are cross-resistant to abiraterone; and that AR-V7 confersresistance to abiraterone. Knock down of AR-V7 by siRNA in abiraterone resistantCWR22Rv1 and C4-2B MDVR cells restored their sensitivity to abiraterone; indicating thatAR-V7 is involved in abiraterone resistance. Abiraterone resistant prostate cancer cellsgenerated by chronic treatment with abiraterone showed enhanced AR-V7 protein …,Oncotarget,2016,27
Andrographolide targets androgen receptor pathway in castration-resistant prostate cancer,Chengfei Liu; Nagalakshmi Nadiminty; Ramakumar Tummala; Jae Yeon Chun; Wei Lou; Yezi Zhu; Meng Sun; Christopher P Evans; Qinghua Zhou; Allen C Gao,Androgen receptor (AR) signaling not only plays a pivotal role in the development ofandrogen-dependent prostate cancer but is also important in the growth and survival ofcastration-resistant prostate cancer (CRPC). The first line of treatment of androgen-dependent prostate cancer is the use of androgen deprivation therapy. However; mostpatients will eventually relapse due to development of CRPC. Thus; development of astrategy to target AR for treatment of CRPC is urgently needed. The authors have previouslyidentified andrographolide as an inhibitor of interleukin-6; which can suppress tumor growthof prostate cancer cells by screening compounds from the Prestwick Natural compoundlibrary. In this study; they identified that andrographolide can inhibit AR expression andprostate cancer cell growth and induce apoptosis. Andrographolide is able to down …,Genes & cancer,2011,27
Interleukin‐6 induces neuroendocrine differentiation (NED) through suppression of RE‐1 silencing transcription factor (REST),Yezi Zhu; Chengfei Liu; Yuanyuan Cui; Nagalakshmi Nadiminty; Wei Lou; Allen C Gao,BACKGROUND Paracrine interleukin-6 (IL-6) can mediate neuroendocrine (NE) features;including the acquisition of a neurite-like phenotype and growth arrest in prostate cancercells. However; little is known about the mechanisms underlying neuroendocrinedifferentiation induced by IL-6. METHODS Immunoblotting was performed to determine thestatus of RE1-silencing transcription factor (REST) and of neuroendocrine markers such asNeuron-specific Enolase (NSE); chromogranin A and synaptophysin in LNCaP cells treatedwith IL-6. To further study the impact of REST-mediated repression on neuroendocrinedifferentiation (NED) in LNCaP cells; either wild-type REST or a dominant-positive form ofREST; REST-VP16; in which both repressor domains of REST were replaced with theactivation domain of the herpes simplex virus protein VP16; was introduced into LNCaP …,The Prostate,2014,25
NF-κB2/p52: c-Myc: HnRNPA1 pathway regulates expression of androgen receptor splice variants and enzalutamide sensitivity in prostate cancer,Nagalakshmi Nadiminty; Ramakumar Tummala; Chengfei Liu; Wei Lou; Christopher P Evans; Allen C Gao,Castration-resistant prostate cancer (CRPC) remains dependent on androgen receptor (AR)signaling. Alternative splicing of the AR to generate constitutively active; ligand-independentvariants is one of the principal mechanisms that promote the development of resistance tonext-generation antiandrogens such as enzalutamide. Here; we demonstrate that thesplicing factor heterogeneous nuclear RNA-binding protein A1 (hnRNPA1) plays a pivotalrole in the generation of AR splice variants such as AR-V7. hnRNPA1 is overexpressed inprostate tumors compared with benign prostates; and its expression is regulated by NF-κB2/p52 and c-Myc. CRPC cells resistant to enzalutamide exhibit higher levels of NF-κB2/p52; c-Myc; hnRNPA1; and AR-V7. Levels of hnRNPA1 and AR-V7 are positivelycorrelated with each other in prostate cancer. The regulatory circuit involving NF-κB2/p52 …,Molecular cancer therapeutics,2015,23
Intracellular glutathione content influences the sensitivity of lung cancer cell lines to methylseleninic acid,Chengfei Liu; Hongyu Liu; Ying Li; Zhihao Wu; Yu Zhu; Ting Wang; Allen C Gao; Jun Chen; Qinghua Zhou,Abstract The synthetic selenium compound methylseleninic acid (MSA) is a direct precursorof active methylselenol and appears to be the best candidate for studies on the mechanismsof selenium cancer prevention and therapy in vitro. Reduced glutathione (GSH) is critical toMSA metabolism; in addition to being a protective antioxidant which scavenges reactiveoxygen species (ROS) and maintains the stability of intracellular redox status. In this study;we demonstrated that MSA has an anticancer effect in the human lung cancer cell linesL9981 and 95D using growth inhibition detection; cell-cycle analysis; and apoptosisdetection. We examined the role of intracellular GSH content and detected the ROS inducedby MSA by fluorescence microscopy; and we used flow cytometry to quantify the ROSinduced by pretreatment and co-treatment with N-acetylcysteine (NAC) and MSA. We also …,Molecular carcinogenesis,2012,22
Antiandrogens inhibit ABCB1 efflux and ATPase activity and reverse docetaxel resistance in advanced prostate cancer,Yezi Zhu; Chengfei Liu; Cameron Armstrong; Wei Lou; Amandeep Sandher; Allen C Gao,Purpose: Previous studies show that inhibition of ABCB1 expression overcomes acquireddocetaxel resistance in C4-2B-TaxR cells. In this study; we examined whetherantiandrogens; such as bicalutamide and enzalutamide; could inhibit ABCB1 activity andovercome resistance to docetaxel. Experimental Design: ABCB1 efflux activity wasdetermined using a rhodamine efflux assay. ABCB1 ATPase activity was determined by Pgp-Glo assay systems. The effects of the antiandrogens bicalutamide and enzalutamide ondocetaxel sensitivity were determined by cell growth assays and tumor growth in vivo.Results: We found that bicalutamide and enzalutamide inhibit ABCB1 ATP-binding cassettetransporter activity through blocking ABCB1 efflux activity. Bicalutamide inhibited ABCB1efflux activity by 40%; whereas enzalutamide inhibited ABCB1 efflux activity by …,Clinical Cancer Research,2015,17
RhoGDIα suppresses growth and survival of prostate cancer cells,Yezi Zhu; Ramakumar Tummala; Chengfei Liu; Nagalakshmi Nadiminty; Wei Lou; Christopher P Evans; Qinghua Zhou; Allen C Gao,BACKGROUND Treatment for primary prostate cancer (CaP) is the withdrawal of androgens.However; CaP eventually progresses to grow in a castration-resistant state. Themechanisms involved in the development and progression of castration-resistant prostatecancer (CRPC) remain unknown. We have previously generated LNCaP-IL6+ cells bytreating LNCaP cells chronically with interleukin-6 (IL-6); which have acquired the ability togrow in androgen-deprived conditions. METHODS We compared the protein expressionprofile of LNCaP and LNCaP-IL6+ cells using two-dimensional gel electrophoresis. The gelswere then silver stained in order to visualize proteins and the differentially expressed spotswere identified and characterized by micro sequencing using MALDI-PMF massspectrometry. RESULTS In this study; we have identified RhoGDIα (GDIα) as a …,The Prostate,2012,16
Enhanced anticancer activity of a combination of docetaxel and Aneustat (OMN54) in a patient‐derived; advanced prostate cancer tissue xenograft model,Sifeng Qu; Kendric Wang; Hui Xue; Yuwei Wang; Rebecca Wu; Chengfei Liu; Allen C Gao; Peter W Gout; Colin C Collins; Yuzhuo Wang,Abstract The current first-line treatment for advanced metastatic prostate cancer; ie docetaxel-based therapy; is only marginally effective. The aim of the present study was to determinewhether such therapy can be improved by combining docetaxel with Aneustat (OMN54); amultivalent botanical drug candidate shown to have anti-prostate cancer activity inpreliminary in vitro experiments; which is currently undergoing a Phase-I Clinical Trial.Human metastatic; androgen-independent C4-2 prostate cancer cells and NOD-SCID micebearing PTEN-deficient; metastatic and PSA-secreting; patient-derived subrenal capsuleLTL-313H prostate cancer tissue xenografts were treated with docetaxel and Aneustat;alone and in combination. In vitro; Aneustat markedly inhibited C4-2 cell replication in adose-dependent manner. When Aneustat was combined with docetaxel; the growth …,Molecular oncology,2014,15
