Identification of a novel coronavirus in patients with severe acute respiratory syndrome,Christian Drosten; Stephan Günther; Wolfgang Preiser; Sylvie Van Der Werf; Hans-Reinhard Brodt; Stephan Becker; Holger Rabenau; Marcus Panning; Larissa Kolesnikova; Ron AM Fouchier; Annemarie Berger; Ana-Maria Burguière; Jindrich Cinatl; Markus Eickmann; Nicolas Escriou; Klaus Grywna; Stefanie Kramme; Jean-Claude Manuguerra; Stefanie Müller; Volker Rickerts; Martin Stürmer; Simon Vieth; Hans-Dieter Klenk; Albert DME Osterhaus; Herbert Schmitz; Hans Wilhelm Doerr,Background Abstract The severe acute respiratory syndrome (SARS) has recently beenidentified as a new clinical entity. SARS is thought to be caused by an unknown infectiousagent. Methods Clinical specimens from patients with SARS were searched for unknownviruses with the use of cell cultures and molecular techniques. Results A novel coronaviruswas identified in patients with SARS. The virus was isolated in cell culture; and a sequence300 nucleotides in length was obtained by a polymerase-chain-reaction (PCR)–basedrandom-amplification procedure. Genetic characterization indicated that the virus is onlydistantly related to known coronaviruses (identical in 50 to 60 percent of the nucleotidesequence). On the basis of the obtained sequence; conventional and real-time PCR assaysfor specific and sensitive detection of the novel virus were established. Virus was …,New England journal of medicine,2003,3198
Differences in fecal microbiota in different European study populations in relation to age; gender; and country: a cross-sectional study,Susanne Mueller; Katiana Saunier; Christiana Hanisch; Elisabeth Norin; Livia Alm; Tore Midtvedt; Alberto Cresci; Stefania Silvi; Carla Orpianesi; Maria Cristina Verdenelli; Thomas Clavel; Corinna Koebnick; Hans-Joachim Franz Zunft; Joël Doré; Michael Blaut,ABSTRACT A cross-sectional study on intestinal microbiota composition was performed on230 healthy subjects at four European locations in France; Germany; Italy; and Sweden. Thestudy participants were assigned to two age groups: 20 to 50 years (mean age; 35 years; n=85) and> 60 years (mean age; 75 years; n= 145). A set of 14 group-and species-specific 16SrRNA-targeted oligonucleotide probes was applied to the analysis of fecal samples byfluorescence in situ hybridization coupled with flow cytometry. Marked country-ageinteractions were observed for the German and Italian study groups. These interactions wereinverse for the predominant bacterial groups Eubacterium rectale-Clostridium coccoides andBacteroides-Prevotella. Differences between European populations were observed for theBifidobacterium group only. Proportions of bifidobacteria were two-to threefold higher in …,Applied and environmental microbiology,2006,548
Virus attenuation by genome-scale changes in codon pair bias,J Robert Coleman; Dimitris Papamichail; Steven Skiena; Bruce Futcher; Eckard Wimmer; Steffen Mueller,As a result of the redundancy of the genetic code; adjacent pairs of amino acids can beencoded by as many as 36 different pairs of synonymous codons. A species-specific “codonpair bias” provides that some synonymous codon pairs are used more or less frequentlythan statistically predicted. We synthesized de novo large DNA molecules using hundreds ofover-or underrepresented synonymous codon pairs to encode the poliovirus capsid protein.Underrepresented codon pairs caused decreased rates of protein translation; andpolioviruses containing such amino acid–independent changes were attenuated in mice.Polioviruses thus customized were used to immunize mice and provided protective immunityafter challenge. This “death by a thousand cuts” strategy could be generally applicable toattenuating many kinds of viruses.,Science,2008,429
Interaction of the poliovirus receptor with poliovirus,Yongning He; Valorie D Bowman; Steffen Mueller; Carol M Bator; Jordi Bella; Xiaozhong Peng; Timothy S Baker; Eckard Wimmer; Richard J Kuhn; Michael G Rossmann,Abstract The structure of the extracellular; three-domain poliovirus receptor (CD155)complexed with poliovirus (serotype 1) has been determined to 22-Å resolution by means ofcryo-electron microscopy and three-dimensional image-reconstruction techniques. Densitycorresponding to the receptor was isolated in a difference electron density map and fittedwith known structures; homologous to those of the three individual CD155 Ig-like domains.The fit was confirmed by the location of carbohydrate moieties in the CD155 glycoprotein;the conserved properties of elbow angles in the structures of cell surface molecules with Ig-like folds; and the concordance with prior results of CD155 and poliovirus mutagenesis.CD155 binds in the poliovirus “canyon” and has a footprint similar to that of the intercellularadhesion molecule-1 receptor on human rhinoviruses. However; the orientation of the …,Proceedings of the National Academy of Sciences,2000,221
Nectin couples cell-cell adhesion and the actin scaffold at heterotypic testicular junctions,Kumi Ozaki-Kuroda; Hiroyuki Nakanishi; Hiroshi Ohta; Hiromitsu Tanaka; Hidetake Kurihara; Steffen Mueller; Kenji Irie; Wataru Ikeda; Tatsuo Sakai; Eckard Wimmer; Yoshitake Nishimune; Yoshimi Takai,Abstract Actin-based cell-cell adherens junctions (AJs) are crucial not only for mechanicaladhesion but also for cell morphogenesis and differentiation [1–4]. While organization ofhomotypic AJs is attributed mostly to classic cadherins; the adhesive mechanism ofheterotypic AJs in more complex tissues remains to be clarified. Nectin; a member of a familyof immunoglobulin-like adhesion molecules at various AJs; is a possible organizer ofheterotypic AJs because of its unique heterophilic trans-interaction property [5–10].Recently; nectin-2 (−/−) mice have been shown to exhibit the defective spermmorphogenesis and the male-specific infertility [11]; but the role of nectin in testicular AJshas not been investigated. We show here the heterotypic trans-interaction between nectin-2in Sertoli cells and nectin-3 in spermatids at Sertoli-spermatid junctions (SspJs) …,Current Biology,2002,219
Reduction of the rate of poliovirus protein synthesis through large-scale codon deoptimization causes attenuation of viral virulence by lowering specific infectivity,Steffen Mueller; Dimitris Papamichail; J Robert Coleman; Steven Skiena; Eckard Wimmer,ABSTRACT Exploring the utility of de novo gene synthesis with the aim of designing stablyattenuated polioviruses (PV); we followed two strategies to construct PV variants containingsynthetic replacements of the capsid coding sequences either by deoptimizing synonymouscodon usage (PV-AB) or by maximizing synonymous codon position changes of the existingwild-type (wt) poliovirus codons (PV-SD). Despite 934 nucleotide changes in the capsidcoding region; PV-SD RNA produced virus with wild-type characteristics. In contrast; noviable virus was recovered from PV-AB RNA carrying 680 silent mutations; due to areduction of genome translation and replication below a critical level. After subcloning ofsmaller portions of the AB capsid coding sequence into the wt background; several viableviruses were obtained with a wide range of phenotypes corresponding to their efficiency …,Journal of virology,2006,214
The DExD/H-box helicase Dicer-2 mediates the induction of antiviral activity in drosophila,Safia Deddouche; Nicolas Matt; Aidan Budd; Stefanie Mueller; Cordula Kemp; Delphine Galiana-Arnoux; Catherine Dostert; Christophe Antoniewski; Jules A Hoffmann; Jean-Luc Imler,Abstract Drosophila; like other invertebrates and plants; relies mainly on RNA interferencefor its defense against viruses. In flies; viral infection also triggers the expression of manygenes. One of the genes induced; Vago; encodes a 18-kilodalton cysteine-rich polypeptide.Here we provide genetic evidence that the Vago gene product controlled viral load in the fatbody after infection with drosophila C virus. Induction of Vago was dependent on thehelicase Dicer-2. Dicer-2 belongs to the same DExD/H-box helicase family as do the RIG-I–like receptors; which sense viral infection and mediate interferon induction in mammals. Wepropose that this family represents an evolutionary conserved set of sensors that detect viralnucleic acids and direct antiviral responses.,Nature immunology,2008,206
Live attenuated influenza virus vaccines by computer-aided rational design,Steffen Mueller; J Robert Coleman; Dimitris Papamichail; Charles B Ward; Anjaruwee Nimnual; Bruce Futcher; Steven Skiena; Eckard Wimmer,Abstract Despite existing vaccines and enormous efforts in biomedical research; influenzaannually claims 250;000–500;000 lives worldwide 1; motivating the search for new; moreeffective vaccines that can be rapidly designed and easily produced. We applied thepreviously described synthetic attenuated virus engineering (SAVE) 2 approach to influenzavirus strain A/PR/8/34 to rationally design live attenuated influenza virus vaccine candidatesthrough genome-scale changes in codon-pair bias. As attenuation is based on manyhundreds of nucleotide changes across the viral genome; reversion of the attenuated variantto a virulent form is unlikely. Immunization of mice by a single intranasal exposure to codonpair–deoptimized virus conferred protection against subsequent challenge with wild-type(WT) influenza virus. The method can be applied rapidly to any emerging influenza virus …,Nature biotechnology,2010,167
Novel recombinant BCG expressing perfringolysin O and the over-expression of key immunodominant antigens; pre-clinical characterization; safety and protection a...,Ronggai Sun; Yasir AW Skeiky; Angelo Izzo; Veerabadran Dheenadhayalan; Zakaria Imam; Erica Penn; Katherine Stagliano; Scott Haddock; Stefanie Mueller; John Fulkerson; Charles Scanga; Ajay Grover; Steven C Derrick; Sheldon Morris; David M Hone; Marcus A Horwitz; Stefan HE Kaufmann; Jerald C Sadoff,Abstract Mycobacterium tuberculosis (Mtb); the causative agent of tuberculosis (TB); hasinfected approximately two billion individuals worldwide with approximately 9.2 million newcases and 1.6 million deaths annually. Current efforts are focused on making better BCGpriming vaccines designed to induce a comprehensive and balanced immunity followed bybooster (s) targeting a specific set of relevant antigens in common with the BCG prime. Wedescribe the generation and immunological characterization of recombinant BCG strainswith properties associated with lysis of the endosome compartment and over-expression ofkey Mtb antigens. The endosome lysis strain; a derivative of BCG SSI-1331 (BCG 1331)expresses a mutant form of perfringolysin O (PfoA G137Q); a cytolysin normally secreted byClostridium perfringens. Integration of the PfoA G137Q gene into the BCG genome was …,Vaccine,2009,152
Interaction of the poliovirus receptor CD155 with the dynein light chain Tctex-1 and its implication for poliovirus pathogenesis,Steffen Mueller; Xuemei Cao; Reinhold Welker; Eckard Wimmer,Abstract The cellular receptor for poliovirus CD155 (or PVR) is the founding member of anew class of membrane-associated immunoglobulin-like proteins; which include the mousetumor-associated antigen E4 (Tage4) and three proteins termed “nectins.” Using a yeast two-hybrid screen we have discovered that the cytoplasmic domain of CD155 associatesstrongly and specifically with Tctex-1; a light chain of the dynein motor complex; the latterrepresenting the major driving force for retrograde transport of endocytic vesicles andmembranous organelles. We confirmed the interaction biochemically and by co-immunoprecipitation; and we mapped the Tctex-1 binding site to a SKCSR motif within thejuxtamembrane region of CD155. Tctex-1 immunoreactivity was detected in mouse sciaticnerve and spinal cord (two tissues of central importance for poliovirus pathogenesis) in …,Journal of Biological Chemistry,2002,147
Poliovirus and poliomyelitis: a tale of guts; brains; and an accidental event,Steffen Mueller; Eckard Wimmer; Jeronimo Cello,Abstract Nearly 100 years after its discovery poliovirus remains one of most thoroughlystudied and best understood virus models for the molecular virologist. While poliovirus hasbeen of vital importance for our insight into picornavirus biology at the cellular andbiochemical level; it is ironic to note that; due to the early success in defeating poliomyelitisin the developed world through vaccination; many of the basic aspects of polioviruspathogenesis remain poorly understood. This is chiefly due to the lack of an adequate andaffordable animal model; save of old world monkeys. Fundamental questions; such as theidentity of the target cells during the enteric phase of infection; or mechanisms of systemicspread are still unanswered. This review will attempt to summarize our current knowledge ofthe molecular biology of poliovirus; its pathogenesis; as well as recent advances in the …,*,2005,145
