Nanowire-based one-dimensional electronics,Claes Thelander; Prabhat Agarwal; S Brongersma; Joël Eymery; Lou-Fé Feiner; Alfred Forchel; M Scheffler; W Riess; BJ Ohlsson; U Gösele; Lars Samuelson,During the last half century; a dramatic downscaling of electronics has taken place; aminiaturization that the industry expects to continue for at least a decade. We present effortsto use the self-assembly of one-dimensional semiconductor nanowires 1 in order to bringnew; high-performance nanowire devices as an add-on to mainstream Si technology. Thenanowire approach offers a coaxial gate-dielectric-channel geometry that is ideal for furtherdownscaling and electrostatic control; as well as heterostructure-based devices on Siwafers.,Materials today,2006,676
Self-assembled growth of catalyst-free GaN wires by metal–organic vapour phase epitaxy,Robert Köster; Jun-Seok Hwang; C Durand; D Le Si Dang; J Eymery,Abstract A catalyst-free method for growing self-assembled GaN wires on c-plane sapphiresubstrates by metal–organic vapour phase epitaxy is developed. This approach; based on insitu deposition of a thin SiN x layer (~ 2 nm); enables epitaxial growth of c-oriented wireswith 200–1500 nm diameters and a large length/diameter ratio (> 100) on c-plane sapphiresubstrate. Detailed study of the growth mechanisms shows that a combination of keyparameters is necessary to obtain vertical growth. In particular; the duration of the SiN xdeposition prior to the wire growth is critical for controlling the epitaxy with the substrate. TheGaN seed nucleation time determines the mean size diameter and structural quality; and ahigh Si-dopant concentration promotes vertical growth. Such GaN wires exhibit UV-lightemission centred at~ 350 nm and a weak yellow band (~ 550 nm) at low temperature.,Nanotechnology,2009,159
M-plane core–shell InGaN/GaN multiple-quantum-wells on GaN wires for electroluminescent devices,Robert Koester; Jun-Seok Hwang; Damien Salomon; Xiaojun Chen; Catherine Bougerol; Jean-Paul Barnes; Daniel Le Si Dang; Lorenzo Rigutti; Andres de Luna Bugallo; Gwénolé Jacopin; Maria Tchernycheva; Christophe Durand; Joël Eymery,Nonpolar InGaN/GaN multiple quantum wells (MQWs) grown on the {11̅00} sidewalls of c-axis GaN wires have been grown by organometallic vapor phase epitaxy on c-sapphiresubstrates. The structural properties of single wires are studied in detail by scanningtransmission electron microscopy and in a more original way by secondary ion massspectroscopy to quantify defects; thickness (1–8 nm) and In-composition in the wells (∼16%). The core–shell MQW light emission characteristics (390–420 nm at 5 K) wereinvestigated by cathodo-and photoluminescence demonstrating the absence of the quantumStark effect as expected due to the nonpolar orientation. Finally; these radial nonpolarquantum wells were used in room-temperature single-wire electroluminescent devicesemitting at 392 nm by exploiting sidewall emission.,Nano letters,2011,157
Homoepitaxial growth of catalyst-free GaN wires on N-polar substrates,Xiao Jun Chen; Guillaume Perillat-Merceroz; Diane Sam-Giao; Christophe Durand; Joël Eymery,The shape of c-oriented GaN nanostructures is found to be directly related to the crystalpolarity. As evidenced by convergent beam electron diffraction applied to GaNnanostructures grown by metal-organic vapor phase epitaxy on c-sapphire substrates: wiresgrown on nitridated sapphire have the N-polarity ([000 1¯]) whereas pyramidal crystals haveGa-polarity ([0001]). In the case of homoepitaxy; the GaN wires can be directly selectedusing N-polar GaN freestanding substrates and exhibit good optical properties. A schematicrepresentation of the kinetic Wulff's plot points out the effect of surface polarity.,Applied Physics Letters,2010,115
Surface diffusion dewetting of thin solid films: Numerical method and application to Si∕ SiO 2,E Dornel; JC Barbe; F De Crécy; G Lacolle; J Eymery,Abstract A method has been developed to calculate and use a surface chemical potentialwhich is valid in the large curvature regime for any surface energy function. It is applied tothe solid-phase dewetting of a finite film with an initial rectangular profile and considers thesurface diffusion mechanism. For an isotropic surface energy; the film aspect ratio and theadhesion energy between the film and the substrate are shown to be the main parametersthat quantify the retraction; the breaking time; and the number of agglomerates. Moreover; itis found that mild surface energy anisotropy with an energy minimum in the horizontal planepostpones the mass detachment. Simple models of the γ-plots for the surface energyillustrate the influence of cusp points on the retraction profiles. Finally; the smooth andfacetted experimental surfaces; that are observed in the Si∕ SiO 2 system after 900 C …,Physical Review B,2006,91
Integrated photonic platform based on InGaN/GaN nanowire emitters and detectors,M Tchernycheva; A Messanvi; A de Luna Bugallo; G Jacopin; P Lavenus; L Rigutti; H Zhang; Y Halioua; FH Julien; J Eymery; C Durand,We report the fabrication of a photonic platform consisting of single wire light-emitting diodes(LED) and photodetectors optically coupled by waveguides. MOVPE-grown (metal–organicvapor-phase epitaxy) InGaN/GaN p–n junction core–shell nanowires have been used fordevice fabrication. To achieve a good spectral matching between the emission wavelengthand the detection range; different active regions containing either five narrow InGaN/GaNquantum wells or one wide InGaN segment were employed for the LED and the detector;respectively. The communication wavelength is∼ 400 nm. The devices are realized bymeans of electron beam lithography on Si/SiO2 templates and connected by∼ 100 μm longnonrectilinear SiN waveguides. The photodetector current trace shows signal variationcorrelated with the LED on/off switching with a fast transition time below 0.5 s.,Nano letters,2014,89
Ordering of Ge quantum dots with buried Si dislocation networks,F Leroy; J Eymery; P Gentile; F Fournel,Buried dislocation networks obtained by Si (001) wafer bonding pattern the free surface ofthe sample; giving rise to long-range undulations and short-range embossing; respectively;for flexion and rotation misalignement. Comparison with continuum-elasticity calculationsreveals that this patterning is enhanced by strain-driven overetching. These surfaces are atemplate for growth; and we show that Ge quantum dots can be ordered with a fourfoldsymmetry by proceeding a postgrowth annealing.,Applied physics letters,2002,89
Accurate control of the misorientation angles in direct wafer bonding,Frank Fournel; Hubert Moriceau; Bernard Aspar; Karine Rousseau; Joël Eymery; Jean-Luc Rouviere; Noël Magnea,A direct wafer bonding process has been developed to accurately control both the bondinginterface twist and tilt angles between a monocrystalline layer and a bare monocrystallinewafer. This process is based on the bonding of twin surfaces produced by splitting a singlewafer; using for instance the Smart Cut® process. A targeted control of±0.005° is obtainedfor the twist angle without any crystallographic measurement. Moreover; pure twist-bondedinterfaces have been artificially made between two (001) bonded silicon surfaces.,Applied physics letters,2002,80
Nanoscaled MOSFET Transistors on Strained Si; SiGe; Ge Layers: Some Integration and Electrical Properties Features,Thomas P Ernst; Francois Andrieu; O Weber; Jean-Michel Hartmann; C Dupre; O Faynot; JC Barbe; Joel Eymery; S Barraud; Frédérique Ducroquet; G Ghibaudo; Simon Deleonibus,Abstract We have studied the integration process and the electrical properties of TiN/metalgate transistors with high k dielectrics for various strained substrates: Strained SOI; StrainedSiGeOI; and Strained Ge. Substrate approaches enable (i) higher strain levels (additive withprocess induced strain);(ii) the co-integration of opposite strained layers for nMOS andPMOS;(iii) VT engineering for metal gates. Those features make the substrate approach avery promising solution for ultimate CMOS integration.,ECS Transactions,2006,66
Strain and shape of epitaxial InAs/InP nanowire superlattice measured by grazing incidence X-ray techniques,Joël Eymery; Francois Rieutord; Vincent Favre-Nicolin; Odile Robach; Yann-Michel Niquet; Linus Fröberg; Thomas Mårtensson; Lars Samuelson,Quantitative structural information about epitaxial arrays of nanowires are reported for aInAs/InP longitudinal heterostructure grown by chemical beam epitaxy on an InAs (111) Bsubstrate. Grazing incidence X-ray diffraction allows the separation of the nanowirecontribution from the substrate overgrowth and gives averaged information aboutcrystallographic phases; epitaxial relationships (with orientation distribution); and strain. In-plane strain inhomogeneities; intrinsic to the nanowires geometry; are measured andcompared to atomistic simulations. Small-angle X-ray scattering evidences the hexagonalsymmetry of the nanowire cross-section and provides a rough estimate of size fluctuations.,Nano letters,2007,64
X-ray scattering study of hydrogen implantation in silicon,Nicolas Sousbie; Luciana Capello; Joël Eymery; François Rieutord; Chrystelle Lagahe,The effect of hydrogen implantation in silicon single crystals is studied using high-resolutionx-ray scattering. Large strains normal to the sample surface are evidenced afterimplantation. A simple and direct procedure to extract the strain profile from the scatteringdata is described. A comparison between different crystallographic orientation of theimplanted silicon surface is then presented; namely; for⟨ 100⟩;⟨ 110⟩; and⟨ 111⟩orientations; showing a dependence that can be related to bond orientation. Effect ofannealing on the stressed structure is finally described.,Journal of applied physics,2006,64
