Visualizing the signatures of social roles in online discussion groups,Howard T Welser; Eric Gleave; Danyel Fisher; Marc Smith,Abstract: Social roles in online discussion forums can be described by patternedcharacteristics of communication between network members which we conceive of as'structural signatures.'This paper uses visualization methods to reveal these structuralsignatures and regression analysis to confirm the relationship between these signatures andtheir associated roles in Usenet newsgroups. Our analysis focuses on distinguishing thesignatures of one role from others; the role of “answer people." Answer people areindividuals whose dominant behavior is to respond to questions posed by other users. Wefound that answer people predominantly contribute one or a few messages to discussionsinitiated by others; are disproportionately tied to relative isolates; have few intense ties andhave few triangles in their local networks. OLS regression shows that these signatures …,Journal of social structure,2007,418
Animated exploration of dynamic graphs with radial layout,Ka-Ping Yee; Danyel Fisher; Rachna Dhamija; Marti Hearst,Abstract We describe a new animation technique for supporting interactive exploration of agraph. We use the wellknown radial tree layout method; in which the view is determined bythe selection of a focus node. Our main contribution is a method for animating the transitionto a new layout when a new focus node is selected. In order to keep the transition easy tofollow; the animation linearly interpolates the polar coordinates of the nodes; while enforcingordering and orientation constraints. We apply this technique to visualizations of socialnetworks and of the Gnutella file-sharing network; and discuss the results from our informalusability tests.,Information Visualization; 2001. INFOVIS 2001. IEEE Symposium on,2001,370
Analysis and visualization of network data using JUNG,Joshua O’Madadhain; Danyel Fisher; Padhraic Smyth; Scott White; Yan-Biao Boey,Abstract The JUNG (Java Universal Network/Graph) Framework is a free; open-sourcesoftware library that provides a common and extendible language for the manipulation;analysis; and visualization of data that can be represented as a graph or network. It is writtenin the Java programming language; allowing JUNG-based applications to make use of theextensive built-in capabilities of the Java Application Programming Interface (API); as well asthose of other existing third-party Java libraries. We describe the design; and some details ofthe implementation; of the JUNG architecture; and provide illustrative examples of its use.,Journal of Statistical Software,2005,327
Effectiveness of animation in trend visualization,George Robertson; Roland Fernandez; Danyel Fisher; Bongshin Lee; John Stasko,Animation has been used to show trends in multi-dimensional data. This technique hasrecently gained new prominence for presentations; most notably with GapminderTrendalyzer. In Trendalyzer; animation together with interesting data and an engagingpresenter helps the audience understand the results of an analysis of the data. It is less clearwhether trend animation is effective for analysis. This paper proposes two alternative trendvisualizations that use static depictions of trends: one which shows traces of all trendsoverlaid simultaneously in one display and a second that uses a small multiples display toshow the trend traces side-by-side. The paper evaluates the three visualizations for bothanalysis and presentation. Results indicate that trend animation can be challenging to useeven for presentations; while it is the fastest technique for presentation and participants …,IEEE Transactions on Visualization and Computer Graphics,2008,284
You are who you talk to: Detecting roles in usenet newsgroups,Danyel Fisher; Marc Smith; Howard T Welser,Understanding the social roles of the members a group can help to understand the socialcontext of the group. We present a method of applying social network analysis to support thetask of characterizing authors in Usenet newsgroups. We compute and visualize networkscreated by patterns of replies for each author in selected newsgroups and find that second-degree ego-centric networks give us clear distinctions between different types of authorsand newsgroups. Results show that newsgroups vary in terms of the populations ofparticipants and the roles that they play. Newsgroups can be characterized by populationsthat include question and answer newsgroups; conversational newsgroups; social supportnewsgroups; and flame newsgroups. This approach has applications for both researchersseeking to characterize different types of social cyberspaces as well as participants …,System Sciences; 2006. HICSS'06. Proceedings of the 39th Annual Hawaii International Conference on,2006,280
The jung (java universal network/graph) framework,Joshua O’Madadhain; Danyel Fisher; Scott White; Y Boey,*,University of California; Irvine; California,2003,214
Picturing Usenet: Mapping computer-mediated collective action,Tammara Combs Turner; Marc A Smith; Danyel Fisher; Howard T Welser,Abstract Usenet is a complex socio-technical phenomenon; containing vast quantities ofinformation. The sheer scope and complexity make it a challenge to understand the manydimensions across which people and communication are interlinked. In this work; wepresent visualizations of several aspects and scales of Usenet that combine to highlight therange of variation found in newsgroups. We examine variations within hierarchies;newsgroups; authors; and social networks. We find a remarkable diversity; with clearvariations that mark starting points for mapping the broad sweep of behavior found in thisand other social cyberspaces. Our findings provide the basis for initial recommendations forthose cultivating; managing; contributing; or consuming collectively constructedconversational content.,Journal of Computer-Mediated Communication,2005,213
Interactions with big data analytics,Danyel Fisher; Rob DeLine; Mary Czerwinski; Steven Drucker,CoVer STorY experiments on the Web [1]. These experiments allow practitioners to identifycausal relationships between changes in design and changes in user-observable behavioron a potentially massive scale. Even more recently; practitioners are starting to identifyusability issues by mining query logs for commonly asked questions by users of certainapplications [2]. This can help product teams discover large; real-world usability issues whilesupplementing laboratory techniques that tend to focus on smaller; more isolated problems.Other companies use the data more directly to modify their offerings. The online gamecompany Zynga creates games and studies data on how its audience plays them in order toupdate the games immediately.“We're an analytics company masquerading as a gamescompany;” said Ken Rudin; a Zynga vice president in charge of its data-analysis team. He …,interactions,2012,194
Social and temporal structures in everyday collaboration,Danyel Fisher; Paul Dourish,Abstract Everyday work frequently involves coordinating and collaborating with others; butthe structure of collaboration is largely invisible to conventional desktop applications. We areexploring ways to support everyday collaboration by allowing applications access to thesocial; organizational; and temporal settings within which work is conducted. In this paper;we present two generations of systems supporting everyday collaboration; focusing on waysto recover and represent the temporal and social structures of online activity.,Proceedings of the SIGCHI conference on Human factors in computing systems,2004,172
Revisiting Whittaker & Sidner's email overload ten years later,Danyel Fisher; AJ Brush; Eric Gleave; Marc A Smith,Abstract Ten years ago; Whittaker and Sidner [8] published research on email overload;coining a term that would drive a research area that continues today. We examine a sampleof 600 mailboxes collected at a high-tech company to compare how users organize theiremail now to 1996. While inboxes are roughly the same size as in 1996; our population'semail archives have grown tenfold. We see little evidence of distinct strategies for handlingemail; most of our users fall into a middle ground. There remains a need for futureinnovations to help people manage growing archives of email and large inboxes.,Proceedings of the 2006 20th anniversary conference on Computer supported cooperative work,2006,157
Hotmap: Looking at geographic attention,Danyel Fisher,Understanding how people use online maps allows data acquisition teams to concentratetheir efforts on the portions of the map that are most seen by users. Online maps representvast databases; and so it is insufficient to simply look at a list of the most-accessed URLs.Hotmap takes advantage of the design of a mapping system's imagery pyramid to superposea heatmap of the log files over the original maps. Users' behavior within the system can beobserved and interpreted. This paper discusses the imagery acquisition task that motivatedHotmap; and presents several examples of information that Hotmap makes visible. Wediscuss the design choices behind Hotmap; including logarithmic color schemes; low-saturation background images; and tuning images to explore both infrequently-viewed andfrequently-viewed spaces.,Visualization and Computer Graphics; IEEE Transactions on,2007,142
