Utility-driven data acquisition in participatory sensing,Mehdi Riahi; Thanasis G Papaioannou; Immanuel Trummer; Karl Aberer,Abstract Participatory sensing (PS) is becoming a popular data acquisition means forinteresting emerging applications. However; as data queries from these applicationsincrease; the sustainability of this platform for multiple concurrent applications is at stake. Inthis paper; we consider the problem of efficient data acquisition in PS when queries ofdifferent types come from different applications. We effectively deal with the issues related toresource constraints; user privacy; data reliability; and uncontrolled mobility. We formulatethe problem as multi-query optimization and propose efficient heuristics for its effectivesolution for the various query types and mixes that enable sustainable sensing. Based onsimulations with real and artificial data traces; we found that our heuristic algorithmsoutperform baseline approaches in a multitude of settings considered.,Proceedings of the 16th International Conference on Extending Database Technology,2013,37
Cost-optimal outsourcing of applications into the clouds,Immanuel Trummer; Frank Leymann; Ralph Mietzner; Walter Binder,Commercial services for provisioning software components and virtual infrastructure in thecloud are emerging. For customers; this creates a multitude of possibilities for outsourcingpart of the IT-stack to third parties in order to run their applications. These possibilities areassociated with different running costs; so cloud customers have to determine the optimalsolution. In this paper; we present and experimentally evaluate an algorithm that solves thecorresponding optimization problem. We assume that applications are described astemplates; fixing the deployment structure and constraining the properties of the used soft-and hardware components. Different parts of the application may be outsourced to differentproviders and several levels of outsourcing can be considered. However; dependenciesbetween different parts of the application have to be respected. Our algorithm …,Cloud Computing Technology and Science (CloudCom); 2010 IEEE Second International Conference on,2010,22
Multi-objective quality-driven service selection—a fully polynomial time approximation scheme,Immanuel Trummer; Boi Faltings; Walter Binder,The goal of multi-objective quality-driven service selection (QDSS) is to find serviceselections for a workflow whose quality-of-service (QoS) values are Pareto-optimal. Weconsider multiple QoS attributes such as response time; cost; and reliability. A selection isPareto-optimal if no other selection has better QoS values for some attributes and at leastequivalent values for all others. Exact algorithms have been proposed that find all Pareto-optimal selections. They suffer however from exponential complexity. Randomizedalgorithms scale well but do not offer any formal guarantees on result precision. We presentthe first approximation scheme for QDSS. It aims at the sweet spot between exact andrandomized algorithms: It combines polynomial complexity with formal result precisionguarantees. A parameter allows to seamlessly trade result precision against efficiency …,IEEE Transactions on Software Engineering,2014,21
Approximation Schemes for Many-Objective Query Optimization,Immanuel Trummer; Christoph Koch,Abstract The goal of multi-objective query optimization (MOQO) is to find query plans thatrealize a good compromise between conflicting objectives such as minimizing executiontime and minimizing monetary fees in a Cloud scenario. A previously proposed exhaustiveMOQO algorithm needs hours to optimize even simple TPC-H queries. This is why wepropose several approximation schemes for MOQO that generate guaranteed near-optimalplans in seconds where exhaustive optimization takes hours. We integrated all MOQOalgorithms into the Postgres optimizer and present experimental results for TPC-H queries;we extended the Postgres cost model and optimize for up to nine conflicting objectives in ourexperiments. The proposed algorithms are based on a formal analysis of typical costfunctions that occur in the context of MOQO. We identify properties that hold for a broad …,SIGMOD 2014,2014,21
Multi-objective parametric query optimization,Immanuel Trummer; Christoph Koch,Abstract Classical query optimization compares query plans according to one cost metricand associates each plan with a constant cost value. In this paper; we introduce the Multi-Objective Parametric Query Optimization (MPQ) problem where query plans are comparedaccording to multiple cost metrics and the cost of a given plan according to a given metric ismodeled as a function that depends on multiple parameters. The cost metrics may forinstance include execution time or monetary fees; a parameter may represent the selectivityof a query predicate that is unspecified at optimization time. MPQ generalizes parametricquery optimization (which allows multiple parameters but only one cost metric) and multi-objective query optimization (which allows multiple cost metrics but no parameters). Weformally analyze the novel MPQ problem and show why existing algorithms are …,Proceedings of the VLDB Endowment,2014,20
An incremental anytime algorithm for multi-objective query optimization,Immanuel Trummer; Christoph Koch,Abstract Query plans offer diverse tradeoffs between conflicting cost metrics such asexecution time; energy consumption; or execution fees in a multi-objective scenario. It isconvenient for users to choose the desired cost tradeoff in an interactive process;dynamically adding constraints and finally selecting the best plan based on a continuouslyrefined visualization of optimal cost tradeoffs. Multi-objective query optimization (MOQO)algorithms must possess specific properties to support such an interactive process: First;they must be anytime algorithms; generating multiple result plan sets of increasing qualitywith low latency between consecutive results. Second; they must be incremental; meaningthat they avoid regenerating query plans when being invoked several times for the samequery but with slightly different user constraints. We present an incremental anytime …,Proceedings of the 2015 ACM SIGMOD International Conference on Management of Data,2015,15
Multiple query optimization on the D-Wave 2X adiabatic quantum computer,Immanuel Trummer; Christoph Koch,Abstract The D-Wave adiabatic quantum annealer solves hard combinatorial optimizationproblems leveraging quantum physics. The newest version features over 1000 qubits andwas released in August 2015. We were given access to such a machine; currently hosted atNASA Ames Research Center in California; to explore the potential for hard optimizationproblems that arise in the context of databases. In this paper; we tackle the problem ofmultiple query optimization (MQO). We show how an MQO problem instance can betransformed into a mathematical formula that complies with the restrictive input formataccepted by the quantum annealer. This formula is translated into weights on and betweenqubits such that the configuration minimizing the input formula can be found via a processcalled adiabatic quantum annealing. We analyze the asymptotic growth rate of the …,Proceedings of the VLDB Endowment,2016,13
Mining subjective properties on the web,Immanuel Trummer; Alon Halevy; Hongrae Lee; Sunita Sarawagi; Rahul Gupta,Abstract Even with the recent developments in Web search of answering queries fromstructured data; search engines are still limited to queries with an objective answer; such asEUROPEAN CAPITALS or WOODY ALLEN MOVIES. However; many queries are subjective;such as SAFE CITIES; or CUTE ANIMALS. The underlying knowledge bases of searchengines do not contain answers to these queries because they do not have a ground truth.We describe the Surveyor system that mines the dominant opinion held by authors of Webcontent about whether a subjective property applies to a given entity. The evidence on whichSURVEYOR relies is statements extracted from Web text that either support the property orclaim its negation. The key challenge that SURVEYOR faces is that simply counting thenumber of positive and negative statements does not suffice; because there are multiple …,Proceedings of the 2015 ACM SIGMOD International Conference on Management of Data,2015,9
Towards self-organizing service-oriented architectures,Walter Binder; Daniele Bonetta; Cesare Pautasso; Achille Peternier; Diego Milano; Heiko Schuldt; Nenad Stojnic; Boi Faltings; Immanuel Trummer,Service-oriented architectures (SOAs) provide a successful model for structuring complexdistributed software systems; as they reduce the cost of ownership and ease the creation ofnew applications by composing existing services. However; currently; the development ofservice-oriented applications requires many manual tasks and prevailing infrastructure isoften based on centralized components that are central points of failure and easily becomebottlenecks. In this paper; we promote self-organizing SOA as a new approach to overcomethese limitations. Self-organizing SOA integrates research results in the areas of autonomicand service oriented computing. We consider self-organizing features for the whole life-cycleof a service-oriented application; from the creation to the execution; optimization; andmonitoring.,Services (SERVICES); 2011 IEEE World Congress on,2011,7
A Fast Randomized Algorithm for Multi-Objective Query Optimization,Immanuel Trummer; Christoph Koch,Abstract Query plans are compared according to multiple cost metrics in multi-objectivequery optimization. The goal is to find the set of Pareto plans realizing optimal cost tradeoffsfor a given query. So far; only algorithms with exponential complexity in the number of querytables have been proposed for multi-objective query optimization. In this work; we presentthe first algorithm with polynomial complexity in the query size. Our algorithm is randomizedand iterative. It improves query plans via a multi-objective version of hill climbing that appliesmultiple transformations in each climbing step for maximal efficiency. Based on a locallyoptimal plan; we approximate the Pareto plan set within the restricted space of plans withsimilar join orders. We maintain a cache of Pareto-optimal plans for each potentially usefulintermediate result to share partial plans that were discovered in different iterations. We …,Proceedings of the 2016 International Conference on Management of Data,2016,4
Optimizing the tradeoff between discovery; composition; and execution cost in service composition,Immanuel Trummer; Boi Faltings,Quality-aware service composition starts from an abstract workflow. The tasks of theworkflow are associated with functional types for which concrete services can be retrievedfrom a registry. Abstract tasks have to be mapped to concrete services before the workflow isexecuted. The goal is to maximize the workflow quality by choosing the right combination ofservices. Spending more time in discovery and composition will increase the quality of theresulting workflow. Restricted resources motivate however the question about the optimaltradeoff between composition effort and solution quality. In this paper; we aggregate thethree phases discovery; composition; and execution into a common cost metric. We motivatewhy this cost metric may dynamically change depending on the system state and theproperties of the workflow at hand. We present and analyze an iterative algorithm that …,Web Services (ICWS); 2011 IEEE International Conference on,2011,4
