Information Centric Networking Based Service Centric Networking,*,A method implemented by a network device residing in a service domain; wherein thenetwork device comprises an information centric networking (ICN) transport layer and aservice access layer (SAL) for handling context-aware service logistics and service mobilityoverlaid on the ICN transport layer; the method comprising receiving; in the ICN transportlayer; a message comprising a service request that originates from a user equipment (UE);in the SAL; retrieving; from the service request; contextual information relevant to the UE oran access network connected to the UE; determining; based on the contextual information;one or more services needed to execute the service request; and determining one or moreservice identities (SIDs) each of which identifies one of the one or more services.,*,2014,72
Towards software defined icn based edge-cloud services,Ravishankar Ravindran; Xuan Liu; Asit Chakraborti; Xinwen Zhang; Guoqiang Wang,ICN deployment will be based on the grounds of saving CAPEX/OPEX and/or enabling newservices. This paper makes a case for the latter leveraging; emerging technologies such asnetwork function virtualization (NFV) and software defined networking (SDN). We propose aframework to enable ICN based service platform as virtualized network functions to enableseveral edge-cloud services such as enterprise applications; big data analytic; or M2M/IoTservices. This platform is generic to support several ICN protocols and corresponding real-time and non-real time services leveraging ICN features such as name based routing;caching; multicasting; and flexible security techniques. As an implementation of thisarchitecture; we discuss how a scalable network based conferencing solution can berealized over the proposed ICN platform and compare it with a peer-to-peer design …,Cloud Networking (CloudNet); 2013 IEEE 2nd International Conference on,2013,33
Multipath Routing From a Traffic Engineering Perspective: How Beneficial is It?,Xuan Liu; Sudhir Mohanraj; Michał Pióro; Deep Medhi,Multipath routing gives traffic demands an opportunity to use multiple paths through anetwork. In a single-demand situation; its benefits are easy to see. In a multi-commoditycase; when potentially all node-pairs (demands) generate traffic; they compete for the samenetwork resources. In this work; we consider multipath routing in communication networks ina multi-commodity setting from a traffic engineering perspective. Based on a result fromlinear programming; we show that at an optimal solution; the number of demands that canhave multiple paths with nonzero flows is of the order of the number of network links for threecommonly used traffic engineering objectives. We introduce a multipath measure (MPM) andshow that under certain traffic conditions and topological structures; the MPM is zero or closeto zero; ie; Multipath routing provides little or limited gain compared to single-path routing …,the 22nd IEEE International Conference on Network Protocols,2014,24
The GpENI testbed: Network infrastructure; implementation experience; and experimentation,Deep Medhi; Byrav Ramamurthy; Caterina Scoglio; Justin P Rohrer; Egemen K Çetinkaya; Ramkumar Cherukuri; Xuan Liu; Pragatheeswaran Angu; Andy Bavier; Cort Buffington; James PG Sterbenz,Abstract The Great Plains Environment for Network Innovation (GpENI) is an internationalprogrammable network testbed centered initially in the Midwest US with the goal to provideprogrammability across the entire protocol stack. In this paper; we present the overall GpENIframework and our implementation experience for the programmable routing environmentand the dynamic circuit network (DCN). GpENI is built to provide a collaborative researchinfrastructure enabling the research community to conduct experiments in Future Internetarchitecture. We present illustrative examples of our experimentation in the GpENI platform.,Computer Networks,2014,15
Network virtualization in GpENI: Framework; implementation & integration experience,Ramkumar Cherukuri; Xuan Liu; Andy Bavier; James PG Sterbenz; Deep Medhi,Great Plains Environment for Network Innovation (GpENI) is an international testbed forfuture Internet research. A key component of GpENI is programmable network virtualization(GpENI-VINI). The scope of this paper is to present the framework; implementation andintegration experience with network virtualization in GpENI. In particular; this is describedthrough our experience of implementing and integrating the XORP (eXtensible Open RouterPlatform) routing platform into GpENI-VINI. Preliminary results on measurements andvalidation are presented.,Integrated Network Management (IM); 2011 IFIP/IEEE International Symposium on,2011,15
An Experimental Study on Dynamic Network Reconfiguration in a Virtualized Network Environment Using Autonomic Management,Xuan Liu; Parikshit Juluri; Deep Medhi,In a virtualized network; network virtualization is achieved by creating multiple instances ofvirtual routers over existing physical routers. Critical aspects of network virtualization areresource allocation and resource re-allocation; especially in the case of router failures or re-allocation of routers due for maintenance. In this paper; we present a dynamic networkreconfiguration scheme that can provision a new virtual network and recover it from routerfailures using autonomic management. In order to provide a highly available virtual network;our approach considers replacing failed routers with the most suitable standby routers. Wehave setup an experimental virtualized network on the GpENI Virtual Network Infrastructure(GpENI-VINI) testbed in which virtual routers are geographically distributed. Our autonomicmanagement function invokes the replacement module in the event of a router failure. Our …,*,2013,14
Creating repeatable computer science and networking experiments on shared; public testbeds,Sarah Edwards; Xuan Liu; Niky Riga,Abstract There are many compelling reasons to use a shared; public testbed such as GENI;Emulab; or PlanetLab to conduct experiments in computer science and networking. Thesetestbeds support creating experiments with a large and diverse set of resources. Moreoverthese testbeds are constructed to inherently support the repeatability of experiments asrequired for scientifically sound research. Finally; the artifacts needed for a researcher torepeat their own experiment can be shared so that others can readily repeat the experimentin the same environment. However using a shared; public testbed is different fromconducting experiments on resources either owned by the experimenter or someone theexperimenter knows. Experiments on shared; public testbeds are more likely to use largetopologies; use scarce resources; and need to be tolerant to outages and maintenances …,ACM SIGOPS Operating Systems Review,2015,9
Constructing a virtual networking environment in a geo-distributed programmable layer-2 networking environment (G-PLaNE),Tianyi Xing; Xuan Liu; Chun-Jen Chung; Akira Wada; Shingo Ata; Dijiang Huang; Deep Medhi,With Cloud Computing technology occupying the majority of future Internet research anddevelopment work; research on deploying and extending existing capabilities onto a newlyemerging infrastructure becomes more significant. For example; extending the virtualnetwork provisioning capability onto a Geo-distributed programmable layer-2 networkingenvironment (G-PLaNE) is a novel attempt and is different from in a single domain system. Inthis paper; we aim to illustrate how to construct the virtual networking environment upon ourself-designed resource provisioning system consisting of multiple clusters through G-PLaNE. Experimenters and researchers are able to develop and explore their ownmechanisms in our platform. Furthermore; a concrete example named Secure and ResilientVirtual Trust Routing (SeRViTR) is given to illustrate how this can be constructed over G …,Communications (ICC); 2012 IEEE International Conference on,2012,8
SeRViTR: A framework for trust and policy management for a secure Internet and its proof-of-concept implementation,Xuan Liu; Akira Wada; Tianyi Xing; Parikshit Juluri; Yasuhiro Sato; Shingo Ata; Dijiang Huang; Deep Medhi,A secure network is considered to be an important goal of the Future Internet; one way thiscan be embodied is by having flexible and robust routing functionalities with intrinsic securitymechanisms. It is also desirable to provide user-centric or service-centric routing capabilitiesto achieve service-oriented traffic controls as well as trust and policy management forsecurity. Based on these potential needs; a flexible; scalable; and robust routing frameworkthat enables fine-grained flow control under fixed or dynamic policies called the VirtualTrusted Routing and Provisioning Domain (VTRouPD)[11] has been recently proposed. Inthis paper; we present a framework called the Secure and Resilient Virtual Trust Routing(SeRViTR) framework; which is a proof-of-concept model of VTRouPD at the implementationlevel. SeRViTR has particular entities that are designed for policy management and trust …,Network Operations and Management Symposium (NOMS); 2012 IEEE,2012,8
SeRViTR: A framework; implementation; and a testbed for a trustworthy future Internet,Shingo Ata; Dijiang Huang; Xuan Liu; Akira Wada; Tianyi Xing; Parikshit Juluri; Chun-Jen Chung; Yasuhiro Sato; Deep Medhi,Abstract A flexible; scalable; and robust framework that enables fine-grained flow controlunder fixed or dynamic policies while addressing trustworthiness as a built-in network levelfunctionality is a desirable goal of the future Internet. Furthermore; the level oftrustworthiness may possibly be different from one network to another. It is also desirable toprovide user-centric or service-centric routing capabilities to achieve service-oriented trafficcontrols as well as trust and policy management for security. Addressing these aspects; wepresent the SeRViTR (Secure and Resilient Virtual Trust Routing) framework. In particular;we discuss the goal and scope of SeRViTR; its implementation details; and a testbed thatenables us to demonstrate SeRViTR. We have designed protocols and mechanisms forpolicy and trust management for SeRViTR and show a validation on the functional …,Computer Networks,2014,5
Performance impacts due to number portability under various routing schemes,Xuan Liu; Deep Medhi,Abstract Number portability provides users the capability to keep their telephone numbers asthey moves to another provider. Number portability technology involves complicatedarchitecture between different providers. From a routing perspective; and in order to simplifythe model; we consider that the traversal of a call to a ported number may involve threedifferent networks: the Originating Network; the Donor Network; and the Recipient Network.In this work; we consider four routing schemes; Onward Routing (OR); Query on Release(QoR); Call Dropback/Return to Pivot (CD/RtP); and All Call Query (ACQ) for numberportability. We present preliminary results on their performances under various scenariosfrom a connection setup delay point of view when the rate of portability changes.,Proceedings of the 23rd International Teletraffic Congress,2011,5
