Can social bookmarking improve web search?,Paul Heymann; Georgia Koutrika; Hector Garcia-Molina,Abstract Social bookmarking is a recent phenomenon which has the potential to give us agreat deal of data about pages on the web. One major question is whether that data can beused to augment systems like web search. To answer this question; over the past year wehave gathered what we believe to be the largest dataset from a social bookmarking site yetanalyzed by academic researchers. Our dataset represents about forty million bookmarksfrom the social bookmarking site del. icio. us. We contribute a characterization of posts todel. icio. us: how many bookmarks exist (about 115 million); how fast is it growing; and howactive are the URLs being posted about (quite active). We also contribute a characterizationof tags used by bookmarkers. We found that certain tags tend to gravitate towards certaindomains; and vice versa. We also found that tags occur in over 50 percent of the pages …,Proceedings of the 2008 International Conference on Web Search and Data Mining,2008,591
Fighting spam on social web sites: A survey of approaches and future challenges,Paul Heymann; Georgia Koutrika; Hector Garcia-Molina,In recent years; social Web sites have become important components of the Web. With theirsuccess; however; has come a growing influx of spam. If left unchecked; spam threatens toundermine resource sharing; interactivity; and openness. This article surveys threecategories of potential countermeasures-those based on detection; demotion; andprevention. Although many of these countermeasures have been proposed before for emailand Web spam; the authors find that their applicability to social Web sites differs.,IEEE Internet Computing,2007,297
Entity resolution with iterative blocking,Steven Euijong Whang; David Menestrina; Georgia Koutrika; Martin Theobald; Hector Garcia-Molina,Abstract Entity Resolution (ER) is the problem of identifying which records in a databaserefer to the same real-world entity. An exhaustive ER process involves computing thesimilarities between pairs of records; which can be very expensive for large datasets.Various blocking techniques can be used to enhance the performance of ER by dividing therecords into blocks in multiple ways and only comparing records within the same block.However; most blocking techniques process blocks separately and do not exploit the resultsof other blocks. In this paper; we propose an iterative blocking framework where the ERresults of blocks are reflected to subsequently processed blocks. Blocks are now iterativelyprocessed until no block contains any more matching records. Compared to simple blocking;iterative blocking may achieve higher accuracy because reflecting the ER results of …,Proceedings of the 2009 ACM SIGMOD International Conference on Management of data,2009,207
The DELOS digital library reference model. Foundations for digital libraries,Leonardo Candela; D Castelli; N Ferro; Y Ioannidis; G Koutrika; C Meghini; P Pagano; S Ross; D Soergel; M Agosti; Milena Dobreva; V Katifori; H Schuldt,The Digital Library universe is a complex framework. The growth and evolution of thisframework in terms of approaches; solutions and systems has led to the need for commonfoundations capable of setting the basis for better understanding; communicating andstimulating further evolution in this area. The DELOS Digital Library Reference Model aimsat contributing to the creation of such foundations. It exploits the collective understanding onDigital Libraries that has been acquired by European research groups active in the DigitalLibrary field for many years; both within the DELOS Network of Excellence and beyond; aswell as by other groups around the world. It identifies the set of concepts and relationshipsthat characterise the essence of the Digital Library universe. This model should beconsidered as a roadmap allowing the various players involved in the Digital Library …,*,2007,193
Personalization of queries in database systems,Georgia Koutrika; Yannis Ioannidis,As information becomes available in increasing amounts to a wide spectrum of users; theneed for a shift towards a more user-centered information access paradigm arises. Wedevelop a personalization framework for database systems based on user profiles andidentify the basic architectural modules required to support it. We define a preference modelthat assigns to each atomic query condition a personal degree of interest and provide amechanism to compute the degree of interest in any complex query condition based on thedegrees of interest in the constituent atomic ones. Preferences are stored in profiles. Atquery time; personalization proceeds in two steps:(a) preference selection and (b)preference integration into the original user query. We formulate the main personalizationstep; ie preference selection; as a graph computation problem and provide an efficient …,Data Engineering; 2004. Proceedings. 20th International Conference on,2004,180
Personalized queries under a generalized preference model,Georgia Koutrika; Yannis Ioannidis,Query personalization is the process of dynamically enhancing a query with related userpreferences stored in a user profile with the aim of providing personalized answers. Theunderlying idea is that different users may find different things relevant to a search due todifferent preferences. Essential ingredients of query personalization are:(a) a model forrepresenting and storing preferences in user profiles; and (b) algorithms for the generationof personalized answers using stored preferences. Modeling the plethora of preferencetypes is a challenge. In this paper; we present a preference model that combinesexpressivity and concision. In addition; we provide efficient algorithms for the selection ofpreferences related to a query; and an algorithm for the progressive generation ofpersonalized results; which are ranked based on user interest. Several classes of ranking …,Data Engineering; 2005. ICDE 2005. Proceedings. 21st International Conference on,2005,148
Combating spam in tagging systems,Georgia Koutrika; Frans Adjie Effendi; Zoltán Gyöngyi; Paul Heymann; Hector Garcia-Molina,Abstract Tagging systems allow users to interactively annotate a pool of shared resourcesusing descriptive tags. As tagging systems are gaining in popularity; they become moresusceptible to tag spam: misleading tags that are generated in order to increase the visibilityof some resources or simply to confuse users. We introduce a framework for modelingtagging systems and user tagging behavior. We also describe a method for rankingdocuments matching a tag based on taggers' reliability. Using our framework; we study thebehavior of existing approaches under malicious attacks and the impact of a moderator andour ranking method.,Proceedings of the 3rd international workshop on Adversarial information retrieval on the web,2007,147
A survey on representation; composition and application of preferences in database systems,Kostas Stefanidis; Georgia Koutrika; Evaggelia Pitoura,Abstract Preferences have been traditionally studied in philosophy; psychology; andeconomics and applied to decision making problems. Recently; they have attracted theattention of researchers in other fields; such as databases where they capture soft criteria forqueries. Databases bring a whole fresh perspective to the study of preferences; bothcomputational and representational. From a representational perspective; the centralquestion is how we can effectively represent preferences and incorporate them in databasequerying. From a computational perspective; we can look at how we can efficiently processpreferences in the context of database queries. Several approaches have been proposedbut a systematic study of these works is missing. The purpose of this survey is to provide aframework for placing existing works in perspective and highlight critical open challenges …,ACM Transactions on Database Systems (TODS),2011,140
Setting the foundation of digital libraries,Leonardo Candela; Donatella Castelli; Pasquale Pagano; Constantino Thanos; Yannis Ioannidis; Georgia Koutrika; Seamus Ross; Hans-Jörg Schek; Heiko Schuldt,Abstract The term" Digital Libraries" corresponds to a very complex notion with severaldiverse aspects and cannot be captured by a simple definition. A robust model of DigitalLibraries encapsulating the richness of these perspectives is required. This need has led tothe drafting of The Digital Library Manifesto; the aim of which is to set the foundations andidentify the cornerstone concepts within the universe of Digital Libraries; facilitating theintegration of research results and proposing better ways of developing appropriatesystems. The Manifesto is a result of the collaborative work of members of the EuropeanUnion co-funded DELOS Network of Excellence on Digital Libraries. 1 It exploits thecollective understanding that has been acquired; over more than a decade; on DigitalLibraries by European research groups active in the Digital Library field; both within …,D-Lib Magazine,2007,123
FlexRecs: expressing and combining flexible recommendations,Georgia Koutrika; Benjamin Bercovitz; Hector Garcia-Molina,Abstract Recommendation systems have become very popular but most recommendationmethods arehard-wired'into the system making experimentation with and implementation ofnew recommendation paradigms cumbersome. In this paper; we propose FlexRecs; aframework that decouples the definition of a recommendation process from its execution andsupports flexible recommendations over structured data. In FlexRecs; a recommendationapproach can be defined declaratively as a high-level parameterized workflow comprisingtraditional relational operators and new operators that generate or combinerecommendations. We describe a prototype flexible recommendation engine that realizesthe proposed framework and we present example workflows and experimental results thatshow its potential for capturing multiple; existing or novel; recommendations easily and …,Proceedings of the 2009 ACM SIGMOD International Conference on Management of data,2009,118
Data clouds: summarizing keyword search results over structured data,Georgia Koutrika; Zahra Mohammadi Zadeh; Hector Garcia-Molina,Abstract Keyword searches are attractive because they facilitate users searching structureddatabases. On the other hand; tag clouds are popular for navigation and visualizationpurposes over unstructured data because they can highlight the most significant conceptsand hidden relationships in the underlying content dynamically. In this paper; we proposecoupling the flexibility of keyword searches over structured data with the summarization andnavigation capabilities of tag clouds to help users access a database. We propose usingclouds over structured data (data clouds) to summarize the results of keyword searches overstructured data and to guide users to refine their searches. The cloud presents the mostsignificant words associated with the search results. Our keyword search model allowssearching for entities than can span multiple tables in the database rather than just tuples …,Proceedings of the 12th International Conference on Extending Database Technology: Advances in Database Technology,2009,102
