Timber: A native xml database,Hosagrahar V Jagadish; Shurug Al-Khalifa; Adriane Chapman; Laks VS Lakshmanan; Andrew Nierman; Stelios Paparizos; Jignesh M Patel; Divesh Srivastava; Nuwee Wiwatwattana; Yuqing Wu; Cong Yu,Abstract This paper describes the overall design and architecture of the Timber XMLdatabase system currently being implemented at the University of Michigan. The system isbased upon a bulk algebra for manipulating trees; and natively stores XML. New accessmethods have been developed to evaluate queries in the XML context; and new costestimation and query optimization techniques have also been developed. We presentperformance numbers to support some of our design decisions. We believe that the keyintellectual contribution of this system is a comprehensive set-at-a-time query processingability in a native XML store; with all the standard components of relational queryprocessing; including algebraic rewriting and a cost-based optimizer.,The VLDB Journal—The International Journal on Very Large Data Bases,2002,568
-From Tree Patterns to Generalized Tree Patterns: On Efficient Evaluation of XQuery,Zhimin Chen; HV Jagadish; Laks VS Lakshmanan; Stelios Paparizos,This chapter discusses the efficient evaluation of XQuery. XQuery is the current de factostandard XML query language. A core operation in the evaluation of XQuery is the finding ofmatches for specified tree patterns; and there has been much work towards algorithms forfinding such matches efficiently. Multiple XPath expressions can be evaluated by computingone or more tree pattern matches. Several XQuery implementation efforts have beenreported around the world. A key construct in most XML query models is the so-called treepattern (query)(TP (Q)); which is a tree T with nodes labeled by variables; together with aBoolean formula F specifying constraints on the nodes and their properties; including theirtags; attributes; and contents. The chapter proposes a structure called generalized treepattern (GTP) for concise representation of a whole XQuery expression. Evaluating the …,*,2003,170
Tree logical classes for efficient evaluation of XQuery,Stelios Paparizos; Yuqing Wu; Laks VS Lakshmanan; HV Jagadish,Abstract XML is widely praised for its flexibility in allowing repeated and missing sub-elements. However; this flexibility makes it challenging to develop a bulk algebra; whichtypically manipulates sets of objects with identical structure. A set of XML elements; say oftype book; may have members that vary greatly in structure; eg in the number of author sub-elements. This kind of heterogeneity may permeate the entire document in a recursivefashion: eg; different authors of the same or different book may in turn greatly vary instructure. Even when the document conforms to a schema; the flexible nature of schemas forXML still allows such significant variations in structure among elements in a collection. Bulkprocessing of such heterogeneous sets is problematic. In this paper; we introduce the notionof logical classes (LC) of pattern tree nodes; and generalize the notion of pattern tree …,Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,117
Structured annotations of web queries,Nikos Sarkas; Stelios Paparizos; Panayiotis Tsaparas,Abstract Queries asked on web search engines often target structured data; such ascommercial products; movie showtimes; or airline schedules. However; surfacing relevantresults from such data is a highly challenging problem; due to the unstructured language ofthe web queries; and the imposing scalability and speed requirements of web search. In thispaper; we discover latent structured semantics in web queries and produce StructuredAnnotations for them. We consider an annotation as a mapping of a query to a table ofstructured data and attributes of this table. Given a collection of structured tables; we presenta fast and scalable tagging mechanism for obtaining all possible annotations of a query overthese tables. However; we observe that for a given query only few are sensible for the userneeds. We thus propose a principled probabilistic scoring mechanism; using a generative …,Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,2010,93
Grouping in XML,Stelios Paparizos; Shurug Al-Khalifa; HV Jagadish; Laks Lakshmanan; Andrew Nierman; Divesh Srivastava; Yuqing Wu,Abstract XML permits repeated and missing sub-elements; and missing attributes. Wediscuss the consequent implications on grouping; both with respect to specification and withrespect to implementation. The techniques described here have been implemented in theTIMBER native XML database system being developed at the University of Michigan.,International Conference on Extending Database Technology,2002,89
Facet discovery for structured web search: a query-log mining approach,Jeffrey Pound; Stelios Paparizos; Panayiotis Tsaparas,Abstract In recent years; there has been a strong trend of incorporating results fromstructured data sources into keyword-based web search systems such as Bing or Amazon.When presenting structured data; facets are a powerful tool for navigating; refining; andgrouping the results. For a given structured data source; a fundamental problem insupporting faceted search is finding an ordered selection of attributes and values that willpopulate the facets. This creates two sets of challenges. First; because of the limited screenreal-estate; it is important that the top facets best match the anticipated user intent. Second;the huge scale of available data to such engines demands an automated unsupervisedsolution. In this paper; we model the user faceted-search behavior using the intersection ofweb query-logs with existing structured data. Since web queries are formulated as free …,Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,2011,47
TIMBER: A native system for querying XML,Stelios Paparizos; Shurug Al-Khalifa; Adriane Chapman; HV Jagadish; Laks VS Lakshmanan; Andrew Nierman; Jignesh M Patel; Divesh Srivastava; Nuwee Wiwatwattana; Yuqing Wu; Cong Yu,Abstract XML has become ubiquitous; and XML data has to be managed in databases. Thecurrent industry standard is to map XML data into relational tables and store this informationin a relational database. Such mappings create both expressive power problems andperformance problems. In the T IMBER [7] project we are exploring the issues involved instoring XML in native format. We believe that the key intellectual contribution of this system isa comprehensive set-at-a-time query processing ability in a native XML store; with all thestandard components of relational query processing; including algebraic rewriting and acost-based optimizer.,Proceedings of the 2003 ACM SIGMOD international conference on Management of data,2003,43
Entity synonyms for structured web search,Tao Cheng; Hady W Lauw; Stelios Paparizos,Nowadays; there are many queries issued to search engines targeting at finding values fromstructured data (eg; movie showtime of a specific location). In such scenarios; there is often amismatch between the values of structured data (how content creators describe entities) andthe web queries (how different users try to retrieve them). Therefore; recognizing thealternative ways people use to reference an entity; is crucial for structured web search. Inthis paper; we study the problem of automatic generation of entity synonyms over structureddata toward closing the gap between users and structured data. We propose an offline; data-driven approach that mines query logs for instances where content creators and web usersapply a variety of strings to refer to the same webpages. This way; given a set of strings thatreference entities; we generate an expanded set of equivalent strings (entity synonyms) …,IEEE transactions on knowledge and data engineering,2012,39
Pattern tree algebras: sets or sequences?,Stelios Paparizos; HV Jagadish,Abstract XML and XQuery semantics are very sensitive to the order of the produced output.Although pattern-tree based algebraic approaches are becoming more and more popular forevaluating XML; there is no universally accepted technique which can guarantee both acorrect output order and a choice of efficient alternative plans. We address the problemusing hybrid collections of trees that can be either sets or sequences or something inbetween. Each such collection is coupled with an Ordering Specification that describes howthe trees are sorted (full; partial or no order). This provides us with a formal basis fordeveloping a query plan having parts that maintain no order and parts with partial or fullorder. It turns out that duplicate elimination introduces some of the same issues as ordermaintenance: it is expensive and a single collection type does not always provide all the …,Proceedings of the 31st international conference on Very large data bases,2005,34
Persistent applications via automatic recovery,Roger Barga; David Lomet; Stelios Paparizos; Haifeng Yu; Sirish Chandrasekaran,Building highly available enterprise applications using Web-oriented middleware is hard.Runtime implementations frequently do not address the problems of application statepersistence and fault-tolerance; placing the burden of managing session state and; inparticular; handling system failures on application programmers. This paper describesPhoenix/APP; a runtime service based on the notion of recovery guarantees. Phoenix/APPtransparently masks failures and automatically recovers component-based applications.This both increases application availability and simplifies application development. Wedemonstrate the feasibility of this approach by describing the design and implementation ofPhoenix/APP in Microsoft's. NET runtime and present results on the cost of persisting andrecovering component-based applications.,Database Engineering and Applications Symposium; 2003. Proceedings. Seventh International,2003,28
Fuzzy matching of web queries to structured data,Tao Cheng; Hady W Lauw; Stelios Paparizos,Recognizing the alternative ways people use to reference an entity; is important for manyWeb applications that query structured data. In such applications; there is often a mismatchbetween how content creators describe entities and how different users try to retrieve them.In this paper; we consider the problem of determining whether a candidate queryapproximately matches with an entity. We propose an off-line; data-driven; bottom-upapproach that mines query logs for instances where Web content creators and Web usersapply a variety of strings to refer to the same Web pages. This way; given a set of strings thatreference entities; we generate an expanded set of equivalent strings for each entity. Theproposed method is verified with experiments on real-life data sets showing that we candramatically increase the queries that can be matched.,Data Engineering (ICDE); 2010 IEEE 26th International Conference on,2010,27
Synthesizing products for online catalogs,Hoa Nguyen; Ariel Fuxman; Stelios Paparizos; Juliana Freire; Rakesh Agrawal,Abstract A comprehensive product catalog is essential to the success of Product Searchengines and shopping sites such as Yahoo! Shopping; Google Product Search; and BingShopping. Given the large number of products and the speed at which they are released tothe market; keeping catalogs up-to-date becomes a challenging task; calling for the need ofautomated techniques. In this paper; we introduce the problem of product synthesis; a keycomponent of catalog creation and maintenance. Given a set of offers advertised bymerchants; the goal is to identify new products and add them to the catalog; together withtheir (structured) attributes. A fundamental challenge in product synthesis is the scale of theproblem. A Product Search engine receives data from thousands of merchants aboutmillions of products; the product taxonomy contains thousands of categories; where each …,Proceedings of the VLDB Endowment,2011,26
Virtual identity manager,*,A computing system and method for managing an identity of a user are provided. A servermay be configured to communicate with each of a plurality of client devices in correspondingrequest and response streams. An inference engine is configured to monitor the request andresponse streams for identifying factors that distinguish each of the plurality of client devicesfrom other of the plurality of client devices. Upon detecting one or more of the identifyingfactors for each of the two or more client devices that match within a threshold probability;the inference engine makes an inference that two or more of the plurality of client devicesare used by the user. Based upon the inference; the inference engine creates a virtualidentity record at the server linking the two or more client devices.,*,2014,21
Answering web queries using structured data sources,Stelios Paparizos; Alexandros Ntoulas; John Shafer; Rakesh Agrawal,Abstract In web search today; a user types a few keywords which are then matched againsta large collection of unstructured web pages. This leaves a lot to be desired for when thebest answer to a query is contained in structured data stores and/or when the user includessome structural semantics in the query. In our work; we include information from structureddata sources into web results. Such sources can vary from fully relational DBs; to flat tablesand XML files. In addition; we take advantage of information in such sources to automaticallyextract corresponding semantics from the query and use them appropriately in improving theoverall relevance of results.,Proceedings of the 2009 ACM SIGMOD International Conference on Management of data,2009,21
Context-Aware Query Recommendations,*,Described is a search-related technology in which context information regarding a user'sprior search actions is used in making query recommendations for a current user action;such as a query or click. To determine whether each set or subset of context information isrelevant to the user action; data obtained from a query log is evaluated. More particularly; aquery transition (query-query) graph and a query click (query-URL) graph are extracted fromthe query log; vectors are computed for the current action and each context/sub-context andevaluated against vectors in the graphs to determine current action-to-context similarity. Alsodescribed is using similar context to provide the query recommendations; using parametersto control the similarity strictness; and/or whether more recent context information is morerelevant than less recent context information; and using context information to distinguish …,*,2010,20
A physical algebra for XML,Stelios Paparizos; Shurug Al-Khalifa; HV Jagadish; Andrew Nierman; Yuqing Wu,Abstract We present a physical algebra for the manipulation of XML in a database. We showhow to map logical algebra operators to this physical algebra. We also present severalphysical algebra identities that are useful for query optimization. This physical algebra is thebasis for the implementation of the TIMBER native XML database system at the University ofMichigan.,*,2002,19
User computing device with personal agent program for recommending meeting a friend at a service location based on current location; travel direction; and calenda...,*,A long-term personal agent program; executable as network service and/or on one or moreuser computing devices and related method for identifying opportunities and makingrecommendations on behalf of one or more users; are disclosed herein. In one example; thepersonal agent program includes a monitoring engine configured to monitor and interpret auser's activities over time with a plurality of sensing and logging methodologies according touser authorization; the use of statistical methods for learning to understand a user's goalsand behavioral patterns from data; and the use of procedures for computing the expectedvalue of information guiding sensing and logging in different contexts. The personal agentfurther may include a recommendation methodology configured to make suggestions and totake actions on behalf of the user; in the present moment as well as for future times …,*,2016,18
Boot-strapping language identifiers for short colloquial postings,Moises Goldszmidt; Marc Najork; Stelios Paparizos,Abstract There is tremendous interest in mining the abundant user generated content on theweb. Many analysis techniques are language dependent and rely on accurate languageidentification as a building block. Even though there is already research on languageidentification; it focused on very 'clean'editorially managed corpora; on a limited number oflanguages; and on relatively large-sized documents. These are not the characteristics of thecontent to be found in say; Twitter or Facebook postings; which are short and riddled withvernacular. In this paper; we propose an automated; unsupervised; scalable solution basedon publicly available data. To this end we thoroughly evaluate the use of Wikipedia to buildlanguage identifiers for a large number of languages (52) and a large corpus and conduct alarge scale study of the best-known algorithms for automated language identification …,Joint European Conference on Machine Learning and Knowledge Discovery in Databases,2013,18
SIGOPT: Using schema to optimize XML query processing,Stelios Paparizos; Jignesh M Patel; HV Jagadish,There has been a great deal of work in recent years on processing and optimizing queriesagainst XML data. Typically in these previous works; schema information is not considered;so that evaluation techniques can continue to be used even in the absence of one. However;schema information is often available and; in this paper; we show that when available it canbe exploited to great advantage in ways that complement" traditional" XML queryoptimization. To be usable in practice; we require that aspects of schema; essential for ourpurposes; be captured in a schema information graph (SIG). We exploit such meta-dataknowledge with a preprocessing enumeration phase that detects potentiallyinterchangeable evaluation units-we call such units alternate paths. We show; within analgebraic framework; methods that can break down a pattern tree into elementary paths …,Data Engineering; 2007. ICDE 2007. IEEE 23rd International Conference on,2007,15
Annotating queries over structured data,*,A query may be received at a computing device and may include one or more terms. Foreach set of structured data tuples; a set of tokens may be determined from the terms of thequery by the computing device based on attribute values of attributes associated with thestructured data tuples in the set of structured data tuples. An annotated query may bedetermined from each of the sets of tokens. A probability score may be determined for eachof the determined annotated queries. The annotated query having the highest determinedprobability score may be selected; and one or more structured data tuples may be identifiedfrom the structured data tuples that have attributes with attribute values that match one ormore tokens of the selected annotated query.,*,2011,14
Providing query suggestions,*,Methods and computer-readable media are provided for determining suggested queries. Auser enters a search website; and the user is identified based on a user identification.Suggested queries are determined based on a group associated with the user. Thisassociation is created by extracting queries from data logs; categorizing the queries intogroups based on their respective subject matter; associating the user with one or moregroups; and determining suggested queries for each group. The suggested queries arecommunicated for display.,*,2014,13
