Nested mappings: schema mapping reloaded,Ariel Fuxman; Mauricio A Hernandez; Howard Ho; Renee J Miller; Paolo Papotti; Lucian Popa,Abstract Many problems in information integration rely on specifications; called schemamappings; that model the relationships between schemas. Schema mappings for bothrelational and nested data are well-known. In this work; we present a new formalism forschema mapping that extends these existing formalisms in two significant ways. First; ournested mappings allow for nesting and correlation of mappings. This results in a naturalprogramming paradigm that often yields more accurate specifications. In particular; we showthat nested mappings can naturally preserve correlations among data that existing mappingformalisms cannot. We also show that using nested mappings for purposes of exchangingdata from a source to a target will result in less redundancy in the target data. The secondextension to the mapping formalism is the ability to express; in a declarative way …,Proceedings of the 32nd international conference on Very large data bases,2006,151
Holistic data cleaning: Putting violations into context,Xu Chu; Ihab F Ilyas; Paolo Papotti,Data cleaning is an important problem and data quality rules are the most promising way toface it with a declarative approach. Previous work has focused on specific formalisms; suchas functional dependencies (FDs); conditional functional dependencies (CFDs); andmatching dependencies (MDs); and those have always been studied in isolation. Moreover;such techniques are usually applied in a pipeline or interleaved. In this work we tackle theproblem in a novel; unified framework. First; we let users specify quality rules using denialconstraints with ad-hoc predicates. This language subsumes existing formalisms and canexpress rules involving numerical values; with predicates such as “greater than” and “lessthan”. More importantly; we exploit the interaction of the heterogeneous constraints byencoding them in a conflict hypergraph. Such holistic view of the conflicts is the starting …,Data Engineering (ICDE); 2013 IEEE 29th International Conference on,2013,95
The LLUNATIC data-cleaning framework,Floris Geerts; Giansalvatore Mecca; Paolo Papotti; Donatello Santoro,Abstract Data-cleaning (or data-repairing) is considered a crucial problem in many database-related tasks. It consists in making a database consistent with respect to a set of givenconstraints. In recent years; repairing methods have been proposed for several classes ofconstraints. However; these methods rely on ad hoc decisions and tend to hard-code thestrategy to repair conflicting values. As a consequence; there is currently no generalalgorithm to solve database repairing problems that involve different kinds of constraints anddifferent strategies to select preferred values. In this paper we develop a uniform frameworkto solve this problem. We propose a new semantics for repairs; and a chase-basedalgorithm to compute minimal solutions. We implemented the framework in a DBMS-basedprototype; and we report experimental results that confirm its good scalability and …,Proceedings of the VLDB Endowment,2013,83
Katara: A data cleaning system powered by knowledge bases and crowdsourcing,Xu Chu; John Morcos; Ihab F Ilyas; Mourad Ouzzani; Paolo Papotti; Nan Tang; Yin Ye,Abstract Classical approaches to clean data have relied on using integrity constraints;statistics; or machine learning. These approaches are known to be limited in the cleaningaccuracy; which can usually be improved by consulting master data and involving experts toresolve ambiguity. The advent of knowledge bases KBs both general-purpose and withinenterprises; and crowdsourcing marketplaces are providing yet more opportunities toachieve higher accuracy at a larger scale. We propose KATARA; a knowledge base andcrowd powered data cleaning system that; given a table; a KB; and a crowd; interprets tablesemantics to align it with the KB; identifies correct and incorrect data; and generates top-kpossible repairs for incorrect data. Experiments show that KATARA can be applied tovarious datasets and KBs; and can efficiently annotate data and suggest possible repairs.,Proceedings of the 2015 ACM SIGMOD International Conference on Management of Data,2015,63
++ Spicy: an Open-Source Tool for Second-Generation Schema Mapping and Data Exchange,Bruno Marnette; Giansalvatore Mecca; Paolo Papotti; Salvatore Raunich; Donatello Santoro,ABSTRACT Recent results in schema-mapping and data-exchange research may beconsidered the starting point for a new generation of systems; capable of dealing with asignificantly larger class of applications. In this paper we demonstrate the first of thesesecond-generation systems; called++ SPiCY. We introduce a number of scenarios from avariety of data management tasks; such as data fusion; data cleaning; and ETL; and showhow; based on the system; schema mappings and data exchange techniques can be veryeffectively applied to these contexts. We compare++ SPiCY to the previous generations oftools; to show that this is much-needed advancement in the field.,PVLDB,2011,62
Probabilistic models to reconcile complex data from inaccurate data sources,Lorenzo Blanco; Valter Crescenzi; Paolo Merialdo; Paolo Papotti,Abstract Several techniques have been developed to extract and integrate data from websources. However; web data are inherently imprecise and uncertain. This paper addressesthe issue of characterizing the uncertainty of data extracted from a number of inaccuratesources. We develop a probabilistic model to compute a probability distribution for theextracted values; and the accuracy of the sources. Our model considers the presence ofsources that copy their contents from other sources; and manages the misleadingconsensus produced by copiers. We extend the models previously proposed in the literatureby working on several attributes at a time to better leverage all the available evidence. Wealso report the results of several experiments on both synthetic and real-life data to show theeffectiveness of the proposed approach.,International Conference on Advanced Information Systems Engineering,2010,60
Clip: a visual language for explicit schema mappings,Alessandro Raffio; Daniele Braga; Stefano Ceri; Paolo Papotti; Mauricio A Hernandez,Many data integration solutions in the market today include tools for schema mapping; tohelp users visually relate elements of different schemas. Schema elements are connectedwith lines; which are interpreted as mappings; ie high-level logical expressions capturing therelationship between source and target data-sets; these are compiled into queries andprograms that convert source-side data instances into target-side instances. This paperdescribes Clip; an XML schema mapping tool distinguished from existing tools in thatmappings explicitly specify structural transformations in addition to value couplings. Sinceclip maps hierarchical XML schemas; lines appear naturally nested. We describe thetransformation semantics associated with our" lines" and how they combine to formmappings that are more expressive than those generated by Clio; a well-known mapping …,Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,59
Core schema mappings,Giansalvatore Mecca; Paolo Papotti; Salvatore Raunich,Abstract Research has investigated mappings among data sources under two perspectives.On one side; there are studies of practical tools for schema mapping generation; these focuson algorithms to generate mappings based on visual specifications provided by users. Onthe other side; we have theoretical researches about data exchange. These study how togenerate a solution-ie; a target instance-given a set of mappings usually specified as tuplegenerating dependencies. However; despite the fact that the notion of a core of a dataexchange solution has been formally identified as an optimal solution; there are yet nomapping systems that support core computations. In this paper we introduce several newalgorithms that contribute to bridge the gap between the practice of mapping generation andthe theory of data exchange. We show how; given a mapping scenario; it is possible to …,Proceedings of the 2009 ACM SIGMOD International Conference on Management of data,2009,58
Bigdansing: A system for big data cleansing,Zuhair Khayyat; Ihab F Ilyas; Alekh Jindal; Samuel Madden; Mourad Ouzzani; Paolo Papotti; Jorge-Arnulfo Quiané-Ruiz; Nan Tang; Si Yin,Abstract Data cleansing approaches have usually focused on detecting and fixing errorswith little attention to scaling to big datasets. This presents a serious impediment since datacleansing often involves costly computations such as enumerating pairs of tuples; handlinginequality joins; and dealing with user-defined functions. In this paper; we presentBigDansing; a Big Data Cleansing system to tackle efficiency; scalability; and ease-of-useissues in data cleansing. The system can run on top of most common general purpose dataprocessing platforms; ranging from DBMSs to MapReduce-like frameworks. A user-friendlyprogramming interface allows users to express data quality rules both declaratively andprocedurally; with no requirement of being aware of the underlying distributed platform.BigDansing takes these rules into a series of transformations that enable distributed …,Proceedings of the 2015 ACM SIGMOD International Conference on Management of Data,2015,52
Scalable data exchange with functional dependencies,Bruno Marnette; Giansalvatore Mecca; Paolo Papotti,Abstract The recent literature has provided a solid theoretical foundation for the use ofschema mappings in data-exchange applications. Following this formalization; newalgorithms have been developed to generate optimal solutions for mapping scenarios in ahighly scalable way; by relying on SQL. However; these algorithms suffer from a seriousdrawback: they are not able to handle key constraints and functional dependencies on thetarget; ie; equality generating dependencies (egds). While egds play a crucial role in thegeneration of optimal solutions; handling them with first-order languages is a difficultproblem. In fact; we start from a negative result: it is not always possible to compute solutionsfor scenarios with egds using an SQL script. Then; we identify many practical cases in whichthis is possible; and develop a best-effort algorithm to do this. Experimental results show …,Proceedings of the VLDB Endowment,2010,50
Discovering denial constraints,Xu Chu; Ihab F Ilyas; Paolo Papotti,Abstract Integrity constraints (ICs) provide a valuable tool for enforcing correct applicationsemantics. However; designing ICs requires experts and time. Proposals for automaticdiscovery have been made for some formalisms; such as functional dependencies and theirextension conditional functional dependencies. Unfortunately; these dependencies cannotexpress many common business rules. For example; an American citizen cannot have lowersalary and higher tax rate than another citizen in the same state. In this paper; we tackle thechallenges of discovering dependencies in a more expressive integrity constraint language;namely Denial Constraints (DCs). DCs are expressive enough to overcome the limits ofprevious languages and; at the same time; have enough structure to allow efficient discoveryand application in several scenarios. We lay out theoretical and practical foundations for …,Proceedings of the VLDB Endowment,2013,46
