Relational Databases for Querying XML Documents: Limitations and Opportunities,Shanmugasundaram Jayavel; Tufte Kristin; He Gang; Zhang Chun; DeWitt David; Naughton Jeffrey,*,Proceedings of the 25th VLDB Conference; Edinburgh; Scotland,1999,1644
On supporting containment queries in relational database management systems,Chun Zhang; Jeffrey Naughton; David DeWitt; Qiong Luo; Guy Lohman,Abstract Virtually all proposals for querying XML include a class of query we term“containment queries”. It is also clear that in the foreseeable future; a substantial amount ofXML data will be stored in relational database systems. This raises the question of how tosupport these containment queries. The inverted list technology that underlies much ofInformation Retrieval is well-suited to these queries; but should we implement thistechnology (a) in a separate loosely-coupled IR engine; or (b) using the native tables andquery execution machinery of the RDBMS? With option (b); more than twenty years of workon RDBMS query optimization; query execution; scalability; and concurrency control andrecovery immediately extend to the queries and structures that implement these newoperations. But all this will be irrelevant if the performance of option (b) lags that of (a) by …,Acm Sigmod Record,2001,1177
On the computation of multidimensional aggregates,Sameet Agarwal; Rakesh Agrawal; Prasad M Deshpande; Ashish Gupta; Jeffrey F Naughton; Raghu Ramakrishnan; Sunita Sarawagi,Abstract At the heart of OLAP or multidimensional data analysis applications is the ability tosimultaneously aggregate across many sets of dimensions. Computing multidimensionalaggregates is a performance bottleneck for these applications. We explore various schemesfor implementing multidimensional aggregation; in particular; the CUBE operator [1]proposed by Gray et al. This operator computes aggregates over all subsets of dimensionsspecified in the CUBE operation; and is equivalent to the union of a number of standardgroup-by operations. We show how the structure of CUBE computation can be viewed interms of a hierarchy of group-by operations; and present a class of sorting-based algorithmsthat overlap the computation of different group-by operations using the least possiblememory for each computation. Our algorithms seek to minimize the number of sorting …,VLDB,1996,849
Generalized search trees for database systems,Joseph M Hellerstein; Jeffrey F Naughton; Avi Pfeffer,Abstract This paper introduces the Generalized Search Tree (GiST); an index structuresupporting an extensible set of queries and data types. The GiST allows new data types tobe indexed in a manner supporting queries natural to the types; this is in contrast to previouswork on tree extensibility which only supported the traditional set of equality and rangepredicates. In a single data structure; the GiST provides all the basic search tree logicrequired by a database system; thereby unifying disparate structures such as Bt-trees and R-trees in a single piece of code; and opening the application of search trees to genera!extensibility. To illustrate the flexibility of the GiST; we provide simple methodimplementations that allow it to behave like a B+-tree; an R-tree; and an RD-tree; a newindex for data with set-valued attributes. We also present a preliminary performance …,*,1995,669
D. DeWitt; and J. Naughton;" The 007 Benchmark;",M Carey,*,Proceedings ofthe SIGMOD International Conference on Management ofData,*,668
An array-based algorithm for simultaneous multidimensional aggregates,Yihong Zhao; Prasad M Deshpande; Jeffrey F Naughton,Abstract Computing multiple related group-bys and aggregates is one of the core operationsof On-Line Analytical Processing (OLAP) applications. Recently; Gray et al.[GBLP95]proposed the “Cube” operator; which computes group-by aggregations over all possiblesubsets of the specified dimensions. The rapid acceptance of the importance of this operatorhas led to a variant of the Cube being proposed for the SQL standard. Several efficientalgorithms for Relational OLAP (ROLAP) have been developed to compute the Cube.However; to our knowledge there is nothing in the literature on how to compute the Cube forMultidimensional OLAP (MOLAP) systems; which store their data in sparse arrays ratherthan in tables. In this paper; we present a MOLAP algorithm to compute the Cube; andcompare it to a leading ROLAP algorithm. The comparison between the two is interesting …,ACM SIGMOD Record,1997,589
Shoring up persistent applications,Michael J Carey; David J DeWitt; Michael J Franklin; Nancy E Hall; Mark L McAuliffe; Jeffrey F Naughton; Daniel T Schuh; Marvin H Solomon; CK Tan; Odysseas G Tsatalos; Seth J White; Michael J Zwilling,Abstract SHORE (Scalable Heterogeneous Object REpository) is a persistent object systemunder development at the University of Wisconsin. SHORE represents a merger of object-oriented database and file system technologies. In this paper we give the goals andmotivation for SHORE; and describe how SHORE provides features of both technologies.We also describe some novel aspects of the SHORE architecture; including a symmetricpeer-to-peer server architecture; server customization through an extensible value-addedserver facility; and support for scalability on multiprocessor systems. An initial version ofSHORE is already operational; and we expect a release of Version 1 in mid-1994.,ACM SIGMOD Record,1994,583
Evaluating window joins over unbounded streams,Jaewoo Kang; Jeffrey F Naughton; Stratis D Viglas,We investigate algorithms for evaluating sliding window joins over pairs of unboundedstreams. We introduce a unit-time-basis cost model to analyze the expected performance ofthese algorithms. Using this cost model; we propose strategies for maximizing the efficiencyof processing joins in three scenarios. First; we consider the case where one stream is muchfaster than the other. We show that asymmetric combinations of join algorithms;(eg; hashjoin on one input; nested-loops join on the other) can outperform symmetric join algorithmimplementations. Second; we investigate the case where system resources are insufficientto keep up with the input streams. We show that we can maximize the number of join resulttuples produced in this case by properly allocating computing resources across the two inputstreams. Finally; we investigate strategies for maximizing the number of result tuples …,Data Engineering; 2003. Proceedings. 19th International Conference on,2003,485
Covering indexes for branching path queries,Raghav Kaushik; Philip Bohannon; Jeffrey F Naughton; Henry F Korth,Abstract In this paper; we ask if the traditional relational query acceleration techniques ofsummary tables and covering indexes have analogs for branching path expression queriesover tree-or graph-structured XML data. Our answer is yes---the forward-and-backwardindex already proposed in the literature can be viewed as a structure analogous to asummary table or covering index. We also show that it is the smallest such index that coversall branching path expression queries. While this index is very general; our experimentsshow that it can be so large in practice as to offer little performance improvement overevaluating queries directly on the data. Likening the forward-and-backward index to acovering index on all the attributes of several tables; we devise an index definition schemeto restrict the class of branching path expressions being indexed. The resulting index …,Proceedings of the 2002 ACM SIGMOD international conference on Management of data,2002,422
Materialized view selection for multidimensional datasets,Amit Shukla; Prasad Deshpande; Jeffrey F Naughton,Abstract To fulfill the requirement of fast interactive multidimensional data analysis; databasesystems precompute aggregate views on some subsets of dimensions and theircorresponding hierarchies. However; the problem of what to precompute is difficult andintriguing. The leading existing algorithm; BPUS; has a running time that is polynomial in thenumber of views and is guaranteed to be within (0.63-f) of optimal; where f is the fraction ofavailable space consumed by the largest aggregate. Unfortunately; BPUS can beimpractically slow; and in some instances may miss good solutions due to the coarsegranularity at which it makes its decisions of what to precompute. In view of this; we study thestructure of the precomputation problem and show that under certain broad conditions onthe multidimensional data; an even simpler and faster algorithm; PBS; achieves the same …,VLDB,1998,365
Practical skew handling in parallel joins,David J DeWitt; Jeffrey F Naughton; Donovan A Schneider; Srinivasan Seshadri,Abstract We present an approach to dealing with skew in parallel joins in database systems.Our approach is easily implementable within current parallel DBMS; and performs well onskewed data without degrading the performance of the system on non-skewed data. Themain idea is to use multiple algorithms; each specialized for a different degree of skew; andto use a small sample of the relations being joined to determine which algorithm isappropriate. We developed; implemented; and experimented with four new skew-handlingparallel join algorithms; one; which we call virtual processor range partitioning; was the clearwinner in lhigh skew cases; while traditional hybrid hash join was the clear winner in lowerskew or no skew cases. We present experimental results from an implementation of all fouralgorithms on the Gamma parallel database machine. To our knowledge; these are the …,*,1992,365
