A putative poststreptococcal case of OCD with chronic tic disorder; not otherwise specified,Daniel M Tucker; James F Leckman; Lawrence Scahill; Guita Epstein Wilf; ROBERT LaCAMERA; Laurie Cardona; Phyllis Cohen; Saylor Heidmann; Jonathan Goldstein; Joan Judge; Edward Snyder; Abel Bult; Bradley S Peterson; Robert King; Paul Lombroso,ABSTRACT A 12-year-old girl presented with an atypical; recurrent; increasingly treatment-resistant case of obsessive-compulsive disorder and chronic tic disorder associated withprofound separation anxiety; learning difficulty; and intermittent upper respiratory symptoms.In addition to detailed reviews of history and findings from many clinical caretakers from theprior 7 years; current pediatric; psychiatric; neuropsychological; neuroimaging; and clinicallaboratory data were also available. Treatment options were considered from multipleperspectives: psychoanalytically oriented psychotherapy; conventional pharmacotherapy;family interventions; cognitive-behavioral therapy; and learning-supportive strategies.Psychological; neuropsychiatric; and neuroimmunological formulations of etiology wereconsidered. Subsequent treatments included supportive psychotherapy; neuroleptic …,Journal of the American Academy of Child & Adolescent Psychiatry,1996,73
The effect of motorcycle helmet use on the probability of fatality and the severity of head and neck injuries: a latent variable framework,Jonathan P Goldstein,This article evaluates the effectiveness of motorcycle helmets in accident situations. A latentvariable model is developed and estimated. It is concluded that (1) motorcycle helmets haveno statistically significant effect on the probability of fatality;(2) helmets reduce the severity ofhead injuries; and (3) past a critical impact speed; helmets increase the severity of neckinjuries. Further analysis establishes the qualitative and quantitative nature of the head-neckinjury trade-off.,Evaluation Review,1986,54
The effect of motorcycle helmet use on the probability of fatality and the severity of head and neck injuries: a latent variable framework,Jonathan P Goldstein,This article evaluates the effectiveness of motorcycle helmets in accident situations. A latentvariable model is developed and estimated. It is concluded that (1) motorcycle helmets haveno statistically significant effect on the probability of fatality;(2) helmets reduce the severity ofhead injuries; and (3) past a critical impact speed; helmets increase the severity of neckinjuries. Further analysis establishes the qualitative and quantitative nature of the head-neckinjury trade-off.,Evaluation Review,1986,54
Introduction: The political economy of financialization,Jonathan P Goldstein,The literature on financialization is less than a decade old. 1 Epstein (2005) contains someof the earliest papers presented at a 2001 conference and updated for publication. While acommon definition of financialization has not emerged in the existing literature (Epstein2005: 3) nor in the papers in this issue; clear tendencies have emerged. The most dominanttrend has been to follow the lead of Hilferding (1981 [1910]) by contributing to what can beconsidered a sequel to Finance Capital. For the purposes of this introduction; I employ thisconcept of financialization as a process that alters the fundamental aspects of capitalistmicro and macro dynamics. Hilferding's class-based study of a new phase of capitalistaccumulation associated with the concentration and centralization of capital and the rise topower of a class of finance capitalists provides a general framework that has proven …,*,2009,35
The cyclical profit squeeze: a Marxian microfoundation,Jonathan P Goldstein,This paper develops a microfoundation for the cyclical profit squeeze theory of crisis. Anoptimal cyclical mark-up pricing policy is derived. The mark-up rises from initial trough untilmidexpansion and then declines until the terminal trough. The necessary and sufficientconditions for the resulting decline in the profit rate are the capital-labor struggle whichdetermines the behavior of costs and the competition among capitals which restricts risingcosts from being fully passed on. It is also shown that this optimal mark-up behavior servesas a microfoundation for a profit squeeze theory of the business cycle.,Review of Radical Political Economics,1985,35
Predator–prey model estimates of the cyclical profit squeeze,Jonathan P Goldstein,Abstract This paper extends the empirical literature on the cyclical profit squeeze (CPS)theory of crisis by developing a multivariate model with superior decomposition methods. Astructural time series (unobserved components) model with trend and structural VARcomponents is employed. The VAR captures the dynamic cyclical interaction betweenunemployment and profit's share of income and is interpreted as a linear version ofGoodwin's (1967) predator-prey model. Model extensions incorporate the accumulationprocess and structural shifts. Estimation results for the US economy are used to sort out thecontroversial relevance of the CPS in the post-1970 period. It is concluded that the CPS isrelevant during the period from 1949 to 1985; but is moderately weakened in the post-1970period. Inconclusive statistical support for the CPS is found for the post-1985 era.,Metroeconomica,1999,28
The empirical relevance of the cyclical profit squeeze: a reassertion,Jonathan P Goldstein,In recent years a number of studies (Epstein (1991); Michl (1988a; 1988b); Sherman (1990;1991); and Weisskopf (1988; 1992) have questioned the empirical relevance of the cyclicaland secular variants of the profit squeeze theory of crisis for the post-197O US economy.However; these studies contain a variety of methodological flaws which are sufficient basisto reopen the issue. In this light; the purpose of this paper is to provide alternative empiricalestimates of the relevance of the cyclical profit squeeze for the post-war US economy with aparticular focus on the post-1970 period. This literature has challenged the conditions ofexistence of the cyclical profit squeeze (CPS) and secular profit squeeze (SPS) in the post-1970 period. In particular; Epstein (1991) argues that a flexible exchange rate regime (1971-on) reduces the effective (international) competitive constraint on costinduced price …,Review of Radical Political Economics,1996,27
The simple analytics and empirics of the cyclical profit squeeze and cyclical underconsumption theories: clearing the air,Jonathan P Goldstein,This paper examines the controversies that exist between the cyclical profit squeeze (CPS)and nutcracker theories of cyclical crisis. The-simple analytics and empirics of both theoriesare examined. It is shown that the criticisms of the CPS advanced by Sherman (1997) areinvalid; and that the two components of the nutcracker theory—a cyclical underconsumptioncrisis plus a non-labor cost-induced decline in profits-have little relevance for explainingpostwar US business cycles.,Review of Radical Political Economics,1999,25
Markup variability and flexibility: Theory and empirical evidence,Jonathan Goldstein,This paper summarizes and empirically tests an alternative theory of markup pricing. It isconcluded that; over the typical business cycle;(1) the markup rises from initial trough untilthe midexpansion and then declines until the terminal trough and (2) markup flexibility ispositively related to the degree of (demand) competition. This cyclical pattern of markupvariability is shown to exist in major industry groups for all postwar cycles up to 1980.Regression analysis reveals that in highly concentrated industries a positive relation existsbetween markup flexibility and the level of import competition and a proxy for the elasticity ofdemand.,Journal of Business,1986,19
Marxian microfoundations: Contribution or detour?,Jonathan P Goldstein,This article celebrates and critically examines the twenty-five-year productive; yet highlycontroversial; Marxian microfoundations (MM) literature. The contentious methodologicaldebate over MM that is dominated by fundamentalist positions on both sides is evaluatedand rejected. An alternative; centrist; methodological defense of MM is developed. Havingestablished a methodological basis for MM; the micro contributions of the existing literatureare evaluated in the following subject areas: methodology; accumulation and crisis; laborprocess and labor market segmentation; technical change; and class and exploitation. Iconclude that although the MM literature has made significant contributions to strengtheningMarxian arguments/propositions; there is room for improvement in the areas of integratingexisting MM with common themes; improving modeling techniques; developing better …,Review of Radical Political Economics,2006,18
The existence; endogeneity; and synchronization of long waves: structural time series model estimates,Jonathan P Goldstein,In the spirit of David Gordon's application of advanced econometric techniques to problemsin political economy and his interest in long waves; this paper develops a structural timeseries model for testing the existence; endogeneity; and synchronization of long waves inthe output series for 11 countries. The results show a strong long wave pattern with a highdegree of endogenous behavior in 8 of 11 GDP series. Strong evidence for thesynchronization of long waves based on international transmission mechanisms is found;while weaker evidence exists for synchronization based on similar institutional structures.Other long wave hypotheses are also addressed.,Review of Radical Political Economics,1999,18
A Marxian-Keynesian theory of investment demand: empirical evidence,James Crotty; Jonathan P Goldstein,*,International perspectives on profitability and accumulation,1992,18
Heterodox macroeconomics: Keynes; Marx and globalization,Jonathan P Goldstein; Michael G Hillard,Heterodox Macroeconomics offers a detailed understanding of the foundations of the recentglobal financial crisis. The chapters; from a selection of leading academics in the field ofheterodox macroeconomics; carry out a synthesis of heterodox ideas that place financialinstability; macroeconomic crisis; rising global inequality and a grasp of the perverse andpernicious qualities of global and domestic macroeconomic policy making since 1980 into acoherent perspective. It familiarizes the reader with the emerging unified theory of heterodoxmacroeconomics and its applications. The book is divided into four key sections: I)Heterodox Macroeconomics and the Keynes-Marx synthesis; II) Accumulation; Crisis andInstability; III) The Macrodynamics of the Neoliberal Regime; and IV) HeterodoxMacroeconomic Policy. The essays include theoretical; international; historical; and …,*,2009,17
The Investment Decision of the Post-Keynesian Firm: A Suggested Microfoundation for Minsky's Investment Instability Thesis,James Crotty; Jonathan Goldstein,Abstract In this paper; Crotty and Goldstein undertake the formulation of a model ofenterprise investment decision that can provide a microeconomic foundation for the Keynes-Minsky macromodels developed by Delli Gatti & Gallegati; Jarsulic; Semmler and others.The authors address the difficulties inherent in the formulation of an investment theory inwhich the future is unknowable; and investment substantially irreversible.,*,1992,15
The Intergenerational Supply of Loggers Under Conditions of Declining Economic Well‐Being,Jonathan P Goldstein; Lloyd C Irland; Jennifer A Senick; Eric W Bassett,Abstract This paper addresses the supply-side explanations of a logger shortage byestimating an occupational choice model that considers the role of earnings; nonpecuniarydeterminants and intergenerational factors. Our results showed that:(1) relative earningshave no statistically significant effect on career choice;(2) improvement in the public imageof loggers substantially increases entry into logging; and (3) a strong intergenerationalsupply linkage exists but is currently being eroded.,Industrial Relations: a Journal of Economy and Society,2005,14
