Deep ultraviolet photoluminescence of water-soluble self-passivated graphene quantum dots,Libin Tang; Rongbin Ji; Xiangke Cao; Jingyu Lin; Hongxing Jiang; Xueming Li; Kar Seng Teng; Chi Man Luk; Songjun Zeng; Jianhua Hao; Shu Ping Lau,Glucose-derived water-soluble crystalline graphene quantum dots (GQDs) with an averagediameter as small as 1.65 nm (∼ 5 layers) were prepared by a facile microwave-assistedhydrothermal method. The GQDs exhibits deep ultraviolet (DUV) emission of 4.1 eV; whichis the shortest emission wavelength among all the solution-based QDs. The GQDs exhibittypical excitation wavelength-dependent properties as expected in carbon-based quantumdots. However; the emission wavelength is independent of the size of the GQDs. The uniqueoptical properties of the GQDs are attributed to the self-passivated layer on the surface of theGQDs as revealed by electron energy loss spectroscopy. The photoluminescence quantumyields of the GQDs were determined to be 7–11%. The GQDs are capable of converting bluelight into white light when the GQDs are coated onto a blue light emitting diode.,ACS nano,2012,770
Soft-mode hardening in SrTiO 3 thin films,AA Sirenko; C Bernhard; A Golnik; Anna M Clark; Jianhua Hao; Weidong Si; XX Xi,Abstract Understanding the behaviour of the dielectric constant in ferroelectric thin filmsremains a challenging problem. These ferroelectric materials have high static dielectricconstants; and so are important for their applications in high-storage-density capacitorstructures such as dynamic random access memory (DRAM) 1. But the dielectric constanttends to be significantly reduced in thin films; thereby limiting the potential benefit offerroelectrics for memory devices 2. Extensive studies have shown that this phenomenoncould be caused by a 'dead layer'of very low dielectric constant between the ferroeletric filmand the electrode 2; 3. And; although very few direct measurements are in fact available; ithas been recognized that the lattice dynamical properties in the thin films should also play akey role in the reduction 2 of the dielectric constant. Here we report far-infrared …,Nature,2000,248
Exceptional tunability of band energy in a compressively strained trilayer MoS2 sheet,Yeung Yu Hui; Xiaofei Liu; Wenjing Jie; Ngai Yui Chan; Jianhua Hao; Yu-Te Hsu; Lain-Jong Li; Wanlin Guo; Shu Ping Lau,Tuning band energies of semiconductors through strain engineering can significantlyenhance their electronic; photonic; and spintronic performances. Although low-dimensionalnanostructures are relatively flexible; the reported tunability of the band gap is within 100meV per 1% strain. It is also challenging to control strains in atomically thin semiconductorsprecisely and monitor the optical and phonon properties simultaneously. Here; wedeveloped an electromechanical device that can apply biaxial compressive strain to trilayerMoS2 supported by a piezoelectric substrate and covered by a transparent grapheneelectrode. Photoluminescence and Raman characterizations show that the direct band gapcan be blue-shifted for∼ 300 meV per 1% strain. First-principles investigations confirm theblue-shift of the direct band gap and reveal a higher tunability of the indirect band gap …,ACS nano,2013,229
Electric‐Induced Enhancement and Modulation of Upconversion Photoluminescence in Epitaxial BaTiO3: Yb/Er Thin Films,Jianhua Hao; Yang Zhang; Xianhua Wei,Spectroscopic tuning and enhancement of upconversion photoluminescence (PL) are highlydesirable for understanding the physical processes of energy transition and for widespreadapplications; such as laser mediums; optical waveguides; display lighting; andbiomedicine.[1–5] To date; modification of the upconversion PL in phosphors excited by agiven excitation source can normally be achieved through a conventional chemicalapproach; that is; changing the composition of host materials and/or doping ions;[6–8] thusgiving only a limited understanding of the detailed process of luminescence andapplications. For instance; the variation of the PL in different hosts can be ascribed to thedifferent crystal field around dopant ions of various symmetries. Low symmetry hoststypically exert a crystal field containing more uneven components around the dopant ions …,Angewandte Chemie,2011,221
Multifunctional bismuth‐doped nanoporous silica glass: from blue‐green; orange; red; and white light sources to ultra‐broadband infrared amplifiers,Shifeng Zhou; Nan Jiang; Bin Zhu; Hucheng Yang; Song Ye; Gandham Lakshminarayana; Jianhua Hao; Jianrong Qiu,Abstract Ultra-broadband luminescent sources that emit light over an extremely widewavelength range are of great interest in the fields of photonics; medical treatment; andprecision measurement. Extensive research has been conducted on materials doped withrare-earth and transition-metal ions; but the goal of fabricating an ultra-broadband emitterhas not been attained. We present a facile method to realize this kind of novel light sourceby stabilizing “active” centers (bismuth) in a “tolerant” host (nanoporous silica glass). Theobtained highly transparent materials; in which; unusually; multiple bismuth centers (Bi+; Bi2+; and Bi 3+) can be stabilized; emit in an ultra-broadband wavelength range from blue-green; orange; red; and white to the near-infrared region. This tunable luminescence coversthe spectral range of the traditional three primary colors (RGB) and also the …,Advanced Functional Materials,2008,208
Blue; green and red cathodoluminescence of Y2O3 phosphor films prepared by spray pyrolysis,Jianhua Hao; SA Studenikin; Michael Cocivera,Abstract Thin films of yttrium oxide doped separately with Eu 3+; Tb 3+ and Tm 3+ weredeposited by spray pyrolysis. The effect of preparation conditions on the structural andcathodoluminescent (CL) properties of the thin films was investigated. Films containing Eu3+; Tb 3+ and Tm 3+ emitted red; green and blue colors; respectively. Films of yttrium oxidedoped with Tm were evaluated in detail. The blue emission of these films had CIEchromaticity coordinates of x= 0.158 and y= 0.150 with a dominant wavelength of 476 nmand a color purity of 78% compared to CIE Standard Source C. The CL intensity of the filmsunder 5 kV beam excitation and a current density of 5 mA/cm 2 depended strongly onannealing conditions and thulium doping concentration. For Tm-doped films the maximumluminance was 30.4 cd/m 2 and there was a linear relationship between the CL intensity …,Journal of Luminescence,2001,179
PEG modified BaGdF5: Yb/Er nanoprobes for multi-modal upconversion fluorescent; in vivo X-ray computed tomography and biomagnetic imaging,Songjun Zeng; Ming-Kiu Tsang; Chi-Fai Chan; Ka-Leung Wong; Jianhua Hao,Abstract Herein; a multi-functional nanoprobe of polyethylene glycol (PEG) modified BaGdF5: Yb/Er upconversion nanoparticles (UCNPs) for tri-modal bioimaging of fluorescence;computed X-ray tomography (CT); and magnetic application is demonstrated for the firsttime. The PEG-modified BaGdF 5: Yb/Er UCNPs with optimal small size were synthesized bya facile one-pot hydrothermal method. The as-designed single-phase nanoprobe presentsnear-infrared to visible upconversion emissions in UC fluorescent bioimaging of HeLa cell.Importantly; we have demonstrated in vivo CT images with enhanced signals of spleen of amouse for 2 h; indicating the UCNPs can be successfully used as CT contrast agent forimproving the detection of splenic diseases. In addition; these UCNPs also exhibit excellentintrinsic paramagnetic property which can be also for magnetic imaging. Therefore; our …,Biomaterials,2012,171
Deep ultraviolet to near-infrared emission and photoresponse in layered N-doped graphene quantum dots,Libin Tang; Rongbin Ji; Xueming Li; Gongxun Bai; Chao Ping Liu; Jianhua Hao; Jingyu Lin; Hongxing Jiang; Kar Seng Teng; Zhibin Yang; Shu Ping Lau,Material that can emit broad spectral wavelengths covering deep ultraviolet; visible; andnear-infrared is highly desirable. It can lead to important applications such as broadbandmodulators; photodetectors; solar cells; bioimaging; and fiber communications. However;there is currently no material that meets such desirable requirement. Here; we report thelayered structure of nitrogen-doped graphene quantum dots (N-GQDs) which possessbroadband emission ranging from 300 to> 1000 nm. The broadband emission is attributed tothe layered structure of the N-GQDs that contains a large conjugated system and providesextensive delocalized π electrons. In addition; a broadband photodetector with responsivityas high as 325 V/W is demonstrated by coating N-GQDs onto interdigital gold electrodes.The unusual negative photocurrent is observed which is attributed to the trapping sites …,ACS nano,2014,153
Down-and up-conversion photoluminescence; cathodoluminescence and paramagnetic properties of NaGdF 4: Yb3+; Er3+ submicron disks assembled from primar...,Zhen-Ling Wang; JH Hao; Helen LW Chan,NaGdF4: Yb3+; Er3+ submicron disks have been synthesized at a relatively low temperaturein aqueous solution with citric acid as the structure-directing agent. The structure;luminescence; and magnetic properties of the synthesized materials have beencharacterized by a variety of techniques. The as-prepared NaGdF4: Yb3+; Er3+ hashexagonal structure; and is mainly composed of submicron disks with a diameter of around870 nm and a thickness of about 420 nm. Citrate groups selectively bonded to a certaincrystal surface of the nanocrystals probably provide the driving force that makes primaryparticles assemble into submicron disks. The phase structure of these submicron disks isaffected by the annealing temperature; while the disk morphology could be essentiallypreserved even when annealed at high temperatures. The annealed submicron disks …,Journal of Materials Chemistry,2010,153
Oxide thin films for tunable microwave devices,XX Xi; Hong-Cheng Li; Weidong Si; AA Sirenko; IA Akimov; JR Fox; AM Clark; Jianhua Hao,Abstract Oxide thin films have been studied for frequency and phase agile electronics. Theelectric-field tuning of microwave devices employs ferroelectrics; while the Magnetic-fieldtuning uses ferrites. The critical material parameters for ferroelectric thin films are thetunability of the dielectric constant and the dielectric loss. This paper describes the currentunderstanding of the fundamental mechanisms of these properties and the research effortsto improve them in ferroelectric thin films.,Journal of Electroceramics,2000,139
Water dispersible ultra-small multifunctional KGdF 4: Tm 3+; Yb 3+ nanoparticles with near-infrared to near-infrared upconversion,Hon-Tung Wong; Fiorenzo Vetrone; Rafik Naccache; Helen Lai Wa Chan; Jianhua Hao; John A Capobianco,Ultra-small multifunctional KGdF4: Tm3+; Yb3+ nanoparticles with near-infrared to near-infrared upconversion are synthesized. The average sizes of KGdF4: Tm3+ 2%; Yb3+ 20%core-only and KGdF4: Tm3+ 2%; Yb3+ 20%/KGdF4 core–shell nanoparticles are∼ 3.7 nmand∼ 7.4 nm; respectively; which fall within the reported optimal sizes (< 10 nm) forbioimaging probes. The excitation and emission at 980 and 803 nm are favorable to deepertissue penetration and reduced autofluorescence. The weak upconversion luminescence ofthe ultra-small core-only nanoparticles is overcome by the use of the core–shell approach.The magnetic mass susceptibility and magnetization of the ultra-small core-only and core–shell nanoparticles were determined; and are close to those of large nanoparticles (26 and50 nm) used for magnetic resonance imaging and bio-separation. There is no variation in …,Journal of Materials Chemistry,2011,135
Stimuli responsive upconversion luminescence nanomaterials and films for various applications,Ming-Kiu Tsang; Gongxun Bai; Jianhua Hao,Upconversion luminescence (UCL) refers to nonlinear optical processes; which can convertnear-infrared photons to short-wavelength emission. Recent advances in nanotechnologyhave contributed to the development of photon upconversion materials as promising newgeneration candidates of fluorescent bioprobes and spectral converters for biomedical andoptoelectronic applications. Apart from the remarkable photoluminescence of the materialsunder photon excitation; some UCL materials may exhibit intrinsic magnetic; ferroelectric; X-ray absorption properties; and so on. These interesting characteristics provide anopportunity for us to couple a single stimulus or multiple stimuli (electric field; magnetic field;X-ray; electron beam; temperature and pH; etc.) to various types of UCL materials. In thisreview; we will primarily focus on the stimuli responsive properties of UCL materials …,Chemical Society Reviews,2015,126
Simultaneous realization of phase/size manipulation; upconversion luminescence enhancement; and blood vessel imaging in multifunctional nanoprobes through tr...,Songjun Zeng; Zhigao Yi; Wei Lu; Chao Qian; Haibo Wang; Ling Rao; Tianmei Zeng; Hongrong Liu; Huijing Liu; Bin Fei; Jianhua Hao,Abstract A strategy is demonstrated for simultaneous phase/size manipulation; multicolortuning; and remarkably enhanced upconversion luminescence (UCL); particularly in redemission bands in fixed formulae of general lanthanide-doped upconverting nanoparticles(UCNPs); namely NaLnF 4: Yb/Er (Ln: Lu; Gd; Yb); simply through transition metal Mn 2+-doping. The addition of different Mn 2+ dopant contents in NaLnF 4: Yb/Er system favors thecrystal structure changing from hexagonal (β) phase to cubic (α) phase; and the crystal sizeof UCNPs can be effectively controlled. Moreover; the UCL can be tuned from green throughyellow and to dominant red emissions under the excitation of 980 nm laser. Interestingly; alarge enhancement in overall UCL spectra of Mn 2+ doped UCNPs (∼ 59.1 times for NaLuF4 host;∼ 39.3 times for NaYbF 4 host compared to the UCNPs without Mn 2+ doping) is …,Advanced Functional Materials,2014,124
Bi-functional NaLuF 4: Gd 3+/Yb 3+/Tm 3+ nanocrystals: structure controlled synthesis; near-infrared upconversion emission and tunable magnetic properties,Songjun Zeng; Junjie Xiao; Qibin Yang; Jianhua Hao,In this paper; fluorescent and magnetic bi-functional NaLuF4: Ln (Ln= Gd3+; Yb3+; Tm3+)nanocrystals were synthesized via a simple hydrothermal method using oleic acid ascapping ligand. The crystal phase; size; upconversion (UC) properties; and magnetization ofthe nanocrystals can be readily modified by doping with Gd3+. The results reveal that Gd3+addition can promote the transformation from the cubic to the hexagonal phase and reducethe size. In addition; NaLuF4: Ln (Ln= Gd3+; Yb3+; Tm3+) nanocrystals present efficientnear infrared (NIR) to NIR emission; which is beneficial for in vivo biomedical applicationsdue to the increased penetration depth and low radiation damage of NIR light in bio-tissues.More importantly; owing to the large magnetic moment of Gd3+; the Gd3+-doped NaLuF4nanocrystals also present excellent paramagnetic properties at room temperature …,Journal of Materials Chemistry,2012,118
Magnetic and luminescent properties of multifunctional GdF 3: Eu 3+ nanoparticles,Hon-Tung Wong; Helen LW Chan; JH Hao,Multifunctional GdF 3: Eu 3+ nanoparticles were synthesized using a hydrothermal method.Photoluminescent excitation and emission spectra; and lifetime were measured. Theaverage lifetime of the nanoparticles is about 11 ms. The nanoparticle exhibitsparamagnetism at both 293 and 77 K; ascribing to noninteracting localized nature of themagnetic moment in the compound. The magnetic properties of GdF 3: Eu 3+ is intrinsic tothe Gd 3+ ions; which is unaffected by the doping concentration of the Eu 3+ luminescentcenters. A measured magnetization of approximately 2 emu/g is close to reported values ofother nanoparticles for bioseparation.,Applied physics letters,2009,117
Optical and luminescent properties of undoped and rare-earth-doped Ga2O3 thin films deposited by spray pyrolysis,Jianhua Hao; Michael Cocivera,Abstract Spray pyrolysis was used to prepare polycrystalline thin films of undoped Ga 2 O 3;as well as those doped separately with Eu 3+; Tb 3+ and Tm 3+. The energy gap values ofthe as-grown films and those annealed at 600\r {} C and 900\r {} C were found to be 4.75;4.48 and 4.44 eV; respectively. Films containing Eu 3+ and Tb 3+ exhibited red and greencathodoluminescence (CL); respectively. The CL of Ga 2 O 3: Tm mainly showed a broadband in the blue-green region; which resulted from the emission by both the Ga 2 O 3 hostand Tm 3+. The broad blue-green emission band was divided into three Gaussian peaks at424 nm (2.92 eV); 497 nm (2.49 eV) and 526 nm (2.36 eV). The CL intensity of undoped Ga2 O 3 thin films depended on the annealing ambient and temperature; suggesting that it isassociated with the presence of oxygen vacancies. Mechanisms responsible for the …,Journal of Physics D: Applied Physics,2002,108
Tunable multicolor upconversion emissions and paramagnetic property of monodispersed bifunctional lanthanide-doped NaGdF4 nanorods,Guozhong Ren; Songjun Zeng; Jianhua Hao,In this paper; highly monodispsered ultrasmall hexagonal phase NaGdF4 nanorods weresynthesized via a hydrothermal method using oleic acid as a stabilizing agent. The tunablemulticolor upconversion (UC) emissions; including green; yellow; blue; and white emissions;can be readily achieved from lanthanide (Ln)-doped NaGdF4 nanorods under the excitationof a 980 nm diode laser. The calculated chromaticity coordinates (CIE-X= 0.346; CIE-Y=0.357) are close to those of the standard white light (CIE-X= 0.33; CIE-Y= 0.33); and thewhite UC emissions can be tuned from blue-white to white by adjusting the doped contentsof Ho3+ in the Yb3+/Tm3+/Ho3+ triply doped NaGdF4 nanorods. In addition; the ultrasmallNaGdF4 nanocrystals also exhibit paramagnetic properties at 293 K. The measuredmagnetizations of the NaGdF4: 20% Yb3+/0.2% Er3+ and NaGdF4 nanocrystals were …,The Journal of Physical Chemistry C,2011,105
Simultaneous synthesis and functionalization of water-soluble up-conversion nanoparticles for in-vitro cell and nude mouse imaging,Zhen-Ling Wang; Jianhua Hao; Helen LW Chan; Ga-Lai Law; Wing-Tak Wong; Ka-Leung Wong; Margaret B Murphy; T Su; ZH Zhang; SQ Zeng,Water-solubility and biocompatibility are prerequisites for rare-earth up-convertingnanophosphors applied to biological imaging. In this work; we have developed a facile andone-step synthesis technique; through which water-soluble NaYF4: Yb3+; Er3+nanoparticles (NPs) with functional groups including 3-mercaptopropionic acid; 6-aminocaproic acid and poly (ethylene glycol) methyl ether on their surface can be directlyprepared without any further surface treatment. Some inorganic salts will be selected asstarting materials; water and some low toxic organic agents have been used as reactionmedia; which differs from earlier works. Structural and up-converting fluorescence arecharacterized by a variety of techniques. Cell uptake and in-vitro imaging of the as-synthesized NPs have been investigated using a multiphoton con-focal laser scanning …,Nanoscale,2011,104
Cathodoluminescence of rare-earth-doped zinc aluminate films,Zhidong Lou; Jianhua Hao,Abstract Eu-; Tb-; and Tm-doped zinc aluminate (ZnAl 2 O 4) thin film phosphors wereprepared by the spray pyrolysis technique at an ambient pressure. The effects of preparationconditions on the cathodoluminescence properties of the films were studied. Filmscontaining Tb 3+ and Tm 3+ ions exhibited green and blue cathodoluminescence;respectively. For films doped with europium; both red emission lines from Eu 3+ and a broadblue–green emission band from Eu 2+ were observed. The CIE (Commission Internationalede L'Eclairage) chromatic coordinates; dominant wavelength; and color purity weredetermined for each phosphor. The luminance and efficiency of these phosphors at a currentdensity of 57 μA/cm 2 are found to be linearly dependent on the excitation voltage.,Thin Solid Films,2004,104
Highly efficient low-voltage cathodoluminescence of LaF 3: Ln 3+(Ln= Eu 3+; Ce 3+; Tb 3+) spherical particles,Zhen-Ling Wang; Helen LW Chan; Hiu-Ling Li; JH Hao,Spherical particles of rare-earth doped LaF 3 are synthesized through refluxing inglycerol/water media. The low-voltage cathodoluminescence of LaF 3: Eu due to D 5 0→ F 71 and D 5 0→ F 7 2 transitions was found to be sensitive to the site that Eu 3+ ions occupied.The luminous efficiency of LaF 3: Ce 3+; Tb 3+ with green emission is improved from 1.53 to2.02 lm/W compared with LaF 3: Tb 3+; due to the energy transfer processes from Ce 3+ toTb 3+ ions. Our results suggest that the obtained spherical particles of rare-earth doped LaF3 are promising as highly efficient low-voltage cathodoluminescent phosphors; which havereceived considerably less attention.,Applied physics letters,2008,96
Electric-field-induced soft-mode hardening in SrTiO 3 films,IA Akimov; AA Sirenko; AM Clark; J-H Hao; XX Xi,Abstract We have studied electric-field-induced Raman scattering in SrTiO 3 thin films usingan indium− tin− oxide/SrTiO 3/SrRuO 3 structure grown by pulsed laser deposition. The softmode polarized along the field becomes Raman active. Experimental data for electric-field-induced hardening of the soft modes and the tuning of the static dielectric constant are inagreement described by the Lyddane-Sachs-Teller formalism. The markedly differentbehavior of the soft modes in thin films from that in the bulk is explained by the existence oflocal polar regions.,Physical review letters,2000,94
Effects of site substitutions and concentration on upconversion luminescence of Er 3+-doped perovskite titanate,Yang Zhang; Jianhua Hao; Chee Leung Mak; Xianhua Wei,Upconversion photoluminescence (PL) of Er^ 3+-doped BaTiO_3 (BTO) with perovskiteABO_3 structure is studied in terms of Er^ 3+ substitutions for Ba (A-) and Ti (B-site) withdifferent Er^ 3+ doping concentrations. PL quenching with an increase Er^ 3+ dopingconcentration is investigated based on the structural change and energy transfer of cross-relaxation process in BTO: Er; ie^ 2H_11/2+^ 4I_15/2?^ 4I_9/2+^ 4I_13/2. Temperaturedependence of the PL in BTO: Er is revealed; which is associated with phase transitions ofBTO host. The results imply that the emission from substituted Er^ 3+ ions may be used as astructural probe for the ferroelectric titanates.,Optics express,2011,92
Dual-modal upconversion fluorescent/X-ray imaging using ligand-free hexagonal phase NaLuF4: Gd/Yb/Er nanorods for blood vessel visualization,Songjun Zeng; Haibo Wang; Wei Lu; Zhigao Yi; Ling Rao; Hongrong Liu; Jianhua Hao,Abstract Visualization of blood vessel of lung can improve the detection of the lung andpulmonary vascular diseases. However; research on visualization of blood vessel of lungusing the new generation upconversion nanoprobes is still scarce. Herein; high qualityhexagonal phase NaLuF 4: Gd/Yb/Er nanorods were synthesized by a simple hydrothermalmethod through doping Gd 3+. Doping Gd can not only promote the phase transformationfrom cubic to hexagonal and the shape evolution from microtube to rod-like; but also providean additional magnetic properties for biomedical application. The as-prepared nanorodswere further converted to water solubility by treating with HCl for eliminating the cappedoleic acid. The ligand-free nanorods were successfully used for high-contrast upconversionfluorescent bioimaging of HeLa cells. Moreover; the in vivo synergistic upconversion …,Biomaterials,2014,89
Towards pure near-infrared to near-infrared upconversion of multifunctional GdF 3: Yb 3+; Tm 3+ nanoparticles,Hon-Tung Wong; Helen Lai Wa Chan; Jianhua Hao,Nearly pure near-infrared to near-infrared (NIR-to-NIR) upconversion in GdF_3 host with23% Yb^ 3+ and 1% Tm^ 3+ under 980 nm excitation is firstly reported. The ratio of theintensity of the emission at 807 nm to that at 478 nm can reach to 105; and the intensity ofthe emission at 807 nm is preserved. Moreover; the excitation and the emission at 980 and807 nm are away from the visible region. These are beneficial to deeper tissue penetrationand reduced autofluorescence. Raman spectroscopy measurements suggest the highprobability of NIR emission in GdF_3 host. Our results indicate that the reportedmultifunctional nanoparticles are promising in bio-imaging and bio-separation.,Optics express,2010,87
Luminescence of ZnWO4 and CdWO4 thin films prepared by spray pyrolysis,Zhidong Lou; Jianhua Hao; Michael Cocivera,Abstract Thin films of ZnWO 4 and CdWO 4 were prepared by spray pyrolysis and thestructural; optical; and luminescence properties were investigated. Both ZnWO 4 and CdWO4 thin films showed a broad blue-green emission band. The broad band of ZnWO 4 filmswas centered at 495 nm (2.51 eV) consisted of three bands at 444 nm (2.80 eV); 495 nm(2.51 eV) and 540 nm (2.30 eV). The broad band of CdWO 4 films at 495 nm (2.51 eV) couldbe decomposed to three bands at 444 nm (2.80 eV); 495 nm (2.51 eV) and 545 nm (2.28eV). These results are consistent with emission from the WO 6 6− molecular complex. Theluminance and efficiency for ZnWO 4 film at 5 kV and 57 μA/cm 2 were 48 cd/m 2 and 0.22lm/w; respectively; and for CdWO 4 film the values were 420 cd/m 2 and 1.9 lm/w.,Journal of luminescence,2002,87
Ligand‐Driven Wavelength‐Tunable and Ultra‐Broadband Infrared Luminescence in Single‐Ion‐Doped Transparent Hybrid Materials,Shifeng Zhou; Nan Jiang; Botao Wu; Jianhua Hao; Jianrong Qiu,Abstract Here; tuning of the optical properties of emission centers by tailoring the ligandfields is investigated. Experimentally; it is demonstrated that Ni 2+ can act as a singleemission species in multiple octahedral local environments. Nanocrystal-embedded hybridmaterials are employed as hosts in order to take advantage of their convenience in localenvironment design for practical applications. Novel composite gain materials with hightransparence are successfully made; and show interesting wavelength-tunable and ultra-broadband infrared luminescence covering the whole near-infrared region from 1 100 to 1800 nm. The infrared luminescence peak positions can be finely tuned from 1 300 to 1 450and to 1 570 nm; with the largest full width at half maximum being about 400 nm andcovering the telecommunication bands at 1 200–1 500 nm. According to the results of …,Advanced functional materials,2009,86
Dual-modal fluorescent/magnetic bioprobes based on small sized upconversion nanoparticles of amine-functionalized BaGdF 5: Yb/Er,Songjun Zeng; Ming-Kiu Tsang; Chi-Fai Chan; Ka-Leung Wong; Bin Fei; Jianhua Hao,A new type of BaGdF5: Yb/Er nanoprobe for dual-modal fluorescent and magneticresonance imaging (MRI) is demonstrated. Water soluble and amine-functionalizedBaGdF5: Yb/Er nanoparticles (NPs) with average size of about 10 nm were synthesized by afacile one-pot hydrothermal method. The in vitro up-converted emission of BaGdF5: Yb/ErNPs is observed in HeLa cells with near-infrared excitation at 980 nm and served as afluorescent label. In addition; the cytotoxicity assay in HeLa cells shows low cell toxicity ofthe amine-functionalized BaGdF5: Yb/Er NPs. Moreover; these BaGdF5 NPs exhibitexcellent intrinsic paramagnetic properties and enhanced T1-weighted MRI images withincreased concentrations of BaGdF5 NPs. Therefore; these results suggest that the amine-functionalized BaGdF5 NPs with an optimized size and low cell toxicity are promising …,Nanoscale,2012,84
Transient photoconductivity properties of tungsten oxide thin films prepared by spray pyrolysis,Jianhua Hao; SA Studenikin; Michael Cocivera,Tungsten oxide (WO 3) thin films were deposited by spray pyrolysis of an ammoniumtungsten oxide solution. The effect of postannealing on the structural; transport and opticalproperties of the films has been studied. Under steady-state illumination; slowphotoconductivity growth and relaxation transients were observed at room temperature. Thecontributions of carrier concentration and mobility to the photoconductivity were determinedfrom photo-Hall and photoconductivity data. The transient photoconductivity was found to bemainly due to photoinduced excess electrons over a wide time range from 0.0 to 10 4 s. Thisslow relaxation was characterized by two exponential decays indicating two discretesubband gap levels were involved. The fast photoconductivity relaxation over the time rangefrom 10− 8 to 10− 1 s was more complicated and probably involved a distribution of …,Journal of Applied Physics,2001,76
Water-soluble mitochondria-specific ytterbium complex with impressive NIR emission,Tao Zhang; Xunjin Zhu; Chopen CW Cheng; Wai-Ming Kwok; Hoi-Lam Tam; Jianhua Hao; Daniel WJ Kwong; Wai-Kwok Wong; Ka-Leung Wong,A water-soluble porphyrinato ytterbium complex linked with rhodamine B (Yb-2) showedmitochondria-specific subcellular localization and strong two-photon-induced NIR emissions(λem= 650 nm; porphyrinate ligand π→ π* transition; λem= 1060 nm; Yb (III) 5F5/2→ 5F7/2transitions; σ2= 375 GM in DMSO) with an impressive Yb (III) NIR emission quantum yield(1% at λex= 340 nm; 2.5% at λex= 430 nm) in aqueous solution.,Journal of the American Chemical Society,2011,75
Metal-ion doped luminescent thin films for optoelectronic applications,Yang Zhang; Jianhua Hao,One type of commonly used luminescent material is so-called metal-ion doped phosphor. Insuch materials; optical and luminescent characteristics may be controlled by the host andmetal-ion dopants (lanthanide and transition metal) of the phosphor. Many metal-ion dopedluminescent materials can be made in the form of thin films. This feature article brieflyreviews the development in the basic design rules of such materials; synthetic approaches(physical vapour deposition and chemical methods); and fabrication processes of metal-iondoped thin-film phosphors. We provide an overview of various techniques used for thestructural characterization of metal-ion doped thin-film phosphors. Metal-ion dopedluminescent thin films are attracting widespread interest in the optoelectronics field; rangingfrom flat-panel displays; solid-state lighting; optical waveguides; solar cells; and …,Journal of Materials Chemistry C,2013,70
A Strategy for Simultaneously Realizing the Cubic‐to‐Hexagonal Phase Transition and Controlling the Small Size of NaYF4: Yb3+; Er3+ Nanocrystals for In Vitro Cel...,Zhen‐Ling Wang; Jianhua Hao; Helen LW Chan; Wing‐Tak Wong; Ka‐Leung Wong,Zhen-Ling Wang; Jianhua Hao;* Helen LW Chan; Wing-Tak Wong; and Ka-Leung Wongoleic acid/oleylamine/1-octadecene [9] or through the liquid–solid–solution (LSS) phasetransfer synthesis strategy.[10] For UCNCs; it has been reported that the green emission forthe hexagonal phase is ten times and the overall (green-plusred) emissions are 4.4 timesthat for cubic-phase NaYF 4.[11] Hence; the phase transition of NaYF 4 from the cubic phaseto the hexagonal phase deserves to be investigated; and this transition has been achievedby precisely adjusting reaction conditions; such as increasing the reaction temperature;prolonging the reaction duration; altering the composition of ligand and solvent; and dopingwith lanthanide or transitionmetal ions.[12] However; implementation of the phase transitionthrough the above procedures generally results in significant particle aggregation or …,Small,2012,68
