Content-based image retrieval: theory and applications.,Ricardo da Silva Torres; Alexandre X Falcao,Abstract: Advances in data storage and image acquisition technologies have enabled thecreation of large image datasets. In this scenario; it is necessary to develop appropriateinformation systems to efficiently manage these collections. The commonest approachesuse the so-called Content-Based Image Retrieval (CBIR) systems. Basically; these systemstry to retrieve images similar to a user-defined specification or pattern (eg; shape sketch;image example). Their goal is to support image retrieval based on content properties (eg;shape; color; texture); usually encoded into feature vectors. One of the main advantages ofthe CBIR approach is the possibility of an automatic retrieval process; instead of thetraditional keyword-based approach; which usually requires very laborious and time-consuming previous annotation of database images. The CBIR technology has been …,RITA,2006,275
A genetic programming framework for content-based image retrieval,Ricardo da S Torres; Alexandre X Falcão; Marcos A Gonçalves; João P Papa; Baoping Zhang; Weiguo Fan; Edward A Fox,Abstract The effectiveness of content-based image retrieval (CBIR) systems can beimproved by combining image features or by weighting image similarities; as computed frommultiple feature vectors. However; feature combination do not make sense always and thecombined similarity function can be more complex than weight-based functions to bettersatisfy the users' expectations. We address this problem by presenting a GeneticProgramming framework to the design of combined similarity functions. Our method allowsnonlinear combination of image similarities and is validated through several experiments;where the images are retrieved based on the shape of their objects. Experimental resultsdemonstrate that the GP framework is suitable for the design of effective combinationsfunctions.,Pattern Recognition,2009,196
Comparative study of global color and texture descriptors for web image retrieval,Otávio AB Penatti; Eduardo Valle; Ricardo da S Torres,Abstract This paper presents a comparative study of color and texture descriptorsconsidering the Web as the environment of use. We take into account the diversity and large-scale aspects of the Web considering a large number of descriptors (24 color and 28 texturedescriptors; including both traditional and recently proposed ones). The evaluation is madeon two levels: a theoretical analysis in terms of algorithms complexities and an experimentalcomparison considering efficiency and effectiveness aspects. The experimental comparisoncontrasts the performances of the descriptors in small-scale datasets and in a largeheterogeneous database containing more than 230 thousand images. Although there is asignificant correlation between descriptors performances in the two settings; there arenotable deviations; which must be taken into account when selecting the descriptors for …,Journal of visual communication and image representation,2012,177
A graph-based approach for multiscale shape analysis,R da S Torres; Alexandre X Falcao; L da F Costa,Abstract This paper presents two shape descriptors; multiscale fractal dimension andcontour saliences; using a graph-based approach—the image foresting transform. Itintroduces a robust approach to locate contour saliences from the relation between contourand skeleton. The contour salience descriptor consists of a vector; with salience location andvalue along the contour; and a matching algorithm. We compare both descriptors with fractaldimension; Fourier descriptors; moment invariants; Curvature Scale Space and Beam AngleStatistics regarding to their invariance to object characteristics that belong to a same class(compact-ability) and to their ability to separate objects of distinct classes (separability).,Pattern Recognition,2004,166
Contour salience descriptors for effective image retrieval and analysis,R da S Torres; Alexandre X Falcão,Abstract This work exploits the resemblance between content-based image retrieval andimage analysis with respect to the design of image descriptors and their effectiveness. In thiscontext; two shape descriptors are proposed: contour saliences and segment saliences.Contour saliences revisits its original definition; where the location of concave points was aproblem; and provides a robust approach to incorporate concave saliences. Segmentsaliences introduces salience values for contour segments; making it possible to use anoptimal matching algorithm as distance function. The proposed descriptors are comparedwith convex contour saliences; curvature scale space; and beam angle statistics using a fishdatabase with 11;000 images organized in 1100 distinct classes. The results indicatesegment saliences as the most effective descriptor for this particular application and …,Image and Vision Computing,2007,131
Vison: Video summarization for online applications,Jurandy Almeida; Neucimar J Leite; Ricardo da S Torres,Abstract Recent advances in technology have increased the availability of video data;creating a strong requirement for efficient systems to manage those materials. Makingefficient use of video information requires that data to be accessed in a user-friendly way.This has been the goal of a quickly evolving research area known as video summarization.Most of existing techniques to address the problem of summarizing a video sequence havefocused on the uncompressed domain. However; decoding and analyzing of a videosequence are two extremely time-consuming tasks. Thus; video summaries are usuallyproduced off-line; penalizing any user interaction. The lack of customization is very critical;as users often have different demands and resources. Since video data are usuallyavailable in compressed form; it is desirable to directly process video material without …,Pattern Recognition Letters,2012,96
Visual structures for image browsing,Ricardo S Torres; Celmar G Silva; Claudia B Medeiros; Heloisa V Rocha,Abstract Content-Based Image Retrieval (CBIR) presents several challenges and has beensubject to extensive research from many domains; such as image processing or databasesystems. Database researchers are concerned with indexing and querying; whereas imageprocessing experts worry about extracting appropriate image descriptors. Comparativelylittle work has been done on designing user interfaces for CBIR systems. This; in turn; has aprofound effect on these systems since the concept of image similarity is strongly influencedby user perception. This paper describes an initial effort to fill this gap; combining recentresearch in CBIR and Information Visualization; studied from a Human-Computer Interfaceperspective. It presents two visualization techniques based on Spiral and Concentric Ringsimplemented in a CBIR system to explore query results. The approach is centered on …,Proceedings of the twelfth international conference on Information and knowledge management,2003,86
Relevance feedback based on genetic programming for image retrieval,CD Ferreira; JA Santos; R da S Torres; MA Gonçalves; RC Rezende; Weiguo Fan,Abstract This paper presents two content-based image retrieval frameworks with relevancefeedback based on genetic programming. The first framework exploits only the userindication of relevant images. The second one considers not only the relevant but also theimages indicated as non-relevant. Several experiments were conducted to validate theproposed frameworks. These experiments employed three different image databases andcolor; shape; and texture descriptors to represent the content of database images. Theproposed frameworks were compared; and outperformed six other relevance feedbackmethods regarding their effectiveness and efficiency in image retrieval tasks.,Pattern Recognition Letters,2011,78
Multiscale classification of remote sensing images,Jefersson Alex Dos Santos; Philippe-Henri Gosselin; Sylvie Philipp-Foliguet; Ricardo da S Torres; Alexandre Xavier Falao,A huge effort has been applied in image classification to create high-quality thematic mapsand to establish precise inventories about land cover use. The peculiarities of remotesensing images (RSIs) combined with the traditional image classification challenges madeRSI classification a hard task. Our aim is to propose a kind of boost-classifier adapted tomultiscale segmentation. We use the paradigm of boosting; whose principle is to combineweak classifiers to build an efficient global one. Each weak classifier is trained for one levelof the segmentation and one region descriptor. We have proposed and tested weakclassifiers based on linear support vector machines (SVM) and region distances provided bydescriptors. The experiments were performed on a large image of coffee plantations. Wehave shown in this paper that our approach based on boosting can detect the scale and …,IEEE Transactions on Geoscience and Remote Sensing,2012,73
Image re-ranking and rank aggregation based on similarity of ranked lists,Daniel Carlos GuimarãEs Pedronette; Ricardo Da S Torres,Abstract In Content-based Image Retrieval (CBIR) systems; ranking accurately collectionimages is of great relevance. Users are interested in the returned images placed at the firstpositions; which usually are the most relevant ones. Collection images are ranked inincreasing order of their distance to the query pattern (eg; query image) defined by users.Therefore; the effectiveness of these systems is very dependent on the accuracy of thedistance function adopted. In this paper; we present a novel context-based approach forredefining distances and later re-ranking images aiming to improve the effectiveness ofCBIR systems. In our approach; distances among images are redefined based on thesimilarity of their ranked lists. Conducted experiments involving shape; color; and texturedescriptors demonstrate the effectiveness of our method.,Pattern Recognition,2013,72
Visual word spatial arrangement for image retrieval and classification,Otávio AB Penatti; Fernanda B Silva; Eduardo Valle; Valerie Gouet-Brunet; Ricardo Da S Torres,Abstract We present word spatial arrangement (WSA); an approach to represent the spatialarrangement of visual words under the bag-of-visual-words model. It lies in a simple ideawhich encodes the relative position of visual words by splitting the image space intoquadrants using each detected point as origin. WSA generates compact feature vectors andis flexible for being used for image retrieval and classification; for working with hard or softassignment; requiring no pre/post processing for spatial verification. Experiments in theretrieval scenario show the superiority of WSA in relation to Spatial Pyramids. Experimentsin the classification scenario show a reasonable compromise between those methods; withSpatial Pyramids generating larger feature vectors; while WSA provides adequateperformance with much more compact features. As WSA encodes only the spatial …,Pattern Recognition,2014,69
WOODSS and the Web: annotating and reusing scientific workflows,Claudia Bauzer Medeiros; J Perez-Alcazar; L Digiampietri; Gilberto Zonta Pastorello Jr; André Santanche; RS Torres; E Madeira; Evandro Bacarin,Abstract This paper discusses ongoing research on scientific workflows at the Institute ofComputing; University of Campinas (IC-UNICAMP) Brazil. Our projects with bio-scientistshave led us to develop a scientific workflow infrastructure named WOODSS. This frameworkhas two main objectives in mind: to help scientists to specify and annotate their models andexperiments; and to document collaborative efforts in scientific activities. In both contexts;workflows are annotated and stored in a database. This" annotated scientific workflow"database is treated as a repository of (sometimes incomplete) approaches to solvingscientific problems. Thus; it serves two purposes: allows comparison of distinct solutions to aproblem; and their designs; and provides reusable and executable building blocks toconstruct new scientific workflows; to meet specific needs. Annotations; moreover; allow …,ACM SIGMOD Record,2005,68
Shape feature extraction and description based on tensor scale,Fernanda A Andaló; Paulo AV Miranda; R da S Torres; Alexandre X Falcão,Abstract Tensor scale is a morphometric parameter that unifies the representation of localstructure thickness; orientation; and anisotropy; which can be used in several computervision and image processing tasks. In this article; we exploit this concept for binary imagesand propose a shape salience detector and a shape descriptor—Tensor Scale Descriptorwith Influence Zones. It also introduces a robust method to compute tensor scale; using agraph-based approach—the Image Foresting Transform. Experimental results are provided;showing the effectiveness of the proposed methods; when compared to other relevantmethods; such as Beam Angle Statistics and Contour Salience Descriptor; with regard totheir use in content-based image retrieval tasks.,Pattern Recognition,2010,67
A relevance feedback method based on genetic programming for classification of remote sensing images,JA Dos Santos; CD Ferreira; R da S Torres; MA Gonçalves; RAC Lamparelli,Abstract This paper presents an interactive technique for remote sensing imageclassification. In our proposal; users are able to interact with the classification system;indicating regions of interest (and those which are not). This feedback information isemployed by a genetic programming approach to learning user preferences and combiningimage region descriptors that encode spectral and texture properties. Experimentsdemonstrate that the proposed method is effective for image classification tasks andoutperforms the traditional MaxVer method.,Information Sciences,2011,64
Learning to rank for content-based image retrieval,Fabio F Faria; Adriano Veloso; Humberto M Almeida; Eduardo Valle; Ricardo da S Torres; Marcos A Gonçalves; Wagner Meira Jr,Abstract In Content-based Image Retrieval (CBIR); accurately ranking the returned images isof paramount importance; since users consider mostly the topmost results. The typicalranking strategy used by many CBIR systems is to employ image content descriptors; so thatreturned images that are most similar to the query image are placed higher in the rank.While this strategy is well accepted and widely used; improved results may be obtained bycombining multiple image descriptors. In this paper we explore this idea; and introducealgorithms that learn to combine information coming from different descriptors. The proposedlearning to rank algorithms are based on three diverse learning techniques: Support VectorMachines (CBIR-SVM); Genetic Programming (CBIR-GP); and Association Rules (CBIR-AR). Eighteen image content descriptors (color; texture; and shape information) are used …,Proceedings of the international conference on Multimedia information retrieval,2010,58
Exploring digital libraries: integrating browsing; searching; and visualization,Naga Srinivas Vemuri; Ricardo Da S Torres; Edward A Fox; Weiguo Fan; Rao Shen,Exploring services for digital libraries (DLs) include two major paradigms; browsing andsearching; as well as other services such as clustering and visualization. In this paper; weformalize and generalize DL exploring services within a DL theory. We develop theorems toindicate that browsing and searching can be converted or mapped to each other undercertain conditions. The theorems guide the design and implementation of exploring servicesfor an integrated archaeological DL; ETANA-DL. Its integrated browsing and searching cansupport users in moving seamlessly between these operations; minimizing contextswitching; and keeping users focused. It also integrates browsing and searching into asingle visual interface for DL exploration. A user study to evaluate ETANA-DL's exploringservices helped validate our hypotheses,Digital Libraries; 2006. JCDL'06. Proceedings of the 6th ACM/IEEE-CS Joint Conference on,2006,58
Online video summarization on compressed domain,Jurandy Almeida; Neucimar J Leite; Ricardo da S Torres,Abstract Recent advances in technology have increased the availability of video data;creating a strong requirement for efficient systems to manage those materials. Makingefficient use of video information requires that data to be accessed in a user-friendly way.Ideally; one would like to understand a video content; without having to watch it entirely. Thishas been the goal of a quickly evolving research area known as video summarization. In thispaper; we present a novel approach for video summarization that works in the compresseddomain and allows the progressive generation of a video summary. The proposed methodrelies on exploiting visual features extracted from the video stream and on using a simpleand fast algorithm to summarize the video content. Experiments on a TRECVID 2007 datasetshow that our approach presents high quality relative to the state-of-the-art solutions and …,Journal of Visual Communication and Image Representation,2013,57
A digital library framework for biodiversity information systems,Ricardo da S Torres; Claudia Bauzer Medeiros; Marcos André Gonçcalves; Edward A Fox,Abstract Biodiversity Information Systems (BISs) involve all kinds of heterogeneous data;which include ecological and geographical features. However; available informationsystems offer very limited support for managing these kinds of data in an integrated fashion.Furthermore; such systems do not fully support image content (eg; photos of landscapes orliving organisms) management; a requirement of many BIS end-users. In order to meet theirneeds; these users—eg; biologists; environmental experts—often have to alternate betweenseparate biodiversity and image information systems to combine information extracted fromthem. This hampers the addition of new data sources; as well as cooperation amongscientists. The approach provided in this paper to meet these issues is based on takingadvantage of advances in digital library innovations to integrate networked collections of …,International Journal on Digital Libraries,2006,54
RECOD Working Notes for Placing Task MediaEval 2011.,Lin Tzy Li; Jurandy Almeida; Ricardo da Silva Torres,ABSTRACT This work is developed in the context of placing task at MediaEval 2011. Itconsists in automatically assigning geographical coordinates to a set of videos. Our groupproposed an architecture design for the multimodal geocoding. In this paper; we focused onimplementing a simple content-based approach; which is part of the proposed framework.The reported results show our strategy compared to those from previous year participantusing only visual content to accomplish this task.,MediaEval,2011,51
Wavelet-based fingerprint image retrieval,Javier A Montoya Zegarra; Neucimar J Leite; Ricardo da Silva Torres,Abstract This paper presents a novel approach for personal identification based on awavelet-based fingerprint retrieval system which encompasses three image retrieval tasks;namely; feature extraction; similarity measurement; and feature indexing. We propose theuse of different types of Wavelets for representing and describing the textural informationpresented in fingerprint images in a compact way. For that purpose; the feature vectors usedto characterize the fingerprints are obtained by computing the mean and the standarddeviation of the decomposed images in the wavelet domain. These feature vectors are usedboth to retrieve the most similar fingerprints; given a query image; and their indexation isused to reduce the search spaces of candidate images. The different types of Wavelets usedin our study include: Gabor wavelets; tree-structured wavelet decomposition using both …,Journal of computational and applied mathematics,2009,48
Comparison of video sequences with histograms of motion patterns,Jurandy Almeida; Neucimar J Leite; Ricardo da S Torres,Making efficient use of video information requires the development of a video signature anda similarity measure to rapidly identify similar videos in a huge database. Most of existingtechniques to address this problem have focused on the uncompressed domain. However;decoding and analyzing of a video sequence are extremely time-consuming tasks. Sincevideo data are usually available in compressed form; it is desirable to directly process videomaterial without decoding. In this paper; we present a novel approach for comparing videosequences that works in the compressed domain. The proposed method is based onrecognizing motion patterns extracted from the video stream and their occurrence histogramis proven to be a powerful feature for describing the video content. Experiments on aTRECVID 2010 dataset show that our approach presents high accuracy relative to the …,Image Processing (ICIP); 2011 18th IEEE International Conference on,2011,47
Shape Retrieval using Contour Features and Distance Optimization.,Daniel Carlos Guimarães Pedronette; Ricardo da Silva Torres,Abstract: This paper presents a shape descriptor based on a set of features computed foreach point of an object contour. We also present an algorithm for distance optimizationbased on the similarity among ranked lists. Experiments were conducted on two well-knowndata sets: MPEG-7 and Kimia. Experimental results demonstrate that the combination of thetwo methods is very effective and yields better results than recently proposed shapedescriptors.,VISAPP (2),2010,45
Rotation-invariant and scale-invariant steerable pyramid decomposition for texture image retrieval,Javier A Montoya-Zegarra; Neucimar J Leite; Ricardo da S Torres,This paper proposes a new rotation-invariant and scale-invariant representation for textureimage retrieval based on steerable pyramid decomposition. By calculating the mean andstandard deviation of decomposed image subbands; the texture feature vectors areextracted. To obtain rotation or scale invariance; the feature elements are aligned byconsidering either the dominant orientation or dominant scale of the input textures.Experiments were conducted on the Brodatz database aiming to compare our approach tothe conventional steerable pyramid decomposition; and a proposal for texturecharacterization based on Gabor wavelets with regard to their retrieval effectiveness.Results demonstrate the superiority of the proposed method in rotated and scaled imagedatasets.,Computer Graphics and Image Processing; 2007. SIBGRAPI 2007. XX Brazilian Symposium on,2007,43
Evaluating the Potential of Texture and Color Descriptors for Remote Sensing Image Retrieval and Classification.,Jefersson Alex dos Santos; Otávio Augusto Bizetto Penatti; Ricardo da Silva Torres,*,VISAPP (2),2010,41
Learning how to extract rotation-invariant and scale-invariant features from texture images,Javier A Montoya-Zegarra; Joao Paulo Papa; Neucimar J Leite; Ricardo da Silva Torres; Alexandre Falcão,Abstract Learning how to extract texture features from noncontrolled environmentscharacterized by distorted images is a still-open task. By using a new rotation-invariant andscale-invariant image descriptor based on steerable pyramid decomposition; and a novelmulticlass recognition method based on optimum-path forest; a new texture recognitionsystem is proposed. By combining the discriminating power of our image descriptor andclassifier; our system uses small-size feature vectors to characterize texture images withoutcompromising overall classification rates. State-of-the-art recognition results are furtherpresented on the Brodatz data set. High classification rates demonstrate the superiority ofthe proposed system.,EURASIP journal on advances in signal processing,2008,40
Interactive multiscale classification of high-resolution remote sensing images,Jefersson Alex Dos Santos; Philippe-Henri Gosselin; Sylvie Philipp-Foliguet; Ricardo da S Torres; Alexandre Xavier Falcao,The use of remote sensing images (RSIs) as a source of information in agribusinessapplications is very common. In those applications; it is fundamental to identify andunderstand trends and patterns in space occupation. However; the identification andrecognition of crop regions in remote sensing images are not trivial tasks yet. In high-resolution image analysis and recognition; many of the problems are related to therepresentation scale of the data; and to both the size and the representativeness of thetraining set. In this paper; we propose a method for interactive classification of remotesensing images considering multiscale segmentation. Our aim is to improve the selection oftraining samples using the features from the most appropriate scales of representation. Weuse a boosting-based active learning strategy to select regions at various scales for user's …,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,2013,39
Exploiting pairwise recommendation and clustering strategies for image re-ranking,Daniel Carlos GuimarãEs Pedronette; Ricardo Da S Torres,Abstract In Content-based Image Retrieval (CBIR) systems; accurately ranking collectionimages is of great relevance. Users are interested in the returned images placed at the firstpositions; which usually are the most relevant ones. Commonly; image content descriptorsare used to compute ranked lists in CBIR systems. In general; these systems perform onlypairwise image analysis; that is; compute similarity measures considering only pairs ofimages; ignoring the rich information encoded in the relations among several images. Thispaper presents a novel re-ranking approach used to improve the effectiveness of CBIR tasksby exploring relations among images. In our approach; a recommendation-based strategy iscombined with a clustering method. Both exploit contextual information encoded in rankedlists computed by CBIR systems. We conduct several experiments to evaluate the …,Information Sciences,2012,38
A scalable re-ranking method for content-based image retrieval,Daniel Carlos Guimarães Pedronette; Jurandy Almeida; Ricardo Da S Torres,Abstract Content-based Image Retrieval (CBIR) systems consider only a pairwise analysis;ie; they measure the similarity between pairs of images; ignoring the rich informationencoded in the relations among several images. However; the user perception usuallyconsiders the query specification and responses in a given context. In this scenario; re-ranking methods have been proposed to exploit the contextual information and; hence;improve the effectiveness of CBIR systems. Besides the effectiveness; the usefulness ofthose systems in real-world applications also depends on the efficiency and scalability of theretrieval process; imposing a great challenge to the re-ranking approaches; once theyusually require the computation of distances among all the images of a given collection. Inthis paper; we present a novel approach for the re-ranking problem. It relies on the …,Information Sciences,2014,36
Making colors worth more than a thousand words,Jurandy Almeida; Anderson Rocha; Ricardo Torres; Siome Goldenstein,Abstract Content-based image retrieval (CBIR) is a challenging task. Common techniquesuse only low-level features. However; these solutions can lead to the so-called'semanticgap'problem: images with high feature similarities may be different in terms of userperception. In this paper; our objective is to retrieve images based on color cues which maypresent some affine transformations. For that; we present CSIR: a new method for comparingimages based on discrete distributions of distinctive color and scale image regions. Wevalidate the technique using images with a large range of viewpoints; partial occlusion;changes in illumination; and various domains.,Proceedings of the 2008 ACM symposium on Applied computing,2008,36
Using phenological cameras to track the green up in a cerrado savanna and its on-the-ground validation,Bruna Alberton; Jurandy Almeida; Raimund Helm; Ricardo da S Torres; Annette Menzel; Leonor Patricia Cerdeira Morellato,Abstract Plant phenology has gained new importance in the context of global changeresearch; stimulating the development of novel technologies for phenological observations.Regular digital cameras have been effectively used as three-channel imaging sensors;providing measures of leaf color change or phenological shifts in plants. We monitored aspecies rich Brazilian cerrado savanna to assess the reliability of digital images to detectleaf-changing patterns. Analysis was conducted by extracting color information fromselected parts of the image named regions of interest (ROIs). We aimed to answer thefollowing questions:(i) Do digital cameras capture leaf changes in cerrado savannavegetation?(ii) Can we detect differences in phenological changes among species crownsand the cerrado community?(iii) Is the greening pattern detected for each species by …,Ecological Informatics,2014,35
Color descriptors for web image retrieval: a comparative study,Otávio Augusto Bizetto Penatti; Ricardo da Silva Torres,This paper presents a comparative study of color descriptors for content-based imageretrieval on the Web. Several image descriptors were compared theoretically and the mostrelevant ones were implemented and tested in two different databases. The main goal wasto find out the best descriptors for Web image retrieval. Descriptors are compared accordingto the extraction and distance functions complexities; the compactness of feature vectors;and the ability to retrieve relevant images.,Computer Graphics and Image Processing; 2008. SIBGRAPI'08. XXI Brazilian Symposium on,2008,35
A visual approach for video geocoding using bag-of-scenes,Otávio AB Penatti; Lin Tzy Li; Jurandy Almeida; Ricardo da S Torres,Abstract This paper presents a novel approach for video representation; called bag-of-scenes. The proposed method is based on dictionaries of scenes; which provide a high-level representation for videos. Scenes are elements with much more semantic informationthan local features; specially for geotagging videos using visual content. Thus; eachcomponent of the representation model has self-contained semantics and; hence; it can bedirectly related to a specific place of interest. Experiments were conducted in the context ofthe MediaEval 2011 Placing Task. The reported results show our strategy compared to thosefrom other participants that used only visual content to accomplish this task. Despite our verysimple way to generate the visual dictionary; which has taken photos at random; the resultsshow that our approach presents high accuracy relative to the state-of-the art solutions.,Proceedings of the 2nd ACM International Conference on Multimedia Retrieval,2012,34
A framework for selection and fusion of pattern classifiers in multimedia recognition,Fabio A Faria; Jefersson A Dos Santos; Anderson Rocha; Ricardo da S Torres,Abstract The frequent growth of visual data; either by countless monitoring video cameraswherever we go or the popularization of mobile devices that allow each person to create andedit their own images and videos have contributed enormously to the so-called “big-datarevolution”. This shear amount of visual data gives rise to a Pandora box of new visualclassification problems never imagined before. Image and video classification tasks havebeen inserted in different and complex applications and the use of machine learning-basedsolutions has become the most popular approach for several applications. Notwithstanding;there is no silver bullet that solves all the problems; ie; it is not possible to characterize allimages of different domains with the same description method nor is it possible to use thesame learning method to achieve good results in any kind of application. In this work; we …,Pattern Recognition Letters,2014,31
Automatic classifier fusion for produce recognition,Fabio Augusto Faria; Jefersson Alex dos Santos; Anderson Rocha; Ricardo da S Torres,Recognizing different kinds of fruits and vegetables is a common task in supermarkets. Thistask; however; poses several challenges as it requires the identification of different speciesof a particular produce and also its variety. Usually; existing computer-based recognitionapproaches are not automatic and demand long-term and laborious prior training sessions.This paper presents a novel framework for classifier fusion aiming at supporting theautomatic recognition of fruits and vegetables in a supermarket environment. The objectiveis to provide an effective mechanism for combining low-cost classifiers trained for specificclasses of interest. The experiments performed demonstrate that the proposed frameworkyields better results than several related work found in the literature and represents a stepforward automatic produce recognition in cashiers of supermarkets.,Graphics; Patterns and Images (SIBGRAPI); 2012 25th SIBGRAPI Conference on,2012,31
Rapid video summarization on compressed video,Jurandy Almeida; Ricardo da S Torres; Neucimar J Leite,Recent advances in technology have increased the availability of video data; creating astrong requirement for efficient systems to manage those materials. Making efficient use ofvideo information requires that data be accessed in a user-friendly way. This has been thegoal of a quickly evolving research area known as video summarization. Most of existingtechniques to address the problem of summarizing a video sequence have focused on theuncompressed domain. However; decoding and analyzing of a video sequence are twoextremely time-consuming tasks. Since video data are usually available in compressed form;it is desirable to directly process video material without decoding. In this paper; we present anovel approach for video summarization that works in the compressed domain. Theproposed method is based on both exploiting visual features extracted from the video …,Multimedia (ISM); 2010 IEEE International Symposium on,2010,31
Exploiting contextual spaces for image re-ranking and rank aggregation,Daniel Carlos Guimarães Pedronette; Ricardo da S Torres,Abstract The objective of Content-based Image Retrieval (CBIR) systems is to return themost similar images given an image query. In this scenario; accurately ranking collectionimages is of great relevance. In general; CBIR systems consider only pairwise imageanalysis; that is; compute similarity measures considering only pair of images; ignoring therich information encoded in the relations among several images. This paper presents anovel re-ranking approach based on contextual spaces aiming to improve the effectivenessof CBIR tasks; by exploring relations among images. In our approach; information encodedin both distances among images and ranked lists computed by CBIR systems are used foranalyzing contextual information. The re-ranking method can also be applied to other tasks;such as:(i) for combining ranked lists obtained by using different image descriptors (rank …,Proceedings of the 1st ACM international conference on multimedia retrieval,2011,30
A new framework to combine descriptors for content-based image retrieval,Ricardo da S Torres; Alexandre X Falcão; Baoping Zhang; Weiguo Fan; Edward A Fox; Marcos André Gonçalves; Pavel Calado,Abstract In this paper; we propose a novel framework using Genetic Programming tocombine image database descriptors for content-based image retrieval (CBIR). Ourframework is validated through several experiments involving two image databases andspecific domains; where the images are retrieved based on the shape of their objects.,Proceedings of the 14th ACM international conference on Information and knowledge management,2005,30
Nature-inspired framework for hyperspectral band selection,Rodrigo YM Nakamura; Leila Maria Garcia Fonseca; Jefersson Alex Dos Santos; Ricardo da S Torres; Xin-She Yang; Joao Papa Papa,Although hyperspectral images acquired by on-board satellites provide information from awide range of wavelengths in the spectrum; the obtained information is usually highlycorrelated. This paper proposes a novel framework to reduce the computation cost for largeamounts of data based on the efficiency of the optimum-path forest (OPF) classifier and thepower of metaheuristic algorithms to solve combinatorial optimizations. Simulations on twopublic data sets have shown that the proposed framework can indeed improve theeffectiveness of the OPF and considerably reduce data storage costs.,IEEE Transactions on Geoscience and Remote Sensing,2014,27
