Microbial synthesis of silver nanoparticles by Bacillus sp.,Nalenthiran Pugazhenthiran; Sambandam Anandan; Govindarajan Kathiravan; Nyayiru Kannaian Udaya Prakash; Simon Crawford; Muthupandian Ashokkumar,Abstract A silver resistant Bacillus sp. was isolated through exposure of an aqueous AgNO 3solution to the atmosphere. Silver nanoparticles were synthesized using these airbornebacteria (Bacillus sp.). Transmission electron microscopy (TEM) and energy dispersive X-ray(EDX) analyses confirmed that silver nanoparticles of 5–15 nm in size were deposited in theperiplasmic space of the bacterial cells; a preferable cell surface location for the easyrecovery of biogenic nanoparticles.,Journal of Nanoparticle Research,2009,175
One step green synthesis of silver nano/microparticles using extracts of Trachyspermum ammi and Papaver somniferum,K Vijayaraghavan; SP Kamala Nalini; N Udaya Prakash; D Madhankumar,Abstract A novel biosynthesis route for silver nanoparticles (Ag-NPs) was attempted in thispresent investigation using aqueous extracts of Trachyspermum ammi and Papaversomniferum. The main constituents in T. ammi are thymol; p-cymene and γ-terpinene; whileP. somniferum consists of morphine and codeine. The essential oil in T. ammi was found tobe a good reducing agent than the alkaloids present in P. somniferum for the formation ofbiocompatible Ag-NPs. The effectiveness of both the extracts was investigated by usingsame dosage of extract in the synthesis of silver nanoparticle. The results showed that forthe same dosage of extracts the T. ammi synthesized various size triangular shapednanoparticles measuring from 87 nm; to a fewer nanoparticles having a size of 998 nmdiagonally. P. somniferum resulted in almost spherical shaped particle ranging in size …,Colloids and Surfaces B: Biointerfaces,2012,108
Rapid green synthesis of silver nanoparticles from Chrysanthemum indicum L and its antibacterial and cytotoxic effects: an in vitro study,Selvaraj Arokiyaraj; Mariadhas Valan Arasu; Savariar Vincent; Nyayirukannaian Udaya Prakash; Seong Ho Choi; Young-Kyoon Oh; Ki Choon Choi; Kyoung Hoon Kim,Abstract The present work reports a simple; cost-effective; and ecofriendly method for thesynthesis of silver nanoparticles (AgNPs) using Chrysanthemum indicum and itsantibacterial and cytotoxic effects. The formation of AgNPs was confirmed by color change;and it was further characterized by ultraviolet–visible spectroscopy (435 nm). Thephytochemical screening of C. indicum revealed the presence of flavonoids; terpenoids; andglycosides; suggesting that these compounds act as reducing and stabilizing agents. Thecrystalline nature of the synthesized particles was confirmed by X-ray diffraction; as theyexhibited face-centered cubic symmetry. The size and morphology of the particles werecharacterized by transmission electron microscopy; which showed spherical shapes andsizes that ranged between 37.71–71.99 nm. Energy-dispersive X-ray spectroscopy …,International journal of nanomedicine,2014,73
Biomimetic synthesis of silver nanoparticles by aqueous extract of Syzygium aromaticum,K Vijayaraghavan; SP Kamala Nalini; N Udaya Prakash; D Madhankumar,Abstract The present investigation deals with the synthesis of silver nanoparticles (AgNPs)by green synthesis that has advantages over conventional methods involving chemicalagents associated with environmental toxicity. Green synthesis method involves the use ofSyzygium aromaticum extract in the universal solvent namely water. The reaction processwas simple and convenient to handle; and was monitored using ultraviolet–visiblespectroscopy (UV–vis). The results were promising and rapid in the production of silvernanoparticle with a surface plasmon resonance occurring at 430 nm. The formednanoparticles ranged in dimension between 20 and 149 nm which was almost spherical inshape. EDAX confirmed that the formed nanoparticles are silver as the optical absorptionpeak was observed approximately at 3 keV; which is typical for the absorption of metallic …,Materials Letters,2012,70
Enhanced antibacterial activity of iron oxide magnetic nanoparticles treated with Argemone mexicana L. leaf extract: an in vitro study,S Arokiyaraj; M Saravanan; NK Udaya Prakash; M Valan Arasu; B Vijayakumar; S Vincent,Abstract The present study intended for the chemical synthesis of iron oxide nanoparticles(IO-NPs) followed by characterization and evaluation of antibacterial activity after treatingwith Argemone mexicana L. leaf extract. The formation of IO-NPs was confirmed by thecolour change and further examined by UV–vis spectroscopy. The morphology wascharacterized by using SEM and TEM; which showed spherical particles of uniform sizeranged between 10 and 30 nm and the crystallites were determined through XRD. Thepeaks in XRD pattern are in good agreement with that of face-centered cubic form of ironoxide nanoparticles. FT-IR spectroscopy confirmed the attachment of bioactive molecules ofplant on the IO-NPs surfaces. Furthermore; the antibacterial efficacy of IO-NPs; plant extractand IO-NPs treated with plant extract was screened against Escherichia coli MTCC 443 …,Materials Research Bulletin,2013,51
Phytochemical screening; antibacterial and free radical scavenging effects of Artemisia nilagirica; Mimosa pudica and Clerodendrum siphonanthus–An in–vitro study,S Arokiyaraj; N Sripriya; R Bhagya; B Radhika; L Prameela; NK Udayaprakash,Abstract Objective To evaluate methanolic extracts of leaves of Artemisia nilagirica; Mimosapudica and Clerodendrum siphonanthus for phytochemical analysis; antibacterial activityand free radical scavenging activity. Methods Antibacterial activity was performed by discdiffusion method against two gram positive and four gram negative strains. Free radicalscavenging potential was evaluated using total antioxidant activity (thiocyanate method) anddiphenyl-picryl-hydrazyl (DPPH) assay. Results Results of the present study showed thatClerodendrum siphonanthus exhibited significant antibacterial effect against Klebsiellapneumoniae (30 mm); Proteus mirabilis (16 mm); Salmonella typhi (16 mm); Staphylococcusaureus (12 mm); Escherichia coli (11.5 mm) and Bacillus subtilis (10 mm). Mimosa pudicaand Artemisia nilagirica showed good antibacterial effects. Clerodendrum siphonanthus …,Asian Pacific Journal of Tropical Biomedicine,2012,25
Phytochemistry and Bio-efficacy of a weed; Dodonaea viscosa,NK Udaya Prakash; CR Selvi; V Sasikala; S Dhanalakshmi; S Bhuvaneswari Udaya Prakash,ABSTRACT The plant Dodonaea viscosa is distributed as a weed from coast to the elevationof more than 2000 meters. The weed is distributed in tropical as well as subtropical regionsof the world. The widely spread weed is potentially used as a folklore medicine in the state ofTamil Nadu; India for various reasons. The study on its phytochemistry; antibacterial;antifungal and larvicidal potency of all the plant parts; ie leaf; stem and root of the plant usingdifferent solvent were not studied so far. In this study; the study on phytochemistry ofaqueous extract of the plant; antimicrobial; antibacterial and larvicidal activity of the leaf;stem and root of the plant using aqueous; methanol and chloroform (organic solvents) wereconducted. The results showed that methanol extract of the leaf possess maximumantibacterial activity against more number of bacteria. The methanolic extract of all plant …,International Journal of Pharmacy and Pharmaceutical Sciences,2012,23
A comparative study on antibacterial activity of common weeds,S Bhuvaneswari; R Aravind; V Kaviyarasan; K Kalaivanan; SEKAR BABU HARIRAM; NK UDAYAPRAKASH,Klebsiella pneumoniae; Pseudomonas aeruginosa and Staphylococcus aureus wereinvestigated. For this purpose; the leaf extracts of the plants were prepared using Acetone;Chloroform; Hexane and Methanol. The prepared extracts were analyzed for its bio-efficacythrough Disc diffusion method. Among the solvent studied; Methanolic extract alone givenpositive results. The Hexane and Chloroform extract of all the three plants showed poorresponse in resisting bacterial growth. Among the plant studied; methanolic extract ofLantana camara possess greater activity than Croton sparsiflorus and Antigonon leptopus.,Int. J. Pharm. Biosci,2011,20
Studies on Phytochemistry of 100 Plants in Chennai; India.,Prakash NK Udaya; S Bhuvaneswari; A Balamurugan; B Radhika; R Bhagya; N Sripriya; L Prameela; S Sarojini; R Vigneshwari; M Chandran; S Arokiyaraj,*,*,2013,19
Indoor molds: Isolation and Identification,N.K. Udaya Prakash,*,*,2004,18
A study on antibacterial activity of common weeds in northern districts of Tamil Nadu; India.,NK Udaya Prakash; S Bhuvaneswari; B Jahnavi; K Abhinaya; A Gulbsy Rajalin; M Prathab Kumar; G Sundraraman; K Elumalai; S Devipriya; V Kannan; V Sriraman; G Kathiravan,Abstract: The present study reports the antibacterial potency of the methanolic extract of 25common weeds; Abutilon indicum; Acalypha indica; Ageratum conyzoides; Alangiumplatanifolium; Anisomeles sp.; Boerhavia diffusa; Cardiospermum helicacabum Cassiaalata; Centella asiatica; Coccinia grandis; Commelina benghalensis; Corchorus sp.; Crotonsparsiflorus; Dodonea viscosa; Hyptis sauveolens; Lantana camara; Leonotis nepetifolia;Mimosa pudica; Martinea annua; Occimum americanum; Oldenlandia umbellata;Parthenium hysterophorus; Solanum nigrum; Tinospora cordifolia and Xanthium stromariumbelonging to 15 different families. The plants were collected from the districts of Chengalpet;Chennai; Kancheepuram; Vellore and Tiruvellore belonging to the Northern part of the Stateof Tamil Nadu. The antibacterial property were determined using disc diffusion method on …,Research Journal of medicinal plant,2012,15
