A calculus for communicating systems,R MILleR,CiNii 国立情報学研究所 学術情報ナビゲータ[サイニィ]. メニュー 検索 …,LNCS,1986,1411
Data Exchange: Semantics and Query Answering,Ronald Fagin; Phokion G Kolaitis; Renée J Miller; Lucian Popa,Abstract Data exchange is the problem of taking data structured under a source schema andcreating an instance of a target schema that reflects the source data as accurately aspossible. In this paper; we address foundational and algorithmic issues related to thesemantics of data exchange and to the query answering problem in the context of dataexchange. These issues arise because; given a source instance; there may be many targetinstances that satisfy the constraints of the data exchange problem. We give an algebraicspecification that selects; among all solutions to the data exchange problem; a special classof solutions that we call universal. We show that a universal solution has no more and noless data than required for data exchange and that it represents the entire space of possiblesolutions. We then identify fairly general; yet practical; conditions that guarantee the …,Database Theory—ICDT,2003,1223
Schema Mapping as Query Discovery,Renéee J Miller; Laura M Haas; Mauricio A Hernéandez,Abstract To enable modern data intensive applications including data warehousing; globalinformation systems and electronic commerce; we must solve the schema mapping problemin which a source (legacy) database is mapped into a different; but fixed; target schema.Schema mapping involves the discovery of a query or set of queries that transform thesource data into the new structure. We introduce an interactive mapping creation paradigmbased on value correspondences that show how a value of a target attribute can be createdfrom a set of values of source attributes. We describe the use of the value correspondenceframework in Clio; a prototype tool for semi-automated schema mapping; and present analgorithm for query derivation from an evolving set of value correspondences.,VLDB,2000,698
Schema Mapping as Query Discovery,Renéee J Miller; Laura M Haas; Mauricio A Hernandez,Abstract To enable modern data intensive applications including data warehousing; globalinformation systems and electronic commerce; we must solve the schema mapping problemin which a source (legacy) database is mapped into a different; but fixed; target schema.Schema mapping involves the discovery of a query or set of queries that transform thesource data into the new structure. We introduce an interactive mapping creation paradigmbased on value correspondences that show how a value of a target attribute can be createdfrom a set of values of source attributes. We describe the use of the value correspondenceframework in Clio; a prototype tool for semi-automated schema mapping; and present analgorithm for query derivation from an evolving set of value correspondences.,VLDB,2000,698
Translating web data,Lucian Popa; Yannis Velegrakis; Mauricio A Hernández; Renée J Miller; Ronald Fagin,An important issue in modern information systems and e-commerce applications is providingsupport for interoperability of independent data sources. A broad variety of data is availableon the Web in distinct heterogeneous sources; stored under different formats: databaseformats (for example; relational model); semistructured formats (for example; DTDs; SGML orXML Schema); scientific formats; etc. Integration of such data is an increasingly importantproblem. Nonetheless; the effort involved in such integration; in practice; is considerable:translation of data from one format (or schema) to another requires writing and managingcomplex data; transformation programs or queries. The chapter presents a novel frameworkfor mapping between any combination of XML and relational schemas; in which a high-level;user specified mapping is translated into semantically meaningful queries that transform …,VLDB,2002,673
The Clio project: managing heterogeneity,Renée J Miller; Mauricio A Hernández; Laura M Haas; Ling-Ling Yan; CT Howard Ho; Ronald Fagin; Lucian Popa,Abstract Clio is a system for managing and facilitating the complex tasks of heterogeneousdata transformation and integration. In Clio; we have collected together a powerful set ofdata management techniques that have proven invaluable in tackling these difficultproblems. In this paper; we present the underlying themes of our approach and present abrief case study.,SIGMOD Record,2001,419
Association rules over interval data,Renée J Miller; Yuping Yang,Abstract We consider the problem of mining association rules over interval data (that is;ordered data for which the separation between data points has meaning). We show that themeasures of what rules are most important (also called rule interest) that are used for miningnominal and ordinal data do not capture the semantics of interval data. In the presence ofinterval data; support and confidence are no longer intuitive measures of the interest of arule. We propose a new definition of interest for association rules that takes into account thesemantics of interval data. We developed an algorithm for mining association rules underthe new definition and overview our experience using the algorithm on large real-lifedatasets.,ACM SIGMOD,1997,365
Mapping data in peer-to-peer systems: Semantics and algorithmic issues,Anastasios Kementsietsidis; Marcelo Arenas; Renée J Miller,Abstract We consider the problem of mapping data in peer-to-peer data-sharing systems.Such systems often rely on the use of mapping tables listing pairs of corresponding values tosearch for data residing in different peers. In this paper; we address semantic andalgorithmic issues related to the use of mapping tables. We begin by arguing why mappingtables are appropriate for data mapping in a peer-to-peer environment. We discussalternative semantics for these tables and we present a language that allows the user tospecify mapping tables under different semantics. Then; we show that by treating mappingtables as constraints (called mapping constraints) on the exchange of information betweenpeers it is possible to reason about them. We motivate why reasoning capabilities areneeded to manage mapping tables and show the importance of inferring new mapping …,Proceedings of the 2003 ACM SIGMOD international conference on Management of data,2003,323
Similarity search over time-series data using wavelets,Ivan Popivanov; Renee J Miller,Considers the use of wavelet transformations as a dimensionality reduction technique topermit efficient similarity searching over high-dimensional time-series data. While numeroustransformations have been proposed and studied; the only wavelet that has been shown tobe effective for this application is the Haar wavelet. In this work; we observe that a largeclass of wavelet transformations (not only orthonormal wavelets but also bi-orthonormalwavelets) can be used to support similarity searching. This class includes the most popularand most effective wavelets being used in image compression. We present a detailedperformance study of the effects of using different wavelets on the performance of similaritysearching for time-series data. We include several wavelets that outperform both the Haarwavelet and the best-known non-wavelet transformations for this application. To ensure …,Data Engineering; 2002. Proceedings. 18th International Conference on,2002,303
The use of information capacity in schema integration and translation,Renée J Miller; Yannis E Ioannidis; Raghu Ramakrishnan,Abstract In this paper; we carefully explore the assumptions behind using informationcapacity equivalence as a measure of correctness for judging transformed schemas inschema integration and translation methodologies. We present a classification of commonintegration and translation tasks based on their operational goals and derive from them therelative information capacity requirements of the original and transformed schemas. Weshow that for many tasks; information capacity equivalence of the schemas is not strictlyrequired. Based on this; we present a new definition of correctness that reflects eachundertaken task. We then examine existing methodologies and show how anomalies canarise when using those that do not meet the proposed correctness criteria.,VLDB,1993,268
Data-driven understanding and refinement of schema mappings,Ling Ling Yan; Renée J Miller; Laura M Haas; Ronald Fagin,Abstract At the heart of many data-intensive applications is the problem of quickly andaccurately transforming data into a new form. Database researchers have long advocatedthe use of declarative queries for this process. Yet tools for creating; managing andunderstanding the complex queries necessary for data transformation are still too primitive topermit widespread adoption of this approach. We present a new framework that uses dataexamples as the basis for understanding and refining declarative schema mappings. Weidentify a small set of intuitive operators for manipulating examples. These operators permita user to follow and refine an example by walking through a data source. We show that ouroperators are powerful enough both to identify a large class of schema mappings and todistinguish effectively between alternative schema mappings. These operators permit a …,ACM SIGMOD,2001,266
