Database System Concepts,A Silberschatz; HF Korth; S. Sudarshan,*,*,2011,4029
Semantics and implementation of schema evolution in object-oriented databases,Jay Banerjee; Won Kim; Hyoung-Joo Kim; Henry F Korth,Abstract Object-oriented programming is well-suited to such data-intensive applicationdomains as CAD/CAM; AI; and OIS (office information systems) with multimedia documents.At MCC we have built a prototype object-oriented database system; called ORION. It addspersistence and sharability to objects created and manipulated in applications implementedin an object-oriented programming environment. One of the important requirements of theseapplications is schema evolution; that is; the ability to dynamically make a wide variety ofchanges to the database schema. In this paper; following a brief review of the object-oriented data model that we support in ORION; we establish a framework for supportingschema evolution; define the semantics of schema evolution; and discuss itsimplementation.,ACM SIGMOD Record,1987,985
Database systems: design; implementation; & management,Carlos Coronel; Steven Morris,Readers gain a solid foundation in database design and implementation with the practicaland easy-to-understand approach in DATABASE SYSTEMS: DESIGN; IMPLEMENTATION;AND MANAGEMENT; 12E. Filled with diagrams; illustrations; and tables; this market-leadingtext provides in-depth coverage of database design. Readers learn the key to successfuldatabase implementation: proper design of databases to fit within a larger strategic view ofthe data environment. Renowned for its clear; straightforward writing style; this text providesan outstanding balance of theory and practice. Updates include the latest coverage of clouddata services and a new chapter on Big Data Analytics and NoSQL; including relatedHadoop technologies. In addition; new review questions; problem sets; and cases offermultiple opportunities to test understanding and develop useful design skills. Important …,*,2016,896
Sistema de bancos de dados,Abraham Silberschatz; Henry F Korth; S Sudarshan,*,*,1999,655
Fundamentos de bases de datos,Abraham Silberschatz; Henry F Korth; S Sudarshan,• Bases de datos relacionales (Capítulos 4 al 7). El Capítulo 4 se centra en el lenguajerelacional orientado al usuario de mayor influencia: SQL. El Capítulo 5 cubre otros doslenguajes relacionales; QBE y Datalog. En estos dos capítulos se describe la manipulaciónde datos: consultas; actualizaciones; inserciones y borrados. Los algoritmos y lascuestiones de diseño,*,2002,521
Readings in object-oriented database systems,Stanley Benjamin Zdonik; David Maier,Fundamentals of objet-oriented databases; Object-oriented fundamentals; Semantic datamodels and persistent languages; Object-oriented database systems; Implementation;Transaction processing; Special features; Relational extensions and extensible databases;Interfaces; Applications.,*,1990,521
Extended algebra and calculus for nested relational databases,Mark A Roth; Herry F Korth; Abraham Silberschatz,Abstract Relaxing the assumption that relations are always in First-Normal-Form (1NF)necessitates a reexamination of the fundamentals of relational database theory. In this paperwe take a first step towards unifying the various theories of¬ 1NF databases. We start bydetermining an appropriate model to couch our formalisms in. We then define an extendedrelational calculus as the theoretical basis for our¬ 1NF database query language. Wedefine a minimal extended relational algebra and prove its equivalence to the¬ 1NFrelational calculus. We define a class of¬ 1NF relations with certain “good” properties andextend our algebra operators to work within this domain. We prove certain desirableequivalences that hold only if we restrict our language to this domain.,ACM Transactions on Database Systems (TODS),1988,465
Extended Algebra and Calculus for,Mark A Roth; Henry F Korth; Avi Silberschatz,*,*,1984,465
Covering indexes for branching path queries,Raghav Kaushik; Philip Bohannon; Jeffrey F Naughton; Henry F Korth,Abstract In this paper; we ask if the traditional relational query acceleration techniques ofsummary tables and covering indexes have analogs for branching path expression queriesover tree-or graph-structured XML data. Our answer is yes---the forward-and-backwardindex already proposed in the literature can be viewed as a structure analogous to asummary table or covering index. We also show that it is the smallest such index that coversall branching path expression queries. While this index is very general; our experimentsshow that it can be so large in practice as to offer little performance improvement overevaluating queries directly on the data. Likening the forward-and-backward index to acovering index on all the attributes of several tables; we devise an index definition schemeto restrict the class of branching path expressions being indexed. The resulting index …,Proceedings of the 2002 ACM SIGMOD international conference on Management of data,2002,422
A formal approach to recovery by compensating transactions,Henry F Korth; Eliezer Levy; Abraham Silberschatz,Abstract Compensating transactions are intended to handle situations where it is required toundo either committed or uncommitted transactions that aﬁect other transactions; withoutresorting to cascading also;-ts; This stands in sharp contrast to the standard approach totransaction recovery where cascading abort: are avoided by requiring transactions to readonly committed data; and where committed transactions are treated as pmanent andirreversible. We argue that this standard approach to recovery is not suitable for a widerange of advanced database appiications; in particular those applications that incorporatelong-duration or nested transactions. We sh. o" I| IiI how compensating transactions can beeliectiveiy used to handle these types of applications. We present a model that allows thedeﬁnition of a. variety of types of correct compensation. These types of compensation …,*,1990,369
Sistemas de bancos de dados,Henry F Korth; Abraham Silberschatz,*,São Paulo. Ed. Makron Books,1999,339
