Chlorites and hydroxy-interlayered vermiculite and smectite,Richard I Barnhisel; Paul M Bertsch,Chlorites are not as abundant as some other clay minerals in soils; but when present theyplay significant roles in the chemical environment. Chlorites are less stable than most of theother clays when placed into acidic environments; and therefore may be rapidly altered. Thisweathering process may account for significant amounts of Mg2+ and other cations thatoccupy exchange sites of clay minerals of such soils. In addition to the minerals consideredfor this chapter; the chlorite layer may be an important part of mixed layer sequences (seeSawhney; chapter 16; this book). Confusion may occur from casual reading of the literature;since the word chlorite appears in many earlier reports. Such minerals are presentlyclassified as a type of interstratified mineral sequence. For example the term" swelling"chlorite was first used by Stephen and MacEwan (1950; 1951) to describe a mineral …,Minerals in soil environments,1989,646
Aluminum,Richard Barnhisel; Paul M Bertsch,In general; the initial phase of total AI analysis when Al is to be determined spectrometricallyinvolves fusion and/or complete dissolution of the sample to convert AI to a soluble form.This phase is then followed by the determination of the liberated AI. Methods such as x-rayfluorescence spectrometry and neutron activation may not require the dissolution process;but other preparatory steps are required. The total Al content of a sample is useful data forcharacterization of soils with respect to origin of parent materials and weathering; and itserves as a basis for computing the mineralogical composition of the sample. The choice ofpreparatory methods is dependent on the use that is to be made of the data; the need foranalysis of other elements in the sample; and perhaps most important; the availability ofequipment. The sodium carbonate fusion method is one of the most commonly used …,Methods of Soil Analysis. Part 2. Chemical and Microbiological Properties,1982,343
Molecular dynamics modeling of clay minerals. 1. Gibbsite; kaolinite; pyrophyllite; and beidellite,Brian J Teppen; Kjeld Rasmussen; Paul M Bertsch; David M Miller; Lothar Schäfer,A molecular dynamics model for clays and the oxide minerals is desirable for studying thekinetics and thermodynamics of adsorption processes. To this end; a valence force field foraluminous; dioctahedral clay minerals was developed. Novel aspects of this developmentinclude the bending potential for octahedral O− Al− O angles; which uses a quarticpolynomial to create a double-well potential with minima at both 90° and 180°. Also; atomicpoint charges were derived from comparisons of ab initio molecular electrostatic potentialswith X-ray diffraction-based deformation electron densities. Isothermal− isobaric moleculardynamics simulations of quartz; gibbsite; kaolinite; and pyrophyllite were used to refine thepotential energy parameters. The resultant force field reproduced all the major structuralparameters of these minerals to within 1% of their experimentally determined values …,The Journal of Physical Chemistry B,1997,267
Trace element speciation in poultry litter,Brian P Jackson; PM Bertsch; ML Cabrera; JJ Camberato; JC Seaman; CW Wood,Abstract Trace elements are added to poultry feed for disease prevention and enhancedfeed efficiency. High concentrations are found in poultry litter (PL); which raises concernsregarding trace element loading of soils. Trace metal cation solubility from PL may beenhanced by complexation with dissolved organic carbon (DOC). Mineralization of organo–As compounds may result in more toxic species such as As (III) and As (V). Speciation ofthese elements in PL leachates should assist in predicting their fate in soil. Elementalconcentrations of 40 PL samples from the southeastern USA were determined. Water-soluble extractions (WSE) were fractionated into hydrophobic; anionic; and cationic specieswith solid-phase extraction columns. Arsenic speciation of seven As species; including themain As poultry feed additives; roxarsone (ROX; 3-nitro-4-hydroxyphenylarsonic acid) …,Journal of Environmental Quality,2003,251
Aluminum,Paul M Bertsch; Paul R Bloom,Total aluminum is often determined on soils and sediments because it provides usefulinformation on the characterization of soils with respect to origin of parent materials andweathering; and it serves as a basis for computing the mineralogical composition of thesample. Traditionally; total dissolution has been performed by fusion at high temperaturewith Na2C03 in platinum crucibles; fol-,Methods of Soil Analysis Part 3—Chemical Methods,1996,249
Aqueous polynuclear aluminum species,Paul M Bertsch; David R Parker,CHAPTER 4 Aqueous Polynuclear AlumInum SpecIes Paul M. Bertsch and David R. Parker CONTENTSI. Introduction 117 II. Hydrolysis and Polynucleation Reactions of Al in Aqueous Solution 118A. Mononuclear Hydrolytic Aluminum Species 118 B. Polynuclear Hydrolytic Aluminum Species121 1. Proposed Structures 122 2. Identification and Speciation 123 3. Current Weight of EvidenceConcerning Polynuclear Species... 130 III. Origins and Genesis of Polynuclear Al Species 134A. Interfacial Disequilibrium vs. Thermodynamic Approach 134 B. Importance of Solution Compositionand Synthesis Conditions 138 C. Formation of Polynuclear Al at Solid Surfaces 142 IV. Aggregationand Precipitation of Aluminum Polynuclear Species 143 V. Environmental Significance of PolynuclearSpecies 150 A. Polynuclear Al in the Environment: Measurement and Speculation.. 150 B. ChemicalEnvironments and Polynuclear Formation 151 C. Ecotoxicological Implications of …,The environmental chemistry of aluminum,1996,242
Evidence for biomagnification of gold nanoparticles within a terrestrial food chain,Jonathan D Judy; Jason M Unrine; Paul M Bertsch,Nanoparticles from the rapidly increasing number of consumer products that containmanufactured nanomaterials are being discharged into waste streams. Increasing evidencesuggests that several classes of nanomaterials may accumulate in sludge derived fromwastewater treatment and ultimately in soil following land application as biosolids. Littleresearch has been conducted to evaluate the impact of nanoparticles on terrestrialecosystems; despite the fact that land application of biosolids from wastewater treatment willbe a major pathway for the introduction of manufactured nanomaterials to the environment.To begin addressing this knowledge gap; we used the model organisms Nicotiana tabacumL. cv Xanthi and Manduca sexta (tobacco hornworm) to investigate plant uptake and thepotential for trophic transfer of 5; 10; and 15 nm diameter gold (Au) nanoparticles (NPs) …,Environmental science & technology,2010,240
Immobilization of uranium in contaminated sediments by hydroxyapatite addition,J Samuel Arey; John C Seaman; Paul M Bertsch,Batch equilibrations were performed to investigate the ability of hydroxyapatite (Ca5 (PO4)3OH) to chemically immobilize U in two contaminated sediment samples having differentorganic carbon contents (123 and 49 g kg-1; respectively). Apatite additions loweredaqueous U to near proposed drinking water standards in batch equilibrations of two distinctsediment strata having total U concentrations of 1703 and 2100 mg kg-1; respectively.Apatite addition of 50 g kg-1 reduced the solubility of U to values less than would beexpected if autunite (Ca (UO2) 2 (PO4) 2· 10H2O) was the controlling solid phase. Acomparison of the two sediment types suggests that aqueous phase U may be controlled byboth the DOC content through complexation and the equilibrium pH for a given apatiteapplication rate. Sequential chemical extractions demonstrated that apatite amendment …,Environmental science & technology,1998,238
Changes in transition and heavy metal partitioning during hydrous iron oxide aging,Robert G Ford; Paul M Bertsch; Kevin J Farley,The fate and transport of metal ions in soils and sediments may be controlled by sorption tothe metastable iron (hydr) oxide; ferrihydrite. The reversibility of metal partitioning toferrihydrite can be significantly influenced by its transformation to more thermodynamicallystable structures such as goethite or hematite. We studied changes in metal partitioningduring aging of coprecipitates of ferrihydrite containing Cd (II); Mn (II); Ni (II); or Pb (II) at pH 6and tem peratures of 40 or 70° C and as a function of metal surface loading. Aqueous metalconcentrations as well as the fraction extracted by 0.2 M ammonium oxalate werecontinuously monitored. At the end of aging; solids were characterized by thermogravimetricanalysis and X-ray diffraction. Prior to aging; the extent of metal sorption decreased in theorder Pb (II)>> Ni (II)> Mn (II)≌ Cd (II). However; with ferrihydrite transformation; the …,Environmental Science & Technology,1997,236
Identification and quantification of the" Al13" tridecameric aluminum polycation using ferron,David R Parker; Paul M Bertsch,Division of Biogeochemistry; Savannah River Ecology Laboratory; University of Georgia;Aiken; South Carolina 29802 w Historically; 27A1-NMR spectroscopy has been required fordefinitive identification of the A104A112 (OH);(H20) 1J+ polycation (“A113n); but recentstudies suggest that it might be equatable to the polynuclear A1 fraction that exhibits amoderate reaction rate with the spectrophotometric ferron reagent (Alb). Our objectives wereto further test this correspondence and to critically evaluate the ferron-All; reaction kinetics.Partially neutralized solutions were prepared with [All;= 10-4-10-2 mol Ll; hydrolysis ratios of0.8-2.4; and base injection rates of 0.2-20 mL hl. These solutions were quantitativelyanalyzed using ferron and 27Al NMR; and the results confirmed that the Alb fractionmeasured with ferron corresponds to Al13 in freshly prepared solutions. The apparent …,Environmental Science & Technology,1992,232
Determination of arsenic speciation in poultry wastes by IC-ICP-MS,Brian P Jackson; Paul M Bertsch,The aromatic organoarsenic compounds 4-hydroxy 3-nitrobenzenearsenic acid (Roxarsone;ROX) or 4-aminobenzenearsenic acid (p-arsanilic acid; p-ASA) are used as feed additives inthe poultry industry for disease control and enhanced feed efficiency. While federalregulations govern acceptable As concentrations in edible tissue; elevated Asconcentrations occur in poultry litter; which raises concerns over repeated land applicationof poultry litter in agriculture. As a precursor to studying the fate of these organoarseniccompounds in soils; three speciation methodologies were developed to separate ROX and p-ASA from the more common and more toxic As species arsenate; arsenite; dimethyl arsenicacid (DMA); and monomethyl arsenic acid (MMA). The six arsenic species were separatedon a Dionex AS14 column using a PO4 eluant; an AS16 column using a OH-eluant; and …,Environmental Science & Technology,2001,202
