Cube faceted data analysis,*,Methods; systems; and computer readable medium for displaying results of a search query.In one implementation; the method includes receiving a query; obtaining documents thatsatisfy the query; constructing a facet hierarchy based on documents that satisfy the query;creating a cube structure based on the facet hierarchy; and displaying a multi-dimensionalsearch interface based on the cube structure.,*,2010,95
Hardware-oblivious parallelism for in-memory column-stores,Max Heimel; Michael Saecker; Holger Pirk; Stefan Manegold; Volker Markl,Abstract The multi-core architectures of today's computer systems make parallelism anecessity for performance critical applications. Writing such applications in a generic;hardware-oblivious manner is a challenging problem: Current database systems thus relyon labor-intensive and error-prone manual tuning to exploit the full potential of modernparallel hardware architectures like multi-core CPUs and graphics cards. We propose analternative design for a parallel database engine; based on a single set of hardware-oblivious operators; which are compiled down to the actual hardware at runtime. This designreduces the development overhead for parallel database engines; while achievingcompetitive performance to hand-tuned systems. We provide a proof-of-concept for thisdesign by integrating operators written using the parallel programming framework …,Proceedings of the VLDB Endowment,2013,85
Accelerating Foreign-Key Joins using Asymmetric Memory Channels.,Holger Pirk; Stefan Manegold; Martin L Kersten,ABSTRACT Indexed Foreign-Key Joins expose a very asymmetric access pattern: theForeign-Key Index is sequentially scanned whilst the Primary-Key table is target of manyquasi-random lookups which is the dominant cost factor. To reduce the costs of the randomlookups the fact-table can be (re-) partitioned at runtime to increase access locality on thedimension table; and thus limit the random memory access to inside the CPU's cache.However; this is very hard to optimize and the performance impact on recent architectures islimited because the partitioning costs consume most of the achievable join improvement [3].GPGPUs on the other hand have an architecture that is well suited for this operation: arelatively slow connection to the large system memory and a very fast connection to thesmaller internal device memory. We show how to accelerate Foreign-Key Joins by …,ADMS@ VLDB,2011,42
CPU and Cache Efficient Management of Memory-Resident Databases,Holger Pirk; Florian Funke; Martin Grund; Thomas Neumann; Ulf Leser; Stefan Manegold; Alfons Kemper; Martin Kersten,Memory-Resident Database Management Systems (MRDBMS) have to be optimized for tworesources: CPU cycles and memory bandwidth. To optimize for bandwidth in mixedOLTP/OLAP scenarios; the hybrid or Partially Decomposed Storage Model (PDSM) hasbeen proposed. However; in current implementations; bandwidth savings achieved bypartial decomposition come at increased CPU costs. To achieve the aspired bandwidthsavings without sacrificing CPU efficiency; we combine partially decomposed storage withJust-in-Time (JiT) compilation of queries; thus eliminating CPU inefficient function calls.Since existing cost based optimization components are not designed for JiT-compiled queryexecution; we also develop a novel approach to cost modeling and subsequent storagelayout optimization. Our evaluation shows that the JiT-based processor maintains the …,ICDE,2013,30
Waste not… Efficient co-processing of relational data,Holger Pirk; Stefan Manegold; Martin Kersten,The variety of memory devices in modern computer systems holds opportunities as well aschallenges for data management systems. In particular; the exploitation of GraphicsProcessing Units (GPUs) and their fast memory has been studied quite intensively.However; current approaches treat GPUs as systems in their own right and fail to provide ageneric strategy for efficient CPU/GPU cooperation. We propose such a strategy forrelational query processing: calculating an approximate result based on lossily compressed;GPU-resident data and refine the result using residuals; ie; the lost data; on the CPU. Wedeveloped the required algorithms; implemented the strategy in an existing DBMS andfound up to 8 times performance improvement; even for datasets larger than the availableGPU memory.,Data Engineering (ICDE); 2014 IEEE 30th International Conference on,2014,27
Database cracking: fancy scan; not poor man's sort!,Holger Pirk; Eleni Petraki; Stratos Idreos; Stefan Manegold; Martin Kersten,Abstract Database Cracking is an appealing approach to adaptive indexing: on every range-selection query; the data is partitioned using the supplied predicates as pivots. The core ofdatabase cracking is; thus; pivoted partitioning. While pivoted partitioning; like scanning;requires a single pass through the data it tends to have much higher costs due to lower CPUefficiency. In this paper; we conduct an in-depth study of the reasons for the low CPUefficiency of pivoted partitioning. Based on the findings; we develop an optimized versionwith significantly higher (single-threaded) CPU efficiency. We also develop a number ofmulti-threaded implementations that are effectively bound by memory bandwidth. Combiningall of these optimizations we achieve an implementation that has costs close to or better thanan ordinary scan on a variety of systems ranging from low-end (cheaper than $300) …,Proceedings of the Tenth International Workshop on Data Management on New Hardware,2014,25
Weld: A common runtime for high performance data analytics,Shoumik Palkar; James J Thomas; Anil Shanbhag; Deepak Narayanan; Holger Pirk; Malte Schwarzkopf; Saman Amarasinghe; Matei Zaharia; Stanford InfoLab,Abstract Modern analytics applications combine multiple functions from different librariesand frameworks to build increasingly complex workflows. Even though each function mayachieve high performance in isolation; the performance of the combined workflow is often anorder of magnitude below hardware limits due to extensive data movement across thefunctions. To address this problem; we propose Weld; a runtime for data-intensiveapplications that optimizes across disjoint libraries and functions. Weld uses a commonintermediate representation to capture the structure of diverse dataparallel workloads;including SQL; machine learning and graph analytics. It then performs key data movementoptimizations and generates efficient parallel code for the whole workflow. Weld can beintegrated incrementally into existing frameworks like Tensor-Flow; Apache Spark …,Conference on Innovative Data Systems Research (CIDR),2017,21
X-device query processing by bitwise distribution,Holger Pirk; Thibault Sellam; Stefan Manegold; Martin Kersten,Abstract The diversity of hardware components within a single system calls for strategies forefficient cross-device data processing. For example; existing approaches to CPU/GPU co-processing distribute individual relational operators to the" most appropriate" device. Whilepleasantly simple; this strategy has a number of problems: it may leave the" inappropriate"devices idle while overloading the" appropriate" device and putting a high pressure on thePCI bus. To address these issues we distribute data among the devices by partiallydecomposing relations at the granularity of individual bits. Each of the resulting bit-partitionsis stored and processed on one of the available devices. Using this strategy; weimplemented a processor for spatial range queries that makes efficient use of all availabledevices. The performance gains achieved indicate that bitwise distribution makes a good …,Proceedings of the Eighth International Workshop on Data Management on New Hardware,2012,13
Efficient cross-device query processing,Holger Pirk,ABSTRACT The increasing diversity of hardware within a single system promises largeperformance gains but also poses a challenge for data management systems. Strategies forthe efficient use of hardware with large performance differences are still lacking. Forexample; existing research on GPU supported data management largely handles the GPUin isolation from the system's CPU—The GPU is considered the central processor and theCPU used only to mitigate the GPU's weaknesses where necessary. To make efficient use ofall available devices; we developed a processing strategy that lets unequal devices likeGPU and CPU combine their strengths rather than work in isolation. To this end; wedecompose relational data into individual bits and place the resulting partitions on theappropriate devices. Operations are processed in phases; each phase executed on one …,The VLDB PhD Workshop. VLDB Endowment,2012,13
Voodoo-a vector algebra for portable database performance on modern hardware,Holger Pirk; Oscar Moll; Matei Zaharia; Sam Madden,Abstract In-memory databases require careful tuning and many engineering tricks to achievegood performance. Such database performance engineering is hard: a plethora of data andhardware-dependent optimization techniques form a design space that is difficult to navigatefor a skilled engineer---even more so for a query compiler. To facilitate performance-orienteddesign exploration and query plan compilation; we present Voodoo; a declarativeintermediate algebra that abstracts the detailed architectural properties of the hardware;such as multi-or many-core architectures; caches and SIMD registers; without losing theability to generate highly tuned code. Because it consists of a collection of declarative; vector-oriented operations; Voodoo is easier to reason about and tune than low-level C and relatedhardware-focused extensions (Intrinsics; OpenCL; CUDA; etc.). This enables our Voodoo …,Proceedings of the VLDB Endowment,2016,11
Instant-On Scientific Data Warehouses,Yağız Kargın; Holger Pirk; Milena Ivanova; Stefan Manegold; Martin Kersten,Abstract In the dawn of the data intensive research era; scientific discovery deploys dataanalysis techniques similar to those that drive business intelligence. Similar to classicalExtract; Transform and Load (ETL) processes; data is loaded entirely from external datasources (repositories) into a scientific data warehouse before it can be analyzed. Thisprocess is both; time and resource intensive and may not be entirely necessary if only asubset of the data is of interest to a particular user. To overcome this problem; we propose anovel technique to lower the costs for data loading: Lazy ETL. Data is extracted and loadedtransparently on-the-fly only for the required data items. Extensive experiments demonstratethe significant reduction of the time from source data availability to query answer comparedto state-of-the-art solutions. In addition to reducing the costs for bootstrapping a scientific …,International Workshop on Business Intelligence for the Real-Time Enterprise,2012,11
Werkzeuggestützte interaktive Formalisierung textueller Anwendungsfallbeschreibungen für den Systemtest.,Mario Friske; Holger Pirk,Abstract: Tester stehen oft vor der Aufgabe; Testfälle aus textuellenAnforderungsdokumenten zu erstellen. In der Regel sind diese natürlichsprachlichenAnforderungen nicht formal genug; um daraus automatisch Testfälle zu generieren. Indiesem Papier stellen wir ein Werkzeug vor; mit welchem textuelleAnwendungsfallbeschreibungen interaktiv aufbereitet werden können; so dass dieanschließende automatisierte Testfallgenerierung möglich wird. Des Weiteren werden die indem Werkzeug verwendeten Metamodelle beschrieben.,GI Jahrestagung (2),2005,11
Scalable Generation of Synthetic GPS Traces with Real-life Data Characteristics,Konrad Bösche; Thibault Sellam; Holger Pirk; René Beier; Peter Mieth; Stefan Manegold,Abstract Database benchmarking is most valuable if real-life data and workloads areavailable. However; real-life data (and workloads) are often not publicly available due to IPRconstraints or privacy concerns. And even if available; they are often limited regardingscalability and variability of data characteristics. On the other hand; while easily scalable;synthetically generated data often fail to adequately reflect real-life data characteristics.While there are well established synthetic benchmarks and data generators for; eg; businessdata (TPC-C; TPC-H); there is no such up-to-date data generator; let alone benchmark; forspatiotemporal and/or moving objects data. In this work; we present a data generator forspatiotemporal data. More specifically; our data generator produces synthetic GPS traces;mimicking the GPS traces that GPS navigation devices generate. To this end; our …,*,2012,8
Building virtual earth observatories using ontologies and linked geospatial data,Manolis Koubarakis; Manos Karpathiotakis; Kostis Kyzirakos; Charalampos Nikolaou; Stavros Vassos; George Garbis; Michael Sioutis; Konstantina Bereta; Stefan Manegold; Martin Kersten; Milena Ivanova; Holger Pirk; Ying Zhang; Charalampos Kontoes; Ioannis Papoutsis; Themistoklis Herekakis; Dimitris Mihail; Mihai Datcu; Gottfried Schwarz; Octavian Dumitru; Daniela Molina; Katrin Molch; Ugo Giammatteo; Manuela Sagona; Sergio Perelli; Eva Klien; Thorsten Reitz; Robert Gregor,Abstract Advances in remote sensing technologies have enabled public and commercialorganizations to send an ever-increasing number of satellites in orbit around Earth. As aresult; Earth Observation (EO) data has been constantly increasing in volume in the last fewyears; and is currently reaching petabytes in many satellite archives. For example; the multi-mission data archive of the TELEIOS partner German Aerospace Center (DLR) is expectedto reach 2PB next year; while ESA estimates that it will be archiving 20PB of data before theyear 2020. As the volume of data in satellite archives has been increasing; so have thescientific and commercial applications of EO data. Nevertheless; it is estimated that up to95% of the data present in existing archives has never been accessed; so the potential forincreasing exploitation is very big.,International conference on web reasoning and rule systems,2012,7
TELEIOS: a database-powered virtual earth observatory,Manolis Koubarakis; Mihai Datcu; Charalambos Kontoes; Ugo Di Giammatteo; Stefan Manegold; Eva Klien,Abstract TELEIOS is a recent European project that addresses the need for scalable accessto petabytes of Earth Observation data and the discovery and exploitation of knowledge thatis hidden in them. TELEIOS builds on scientific database technologies (array databases;SciQL; data vaults) and Semantic Web technologies (stRDF and stSPARQL) implementedon top of a state of the art column store database system (MonetDB). We demonstrate a firstprototype of the TELEIOS Virtual Earth Observatory (VEO) architecture; using a forest firemonitoring application as example.,Proceedings of the VLDB Endowment,2012,7
Cache conscious data layouting for in-memory databases,Holger Pirk; M Grund; J Krueger; U Leser; A Zeier,Abstract Many applications with manually implemented data management exhibit a datastorage pattern in which semantically related data items are stored closer in memory thanunrelated data items. The strong sematic relationship between these data items commonlyinduces contemporary accesses to them. This is called the principle of data locality and hasbeen recognized by hardware vendors. It is commonly exploited to improve the performanceof hardware. General Purpose Database Management Systems (DBMSs); whose main goalis to simplify optimal data storage and processing; generally fall short of this claim becausethe usage pattern of the stored data cannot be anticipated when designing the system. Thecurrent interest in column oriented databases indicates that one strategy does not fit allapplications. A DBMS that automatically adapts it's storage strategy to the workload of the …,Hasso-Plattner-Institute (to appear),2010,7
