Overshadow: a virtualization-based approach to retrofitting protection in commodity operating systems,Xiaoxin Chen; Tal Garfinkel; E Christopher Lewis; Pratap Subrahmanyam; Carl A Waldspurger; Dan Boneh; Jeffrey Dwoskin; Dan RK Ports,Abstract Commodity operating systems entrusted with securing sensitive data areremarkably large and complex; and consequently; frequently prone to compromise. Toaddress this limitation; we introduce a virtual-machine-based system called Overshadowthat protects the privacy and integrity of application data; even in the event of a totalOScompromise. Overshadow presents an application with a normal view of its resources;but the OS with an encrypted view. This allows the operating system to carry out the complextask of managing an application's resources; without allowing it to read or modify them.Thus; Overshadow offers a last line of defense for application data.,ACM SIGOPS Operating Systems Review,2008,442
Arrakis: The operating system is the control plane,Simon Peter; Jialin Li; Irene Zhang; Dan RK Ports; Doug Woos; Arvind Krishnamurthy; Thomas Anderson; Timothy Roscoe,Abstract Recent device hardware trends enable a new approach to the design of networkserver operating systems. In a traditional operating system; the kernel mediates access todevice hardware by server applications to enforce process isolation as well as network anddisk security. We have designed and implemented a new operating system; Arrakis; thatsplits the traditional role of the kernel in two. Applications have direct access to virtualizedI/O devices; allowing most I/O operations to skip the kernel entirely; while the kernel is re-engineered to provide network and disk protection without kernel mediation of everyoperation. We describe the hardware and software changes needed to take advantage ofthis new abstraction; and we illustrate its power by showing improvements of 2 to 5× inlatency and 9× throughput for a popular persistent NoSQL store relative to a well-tuned …,ACM Transactions on Computer Systems (TOCS),2016,170
Transparent memory-mapped emulation of I/O calls,*,A virtual-machine-based system provides a mechanism to implement application file I/Ooperations of protected data by implementing the I/O operations semantics in a shim layerwith memory-mapped regions. The semantics of these I/O operations are emulated in a shimlayer with memory-mapped regions by using a mapping between a process' address spaceand a file or shared memory object. Data that is protected from viewing by a guest OSrunning in a virtual machine may nonetheless be accessed by the process.,*,2014,153
Serializable snapshot isolation in PostgreSQL,Dan RK Ports; Kevin Grittner,Abstract This paper describes our experience implementing PostgreSQL's new serializableisolation level. It is based on the recently-developed Serializable Snapshot Isolation (SSI)technique. This is the first implementation of SSI in a production database release as well asthe first in a database that did not previously have a lock-based serializable isolation level.We reflect on our experience and describe how we overcame some of the resultingchallenges; including the implementation of a new lock manager; a technique for ensuringmemory usage is bounded; and integration with other PostgreSQL features. We alsointroduce an extension to SSI that improves performance for read-only transactions. Weevaluate PostgreSQL's serializable isolation level using several benchmarks and show thatit achieves performance only slightly below that of snapshot isolation; and significantly …,Proceedings of the VLDB Endowment,2012,82
Tales of the tail: Hardware; os; and application-level sources of tail latency,Jialin Li; Naveen Kr Sharma; Dan RK Ports; Steven D Gribble,Abstract Interactive services often have large-scale parallel implementations. To deliver fastresponses; the median and tail latencies of a service's components must be low. In thispaper; we explore the hardware; OS; and application-level sources of poor tail latency inhigh throughput servers executing on multi-core machines. We model these networkservices as a queuing system in order to establish the best-achievable latency distribution.Using fine-grained measurements of three different servers (a null RPC service;Memcached; and Nginx) on Linux; we then explore why these servers exhibit significantlyworse tail latencies than queuing models alone predict. The underlying causes includeinterference from background processes; request re-ordering caused by poor scheduling orconstrained concurrency models; suboptimal interrupt routing; CPU power saving …,Proceedings of the ACM Symposium on Cloud Computing,2014,72
Transactional consistency and automatic management in an application data cache,Dan RK Ports; Austin T Clements; Irene Zhang; Samuel Madden; Barbara Liskov,Abstract Distributed in-memory application data caches like memcached are a popularsolution for scaling database-driven web sites. These systems are easy to add to existingdeployments; and increase performance significantly by reducing load on both the databaseand application servers. Unfortunately; such caches do not integrate well with the databaseor the application. They cannot maintain transactional consistency across the entire system;violating the isolation properties of the underlying database. They leave the applicationresponsible for locating data in the cache and keeping it up to date; a frequent source ofapplication complexity and programming errors. Addressing both of these problems; weintroduce a transactional cache; TxCache; with a simple programming model. TxCacheensures that any data seen within a transaction; whether it comes from the cache or the …,*,2010,68
Abstractions for Usable Information Flow Control in Aeolus.,Winnie Cheng; Dan RK Ports; David A Schultz; Victoria Popic; Aaron Blankstein; James A Cowling; Dorothy Curtis; Liuba Shrira; Barbara Liskov,Abstract Despite the increasing importance of protecting confidential data; building securesoftware remains as challenging as ever. This paper describes Aeolus; a new platform forbuilding secure distributed applications. Aeolus uses information flow control to provideconfidentiality and data integrity. It differs from previous information flow control systems in away that we believe makes it easier to understand and use. Aeolus uses a new; simplersecurity model; the first to combine a standard principal-based scheme for authoritymanagement with thread-granularity information flow tracking. The principal hierarchymatches the way developers already reason about authority and access control; and thecoarse-grained information flow tracking eases the task of defining a program's securityrestrictions. In addition; Aeolus provides a number of new mechanisms (authority closures …,USENIX Annual Technical Conference,2012,67
Transparent VMM-assisted user-mode execution control transfer,*,A virtual-machine-based system provides a control-transfer mechanism to invoke a user-mode application handler from existing virtual hardware directly; without going through anoperating system kernel running in the virtual machine. A virtual machine monitor callsdirectly to the guest user-mode handler and the handler transfers control back to the virtualmachine monitor; without involving the guest operating system.,*,2012,52
Census: Location-aware membership management for large-scale distributed systems,James Cowling; Dan RK Ports; Barbara Liskov; Raluca Ada Popa; Abhijeet Gaikwad,Abstract: We present Census; a platform for building large-scale distributed applications.Census provides a membership service and a multicast mechanism. The membershipservice provides every node with a consistent view of the system membership; which may beglobal or partitioned into location-based regions. Census distributes membership updateswith low overhead; propagates changes promptly; and is resilient to both crashes andByzantine failures. We believe that Census is the first system to provide a consistentmembership abstraction at very large scale; greatly simplifying the design of applicationsbuilt atop large deployments such as multi-site data centers.,*,2009,46
Designing Distributed Systems Using Approximate Synchrony in Data Center Networks,Dan R. K. Ports; Jialin Li; Vincent Liu; Naveen Kr Sharma; Arvind Krishnamurthy,Page 1. Designing Distributed Systems using Approximate Synchrony in Data Center NetworksDan RK Ports Jialin Li Vincent Liu Naveen Kr. Sharma Arvind Krishnamurthy University ofWashington CSE Page 2. Today's most popular applications are distributed systems in the datacenter Page 3. Today's most popular applications are distributed systems in the data centerModern data center: ~50;000 commodity servers constant server failures Page 4. How do weprogram the data center? Use distributed algorithms to tolerate failures; inconsistencies Example:Paxos state machine replication Page 5. Distributed systems and networks are typically designedindependently ? ? ? Page 6. Distributed systems and networks are typically designedindependently asynchronous network (Internet) packets may be arbitrarily • dropped • delayed •reordered ? ? ? Page 7. Distributed systems and networks …,NSDI,2015,42
Building consistent transactions with inconsistent replication,Irene Zhang; Naveen Kr Sharma; Adriana Szekeres; Arvind Krishnamurthy; Dan RK Ports,Abstract Application programmers increasingly prefer distributed storage systems withstrong consistency and distributed transactions (eg; Google's Spanner) for their strongguarantees and ease of use. Unfortunately; existing transactional storage systems areexpensive to use--in part because they require costly replication protocols; like Paxos; forfault tolerance. In this paper; we present a new approach that makes transactional storagesystems more affordable: we eliminate consistency from the replication protocol while stillproviding distributed transactions with strong consistency to applications. We present TAPIR--the Transactional Application Protocol for Inconsistent Replication--the first transactionprotocol to use a novel replication protocol; called inconsistent replication; that provides faulttolerance without consistency. By enforcing strong consistency only in the transaction …,Proceedings of the 25th Symposium on Operating Systems Principles,2015,41
