Algorithmic graph minor theory: Decomposition; approximation; and coloring,Erik D Demaine; Mohammad Taghi Hajiaghayi; Ken-ichi Kawarabayashi,At the core of the seminal graph minor theory of Robertson and Seymour is a powerfulstructural theorem capturing the structure of graphs excluding a fixed minor. This result isused throughout graph theory and graph algorithms; but is existential. We develop apolynomial-time algorithm using topological graph theory to decompose a graph into thestructure guaranteed by the theorem: a clique-sum of pieces almost-embeddable intobounded-genus surfaces. This result has many applications. In particular we showapplications to developing many approximation algorithms; including a 2-approximation tograph coloring; constant-factor approximations to treewidth and the largest grid minor;combinatorial polylogarithmic approximation to half-integral multicommodity flow;subexponential fixed-parameter algorithms; and PTASs for many minimization and …,Foundations of Computer Science; 2005. FOCS 2005. 46th Annual IEEE Symposium on,2005,173
Computing crossing number in linear time,Ken-ichi Kawarabayashi; Buce Reed,Abstract We show that for every fixed k; there is a linear time algorithm that decides whetheror not a given graph has crossing number at most k; and if this is the case; computes adrawing of the graph in the plane with at most k crossings. This answers the question posedby Grohe (STOC'01 and JCSS 2004). Our algorithm can be viewed as a generalization ofthe seminal result by Hopcroft and Tarjan lin1; which determines if a given graph is planar inlinear time. Our algorithm can also be compared to the algorithms by Mohar (STOC'96 andSiam J. Discrete Math 2001); for testing the embeddability of an input graph in a fixedsurface. For each surface s; Mohar describes an algorithm which yields either an embeddingof G in s or a minor of G which is not embeddable in s and is minimal with this property.,Proceedings of the thirty-ninth annual ACM symposium on Theory of computing,2007,94
The disjoint paths problem in quadratic time,Ken-ichi Kawarabayashi; Yusuke Kobayashi; Bruce Reed,Abstract We consider the following well-known problem; which is called the disjoint pathsproblem. For a given graph G and a set of k pairs of terminals in G; the objective is to find kvertex-disjoint paths connecting given pairs of terminals or to conclude that such paths donot exist. We present an O (n 2) time algorithm for this problem for fixed k. This improves thetime complexity of the seminal result by Robertson and Seymour; who gave an O (n 3) timealgorithm for the disjoint paths problem for fixed k. Note that Perković and Reed (2000)announced in [24](without proofs) that this problem can be solved in O (n 2) time. Ouralgorithm implies that there is an O (n 2) time algorithm for the k edge-disjoint paths problem;the minor containment problem; and the labeled minor containment problem. In fact; the timecomplexity of all the algorithms with the most expensive part depending on Robertson …,Journal of Combinatorial Theory; Series B,2012,93
Finding topological subgraphs is fixed-parameter tractable,Martin Grohe; Ken-ichi Kawarabayashi; Dániel Marx; Paul Wollan,Abstract We prove that for every fixed undirected graph H; there is an O (| V (G)| 3) timealgorithm that; given a graph G; tests if G contains H as a topological subgraph (that is; asubdivision of H is subgraph of G). This shows that topological subgraph testing is fixed-parameter tractable; resolving a longstanding open question of Downey and Fellows from1992. As a corollary; for every H we obtain an O (| V (G)| 3) time algorithm that tests if there isan immersion of H into a given graph G. This answers another open question raised byDowney and Fellows in 1992.,Proceedings of the forty-third annual ACM symposium on Theory of computing,2011,87
A simpler linear time algorithm for embedding graphs into an arbitrary surface and the genus of graphs of bounded tree-width,Ken-ichi Kawarabayashi; Bojan Mohar; Bruce Reed,For every fixed surface $ S $; orientable or non-orientable; and a given graph $ G $; Mohar(STOC'96 and Siam J. Discrete Math.(1999)) described a linear time algorithm which yieldseither an embedding of $ G $ in $ S $ or a minor of $ G $ which is not embeddable in $ S $and is minimal with this property. That algorithm; however; needs a lot of lemmas whichspanned six additional papers. In this paper; we give a new linear time algorithm for thesame problem. The advantages of our algorithm are the following: The proof is considerablysimpler: it needs only about 10 pages; and some results (with rather accessible proofs) fromgraph minors theory; while Mohar's original algorithm and its proof occupy more than 100pages in total. The hidden constant (depending on the genus $ g $ of the surface $ S $) ismuch smaller. It is singly exponential in $ g $; while it is doubly exponential in Mohar's …,Foundations of Computer Science; 2008. FOCS'08. IEEE 49th Annual IEEE Symposium on,2008,58
Scalable similarity search for SimRank,Mitsuru Kusumoto; Takanori Maehara; Ken-ichi Kawarabayashi,Abstract SimRank; proposed by Jeh and Widom; provides a good similarity score and hasbeen successfully used in many of the above mentioned applications. While there are manyalgorithms proposed so far to compute SimRank; but unfortunately; none of them arescalable up to graphs of billions size. Motivated by this fact; we consider the followingSimRank-based similarity search problem: given a query vertex u; find top-k vertices v withthe k highest SimRank scores s (u; v) with respect to u. We propose a very fast and scalablealgorithm for this similarity search problem. Our method consists of the followingingredients:(1) We first introduce a" linear" recursive formula for SimRank. This allows us toformulate a problem that we can propose a very fast algorithm.(2) We establish a Monte-Carlo based algorithm to compute a single pair SimRank score s (u; v); which is based on …,Proceedings of the 2014 ACM SIGMOD international conference on Management of data,2014,53
A shorter proof of the graph minor algorithm: the unique linkage theorem,Ken-ichi Kawarabayashi; Paul Wollan,Abstract At the core of the seminal Graph Minor Theory of Robertson and Seymour is apowerful theorem which describes the structure of graphs excluding a fixed minor. Thisresult is used to prove Wagner's conjecture and provide a polynomial time algorithm for thedisjoint paths problem when the number of the terminals is fixed (ie; the Graph MinorAlgorithm). However; both results require the full power of the Graph Minor Theory; ie; thestructure theorem. In this paper; we show that this is not true in the latter case. Namely; weprovide a new and much simpler proof of the correctness of the Graph Minor Algorithm.Specifically; we prove the" Unique Linkage Theorem" without using Graph Minors structuretheorem. The new argument; in addition to being simpler; is much shorter; cutting the proofby at least 200 pages.,Proceedings of the forty-second ACM symposium on Theory of computing,2010,53
Any 7-chromatic graphs has k 7 or k 4; 4 as a minor,Ken-ichi Kawarabayashi; Bjarne Toft,In 1943; Hadwiger made the conjecture that every k-chromatic graph has a K k-minor. Thisconjecture is; perhaps; the most interesting conjecture of all graph theory. It is well knownthat the case k= 5 is equivalent to the Four Colour Theorem; as proved by Wagner [39] in1937. About 60 years later; Robertson; Seymour and Thomas [29] proved that the case k= 6is also equivalent to the Four Colour Theorem. So far; the cases k≥ 7 are still open and wehave little hope to verify even the case k= 7 up to now. In fact; there are only a few theoremsconcerning 7-chromatic graphs; eg [17]. In this paper; we prove the deep result stated in thetitle; without using the Four Colour Theorem [1; 2; 28]. This result verifies the first unsettledcase m= 6 of the (m; 1)-Minor Conjecture which is a weaker form of Hadwiger's Conjectureand a special case of a more general conjecture of Chartrand et al.[8] in 1971 and …,Combinatorica,2005,53
Fast and Accurate Influence Maximization on Large Networks with Pruned Monte-Carlo Simulations.,Naoto Ohsaka; Takuya Akiba; Yuichi Yoshida; Ken-ichi Kawarabayashi,Abstract Influence maximization is a problem to find small sets of highly influentialindividuals in a social network to maximize the spread of influence under stochastic cascademodels of propagation. Although the problem has been well-studied; it is still highlychallenging to find solutions of high quality in large-scale networks of the day. While Monte-Carlo-simulation-based methods produce near-optimal solutions with a theoreticalguarantee; they are prohibitively slow for large graphs. As a result; many heuristic methodswithout any theoretical guarantee have been developed; but all of them substantiallycompromise solution quality. To address this issue; we propose a new method for theinfluence maximization problem. Unlike other recent heuristic methods; the proposedmethod is a Monte-Carlo-simulationbased method; and thus it consistently produces …,AAAI,2014,52
On Sufficient Degree Conditions for a Graph to be $ k $-linked,Ken-Ichi Kawarabayashi; Alexandr Kostochka; Gexin Yu,Abstract A graph is $ k $-linked if for every list of $2 k $ vertices $\{s_1;{\ldots}\; s_k;t_1;{\ldots}\; t_k\} $; there exist internally disjoint paths $ P_1;{\ldots}\; P_k $ such that each $P_i $ is an $ s_i; t_i $-path. We consider degree conditions and connectivity conditionssufficient to force a graph to be $ k $-linked.,Combinatorics; Probability and Computing,2006,51
Linear connectivity forces large complete bipartite minors,Thomas Böhme; Ken-ichi Kawarabayashi; John Maharry; Bojan Mohar,Abstract Let a be an integer. It is proved that for any s and k; there exists a constant N= N (s;k; a) such that every 31 2 (a+ 1)-connected graph with at least N vertices either contains asubdivision of K a; sk or a minor isomorphic to s disjoint copies of K a; k. In fact; we provethat connectivity 3 a+ 2 and minimum degree at least 31 2 (a+ 1)− 3 are enough while theother conditions cannot be weakened. When s= 1 and k= a; this implies that every 31 2 (a+1)-connected graph with at least N (a) vertices has a K a-minor. This is the first result wherea linear lower bound on the connectivity in terms of the parameter a forces a K a-minor. Thisresolves a conjecture proposed by Mader [W. Mader; Existenz n-fach zusammenhängenderTeilgraphen in Graphen genügend grosser Kantendichte; Abh. Math. Sem. Univ. Hamburg37 (1972) 86–97] and Thomason [A. Thomason; An extremal function for contractions of …,Journal of Combinatorial Theory; Series B,2009,48
