Twittermonitor: trend detection over the twitter stream,Michael Mathioudakis; Nick Koudas,Abstract We present TwitterMonitor; a system that performs trend detection over the Twitterstream. The system identifies emerging topics (ie'trends') on Twitter in real time and providesmeaningful analytics that synthesize an accurate description of each topic. Users interactwith the system by ordering the identified trends using different criteria and submitting theirown description for each trend.,Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,2010,776
Sparsification of influence networks,Michael Mathioudakis; Francesco Bonchi; Carlos Castillo; Aristides Gionis; Antti Ukkonen,Abstract We present Spine; an efficient algorithm for finding the" backbone" of an influencenetwork. Given a social graph and a log of past propagations; we build an instance of theindependent-cascade model that describes the propagations. We aim at reducing thecomplexity of that model; while preserving most of its accuracy in describing the data. Weshow that the problem is inapproximable and we present an optimal; dynamic-programmingalgorithm; whose search space; albeit exponential; is typically much smaller than that of thebrute force; exhaustive-search approach. Seeking a practical; scalable approach tosparsification; we devise Spine; a greedy; efficient algorithm with practically littlecompromise in quality.,Proceedings of the 17th ACM SIGKDD international conference on Knowledge discovery and data mining,2011,134
Quantifying Controversy on Social Media,Kiran Garimella; Gianmarco De Francisci Morales; Aristides Gionis; Michael Mathioudakis,Abstract Which topics spark the most heated debates on social media? Identifying thosetopics is not only interesting from a societal point of view but also allows the filtering andaggregation of social media content for disseminating news stories. In this article; weperform a systematic methodological study of controversy detection by using the content andthe network structure of social media. Unlike previous work; rather than studying controversyin a single hand-picked topic and using domain-specific knowledge; we take a generalapproach to study topics in any domain. Our approach to quantifying controversy is basedon a graph-based three-stage pipeline; which involves (i) building a conversation graphabout a topic;(ii) partitioning the conversation graph to identify potential sides of thecontroversy; and (iii) measuring the amount of controversy from characteristics of the …,ACM Transactions on Social Computing,2018,69
Efficient identification of starters and followers in social media,Michael Mathioudakis; Nick Koudas,Abstract Activity and user engagement in social media such as web logs; wikis; onlineforums or social networks has been increasing at unprecedented rates. In relation to socialbehavior in various human activities; user activity in social media indicates the existence ofindividuals that consistently drive or stimulate'discussions' in the online world. Suchindividuals are considered as' starters' of online discussions in contrast with'followers' thatprimarily engage in discussions and follow them. In this paper; we formalize notionsof'starters' and'followers' in social media. Motivated by the challenging size of the availableinformation related to online social behavior; we focus on the development of randomsampling approaches allowing us to achieve significant efficiency while identifying startersand followers. In our experimental section we utilize BlogScope; our social media …,Proceedings of the 12th International Conference on Extending Database Technology: Advances in Database Technology,2009,44
Identifying; attributing and describing spatial bursts,Michael Mathioudakis; Nilesh Bansal; Nick Koudas,Abstract User generated content that appears on weblogs; wikis and social networks hasbeen increasing at an unprecedented rate. The wealth of information produced byindividuals from different geographical locations presents a challenging task of intelligentprocessing. In this paper; we introduce a methodology to identify notable geographicallyfocused events out of this collection of user generated information. At the heart of ourproposal lie efficient algorithms that identify geographically focused information bursts;attribute them to demographic factors and identify sets of descriptive keywords. We presentthe results of a prototype evaluation of our algorithms on BlogScope; a large-scale socialmedia warehousing platform. We demonstrate the scalability and practical utility of ourproposal running on top of a multi-terabyte text collection.,Proceedings of the VLDB Endowment,2010,41
Early online identification of attention gathering items in social media,Michael Mathioudakis; Nick Koudas; Peter Marbach,Abstract Activity in social media such as blogs; micro-blogs; social networks; etc ismanifested via interaction that involves text; images; links and other information items.Naturally; some items attract more attention than others; expressed with large volumes oflinking; commenting or tagging activity; to name a few examples. Moreover; high attentioncan be indicative of emerging events; breaking news or generally indicate information itemsof interest to a vast set of people. The numbers associated with digital social activity areastonishing: in excess of millions of blog posts; tweets and forums updates per day; millionsof tags in photos; news articles or blogs. Being able to identify information items that gathermuch attention in such a real time information collective is a challenging task. In this paper;we consider the problem of early online identification of items that gather a lot of attention …,Proceedings of the third ACM international conference on Web search and data mining,2010,39
Where Is the Soho of Rome? Measures and Algorithms for Finding Similar Neighborhoods in Cities.,Géraud Le Falher; Aristides Gionis; Michael Mathioudakis,Abstract Data generated on location-aware social media provide rich information about theplaces (shopping malls; restaurants; cafés; etc) where citizens spend their time. Thatinformation can; in turn; be used to describe city neighborhoods in terms of the activity thattakes place therein. For example; the data might reveal that citizens visit one neighborhoodmainly for shopping; while another for its dining venues. In this paper; we present amethodology to analyze such data; describe neighborhoods in terms of the activity they host;and discover similar neighborhoods across cities. Using millions of Foursquare check-insfrom cities in Europe and the US; we conduct an extensive study on features and measuresthat can be used to quantify similarity of city neighborhoods. We find that the earth-mover'sdistance outperforms other candidate measures in finding similar neighborhoods …,ICWSM,2015,25
Reducing controversy by connecting opposing views,Kiran Garimella; Gianmarco De Francisci Morales; Aristides Gionis; Michael Mathioudakis,Abstract Society is often polarized by controversial issues that split the population intogroups with opposing views. When such issues emerge on social media; we often observethe creation ofecho chambers'; ie; situations where like-minded people reinforce eachother's opinion; but do not get exposed to the views of the opposing side. In this paper westudy algorithmic techniques for bridging these chambers; and thus reduce controversy.Specifically; we represent the discussion on a controversial issue with an endorsementgraph; and cast our problem as an edge-recommendation problem on this graph. The goalof the recommendation is to reduce the controversy score of the graph; which is measuredby a recently-developed metric based on random walks. At the same time; we take intoaccount the acceptance probability of the recommended edge; which represents how …,Proceedings of the Tenth ACM International Conference on Web Search and Data Mining,2017,21
Modeling urban behavior by mining geotagged social data,Emre Çelikten; Géraud Le Falher; Michael Mathioudakis,Data generated on location-based social networks provide rich information on thewhereabouts of urban dwellers. Specifically; such data reveal who spends time where;when; and on what type of activity (eg; shopping at a mall; or dining at a restaurant). Thatinformation can; in turn; be used to describe city regions in terms of activity that takes placetherein. For example; the data might reveal that citizens visit one region mainly for shoppingin the morning; while another for dining in the evening. Furthermore; once such a descriptionis available; one can ask more elaborate questions. For example; one might ask whatfeatures distinguish one region from another-some regions might be different in terms of thetype of venues they host and others in terms of the visitors they attract. As another example;one might ask which regions are similar across cities. In this paper; we present a method …,IEEE Transactions on Big Data,2017,9
Bump hunting in the dark: Local discrepancy maximization on graphs,Aristides Gionis; Michael Mathioudakis; Antti Ukkonen,We study the problem of discrepancy maximization on graphs: given a set of nodes Q of anunderlying graph G; we aim to identify a connected subgraph of G that contains many morenodes from Q than other nodes. This variant of the discrepancy maximization problemextends the well-known notion of “bump hunting” in the Euclidean space [1]. We considerthe problem under two access models. In the unrestricted-access model; the whole graph Gis given as input; while in the local-access model we can only retrieve the neighbors of agiven node in G using a possibly slow and costly interface. We prove that the basic problemof discrepancy maximization on graphs is NP-hard; and empirically evaluate theperformance of four heuristics for solving it. For the local-access model; we consider threedifferent algorithms that aim to recover a part of G large enough to contain an optimal …,IEEE transactions on knowledge and data engineering,2017,9
