The SAP HANA Database–An Architecture Overview,Franz Färber; Norman May; Wolfgang Lehner; Philipp Große; Ingo Müller; Hannes Rauhe; Jonathan Dees,Abstract Requirements of enterprise applications have become much more demanding.They require the computation of complex reports on transactional data while thousands ofusers may read or update records of the same data. The goal of the SAP HANA database isthe integration of transactional and analytical workload within the same databasemanagement system. To achieve this; a columnar engine exploits modern hardware(multiple CPU cores; large main memory; and caches); compression of database content;maximum parallelization in the database kernel; and database extensions required byenterprise applications; eg; specialized data structures for hierarchies or support for domainspecific languages. In this paper we highlight the architectural concepts employed in theSAP HANA database. We also report on insights gathered with the SAP HANA database …,Data Engineering Bulletin,2012,191
Towards a unified service description language for the internet of services: Requirements and first developments,Jorge Cardoso; Alistair Barros; Norman May; Uwe Kylau,Service-oriented Architectures (SOA) and Web services leverage the technical value ofsolutions in the areas of distributed systems and cross-enterprise integration. Theemergence of Internet marketplaces for business services is driving the need to describeservices; not only from a technical level; but also from a business and operationalperspective. While; SOA and Web services reside in an IT layer; organizations owingInternet marketplaces are requiring advertising and trading business services which residein a business layer. As a result; the gap between business and IT needs to be closed. Thispaper presents USDL (Unified Service Description Language); a specification language todescribe services from a business; operational and technical perspective. USDL plays amajor role in the Internet of Services to describe tradable services which are advertised in …,Services Computing (SCC); 2010 IEEE International Conference on,2010,150
An idea ontology for innovation management,Christoph Riedl; Norman May; Jan Finzen; Stephan Stathel; Viktor Kaufman; Helmut Krcmar,ABSTRACT Exchanging and analyzing ideas across different software tools and repositoriesis needed to implement the concepts of open innovation and holistic innovationmanagement. However; a precise and formal definition for the concept of an idea is hard toobtain. In this paper; the authors introduce an ontology to represent ideas. This ontologyprovides a common language to foster interoperability between tools and to support the idealife cycle. Through the use of an ontology; additional benefits like semantic reasoning andautomatic analysis become available. Our proposed ontology captures both a core ideaconcept that covers the 'heart of the idea'and further concepts to support collaborative ideadevelopment; including rating; discussing; tagging; and grouping ideas. This modularapproach allows the idea ontology to be complemented by additional concepts like …,Semantic Services; Interoperability and Web Applications: Emerging Concepts,2011,73
Timeline index: A unified data structure for processing queries on temporal data in SAP HANA,Martin Kaufmann; Amin Amiri Manjili; Panagiotis Vagenas; Peter Michael Fischer; Donald Kossmann; Franz Färber; Norman May,Abstract Managing temporal data is becoming increasingly important for many applications.Several database systems already support the time dimension; but provide only fewtemporal operators; which also often exhibit poor performance characteristics. On theacademic side; a large number of algorithms and data structures have been proposed; butthey often address a subset of these temporal operators only. In this paper; we develop theTimeline Index as a novel; unified data structure that efficiently supports temporal operatorssuch as temporal aggregation; time travel; and temporal joins. As the Timeline Index isindependent of the physical order of the data; it provides flexibility in physical design; eg; itsupports any kind of compression scheme; which is crucial for main memory column stores.Our experiments show that the Timeline Index has predictable performance and beats …,Proceedings of the 2013 ACM SIGMOD International Conference on Management of Data,2013,56
Nested Queries and Quantifiers in an Ordered Context,Norman May; Sven Helmer; Guido Moerkotte,We present algebraic equivalences that allow to unnest nested algebraic expressions fororder-preserving algebraic operators. We illustrate how these equivalences can be appliedsuccessfully to unnest nested queries given in the XQuery language. Measurementsillustrate the performance gains possible by unnesting.,technical report,2004,54
Strategies for query unnesting in XML databases,Norman May; Sven Helmer; Guido Moerkotte,Abstract Queries formulated in a nested way are very common in XQuery. Unfortunately;their evaluation is usually very inefficient when done in a straightforward fashion. Wepresent a framework for handling nested queries that is based on unnesting the queries afterhaving translated them into an algebra. We not only present a collection of algebraicequivalences; but also supply a strategy on how to use them effectively. The full potential ofthe approach is demonstrated by applying our rewrites to actual queries and showing thatperformance gains of several orders of magnitude are possible.,ACM Transactions on Database Systems (TODS),2006,43
Managing service innovations with an idea ontology,Christoph Riedl; Norman May; Jan Finzen; Stephan Stathel; Torsten Leidig; Viktor Kaufman; Roxana Belecheanu; Helmut Krcmar,As the importance of the service sector increases; so does the importance of systematicapproaches to develop new services. Two key activities in service innovation are generationand evaluation of new service ideas. Exchanging and analysing ideas across differentsoftware tools and repositories is needed to implement the concepts of open innovation andholistic innovation management. In this paper; we introduce an ontology to represent ideasfor service innovations. The Idea Ontology provides a common language to fosterinteroperability between tools and to support the idea life cycle. The paper focuses on howsuch an ontology-based approach can be used to facilitate innovation management in theservice domain where special aspects of services impair innovation. The expected benefitsof a semantic approach such as semantic reasoning and automatic analysis of ideas are …,Proceedings of XIX International RESER Conference,2009,28
High-Performance Transaction Processing in SAP HANA.,Juchang Lee; Michael Muehle; Norman May; Franz Faerber; Vishal Sikka; Hasso Plattner; Jens Krueger; Martin Grund,Abstract Modern enterprise applications are currently undergoing a complete paradigm shiftaway from traditional transactional processing to combined analytical and transactionalprocessing. This challenge of combining two opposing query types in a single databasemanagement system results in additional requirements for transaction management as well.In this paper; we discuss our approach to achieve high throughput for transactional queryprocessing while allowing concurrent analytical queries. We present our approach todistributed snapshot isolation and optimized two-phase commit protocols.,IEEE Data Eng. Bull.,2013,27
Service innovation in business value networks,Stephan Stathel; Jan Finzen; Christoph Riedl; Norman May,Les réseaux business value offrent de nouvelles possibilités pour la coopération liée àl'innovation. Cet article présente un nouveau processus d'innovation ainsi qu'un cadre;développés pour le cas d'utilisation Texo1 du projet Theseus2; qui fournissent uneapproche complète et néanmoins flexible permettant de gérer les projets innovants àacteurs multiples dans les écosystèmes économiques. Un des objectifs principaux du cadreproposé est d'impliquer des communautés dans les projets innovants; comme cela a étésuggéré par l'idée d'«innovation ouverte».,Proceedings of XVIII international RESER conference,2008,24
XQuery processing in natix with an emphasis on join ordering,Norman May; Sven Helmer; Carl-Christian Kanne; Guido Moerkotte,ABSTRACT We give an overview on how XQuery processing works in our native XMLdatabase system Natix. After a brief description of the query compiler we focus on the aspectof join ordering when generating query execution plans. Here we show that better plans canbe found when extending the search space of the plan generator. 1.,In< XIME− P/>,2004,24
Task scheduling for highly concurrent analytical and transactional main-memory workloads,Iraklis Psaroudakis; Tobias Scheuer; Norman May; Anastasia Ailamaki,ABSTRACT Task scheduling typically employs a worker thread per hardware context toprocess a dynamically changing set of tasks. It is an appealing solution to exploit modernmulti-core processors; as it eases parallelization and avoids unnecessary context switchesand their associated costs. Naıvely bundling DBMS operations into tasks; however; canresult in sub-optimal usage of CPU resources: highly contending transactional workloadsinvolve blocking tasks. Moreover; analytical queries assume they can use all availableresources while issuing tasks; resulting in an excessive number of tasks and anunnecessary associated scheduling overhead. In this paper; we show how to overcomethese problems and exploit the performance benefits of task scheduling for main-memoryDBMS. Firstly; we use application knowledge about blocking tasks to dynamically adapt …,Proceedings of the Fourth International Workshop on Accelerating Data Management Systems Using Modern Processor and Storage Architectures (ADMS 2013),2013,21
