Model minority at risk: Expressed needs of mental health by Asian American young adults,Sunmin Lee; Hee-Soon Juon; Genevieve Martinez; Chiehwen E Hsu; E Stephanie Robinson; Julie Bawa; Grace X Ma,Abstract The objective of this study is to obtain and discuss in-depth information on mentalhealth problems; including the status; barriers; and potential solutions in 1.5 and 2ndgeneration Asian American young adults. As a part of the Health Needs Assessment project;the researchers conducted two focus groups with 17 young adults (mainly 1.5 or 2ndgeneration) from eight Asian American communities (Asian Indian; Cambodian; Chinese;Indonesian; Korean; Taiwanese; Thai; and Vietnamese) in Montgomery County; Maryland.We developed a moderator's guide with open-ended questions and used it to collectqualitative data. Using a software; we organized and identified emergent themes by majorcategories. Participants reported a several common sources of stress that affect the mentalhealth of Asian American young adults including: pressure to meet parental expectations …,Journal of community health,2009,160
Hierarchical Bayesian spatial models for alcohol availability; drug" hot spots" and violent crime,Li Zhu; Dennis M Gorman; Scott Horel,Ecologic studies have shown a relationship between alcohol outlet densities; illicit drug useand violence. The present study examined this relationship in the City of Houston; Texas;using a sample of 439 census tracts. Neighborhood sociostructural covariates; alcohol outletdensity; drug crime density and violent crime data were collected for the year 2000; andanalyzed using hierarchical Bayesian models. Model selection was accomplished byapplying the Deviance Information Criterion. The counts of violent crime in each census tractwere modelled as having a conditional Poisson distribution. Four neighbourhoodexplanatory variables were identified using principal component analysis. The best fittedmodel was selected as the one considering both unstructured and spatial dependencerandom effects. The results showed that drug-law violation explained a greater amount of …,International journal of health geographics,2006,110
Reducing liver cancer disparities: a community-based hepatitis-B prevention program for Asian-American communities.,Chiehwen Ed Hsu; Louis Chih-Hung Liu; Hee-Soon Juon; Yu-Wen Chiu; Julie Bawa; Ulder Tillman; Mark Li; Jerry Miller; MinQi Wang,OBJECTIVES: Several Asian-American groups are at a higher risk of dying of liver diseasesattributable to hepatitis-B infection. This culturally diverse community should be wellinformed of and protected against liver diseases. The present study assesses the knowledgeof hepatitis B before and after a hepatitis-B educational program and determines theinfection status of an Asian community. METHODS: Nine Asian communities of MontgomeryCounty; MD; enrolled in the hepatitis-B prevention program between 2005 and 2006. Theyattended culturally tailored lectures on prevention; completed self-administered pre-andposttests; and received blood screening for the disease. RESULTS: More than 800 AsianAmericans participated in the study. Knowledge of prevention was improved aftereducational delivery. The average infection rate was 4.5%; with Cambodian; Thai …,Journal of the National Medical Association,2007,66
Detecting spatiotemporal clusters of accidental poisoning mortality among Texas counties; US; 1980–2001,Ella T Nkhoma; Chiehwen Ed Hsu; Victoria I Hunt; Ann Marie Harris,Accidental poisoning is one of the leading causes of injury in the United States; second onlyto motor vehicle accidents. According to the Centers for Disease Control and Prevention; therates of accidental poisoning mortality have been increasing in the past fourteen yearsnationally. In Texas; mortality rates from accidental poisoning have mirrored national trends;increasing linearly from 1981 to 2001. The purpose of this study was to determine if thereare spatiotemporal clusters of accidental poisoning mortality among Texas counties; and ifso; whether there are variations in clustering and risk according to gender and race/ethnicity.The Spatial Scan Statistic in combination with GIS software was used to identify potentialclusters between 1980 and 2001 among Texas counties; and Poisson regression was usedto evaluate risk differences. Several significant (p< 0.05) accidental poisoning mortality …,International Journal of Health Geographics,2004,54
Factors influencing women's quality of life in the later half of life,Y-W Chiu; RW Moore; CE Hsu; C-T Huang; H-W Liu; H-Y Chuang,Background Among older women in East Asia; and Taiwan in particular; there is littleresearch on quality of life and the health care they receive to address the symptoms ofmenopause. This study evaluated factors which influence quality of life among post middle-age women in Taiwan. Methods This cross-sectional study recruited 1250 women between43 and 77 years of age during the year 2002. The factors investigated were demographics;menstruation status; menopausal symptoms; osteoporosis status; and use of hormonereplacement therapy (HRT). SF-36 was used to assess the health-related quality of life ofthese women. Correlation; multiple regression and path analysis were used to test for directand indirect relationships among the variables. Results There are statistical significancesbetween menopause symptoms and quality of life across different age groups. Path …,Climacteric,2008,52
Barriers to health care access in 13 Asian American communities,Sunmin Lee; Genevieve Martinez; Grace X Ma; Chiehwen E Hsu; E Stephanie Robinson; Julie Bawa; Hee-Soon Juon,Objective: To obtain and discuss in-depth information on health care use in Asian Americans(AAs). Methods: Nineteen focus groups were conducted in 174 adults from 13 AAcommunities in Montgomery County; Maryland. MAX QDA software was used to analyzequalitative data. Results: Financial; physical; communication; and cultural attitudes were 4major barriers to accessing health care. Underrepresented communities reported uniqueadditional barriers; such as lack of screening opportunities and interpretation services due tolack of resources in the communities. Conclusions: Future studies; public health policy; andfunding resources should consider including underrepresented AA subgroups and reflecttheir needs.,American journal of health behavior,2010,41
The" Black Disease" of Reef-Building Corals at Green Island; Taiwan-Outbreak of a Cyanobacteriosponge. Terpios hoshinota (Suberitidae; Hadromerida),Ming-Hui Liao; Sen-Ling Tang; Chia-Ming Hsu; Kou-Chang Wen; Henry Wu; Wen-Ming Chen; Jih-Terng Wang; Pei-Jie Meng; Wen-Hung Twan; Chung-Kuang Lu; Chang-Feng Dai; Keryea Soong; Chaolun Allen Chen,Sponges are important space competitors on coral reefs and are able to overgrow livingcorals. While conducting ReefCheck 2006 at Green I.(Lyudao in Chinese); off thesoutheastern coast of Taiwan; a large area of scleractinian corals was observed to havebeen overgrown by the blackish encrusting cyanobacteriosponge; Terpios hoshinota (Fig. 1)at Chaikou (22 51.66'N; 121 48.83'E). Terpios hoshinota is distinguished by lobed tyostylespicules and is associated with the highly abundant cyanobacteria of the Aphanocapsraspaigella type (Rützler and Muzik 1993). An outbreak of T. hoshinota is reported to be a“black disease” that kills and overgrows live corals and is responsible for the demise of largereef areas in the Ryukyus (Japan) and Guam in the last century (Bryan 1973; Plucer-Rosario1987; Rützler and Muzik 1993). Black disease was not reported in ReefChecks between …,ZOOLOGICAL STUDIES-TAIPEI-,2007,38
The association between government expenditure and economic growth: Granger causality test of US data; 1947-2002,Louis Chih-hung Liu; Chiehwen Ed Hsu; Mustafa Z Younis,Wagner's Law and Keynesian's theory are two widely accepted yet contrasting propositions.This paper employs Granger causality test on US federal government data; from 1947 to2002. We used aggregate data as well as disaggregate data with the sub-categories of fivefederal expenditures; including: national defense; human resources expenditure; physicalresources expenditure; net interest payment; and other expenditure. The results of our studysuggest that total federal government expenditure is more consistent with Keynesian'stheory while there are diversified causal relationships among five sub-category of federalexpenditure. The policy recommendation generated from this paper is that the US federalgovernment should invest more public resources in human resources expenditure assumingthat economic growth is the utmost important item on the government agenda.,Journal of Public Budgeting; Accounting & Financial Management,2008,37
Self‐Assessed Emergency Readiness and Training Needs of Nurses in Rural Texas,Holly E Jacobson; Francisco Soto Mas; Chiehwen Ed Hsu; James P Turley; Jerry Miller; Misu Kim,ABSTRACT Objective: Nurses; particularly public health nurses; play a key role inemergency preparedness and response in rural areas. To prepare rural jurisdictions forunforeseen disastrous events it is imperative to assess the public health emergencyreadiness and training needs of nurses. The objective of this study was to assess the self-reported terrorism preparedness and training needs of a nurse workforce. Design andSample: Cross-sectional prevalence of practicing nurses in regions of North Texas. 3;508rural nurses practicing in North Texas participated in the study. Measurements: Data werecollected through a mailed survey; analyses included multinominal logistic regression anddescriptive statistics. Results: A total of 941 (27%) nurses completed the survey. The majorityof respondents reported limited bioterrorism-related training. Fewer than 10% were …,Public Health Nursing,2010,34
Hispanic physicians' tobacco intervention practices: a cross-sectional survey study,Francisco G Soto Mas; Richard L Papenfuss; Holly E Jacobson; Chiehwen Ed Hsu; Ximena Urrutia-Rojas; William M Kane,US Hispanic physicians constitute a considerable professional collective; and they may bemost suited to attend to the health education needs of the growing US Hispanic population.These educational needs include tobacco use prevention and smoking cessation. However;there is a lack of information on Hispanic physicians' tobacco intervention practices; theirlevel of awareness and use of cessation protocols; and the type of programs that would bestaddress their tobacco training needs. The purpose of this study was to assess the tobaccointervention practices and training needs of Hispanic physicians. Data was collected througha validated survey instrument among a cross-sectional sample of self-reported Hispanicphysicians. Data analyses included frequencies; descriptive statistics; and factorial analysesof variance. The response rate was 55.5%. The majority of respondents (73.3%) were …,BMC Public Health,2005,33
What made a successful hepatitis B program for reducing liver cancer disparities: An examination of baseline characteristics and educational intervention; infection s...,Chiehwen Ed Hsu; Guangyu Zhang; Fang Alice Yan; Ning Shang; Tuan Le,Abstract Asian Americans; compared with other racial/ethnic groups; are disproportionatelyaffected by Hepatitis B disease. The literature suggests that knowledge and awareness ofprevention strategies such as receiving hepatitis B screening and vaccination are potentialfactors associated with occurrence of hepatitis B and liver cancer; while it is unclear howbaseline characteristics relate to these effective hepatitis B prevention strategies. In thestudy; five Asian–American groups in the state of Maryland completed self-administered pre-and post-test after receiving lectures on hepatitis B prevention; and participated in bloodscreening for Hepatitis B. T-test and one-way ANOVA were used to explore the differencesof baseline characteristics among these participants. Logistic regression was employed tostudy the baseline factors and association with completion of tests. All groups were …,Journal of Community Health,2010,27
