Significance of a fragmented QRS complex versus a Q wave in patients with coronary artery disease,Mithilesh K Das; Bilal Khan; Sony Jacob; Awaneesh Kumar; Jo Mahenthiran,Background—Q waves on a 12-lead ECG are markers of a prior myocardial infarction (MI).However; they may regress or even disappear over time; and there is no specific ECG signof a non–Q-wave MI. Fragmented QRS complexes (fQRSs); which include various RSR′patterns; without a typical bundle-branch block are markers of altered ventriculardepolarization owing to a prior myocardial scar. We postulated that the presence of an fQRSmight improve the ability to detect a prior MI compared with Q waves alone by ECG. Methodsand Results—A cohort of 479 consecutive patients (mean±SD age; 58.2±13.2 years; 283males) who were referred for nuclear stress tests was studied. The fQRS included variousmorphologies of the QRS (< 120 ms); which included an additional R wave (R′) or notchingin the nadir of the S wave; or> 1 R′(fragmentation) in 2 contiguous leads; corresponding …,Circulation,2006,517
Effect of A. lanata leaf extract and Vediuppu chunnam on the urinary risk factors of calcium oxalate urolithiasis during experimental hyperoxaluria,R Selvam; P Kalaiselvi; A Govindaraj; V Bala Murugan; AS Sathish Kumar,Abstract Urolithiasis is one of the third most common afflictions found in humans. Theefficacy of the two Siddha drugs; Aerva lanata and Vediuppu chunnam as antilithic agentsusing a urolithic rat model were tested in this study. Hyperoxaluria was induced in rats using0.75% ethylene glycol in drinking water. Aerva lanata (3.0 mg kg− 1 body weight) andVediuppu chunnam (3.5 mg kg− 1 body weight) were given orally for 28 days. Urinary riskfactors of urolithiasis were monitored at the end of 7th; 14th; 21st and 28th days. Urinaryvolume was increased in hyperoxaluric as well as drug-treated rats. Increased urinaryexcretion of calcium; oxalate; uric acid; phosphorus and protein in hyperoxaluric rats wasbrought down significantly by the administration of A. lanata or Vediuppu chunnam.Decreased magnesium excretion in hyperoxaluric rats was normalized by drug treatment …,Pharmacological Research,2001,169
The TWEAK–Fn14 system is a critical regulator of denervation-induced skeletal muscle atrophy in mice,Ashwani Mittal; Shephali Bhatnagar; Akhilesh Kumar; Estelle Lach-Trifilieff; Sandrine Wauters; Hong Li; Denys Y Makonchuk; David J Glass; Ashok Kumar,Skeletal muscle atrophy occurs in a variety of clinical settings; including cachexia; disuse;and denervation. Inflammatory cytokines have been shown to be mediators of cancercachexia; however; the role of cytokines in denervation-and immobilization-induced skeletalmuscle loss remains unknown. In this study; we demonstrate that a single cytokine; TNF-likeweak inducer of apoptosis (TWEAK); mediates skeletal muscle atrophy that occurs underdenervation conditions. Transgenic expression of TWEAK induces atrophy; fibrosis; fiber-type switching; and the degradation of muscle proteins. Importantly; genetic ablation ofTWEAK decreases the loss of muscle proteins and spared fiber cross-sectional area; musclemass; and strength after denervation. Expression of the TWEAK receptor Fn14 (fibroblastgrowth factor–inducible receptor 14) and not the cytokine is significantly increased in …,The Journal of cell biology,2010,161
Numerical simulation of natural convection heating of canned thick viscous liquid food products,ASHWINI KUMAR; M Bhattacharya; JACK BLAYLOCK,ABSTRACT Sterilization of a thick viscous liquid food in a metal can sitting in an uprightposition and heated from the side wall (T w= 394 K) only in a still retort was simulated. Theliquid had temperature dependent viscosity but constant specific heat and thermalconductivity. Equations of mass; motion and energy conservation for an axisymmetric casewere solved and plots of temperature; velocity and streamlines were provided for naturalconvection heating and isotherms compared with pure conduction contour plots. Resultsindicated that the natural convection moved the slowest heating point to the bottom center.The bottom of the can heated up slower than predicted by pure conduction heating. Themagnitude of the axial velocity was found to be of the order of 10− 5 m/sec which varied withtime and position in the can.,Journal of Food Science,1990,112
Enhancement of seed oil content by expression of glycerol-3-phosphate acyltransferase genes,RK Jain; M Coffey; K Lai; A Kumar; SL MacKenzie,Arabidopsis thaliana was transformed with a plastidial safflower glycerol-3-phosphateacyltransferase (GPAT) and an Escherichia coli GPAT. The genes were used directly and inmodified forms with; as applicable; the plastidial targeting sequence removed; and with anendoplasmic reticulum targeting sequence added. Seeds of plants transformed using onlythe vector were indistinguishable in oil content from wild-type control plants. All other geneconstructs increased seed oil content. The unmodified safflower gene (spgpat) produced oilincreases ranging from 10 to 21%. On average; the greatest increase (+ 22%) was observedin seeds of transformants carrying the spgpat with the targeting peptide removed. The E. coliplsB gene increased seed oil content by an average of 15%.,*,2000,111
Estradiol-induced proliferation of papillary and follicular thyroid cancer cells is mediated by estrogen receptors α and β,Akhilesh Kumar; Carolyn M Klinge; Richard E Goldstein,Abstract Premenopausal women are at highest risk for papillary and follicular thyroidcarcinoma; implicating a role for estrogens in thyroid cancer. The expression of estrogenreceptors α and β (ER); the effects of estradiol (E2); selective estrogen receptor modulators(SERMs) 4-hydroxytamoxifen and raloxifene; and ER subtype selective agonists wereexamined in NPA87 and KAT5 papillary and WRO follicular thyroid carcinoma cell lines. Allthree thyroid cancer cell lines expressed full-length ERα and ERβ proteins with cytoplasmiclocalization that was unaffected by E2. ICI 182;780 (Fulvestrant; an ER antagonist); andinhibitors of non-genomic E2-activated MAPK and PI3K signaling blocked E2-induced cellproliferation. SERMs acted in a cell line-specific manner. No E2-induced estrogen responseelement (ERE)-driven reporter activity was observed in transiently transfected thyroid …,International journal of oncology,2010,108
Reorientation of magnetic anisotropy in epitaxial cobalt ferrite thin films,A Lisfi; CM Williams; Long Thang Nguyen; JC Lodder; A Coleman; H Corcoran; A Johnson; P Chang; A Kumar; W Morgan,Abstract Spin reorientation has been observed in Co Fe 2 O 4 thin single crystalline filmsepitaxially grown on (100) MgO substrate upon varying the film thickness. The criticalthickness for such a spin-reorientation transition was estimated to be 300 nm. Thereorientation is driven by a structural transition in the film from a tetragonal to cubicsymmetry. At low thickness; the in-plane tensile stress induces a tetragonal distortion of thelattice that generates a perpendicular anisotropy; large enough to overcome the shapeanisotropy and to stabilize the magnetization easy axis out of plane. However; in thickerfilms; the lattice relaxation toward the cubic structure of the bulk allows the shape anisotropyto force the magnetization to be in plane aligned.,Physical Review B,2007,106
Transient temperature and velocity profiles in a canned non-Newtonian liquid food during sterilization in a still-cook retort,Ashwini Kumar; M Bhattacharya,Abstract Natural convection heating of a canned liquid food during sterilization is simulatedby solving the governing equations for continuity; momentum and energy conservation foran axisymmetric case; using a finite element code. The model liquid has constant propertiesexcept viscosity (temperature dependent and shear thinning) and density (Boussinesqapproximation). The velocity field establishes itself much more rapidly than the temperaturefield. The maximum axial velocity is of the order of 10− 4 ms− 1 because of low Grashofnumber. The coldest point is not fixed but migrates in a region that is 10–12% of the canheight from the bottom of the can and at a radial distance approximately one-half of theradius. On the basis of the computed particle path it appears that the liquid initially locatedjust below the top center is exposed to the minimum heat treatment and should be of most …,International Journal of Heat and Mass Transfer,1991,103
Scalable architecture for transmission of messages over a network,*,A system for supporting a message delivery service; a method for supporting such a serviceand a machine accessible medium containing program data for implementing such asystem. A number of processing servers are coupled to communicate with a number ofoutbound resources and a database server over an internal packet-switched data network.The database server contains account information on customers of the service. Requestmessages received from a customer over an external packet-switched data network arestored in a queue of a processing server. A router filter obtains a request message from thequeue and validates a customer associated with the request message; after accessing thedatabase server. A determination is made as to which of the multiple outbound resources toassign the request message. Each of these resources is capable of converting an input …,*,2003,101
Patients’ perception of health on renal replacement therapy: evaluation using a new instrument,IH Khan; AM Garratt; Abhinav Kumar; DJ Cody; GRD Catto; N Edward; AM MacLeod,Abstract Patients' perception of their health is an important outcome measure in themanagement of chronic disease. Comparing that perception from patients receiving differentforms of renal replacement therapy (RRT) with data from the general population could beused to monitor the effectiveness of treatment. The short form 36 (SF-36) questionnaire is ageneral measure of health status which has been validated in the UK and uses eight healthscales comprising physical function; social function; role limitation (physical and emotional);mental health; energy; pain and overall health. Using the SF-36 questionnaire; theperception of health of patients receiving RRT was compared with data from healthy controlsubjects. One hundred and seventy-two of 185 (93%) patients receiving RRT—transplant(n= 102); haemodialysis (n= 43); and peritoneal dialysis (n= 27) completed the …,Nephrology Dialysis Transplantation,1995,95
Palliative care for prenatally diagnosed lethal fetal abnormality,Andrew CG Breeze; Christoph C Lees; Arvind Kumar; Hannah H Missfelder-Lobos; Edile M Murdoch,Diagnosis of lethal fetal abnormality raises challenging decisions for parents and clinicians.Most parents opt for termination; which may include feticide. Advances in imaging seemunlikely to lead to earlier diagnoses. Perinatal palliative care offers an alternative. Parentaldecision making and the clinical aspects of perinatal palliative care were studied after aprenatal diagnosis of lethal fetal abnormality in 20 pregnancies. 40% of parents chose tocontinue the pregnancy and pursue perinatal palliative care. Six of these eight babies wereliveborn and lived for between 1½ h and 3 weeks.,Archives of Disease in Childhood-Fetal and Neonatal Edition,2007,93
