A query language for XML,Alin Deutsch; Mary Fernandez; Daniela Florescu; Alon Levy; Dan Suciu,Abstract An important application of XML is the interchange of electronic data (EDI) betweenmultiple data sources on the Web. As XML data proliferates on the Web; applications willneed to integrate and aggregate data from multiple source and clean and transform data tofacilitate exchange. Data extraction; conversion; transformation; and integration are all well-understood database problems; and their solutions rely on a query language. We present aquery language for XML; called XML-QL; which we argue is suitable for performing theabove tasks. XML-QL is a declarative;relational complete'query language and is simpleenough that it can be optimized. XML-QL can extract data from existing XML documents andconstruct new XML documents.,Computer networks,1999,900
Storing semistructured data with STORED,Alin Deutsch; Mary Fernandez; Dan Suciu,Abstract Systems for managing and querying semistructured-data sources often store data inproprietary object repositories or in a tagged-text format. We describe a technique that canuse relational database management systems to store and manage semistructured data.Our technique relies on a mapping between the semistructured data model and therelational data model; expressed in a query language called STORED. When asemistructured data instance is given; a STORED mapping can be generated automaticallyusing data-mining techniques. We are interested in applying STORED to XML data; which isan instance of semistructured data. We show how a document-type-descriptor (DTD); whenpresent; can be exploited to further improve performance.,ACM SIGMOD Record,1999,833
Xml-ql: A query language for xml,Alin Deutsch; Mary Fernandez; Daniela Florescu; Alon Levy; Dan Suciu,Abstract XML is a new standard that supports data exchange on the World-Wide Web. It islikely to become as important and as widely used as HTML. The availability of large amountsof data on the Web raises several issues that the XML standard does not address. Inparticular; what techniques and tools should exist for extracting data from large XMLdocuments; for translating XML data between different ontologies (DTD's); for integratingXML data from multiple XML sources; and for transporting large amounts of XML data toclients or for sending queries to XML sources.,*,1998,498
The chase revisited,Alin Deutsch; Alan Nash; Jeff Remmel,Abstract We revisit the standard chase procedure; studying its properties and applicability toclassical database problems. We settle (in the negative) the open problem of decidability oftermination of the standard chase; and we provide sufficient termination conditions whichare strictly less over-conservative than the best previously known. We investigate theadequacy of the standard chase for checking query containment under constraints;constraint implication and computing certain answers in data exchange; gaining a deeperunderstanding by separating the algorithm from its result. We identify the properties of thechase result that are essential to the above applications; and we introduce the more generalnotion of F-universal model set; which supports query and constraint languages that areclosed under a class F of mappings. By choosing F appropriately; we extend prior results …,Proceedings of the twenty-seventh ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2008,245
Automatic verification of data-centric business processes,Alin Deutsch; Richard Hull; Fabio Patrizi; Victor Vianu,Abstract We formalize and study business process systems that are centered around"business artifacts"; or simply" artifacts". Artifacts are used to represent (real or conceptual)key business entities; including both their data schema and lifecycles. The lifecycle of anartifact type specifies the possible sequencings of services that can be applied to an artifactof this type as it progresses through the business process. The artifact-centric approach wasintroduced by IBM; and has been used to achieve substantial savings when performingbusiness transformations. In this paper; artifacts carry attribute records and internal staterelations (holding sets of tuples) that services can consult and update. In addition; servicescan access an underlying database and can introduce new values from an infinite domain;thus modeling external inputs or partially specified processes described by pre-and-post …,Proceedings of the 12th International Conference on Database Theory,2009,243
Reformulation of XML queries and constraints,Alin Deutsch; Val Tannen,Abstract We state and solve the query reformulation problem for XML publishing in a generalsetting that allows mixed (XML and relational) storage for the proprietary data and exploitsredundancies (materialized views; indexes and caches) to enhance performance. Thecorrespondence between published and proprietary schemas is specified by views in bothdirections; and the same algorithm performs rewriting-with-views; composition-with-views; orthe combined effect of both; unifying the Global-As-View and Local-As-View approaches todata integration. We prove a completeness theorem which guarantees that under certainconditions; our algorithm will find a minimal reformulation if one exists. Moreover; we identifyconditions when this algorithm achieves optimal complexity bounds. We solve thereformulation problem for constraints by exploiting a reduction to the problem of query …,International Conference on Database Theory,2003,208
Containment and integrity constraints for XPath fragments,Alin Deutsch; Val Tannen,Abstract XPath is a W3C standard that plays a crucial role in several influential query;transformation; and schema standards for XML. Motivated by the larger challenge of XMLquery optimization; we investigate the problem of containment of XPath expressions underintegrity constraints that are in turn formulated with the help of XPath expressions. Our coreformalism consists of a fragment of XPath that we call simple and a corresponding class ofintegrity constraints that we call simple XPath integrity constraints (SXIC). SXIC's canexpress many database-style constraints; including key and foreign key constraints specifiedin the XML Schema standard proposal; as well as many constraints implied by DTDs. Weidentify a subclass of bounded SXIC's under which containment of simple XPathexpressions is decidable; but we show that even modest use of unbounded SXIC's makes …,Departmental Papers (CIS),2001,149
-MARS: A System for Publishing XML from Mixed and Redundant Storage,Alin Deutsch; Val Tannen,This chapter presents a system called mixed and redundant storage (MARS) for publishingXML data from mixed proprietary storage; while supporting redundancy in storage for tuningpurposes. The correspondence between public and proprietary schemas is given by acombination of Local-As-View (LAV) and Global-As-View (GAV)-style views expressed inXQuery. XML and relational integrity constraints are also taken into consideration. Startingwith client XQueries formulated against the public schema the system achieves thecombined effect of rewriting-with-views; composition with-views; and query minimizationunder integrity constraints to obtain optimal reformulations against the proprietary schema.The chapter focuses on the engineering and the experimental evaluation of the MARSsystem. MARS exploits integrity constraints on both the XML and relational data. This may …,*,2003,147
Verification of relational data-centric dynamic systems with external services,Babak Bagheri Hariri; Diego Calvanese; Giuseppe De Giacomo; Alin Deutsch; Marco Montali,Abstract Data-centric dynamic systems are systems where both the process controlling thedynamics and the manipulation of data are equally central. We study verification of (first-order) mu-calculus variants over relational data-centric dynamic systems; where data aremaintained in a relational database; and the process is described in terms of atomic actionsthat evolve the database. Action execution may involve calls to external services; thusinserting fresh data into the system. As a result such systems are infinite-state. We show thatverification is undecidable in general; and we isolate notable cases where decidability isachieved. Specifically we start by considering service calls that return valuesdeterministically (depending only on passed parameters). We show that in a mu-calculusvariant that preserves knowledge of objects appeared along a run we get decidability …,Proceedings of the 32nd ACM SIGMOD-SIGACT-SIGAI symposium on Principles of database systems,2013,130
Asterix: towards a scalable; semistructured data platform for evolving-world models,Alexander Behm; Vinayak R Borkar; Michael J Carey; Raman Grover; Chen Li; Nicola Onose; Rares Vernica; Alin Deutsch; Yannis Papakonstantinou; Vassilis J Tsotras,Abstract ASTERIX is a new data-intensive storage and computing platform project spanningUC Irvine; UC Riverside; and UC San Diego. In this paper we provide an overview of theASTERIX project; starting with its main goal—the storage and analysis of data pertaining toevolving-world models. We describe the requirements and associated challenges; andexplain how the project is addressing them. We provide a technical overview of ASTERIX;covering its architecture; its user model for data and queries; and its approach to scalablequery processing and data management. ASTERIX utilizes a new scalable runtimecomputational platform called Hyracks that is also discussed at an overview level; we haverecently made Hyracks available in open source for use by other interested parties. We alsorelate our work on ASTERIX to the current state of the art and describe the research …,Distributed and Parallel Databases,2011,126
Specification and verification of data-driven web applications,Alin Deutsch; Liying Sui; Victor Vianu,Abstract We study data-driven Web applications provided by Web sites interacting with usersor applications. The Web site can access an underlying database; as well as stateinformation updated as the interaction progresses; and receives user input. The structureand contents of Web pages; as well as the actions to be taken; are determined dynamicallyby querying the underlying database as well as the state and inputs. The properties to beverified concern the sequences of events (inputs; states; and actions) resulting from theinteraction; and are expressed in linear or branching-time temporal logics. The resultsestablish under what conditions automatic verification of such properties is possible andprovide the complexity of verification. This brings into play a mix of techniques from logic andmodel checking.,Journal of Computer and System Sciences,2007,119
