Nanotechnology platforms and physiological challenges for cancer therapeutics,Kelly Y Kim,*,Nanomedicine: Nanotechnology; Biology and Medicine,2007,272
Caffeic acid and its synthetic derivative CADPE suppress tumor angiogenesis by blocking STAT3-mediated VEGF expression in human renal carcinoma cells,Joo Eun Jung; Hong Sook Kim; Chang Seok Lee; Dae-Hun Park; Yong-Nyun Kim; Min-Jae Lee; Jung Weon Lee; Jong-Wan Park; Myung-Suk Kim; Sang Kyu Ye; Myung-Hee Chung,Abstract Tumor angiogenesis is required for tumor development and is stimulated byangiogenic inducers like VEGF (vascular endothelial growth factor). Our previous studydemonstrated that STAT3 (signal transducer and activator of transcription 3) up-regulatesHIF-1α (hypoxia inducible factor-1α) protein stability and enhances HIF-1-mediated VEGFexpression in hypoxic solid tumor cells; thus suggesting that the inhibition of STAT3signaling may have clinical applications. In this study; we examined in vitro and in vivo;whether caffeic acid (CA) or its derivative CADPE [3-(3; 4-dihydroxy-phenyl)-acrylic acid 2-(3; 4-dihydroxy-phenyl)-ethyl ester] exert anticancer activity by targeting STAT3. It was foundthat CA or CADPE significantly inhibit STAT3 activity; and that this in turn down-regulatesHIF-1α activity. Consequently; sequential blockade of STAT3 and HIF-1α resulted in the …,Carcinogenesis,2007,93
STAT3 inhibits the degradation of HIF-1α by pVHL-mediated ubiquitination,Joo Eun Jung; Hong Sook Kim; Chang Seok Lee; Yong-Jae Shin; Yong-Nyun Kim; Gyeong-Hoon Kang; Tae-You Kim; Yong-Sung Juhnn; Sung-Joon Kim; Jong-Wan Park; Sang-Kyu Ye; Myung-Hee Chung,Abstract Hypoxia-inducible factor 1α (HIF-1α) is rapidly degraded by the ubiquitin-proteasome pathway under normoxic conditions. Ubiquitination of HIF-1α is mediated byinteraction with von Hippel-Lindau tumor suppressor protein (pVHL). In our previous report;we found that hypoxia-induced active signal transducer and activator of transcription3(STAT3) accelerated the accumulation of HIF-1α protein and prolonged its half-life in solidtumor cells. However; its specific mechanisms are not fully understood. Thus; we examinedthe role of STAT3 in the mechanism of pVHL-mediated HIF-1α stability. We found that STAT3interacts with C-terminal domain of HIF-1α and stabilizes HIF-1α by inhibition of pVHLbinding to HIF-1α. The binding between HIF-1α and pVHL; negative regulator of HIF-1αstability; was interfered dose-dependently by overexpressed constitutive active STAT3 …,Experimental & molecular medicine,2008,78
Room-temperature electronically-controlled ferromagnetism at the LaAlO 3/SrTiO 3 interface,Feng Bi; Mengchen Huang; Sangwoo Ryu; Hyungwoo Lee; Chung-Wung Bark; Chang-Beom Eom; Patrick Irvin; Jeremy Levy,Abstract Reports of emergent conductivity; superconductivity and magnetism have helped tofuel intense interest in the rich physics and technological potential of complex-oxideinterfaces. Here we employ magnetic force microscopy to search for room-temperaturemagnetism in the well-studied LaAlO 3/SrTiO 3 system. Using electrical top gating to controlthe electron density at the oxide interface; we directly observe the emergence of an in-planeferromagnetic phase as electrons are depleted from the interface. Itinerant electrons that arereintroduced into the interface align antiferromagnetically with the magnetization at firstscreening and then destabilizing it as the conductive regime is approached. Repeatedcycling of the gate voltage results in new; uncorrelated magnetic patterns. This newfoundcontrol over emergent magnetism at the interface between two non-magnetic oxides …,Nature communications,2014,74
Extending q-grams to estimate selectivity of string matching with low edit distance,Hongrae Lee; Raymond T Ng; Kyuseok Shim,Abstract There are many emerging database applications that require accurate selectivityestimation of approximate string matching queries. Edit distance is one of the mostcommonly used string similarity measures. In this paper; we study the problem of estimatingselectivity of string matching with low edit distance. Our framework is based on extending q-grams with wildcards. Based on the concepts of replacement semi-lattice; string hierarchyand a combinatorial analysis; we develop the formulas for selectivity estimation and providethe algorithm BasicEQ. We next develop the algorithm Opt EQ by enhancing BasicEQ withtwo novel improvements. Finally we show a comprehensive set of experiments using threebenchmarks comparing Opt EQ with the state-of-the-art method SEPIA. Our experimentalresults show that Opt EQ delivers more accurate selectivity estimations.,Proceedings of the 33rd international conference on Very large data bases,2007,63
Interleukin-6 induces S100A9 expression in colonic epithelial cells through STAT3 activation in experimental ulcerative colitis,Min Jeoung Lee; Jin-Ku Lee; Ji Won Choi; Chang-Seok Lee; Ji Hyun Sim; Chung-Hyun Cho; Kwang-Ho Lee; Ik-Hyun Cho; Myung-Hee Chung; Hang-Rae Kim; Sang-Kyu Ye,Background Intestinal epithelium is essential for maintaining normal intestinal homeostasis;its breakdown leads to chronic inflammatory pathologies; such as inflammatory boweldiseases (IBDs). Although high concentrations of S100A9 protein and interleukin-6 (IL-6) arefound in patients with IBD; the expression mechanism of S100A9 in colonic epithelial cells(CECs) remains elusive. We investigated the role of IL-6 in S100A9 expression in CECsusing a colitis model. Methods IL-6 and S100A9 expression; signal transducer and activatorof transcription 3 (STAT3) phosphorylation; and infiltration of immune cells were analyzed inmice with dextran sulfate sodium (DSS)-induced colitis. The effects of soluble gp130-Fcprotein (sgp130Fc) and S100A9 small interfering (si) RNA (si-S100A9) on DSS-inducedcolitis were evaluated. The molecular mechanism of S100A9 expression was investigated …,PloS one,2012,62
Effects of soluble dietary fibers on lipid metabolism and activities of intestinal disaccharidases in rats,Young-Sun Choi; Sung-Hee Cho; Hye-Jin Kim; Hee-Jung LEE,抄録 The present study was aimed to investigate the effects of indigestible dextrin andpolydextrose; soluble dietary fibers with low molecular weight; on lipid metabolism anddisaccharidase activities of intestinal mucosa in rats fed a high sucrose diet. Their effectswere compared with those of well-known soluble fibers; pectin; and guar gum; and also withan insoluble fiber; cellulose. Dietary fibers added to diets at the 5%(w/w) level were a-cellulose; pectin; guar gum; indigestible dextrin; and polydextrose. Male Sprague-Dawleyrats were given free access to test diets for 6 weeks. Body weight gain was the lowest in ratsfed guar gum; the highest in rats fed cellulose; and in-between in rats fed other diets.Although guar gum; pectin; and indigestible feeding dextrin had lower plasma lipid valuesthan cellulose feeding did; the differences were statistically insignificant. Liver triglyceride …,Journal of nutritional science and vitaminology,1998,54
A stratified randomized response technique,Hak Hong Ki; Keun Yum Jun; Young Lee Hwa,Abstract In the present paper an attempt has been made to develop a stratified ramdomizedresponse technique when the respondents are selected using simple random samplingwithout replacement (SRSWOR) as well as simple random sampling with replacement(SRSWR). The conditions under which the proposed technique will be more efficient thanthe corresponding Warner's technique have been obtained.,Korean Journal of Applied Statistics,1994,54
Carnosic acid; a phenolic diterpene from rosemary; prevents UV‐induced expression of matrix metalloproteinases in human skin fibroblasts and keratinocytes,Miyoung Park; Jiwon Han; Chang Seok Lee; Baek Heung Soo; Kyung‐Min Lim; Hunjoo Ha,Abstract Exposure of the skin to ultraviolet (UV) irradiation induces photoageing through theup-regulation of matrix metalloproteinases (MMPs) and subsequent breakdown ofextracellular matrices. Reactive oxygen species (ROS) and epidermal growth factor receptor(EGFR) activation play central roles in UV-induced MMP expression through initiatingextracellular signal-regulated kinase (ERK)–mediated AP-1 signalling. We aimed to explorethe effects of carnosic acid (CA); a phenolic diterpene from rosemary; on UV-induced MMPexpression in human skin cells. Molecular mechanism underlying the effects of CA was alsoexamined in the aspect of MMP expression; ERK/AP-1 pathway; ROS generation and EGFRactivation. Human dermal fibroblast cell line (Hs68); primary normal human dermalfibroblasts (HDFs) and normal human epidermal keratinocytes (HEKs) were employed …,Experimental dermatology,2013,51
Method and system for wireless charging using radio wave,*,A method and system for wireless charging using a radio wave. The method includesscanning a radio wave of an access point; determining an available charging frequencyband among frequency bands; sending the access point a request for transmitting acharging radio wave at the charging frequency band; and switching power output from anantenna; to a battery circuit.,*,2014,50
LYR71; a derivative of trimeric resveratrol; inhibits tumorigenesis by blocking STAT3-mediated matrix metalloproteinase 9 expression,Ja Eun Kim; Hong Sook Kim; Yong-Jae Shin; Chang Seok Lee; Cheolhee Won; Sin-Ae Lee; Jung Weon Lee; Youngsoo Kim; Jae-Seung Kang; Sang-Kyu Ye; Myung-Hee Chung,Abstract Tumor migration/invasion is the main cause of tumor progression and STAT3 isneeded to enhance tumor migration/invasion by up-regulating MMP-9. Thus; agents thatinhibit STAT3 activation may be used as an anticancer drug. We present herein that 6-methyl-2-propylimino-6; 7-dihydro-5H-benzo [1; 3]-oxathiol-4-one (LYR71); a derivative oftrimeric resveratrol; has an anticancer activity through inhibition of STAT3 activation. Wefound that LYR71 suppressed STAT3 activation and inhibited the expression and activity ofMMP-9 in RANTES-stimulated breast cancer cells. In addition; LYR71 reduced RANTES-induced MMP-9 transcripts by blocking STAT3 recruitment; dissociating p300 anddeacetylating histone H3 and H4 on the MMP-9 promoter. Furthermore; LYR71 inhibitedtumor migration/invasion in RANTES-treated breast cancer cells and consequently …,Experimental & molecular medicine,2008,43
