VisTrails: visualization meets data management,Steven P Callahan; Juliana Freire; Emanuele Santos; Carlos E Scheidegger; Cláudio T Silva; Huy T Vo,Abstract Scientists are now faced with an incredible volume of data to analyze. Tosuccessfully analyze and validate various hypothesis; it is necessary to pose severalqueries; correlate disparate data; and create insightful visualizations of both the simulatedprocesses and observed phenomena. Often; insight comes from comparing the results ofmultiple visualizations. Unfortunately; today this process is far from interactive and containsmany error-prone and time-consuming tasks. As a result; the generation and maintenance ofvisualizations is a major bottleneck in the scientific process; hindering both the ability tomine scientific data and the actual use of the data. The VisTrails system represents our initialattempt to improve the scientific discovery process and reduce the time to insight. InVisTrails; we address the problem of visualization from a data management perspective …,Proceedings of the 2006 ACM SIGMOD international conference on Management of data,2006,474
Vistrails: Enabling interactive multiple-view visualizations,Louis Bavoil; Steven P Callahan; Patricia J Crossno; Juliana Freire; Carlos E Scheidegger; Cláudio T Silva; Huy T Vo,VisTrails is a new system that enables interactive multiple-view visualizations by simplifyingthe creation and maintenance of visualization pipelines; and by optimizing their execution. Itprovides a general infrastructure that can be combined with existing visualization systemsand libraries. A key component of VisTrails is the visualization trail (vistrail); a formalspecification of a pipeline. Unlike existing dataflow-based systems; in VisTrails there is aclear separation between the specification of a pipeline and its execution instances. Thisseparation enables powerful scripting capabilities and provides a scalable mechanism forgenerating a large number of visualizations. VisTrails also leverages the vistrail specificationto identify and avoid redundant operations. This optimization is especially useful whileexploring multiple visualizations. When variations of the same pipeline need to be …,Visualization; 2005. VIS 05. IEEE,2005,335
Managing rapidly-evolving scientific workflows,Juliana Freire; Cláudio T Silva; Steven P Callahan; Emanuele Santos; Carlos E Scheidegger; Huy T Vo,Abstract We give an overview of VisTrails; a system that provides an infrastructure forsystematically capturing detailed provenance and streamlining the data exploration process.A key feature that sets VisTrails apart from previous visualization and scientific workflowsystems is a novel action-based mechanism that uniformly captures provenance for dataproducts and workflows used to generate these products. This mechanism not only ensuresreproducibility of results; but it also simplifies data exploration by allowing scientists to easilynavigate through the space of workflows and parameter settings for an exploration task.,International Provenance and Annotation Workshop,2006,267
Visual exploration of big spatio-temporal urban data: A study of new york city taxi trips,Nivan Ferreira; Jorge Poco; Huy T Vo; Juliana Freire; Cláudio T Silva,As increasing volumes of urban data are captured and become available; new opportunitiesarise for data-driven analysis that can lead to improvements in the lives of citizens throughevidence-based decision making and policies. In this paper; we focus on a particularlyimportant urban data set: taxi trips. Taxis are valuable sensors and information associatedwith taxi trips can provide unprecedented insight into many different aspects of city life; fromeconomic activity and human behavior to mobility patterns. But analyzing these datapresents many challenges. The data are complex; containing geographical and temporalcomponents in addition to multiple variables associated with each trip. Consequently; it ishard to specify exploratory queries and to perform comparative analyses (eg; comparedifferent regions over time). This problem is compounded due to the size of the data-there …,IEEE Transactions on Visualization and Computer Graphics,2013,235
Special issue: The first provenance challenge,Luc Moreau; Bertram Ludäscher; Ilkay Altintas; Roger S Barga; Shawn Bowers; Steven Callahan; George Chin; Ben Clifford; Shirley Cohen; Sarah Cohen‐Boulakia; Susan Davidson; Ewa Deelman; Luciano Digiampietri; Ian Foster; Juliana Freire; James Frew; Joe Futrelle; Tara Gibson; Yolanda Gil; Carole Goble; Jennifer Golbeck; Paul Groth; David A Holland; Sheng Jiang; Jihie Kim; David Koop; Ales Krenek; Timothy McPhillips; Gaurang Mehta; Simon Miles; Dominic Metzger; Steve Munroe; Jim Myers; Beth Plale; Norbert Podhorszki; Varun Ratnakar; Emanuele Santos; Carlos Scheidegger; Karen Schuchardt; Margo Seltzer; Yogesh L Simmhan; Claudio Silva; Peter Slaughter; Eric Stephan; Robert Stevens; Daniele Turi; Huy Vo; Mike Wilde; Jun Zhao; Yong Zhao,Abstract The first Provenance Challenge was set up in order to provide a forum for thecommunity to understand the capabilities of different provenance systems and theexpressiveness of their provenance representations. To this end; a functional magneticresonance imaging workflow was defined; which participants had to either simulate or run inorder to produce some provenance representation; from which a set of identified querieshad to be implemented and executed. Sixteen teams responded to the challenge; andsubmitted their inputs. In this paper; we present the challenge workflow and queries; andsummarize the participants' contributions. Copyright© 2007 John Wiley & Sons; Ltd.,Concurrency and computation: practice and experience,2008,232
Managing the evolution of dataflows with vistrails,Steven P Callahan; Juliana Freire; Emanuele Santos; Carlos Eduardo Scheidegger; Claudio T Silva; Huy T Vo,Scientists are now faced with an incredible volume of data to analyze. To successfullyanalyze and validate various hypotheses; it is necessary to pose several queries; correlatedisparate data; and create insightful visualizations of both the simulated processes andobserved phenomena. Data exploration through visualization requires scientists to gothrough several steps. In essence; they need to assemble complex workflows that consist ofdataset selection; specification of series of operations that need to be applied to the data;and the creation of appropriate visual representations; before they can finally view andanalyze the results. Often; insight comes from comparing the results of multiplevisualizations that are created during the data exploration process.,Data Engineering Workshops; 2006. Proceedings. 22nd International Conference on,2006,139
Querying and creating visualizations by analogy,Carlos Scheidegger; Huy Vo; David Koop; Juliana Freire; Claudio Silva,While there have been advances in visualization systems; particularly in multi-viewvisualizations and visual exploration; the process of building visualizations remains a majorbottleneck in data exploration. We show that provenance metadata collected during thecreation of pipelines can be reused to suggest similar content in related visualizations andguide semi-automated changes. We introduce the idea of query-by-example in the context ofan ensemble of visualizations; and the use of analogies as first-class operations in a systemto guide scalable interactions. We describe an implementation of these techniques inVisTrails; a publicly-available; open-source system.,IEEE Transactions on Visualization and Computer Graphics,2007,135
Tackling the provenance challenge one layer at a time,Carlos Scheidegger; David Koop; Emanuele Santos; Huy Vo; Steven Callahan; Juliana Freire; Cláudio Silva,Abstract VisTrails is a new workflow and provenance management system that providessupport for scientific data exploration and visualization. Whereas workflows have beentraditionally used to automate repetitive tasks; for applications that are exploratory in nature;change is the norm. VisTrails uses a new change-based provenance mechanism; whichwas designed to handle rapidly evolving workflows. It uniformly and automatically capturesprovenance information for data products and for the evolution of the workflows used togenerate these products. In this paper; we describe how the VisTrails provenance data areorganized in layers and present a first approach for querying this data that we developed totackle the Provenance Challenge queries. Copyright© 2007 John Wiley & Sons; Ltd.,Concurrency and Computation: Practice and Experience,2008,126
Querying and re-using workflows with VsTrails,Carlos E Scheidegger; Huy T Vo; David Koop; Juliana Freire; Claudio T Silva,Abstract We show how work flow systems can be augmented to leverage provenanceinformation to enhance usability. In particular; we will demonstrate new mechanisms andintuitive user interfaces designed to allow users to query work flows by example and torefine work flows by analogies. These techniques are implemented in VisTrails; an open-source provenance-enabled scientific work flow system that can be combined with a widerange of tools; libraries; and visualization systems. We will show di erent scenarios wherethese techniques can be used to simplify the notoriously hard tasks of creating and refiningwork flows.,Proceedings of the 2008 ACM SIGMOD international conference on Management of data,2008,110
Streaming simplification of tetrahedral meshes,Huy T Vo; Steven P Callahan; Peter Lindstrom; Valerio Pascucci; Cláudio T Silva,Unstructured tetrahedral meshes are commonly used in scientific computing to representscalar; vector; and tensor fields in three dimensions. Visualization of these meshes can bedifficult to perform interactively due to their size and complexity. By reducing the size of thedata; we can accomplish real-time visualization necessary for scientific analysis. Wepropose a two-step approach for streaming simplification of large tetrahedral meshes. Ouralgorithm arranges the data on disk in a streaming; I/O-efficient format that allows coherentaccess to the tetrahedral cells. A quadric-based simplification is sequentially performed onsmall portions of the mesh in-core. Our output is a coherent streaming mesh which facilitatesfuture processing. Our technique is fast; produces high quality approximations; and operatesout-of-core to process meshes too large for main memory,IEEE Transactions on Visualization and Computer Graphics,2007,57
Parallel visualization on large clusters using MapReduce,Huy T Vo; Jonathan Bronson; Brian Summa; Joao LD Comba; Juliana Freire; Bill Howe; Valerio Pascucci; Cláudio T Silva,Large-scale visualization systems are typically designed to efficiently “push” datasetsthrough the graphics hardware. However; exploratory visualization systems are increasinglyexpected to support scalable data manipulation; restructuring; and querying capabilities inaddition to core visualization algorithms. We posit that new emerging abstractions forparallel data processing; in particular computing clouds; can be leveraged to support large-scale data exploration through visualization. In this paper; we take a first step in evaluatingthe suitability of the MapReduce framework to implement large-scale visualizationtechniques. MapReduce is a lightweight; scalable; general-purpose parallel data processingframework increasingly popular in the context of cloud computing. Specifically; weimplement and evaluate a representative suite of visualization tasks (mesh rendering …,Large Data Analysis and Visualization (LDAV); 2011 IEEE Symposium on,2011,47
