Generic schema matching with cupid,Jayant Madhavan; Philip A Bernstein; Erhard Rahm,Abstract Schema matching is a critical step in many applications; such as XML messagemapping; data warehouse loading; and schema integration. In this paper; we investigatealgorithms for generic schema matching; outside of any particular data model or application.We first present a taxonomy for past solutions; showing that a rich range of techniques isavailable. We then propose a new algorithm; Cupid; that discovers mappings betweenschema elements based on their names; data types; constraints; and schema structure;using a broader set of techniques than past approaches. Some of our innovations are theintegrated use of linguistic and structural matching; context-dependent matching of sharedtypes; and a bias toward leaf structure where much of the schema content resides. Afterdescribing our algorithm; we present experimental results that compare Cupid to two …,vldb,2001,1885
Learning to map between ontologies on the semantic web,AnHai Doan; Jayant Madhavan; Pedro Domingos; Alon Halevy,Abstract Ontologies play a prominent role on the Semantic Web. They make possible thewidespread publication of machine understandable data; opening myriad opportunities forautomated information processing. However; because of the Semantic Web's distributednature; data on it will inevitably come from many different ontologies. Information processingacross ontologies is not possible without knowing the semantic mappings between theirelements. Manually finding such mappings is tedious; error-prone; and clearly not possibleat the Web scale. Hence; the development of tools to assist in the ontology mapping processis crucial to the success of the Semantic Web. We describe glue; a system that employsmachine learning techniques to find such mappings. Given two ontologies; for each conceptin one ontology glue finds the most similar concept in the other ontology. We give well …,Proceedings of the 11th international conference on World Wide Web,2002,1319
Similarity search for web services,Xin Dong; Alon Halevy; Jayant Madhavan; Ema Nemes; Jun Zhang,Abstract Web services are loosely coupled software components; published; located; andinvoked across the web. The growing number of web services available within anorganization and on the Web raises a new and challenging search problem: locatingdesired web services. Traditional keyword search is insufficient in this context: the specifictypes of queries users require are not captured; the very small text fragments in web servicesare unsuitable for keyword search; and the underlying structure and semantics of the webservices are not exploited. We describe the algorithms underlying the Woogle search enginefor web services. Woogle supports similarity search for web services; such as finding similarweb-service operations and finding operations that compose with a given one. We describenovel techniques to support these types of searches; and an experimental study on a …,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,896
Reference reconciliation in complex information spaces,Xin Dong; Alon Halevy; Jayant Madhavan,Abstract Reference reconciliation is the problem of identifying when different references (ie;sets of attribute values) in a dataset correspond to the same real-world entity. Most previousliterature assumed references to a single class that had a fair number of attributes (eg;research publications). We consider complex information spaces: our references belong tomultiple related classes and each reference may have very few attribute values. A primeexample of such a space is Personal Information Management; where the goal is to providea coherent view of all the information on one's desktop. Our reconciliation algorithm hasthree principal features. First; we exploit the associations between references to design newmethods for reference comparison. Second; we propagate information betweenreconciliation decisions to accumulate positive and negative evidences. Third; we …,Proceedings of the 2005 ACM SIGMOD international conference on Management of data,2005,636
Learning to match ontologies on the semantic web,AnHai Doan; Jayant Madhavan; Robin Dhamankar; Pedro Domingos; Alon Halevy,Abstract. On the Semantic Web; data will inevitably come from many different ontologies;and information processing across ontologies is not possible without knowing the semanticmappings between them. Manually finding such mappings is tedious; error-prone; andclearly not possible on the Web scale. Hence the development of tools to assist in theontology mapping process is crucial to the success of the Semantic Web. We describeGLUE; a system that employs machine learning techniques to find such mappings. Giventwo ontologies; for each concept in one ontology GLUE finds the most similar concept in theother ontology. We give well-founded probabilistic definitions to several practical similaritymeasures and show that GLUE can work with all of them. Another key feature of GLUE isthat it uses multiple learning strategies; each of which exploits well a different type of …,The VLDB Journal,2003,618
Ontology matching: A machine learning approach,AnHai Doan; Jayant Madhavan; Pedro Domingos; Alon Halevy,Summary This chapter studies ontology matching: the problem of finding the semanticmappings between two given ontologies. This problem lies at the heart of numerousinformation processing applications. Virtually any application that involves multipleontologies must establish semantic mappings among them; to ensure interoperability.Examples of such applications arise in myriad domains; including e-commerce; knowledgemanagement; e-learning; information extraction; bio-informatics; web services; and tourism(see Part D of this book on ontology applications). Despite its pervasiveness; today ontologymatching is still largely conducted by hand; in a labor-intensive and error-prone process.The manual matching has now become a key bottleneck in building large-scale informationmanagement systems. The advent of technologies such as the WWW; XML; and the …,*,2004,598
Methods and system for model matching,*,Systems and methods for automatically and generically matching models are provided; suchas may be provided in a matching application or matching component; or provided in ageneral purpose system for managing models. The methods are generic since the methodsapply to hierarchical data sets outside of any particular data model or application. Similaritycoefficients are calculated for; and mappings are discovered between; schema elementsbased on their names; data types; constraints; and schema structure; using a broad set oftechniques. Some of these techniques include the integrated use of linguistic and structuralmatching; context dependent matching of shared types; and a bias toward subtree; or leaf;structure where much of the schema content resides.,*,2004,513
Corpus-based schema matching,Jayant Madhavan; Philip A Bernstein; AnHai Doan; Alon Halevy,Schema matching is the problem of identifying corresponding elements in different schemas.Discovering these correspondences or matches is inherently difficult to automate. Pastsolutions have proposed a principled combination of multiple algorithms. However; thesesolutions sometimes perform rather poorly due to the lack of sufficient evidence in theschemas being matched. In this paper we show how a corpus of schemas and mappingscan be used to augment the evidence about the schemas being matched; so they can bematched better. Such a corpus typically contains multiple schemas that model similarconcepts and hence enables us to learn variations in the elements and their properties. Weexploit such a corpus in two ways. First; we increase the evidence about each element beingmatched by including evidence from similar elements in the corpus. Second; we learn …,Data Engineering; 2005. ICDE 2005. Proceedings. 21st International Conference on,2005,459
Google's deep web crawl,Jayant Madhavan; David Ko; Łucja Kot; Vignesh Ganapathy; Alex Rasmussen; Alon Halevy,Abstract The Deep Web; ie; content hidden behind HTML forms; has long beenacknowledged as a significant gap in search engine coverage. Since it represents a largeportion of the structured data on the Web; accessing Deep-Web content has been a long-standing challenge for the database community. This paper describes a system for surfacingDeep-Web content; ie; pre-computing submissions for each HTML form and adding theresulting HTML pages into a search engine index. The results of our surfacing have beenincorporated into the Google search engine and today drive more than a thousand queriesper second to Deep-Web content. Surfacing the Deep Web poses several challenges. First;our goal is to index the content behind many millions of HTML forms that span manylanguages and hundreds of domains. This necessitates an approach that is completely …,Proceedings of the VLDB Endowment,2008,458
Web-scale data integration: You can only afford to pay as you go,Jayant Madhavan; Shawn R Jeffery; Shirley Cohen; Xin Dong; David Ko; Cong Yu; Alon Halevy,ABSTRACT The World Wide Web is witnessing an increase in the amount of structuredcontent–vast heterogeneous collections of structured data are on the rise due to the DeepWeb; annotation schemes like Flickr; and sites like Google Base. While this phenomenon iscreating an opportunity for structured data management; dealing with heterogeneity on theweb-scale presents many new challenges. In this paper; we highlight these challenges intwo scenarios–the Deep Web and Google Base. We contend that traditional data integrationtechniques are no longer valid in the face of such heterogeneity and scale. We propose anew data integration architecture; PAYGO; which is inspired by the concept of dataspacesand emphasizes pay-as-you-go data management as means for achieving web-scale dataintegration.,*,2007,429
The piazza peer data management system,Alon Y Halevy; Zachary G Ives; Jayant Madhavan; Peter Mork; Dan Suciu; Igor Tatarinov,Intuitively; data management and data integration tools are well-suited for exchanginginformation in a semantically meaningful way. Unfortunately; they suffer from two significantproblems: They typically require a comprehensive schema design before they can be usedto store or share information and they are difficult to extend because schema evolution isheavyweight and may break backward compatibility. As a result; many small-scale datasharing tasks are more easily facilitated by nondatabase-oriented tools that have littlesupport for semantics. The goal of the peer data management system (PDMS) is to addressthis need: We propose the use of a decentralized; easily extensible data managementarchitecture in which any user can contribute new data; schema information; or evenmappings between other peers' schemes. PDMSs represent a natural step beyond data …,IEEE Transactions on Knowledge and Data Engineering,2004,322
Representing and reasoning about mappings between domain models,Jayant Madhavan; Philip A Bernstein; Pedro Domingos; Alon Y Halevy,Abstract Mappings between disparate models are fundamental to any application thatrequires interoperability between heterogeneous data and applications. Generatingmappings is a laborintensive and error prone task. To build a system that helps usersgenerate mappings; we need an explicit representation of mappings. This representationneeds to have well-defined semantics to enable reasoning and comparison betweenmappings. This paper first presents a powerful framework for defining languages forspecifying mappings and their associated semantics. We examine the use of mappings andidentify the key inference problems associated with mappings. These properties can beused to determine whether a mapping is adequate in a particular context. Finally; weconsider an instance of our framework for a language representing mappings between …,AAAI/IAAI,2002,314
-Composing Mappings Among Data Sources,Jayant Madhavan; Alon Y Halevy,Semantic mappings between data sources play a key role in several data sharingarchitectures. Mappings provide the relationships between data stored in different sources;and therefore enable answering queries that require data from other nodes in a data-sharingnetwork. This chapter investigates the theoretical underpinnings of mapping composition.The problem of sharing data from multiple sources within or between enterprises hasrecently received significant attention in research and in the commercial world. This chapterstudies the problem for a rich mapping language; GLAV that combines the advantages of theknown mapping formalisms global-as-view and local-as-view. The chapter explores thateven when composing two simple GLAV mappings; the full composition may be an infiniteset of GLAV formulas. It also explores that if one restricts the set of queries to be in CQ k …,*,2003,304
