Mindreader: Querying databases through multiple examples,Yoshiharu Ishikawa; Ravishankar Subramanya; Christos Faloutsos,Abstract Users often can not easily express their queries. For example; in amultimedia/image by content setting; the user might want photographs with sunsets; incurrent systems; like QBIC; the user has to give a sample query; and to specify the relativeimportance of color; shape and texture. Even worse; the user might want correlationsbetween attributes; like; for example; in a traditional; medical record database; a medicalresearcher might want to nd\mildly overweight patients"; where the implied query wouldbe\weight/height 4 lb/inch". Our goal is to provide a user-friendly; but theoretically solidmethod; to handle such queries. We allow the user to give several examples; and;optionally; their'goodness' scores; and we propose a novel method to\guess" whichattributes are important; which correlations are important; and with what weight. Our …,Computer Science Department,1998,705
Evaluation of signature files as set access facilities in OODBs,Yoshiharu Ishikawa; Hiroyuki Kitagawa; Nobuo Ohbo,Abstract Object-oriented database systems (OODBs) need efficient support for manipulationof complex objects. In particular; support of queries involving evaluations of set predicates isoften required in handling complex objects. In this paper; we propose a scheme to applysignature file techniques; which were originally invented for text retrieval; to the support ofset value accesses; and quantitatively evaluate their potential capabilities. Two signature fileorganizations; the sequential signature file and the bit-sliced signature file; are consideredand their performance is compared with that of the nested index for queries involving the setinclusion operator (⊆). We develop a detailed cost model and present analytical resultsclarifying their retrieval; storage; and update costs. Our analysis shows that the bit-slicedsignature file is a very promising set access facility in OODBs.,ACM SIGMOD Record,1993,159
Skyline queries based on user locations and preferences for making location-based recommendations,Kazuki Kodama; Yuichi Iijima; Xi Guo; Yoshiharu Ishikawa,Abstract Due to the recent development of mobile computing and communication networktechnologies; information services for mobile phone users and car navigation systems havebecomeof some importance. Since these mobile devices have limited display sizes; we oftenneed to select carefully the appropriate information to be presented to the user. However; itis not easy to select the" appropriate" information because users have different contexts andpreferences. In this paper; we present an approach to recommending items such asrestaurants to a mobile user taking into account his current location and preferences. In ourframework; a user initially provides a profile; which records preferences as relative orderswithin predefined categories such as food types and prices. We then select items to berecommended from the database based on the user's profile as well as the current …,Proceedings of the 2009 International Workshop on Location Based Social Networks,2009,61
Extracting Mobility Statistics from Indexed Spatio-Temporal Datasets.,Yoshiharu Ishikawa; Yuichi Tsukamoto; Hiroyuki Kitagawa,Abstract With the recent progress of spatial information technologies and mobile computingtechnologies; spatio-temporal databases that store information of moving objects havegained a lot of research interests. In this paper; we propose an algorithm to extract mobilitystatistics from indexed spatiotemporal datasets for interactive analysis of huge collections ofmoving object trajectories. We focus on mobility statistics called the Markov transitionprobability; which is based on a cell-based organization of a target space and the Markovchain model. The algorithm computes the specified Markov transition probabilities efficientlywith the help of an R-tree spatial index. It reduces the statistics computation task to a kind ofconstraint satisfaction problem and uses internal structure of an R-tree in an efficientmanner.,STDBM,2004,47
Spatial range querying for Gaussian-based imprecise query objects,Yoshiharu Ishikawa; Yuichi Iijima; Jeffrey Xu Yu,In sensor environments and moving robot applications; the position of an object is oftenknown imprecisely because of measurement error and/or movement of the object. In thispaper; we present query processing methods for spatial databases in which the position ofthe query object is imprecisely specified by a probability density function based on aGaussian distribution. We define the notion of a probabilistic range query by extending thetraditional notion of a spatial range query and present three strategies for query processing.Since the qualification probability evaluation of target objects requires numerical integrationby a method such as the Monte Carlo method; reduction of the number of candidate objectsthat should be evaluated has a large impact on query performance. We compare threestrategies and their combinations in terms of the experiments and evaluate their …,Data Engineering; 2009. ICDE'09. IEEE 25th International Conference on,2009,39
A novelty-based clustering method for on-line documents,Sophoin Khy; Yoshiharu Ishikawa; Hiroyuki Kitagawa,Abstract In this paper; we describe a document clustering method called novelty-baseddocument clustering. This method clusters documents based on similarity and novelty. Themethod assigns higher weights to recent documents than old ones and generates clusterswith the focus on recent topics. The similarity function is derived probabilistically; extendingthe conventional cosine measure of the vector space model by incorporating a documentforgetting model to produce novelty-based clusters. The clustering procedure is a variationof the K-means method. An additional feature of our clustering method is an incrementalupdate facility; which is applied when new documents are incorporated into a documentrepository. Performance of the clustering method is examined through experiments.Experimental results show the efficiency and effectiveness of our method.,World Wide Web,2008,36
Efficient error-tolerant query autocompletion,Chuan Xiao; Jianbin Qin; Wei Wang; Yoshiharu Ishikawa; Koji Tsuda; Kunihiko Sadakane,Abstract Query autocompletion is an important feature saving users many keystrokes fromtyping the entire query. In this paper we study the problem of query autocompletion thattolerates errors in users' input using edit distance constraints. Previous approaches indexdata strings in a trie; and continuously maintain all the prefixes of data strings whose editdistance from the query are within the threshold. The major inherent problem is that thenumber of such prefixes is huge for the first few characters of the query and is exponential inthe alphabet size. This results in slow query response even if the entire query approximatelymatches only few prefixes. In this paper; we propose a novel neighborhood generation-based algorithm; IncNGTrie; which can achieve up to two orders of magnitude speedup overexisting methods for the error-tolerant query autocompletion problem. Our proposed …,Proceedings of the VLDB Endowment,2013,34
An on-line document clustering method based on forgetting factors,Yoshiharu Ishikawa; Yibing Chen; Hiroyuki Kitagawa,Abstract With the rapid development of on-line information services; informationtechnologies for on-line information processing have been receiving much attentionrecently. Clustering plays important roles in various on-line applications such as extractionof useful information from news feeding services and selection of relevant documents fromthe incoming scientific articles in digital libraries. In on-line environments; users generallyhave interests on newer documents than older ones and have no interests on obsolete olddocuments. Based on this observation; we propose an on-line document clustering methodF 2 ICM (Forgetting-Factor-based Incremental Clustering Method) that incorporates thenotion of a forgetting factor to calculate document similarities. The idea is that everydocument gradually losses its weight (or memory) as time passes according to this factor …,International Conference on Theory and Practice of Digital Libraries,2001,34
Anonymizing user location and profile information for privacy-aware mobile services,Masanori Mano; Yoshiharu Ishikawa,Abstract Due to the growing use of mobile devices; location-based services have becomepopular. A location service often requires the user's exact location to provide appropriateservices and this brings the risk of threats to privacy. In this paper; we propose ananonymization method for users of location-based services in mobile environments. Theanonymization approach is based on the well-known k-anonymity concept; but hasadditional features. We consider the situation that a mobile service (eg; mobileadvertisement) utilizes mobile users' profiles for its service. Since a profile contains privacyinformation such as the age and address of the user; the use of profile information bringsanother kind of privacy threat.,Proceedings of the 2nd ACM SIGSPATIAL International Workshop on Location Based Social Networks,2010,31
Pattern discovery in data streams under the time warping distance,Machiko Toyoda; Yasushi Sakurai; Yoshiharu Ishikawa,Abstract Subsequence matching is a basic problem in the field of data stream mining. Inrecent years; there has been significant research effort spent on efficiently findingsubsequences similar to a query sequence. Another challenging issue in relation tosubsequence matching is how we identify common local patterns when both sequences areevolving. This problem arises in trend detection; clustering; and outlier detection. Dynamictime warping (DTW) is often used for subsequence matching and is a powerful similaritymeasure. However; the straightforward method using DTW incurs a high computation costfor this problem. In this paper; we propose a one-pass algorithm; CrossMatch; that achievesthe above goal. CrossMatch addresses two important challenges:(1) how can we identifycommon local patterns efficiently without any omission?(2) how can we find common …,The VLDB Journal,2013,30
Direction-based spatial skylines,Xi Guo; Yoshiharu Ishikawa; Yunjun Gao,Abstract Traditional location-based services recommend nearest objects to the user byconsidering their spatial proximity. However; an object not only has its distance but also hasits direction which originates from the user to it. In this paper; we study direction-basedspatial skyline queries (DSS queries) which retrieve nearest objects around the user fromdifferent directions. The closer object is better than or dominates the further object if they arein the same direction. The objects that cannot be dominated by any other object are includedin the direction-based spatial skyline (DSS). We propose algorithms to answer snapshotqueries which find objects on the DSS according to the user's current position. We alsodevelop algorithms to support continuous queries which retrieve objects on the DSS whilethe user is moving linearly. Extensive experiments verify the performance of our proposed …,Proceedings of the Ninth ACM International Workshop on Data Engineering for Wireless and Mobile Access,2010,28
