Chord: a scalable peer-to-peer lookup protocol for internet applications,Ion Stoica; Robert Morris; David Liben-Nowell; David R Karger; M Frans Kaashoek; Frank Dabek; Hari Balakrishnan,Abstract A fundamental problem that confronts peer-to-peer applications is the efficientlocation of the node that stores a desired data item. This paper presents Chord; a distributedlookup protocol that addresses this problem. Chord provides support for just one operation:given a key; it maps the key onto a node. Data location can be easily implemented on top ofChord by associating a key with each data item; and storing the key/data pair at the node towhich the key maps. Chord adapts efficiently as nodes join and leave the system; and cananswer queries even if the system is continuously changing. Results from theoreticalanalysis and simulations show that Chord is scalable: Communication cost and the statemaintained by each node scale logarithmically with the number of Chord nodes.,IEEE/ACM Transactions on Networking (TON),2003,16851
A view of cloud computing,Michael Armbrust; Armando Fox; Rean Griffith; Anthony D Joseph; Randy Katz; Andy Konwinski; Gunho Lee; David Patterson; Ariel Rabkin; Ion Stoica; Matei Zaharia,Cloud computing; the long-held dream of computing as a utility; has the potential to transforma large part of the IT industry; making software even more attractive as a service and shapingthe way IT hardware is designed and purchased. Developers with innovative ideas for new Internetservices no longer require the large capital outlays in hardware to deploy their service or thehuman expense to operate it. They need not be concerned about overprovisioning for a servicewhose popularity does not meet their predictions; thus wasting costly resources; or underprovisioningfor one that becomes wildly popular; thus missing potential customers and revenue.Moreover; companies with large batch-oriented tasks can get results as quickly as their programscan scale; since using 1;000 servers for one hour costs no more than using one server for 1;000hours. This elasticity of resources; without paying a premium for large scale; is …,Communications of the ACM,2010,9119
Above the clouds: A berkeley view of cloud computing,Michael Armbrust; Armando Fox; Rean Griffith; Anthony D Joseph; Randy H Katz; Andrew Konwinski; Gunho Lee; David A Patterson; Ariel Rabkin; Ion Stoica; Matei Zaharia,1 Executive Summary Cloud Computing; the long-held dream of computing as a utility; hasthe potential to transform a large part of the IT industry; making software even more attractiveas a service and shaping the way IT hardware is designed and purchased. Developers withinnovative ideas for new Internet services no longer require the large capital outlays inhardware to deploy their service or the human expense to operate it. They need not beconcerned about overprovisioning for a service whose popularity does not meet theirpredictions; thus wasting costly resources; or underprovisioning for one that becomes wildlypopular; thus missing potential customers and revenue. Moreover; companies with largebatch-oriented tasks can get results as quickly as their programs can scale; since using1000 servers for one hour costs no more than using one server for 1000 hours. This …,*,2009,6669
Spark: Cluster computing with working sets.,Matei Zaharia; Mosharaf Chowdhury; Michael J Franklin; Scott Shenker; Ion Stoica,Abstract MapReduce and its variants have been highly successful in implementing large-scale data-intensive applications on commodity clusters. However; most of these systemsare built around an acyclic data flow model that is not suitable for other popular applications.This paper focuses on one such class of applications: those that reuse a working set of dataacross multiple parallel operations. This includes many iterative machine learningalgorithms; as well as interactive data analysis tools. We propose a new framework calledSpark that supports these applications while retaining the scalability and fault tolerance ofMapReduce. To achieve these goals; Spark introduces an abstraction called resilientdistributed datasets (RDDs). An RDD is a read-only collection of objects partitioned across aset of machines that can be rebuilt if a partition is lost. Spark can outperform Hadoop by …,HotCloud,2010,3064
Resilient distributed datasets: A fault-tolerant abstraction for in-memory cluster computing,Matei Zaharia; Mosharaf Chowdhury; Tathagata Das; Ankur Dave; Justin Ma; Murphy McCauley; Michael J Franklin; Scott Shenker; Ion Stoica,Abstract We present Resilient Distributed Datasets (RDDs); a distributed memory abstractionthat lets programmers perform in-memory computations on large clusters in a fault-tolerantmanner. RDDs are motivated by two types of applications that current computing frameworkshandle inefficiently: iterative algorithms and interactive data mining tools. In both cases;keeping data in memory can improve performance by an order of magnitude. To achievefault tolerance efficiently; RDDs provide a restricted form of shared memory; based oncoarse-grained transformations rather than fine-grained updates to shared state. However;we show that RDDs are expressive enough to capture a wide class of computations;including recent specialized programming models for iterative jobs; such as Pregel; and newapplications that these models do not capture. We have implemented RDDs in a system …,Proceedings of the 9th USENIX conference on Networked Systems Design and Implementation,2012,2692
Wide-area cooperative storage with CFS,Frank Dabek; M Frans Kaashoek; David Karger; Robert Morris; Ion Stoica,Abstract The Cooperative File System (CFS) is a new peer-to-peer read-only storage systemthat provides provable guarantees for the efficiency; robustness; and load-balance of filestorage and retrieval. CFS does this with a completely decentralized architecture that canscale to large systems. CFS servers provide a distributed hash table (DHash) for blockstorage. CFS clients interpret DHash blocks as a file system. DHash distributes and cachesblocks at a fine granularity to achieve load balance; uses replication for robustness; anddecreases latency with server selection. DHash finds blocks using the Chord locationprotocol; which operates in time logarithmic in the number of servers. CFS is implementedusing the SFS file system toolkit and runs on Linux; OpenBSD; and FreeBSD. Experience ona globally deployed prototype shows that CFS delivers data to clients as fast as FTP …,ACM SIGOPS Operating Systems Review,2001,2247
A data-oriented (and beyond) network architecture,Teemu Koponen; Mohit Chawla; Byung-Gon Chun; Andrey Ermolinskiy; Kye Hyun Kim; Scott Shenker; Ion Stoica,Abstract The Internet has evolved greatly from its original incarnation. For instance; the vastmajority of current Internet usage is data retrieval and service access; whereas thearchitecture was designed around host-to-host applications such as telnet and ftp. Moreover;the original Internet was a purely transparent carrier of packets; but now the various networkstakeholders use middleboxes to improve security and accelerate applications. To adapt tothese changes; we propose the Data-Oriented Network Architecture (DONA); which involvesa clean-slate redesign of Internet naming and name resolution.,ACM SIGCOMM Computer Communication Review,2007,1672
Improving MapReduce performance in heterogeneous environments.,Matei Zaharia; Andy Konwinski; Anthony D Joseph; Randy H Katz; Ion Stoica,Abstract MapReduce is emerging as an important programming model for large-scale data-parallel applications such as web indexing; data mining; and scientific simulation. Hadoop isan open-source implementation of MapReduce enjoying wide adoption and is often used forshort jobs where low response time is critical. Hadoop's performance is closely tied to itstask scheduler; which implicitly assumes that cluster nodes are homogeneous and tasksmake progress linearly; and uses these assumptions to decide when to speculatively re-execute tasks that appear to be stragglers. In practice; the homogeneity assumptions do notalways hold. An especially compelling setting where this occurs is a virtualized data center;such as Amazon's Elastic Compute Cloud (EC2). We show that Hadoop's scheduler cancause severe performance degradation in heterogeneous environments. We design a …,Osdi,2008,1651
Delay scheduling: a simple technique for achieving locality and fairness in cluster scheduling,Matei Zaharia; Dhruba Borthakur; Joydeep Sen Sarma; Khaled Elmeleegy; Scott Shenker; Ion Stoica,Abstract As organizations start to use data-intensive cluster computing systems like Hadoopand Dryad for more applications; there is a growing need to share clusters between users.However; there is a conflict between fairness in scheduling and data locality (placing taskson nodes that contain their input data). We illustrate this problem through our experiencedesigning a fair scheduler for a 600-node Hadoop cluster at Facebook. To address theconflict between locality and fairness; we propose a simple algorithm called delayscheduling: when the job that should be scheduled next according to fairness cannot launcha local task; it waits for a small amount of time; letting other jobs launch tasks instead. Wefind that delay scheduling achieves nearly optimal data locality in a variety of workloads andcan increase throughput by up to 2x while preserving fairness. In addition; the simplicity of …,Proceedings of the 5th European conference on Computer systems,2010,1230
Core-stateless fair queueing: Achieving approximately fair bandwidth allocations in high speed networks,Ion Stoica; Scott Shenker; Hui Zhang,Abstract Router mechanisms designed to achieve fair bandwidth allocations; like FairQueueing; have many desirable properties for congestion control in the Internet. However;such mechanisms usually need to maintain state; manage buffers; and/or perform packetscheduling on a per flow basis; and this complexity may prevent them from being cost-effectively implemented and widely deployed. In this paper; we propose an architecture thatsignificantly reduces this implementation complexity yet still achieves approximately fairbandwidth allocations. We apply this approach to an island of routers---that is; a contiguousregion of the network---and we distinguish between edge routers and core routers. Edgerouters maintain per flow state; they estimate the incoming rate of each flow and insert alabel into each packet header based on this estimate. Core routers maintain no per flow …,ACM SIGCOMM Computer Communication Review,1998,1138
Internet indirection infrastructure,Ion Stoica; Daniel Adkins; Shelley Zhuang; Scott Shenker; Sonesh Surana,Abstract Attempts to generalize the Internet's point-to-point communication abstraction toprovide services like multicast; anycast; and mobility have faced challenging technicalproblems and deployment barriers. To ease the deployment of such services; this paperproposes an overlay-based Internet Indirection Infrastructure (I3) that offers a rendezvous-based communication abstraction. Instead of explicitly sending a packet to a destination;each packet is associated with an identifier; this identifier is then used by the receiver toobtain delivery of the packet. This level of indirection decouples the act of sending from theact of receiving; and allows I3 to efficiently support a wide variety of fundamentalcommunication services. To demonstrate the feasibility of this approach; we have designedand built a prototype based on the Chord lookup protocol.,ACM SIGCOMM Computer Communication Review,2002,1107
