Privacy-Preserving Data Publishing: A Survey of Recent Developments,P. Yu. B. Fung; K. Wang; R. Chen,*,ACM Computing Surveys,2010,1335
Top-down specialization for information and privacy preservation,Benjamin CM Fung; Ke Wang; Philip S Yu,Releasing person-specific data in its most specific state poses a threat to individual privacy.This paper presents a practical and efficient algorithm for determining a generalized versionof data that masks sensitive information and remains useful for modelling classification. Thegeneralization of data is implemented by specializing or detailing the level of information ina top-down manner until a minimum privacy requirement is violated. This top-downspecialization is natural and efficient for handling both categorical and continuous attributes.Our approach exploits the fact that data usually contains redundant structures forclassification. While generalization may eliminate some structures; other structures emergeto help. Our results show that quality of classification can be preserved even for highlyrestrictive privacy requirements. This work has great applicability to both public and …,Data Engineering; 2005. ICDE 2005. Proceedings. 21st International Conference on,2005,626
Hierarchical document clustering using frequent itemsets,Benjamin CM Fung; Ke Wang; Martin Ester,Abstract A major challenge in document clustering is the extremely high dimensionality. Forexample; the vocabulary for a document set can easily be thousands of words. On the otherhand; each document often contains a small fraction of words in the vocabulary. Thesefeatures require special handlings. Another requirement is hierarchical clustering whereclustered documents can be browsed according to the increasing specificity of topics. In thispaper; we propose to use the notion of frequent itemsets; which comes from association rulemining; for document clustering. The intuition of our clustering criterion is that each cluster isidentified by some common words; called frequent itemsets; for the documents in the cluster.Frequent itemsets are also used to produce a hierarchical topic tree for clusters. By focusingon frequent items; the dimensionality of the document set is drastically reduced. We show …,*,2003,604
PSORT-B: Improving protein subcellular localization prediction for Gram-negative bacteria,Jennifer L Gardy; Cory Spencer; Ke Wang; Martin Ester; Gabor E Tusnady; István Simon; Sujun Hua; Katalin deFays; Christophe Lambert; Kenta Nakai; Fiona SL Brinkman,Abstract Automated prediction of bacterial protein subcellular localization is an importanttool for genome annotation and drug discovery. PSORT has been one of the most widelyused computational methods for such bacterial protein analysis; however; it has not beenupdated since it was introduced in 1991. In addition; neither PSORT nor any of the othercomputational methods available make predictions for all five of the localization sitescharacteristic of Gram-negative bacteria. Here we present PSORT-B; an updated version ofPSORT for Gram-negative bacteria; which is available as a web-based application athttp://www. psort. org. PSORT-B examines a given protein sequence for amino acidcomposition; similarity to proteins of known localization; presence of a signal peptide;transmembrane alpha-helices and motifs corresponding to specific localizations. A …,Nucleic acids research,2003,417
(α; k)-anonymity: an enhanced k-anonymity model for privacy preserving data publishing,Raymond Chi-Wing Wong; Jiuyong Li; Ada Wai-Chee Fu; Ke Wang,Abstract Privacy preservation is an important issue in the release of data for miningpurposes. The k-anonymity model has been introduced for protecting individualidentification. Recent studies show that a more sophisticated model is necessary to protectthe association of individuals to sensitive information. In this paper; we propose an (α; k)-anonymity model to protect both identifications and relationships to sensitive information indata. We discuss the properties of (α; k)-anonymity model. We prove that the optimal (α; k)-anonymity problem is NP-hard. We first presentan optimal global-recoding method for the (α;k)-anonymity problem. Next we propose a local-recoding algorithm which is more scalableand result in less data distortion. The effectiveness and efficiency are shown by experiments.We also describe how the model can be extended to more general case.,Proceedings of the 12th ACM SIGKDD international conference on Knowledge discovery and data mining,2006,355
Anonymizing classification data for privacy preservation,Benjamin CM Fung; Ke Wang; S Yu Philip,Classification is a fundamental problem in data analysis. Training a classifier requiresaccessing a large collection of data. Releasing person-specific data; such as customer dataor patient records; may pose a threat to an individual's privacy. Even after removing explicitidentifying information such as Name and SSN; it is still possible to link released recordsback to their identities by matching some combination of nonidentifying attributes such as{Sex; Zip; Birthdate}. A useful approach to combat such linking attacks; called k-anonymization; is anonymizing the linking attributes so that at least k released recordsmatch each value combination of the linking attributes. Previous work attempted to find anoptimal k-anonymization that minimizes some data distortion metric. We argue thatminimizing the distortion to the training data is not relevant to the classification goal that …,IEEE transactions on knowledge and data engineering,2007,339
Bottom-up generalization: A data mining solution to privacy protection,Ke Wang; Philip S Yu; Sourav Chakraborty,The well-known privacy-preserved data mining modifies existing data mining techniques torandomized data. In this paper; we investigate data mining as a technique for masking data;therefore; termed data mining based privacy protection. This approach incorporates partiallythe requirement of a targeted data mining task into the process of masking data so thatessential structure is preserved in the masked data. The idea is simple but novel: we explorethe data generalization concept from data mining as a way to hide detailed information;rather than discover trends and patterns. Once the data is masked; standard data miningtechniques can be applied without modification. Our work demonstrated another positiveuse of data mining technology: not only can it discover useful patterns; but also mask privateinformation. We consider the following privacy problem: a data holder wants to release a …,Data Mining; 2004. ICDM'04. Fourth IEEE International Conference on,2004,325
Multi-dimensional sequential pattern mining,Helen Pinto; Jiawei Han; Jian Pei; Ke Wang; Qiming Chen; Umeshwar Dayal,Abstract Sequential pattern mining; which finds the set of frequent subsequences insequence databases; is an important data-mining task and has broad applications. Usually;sequence patterns are associated with different circumstances; and such circumstancesform a multiple dimensional space. For example; customer purchase sequences areassociated with region; time; customer group; and others. It is interesting and useful to minesequential patterns associated with multi-dimensional information. In this paper; we proposethe theme of multi-dimensional sequential pattern mining; which integrates themultidimensional analysis and sequential data mining. We also thoroughly explore efficientmethods for multi-dimensional sequential pattern mining. We examine feasiblecombinations of efficient sequential pattern mining and multi-dimensional analysis …,Proceedings of the tenth international conference on Information and knowledge management,2001,317
Minimality attack in privacy preserving data publishing,Raymond Chi-Wing Wong; Ada Wai-Chee Fu; Ke Wang; Jian Pei,Abstract Data publishing generates much concern over the protection of individual privacy.Recent studies consider cases where the adversary may possess different kinds ofknowledge about the data. In this paper; we show that knowledge of the mechanism oralgorithm of anonymization for data publication can also lead to extra information that assiststhe adversary and jeopardizes individual privacy. In particular; all known mechanisms try tominimize information loss and such an attempt provides a loophole for attacks. We call suchan attack a minimality attack. In this paper; we introduce a model called m-confidentialitywhich deals with minimality attacks; and propose a feasible solution. Our experiments showthat minimality attacks are practical concerns on real datasets and that our algorithm canprevent such attacks with very little overhead and information loss.,Proceedings of the 33rd international conference on Very large data bases,2007,279
Efficient computation of iceberg cubes with complex measures,Jiawei Han; Jian Pei; Guozhu Dong; Ke Wang,Abstract It is often too expensive to compute and materialize a complete high-dimensionaldata cube. Computing an iceberg cube; which contains only aggregates above certainthresholds; is an effective way to derive nontrivial multi-dimensional aggregations for OLAPand data mining. In this paper; we study efficient methods for computing iceberg cubes withsome popularly used complex measures; such as average; and develop a methodology thatadopts a weaker but anti-monotonic condition for testing and pruning search space. Inparticular; for efficient computation of iceberg cubes with the average measure; we proposea top-k average pruning method and extend two previously studied methods; Apriori andBUC; to Top-k Apriori and Top-k BUC. To further improve the performance; an interestinghypertree structure; called H-tree; is designed and a new iceberg cubing method; called …,ACM SIGMOD Record,2001,278
Mining frequent item sets by opportunistic projection,Junqiang Liu; Yunhe Pan; Ke Wang; Jiawei Han,Abstract In this paper; we present a novel algorithm Opportune Project for mining completeset of frequent item sets by projecting databases to grow a frequent item set tree. Ouralgorithm is fundamentally different from those proposed in the past in that itopportunistically chooses between two different structures; array-based or tree-based; torepresent projected transaction subsets; and heuristically decides to build unfiltered pseudoprojection or to make a filtered copy according to features of the subsets. More importantly;we propose novel methods to build tree-based pseudo projections and array-basedunfiltered projections for projected transaction subsets; which makes our algorithm bothCPU time efficient and memory saving. Basically; the algorithm grows the frequent item settree by depth first search; whereas breadth first search is used to build the upper portion …,Proceedings of the eighth ACM SIGKDD international conference on Knowledge discovery and data mining,2002,270
