Extension de l'analyse en composantes principales à des données de type intervalle,Pierre Cazes; Ahlame Chouakria; Edwin Diday; Y Schektrman,Cazes P.L'analyse de certains tableaux rectangulaires décomposés en blocs : généralisationdes propriétés rencontrées dans l'analyse des correspondances multiples. II Questionnaires: variantes de codages et nouveaux calculs de contributions. Les Cahiers de l'analyse desdonnées. Vol. V; n°4; pp. 387- 403; 1980 … Cazes P.L'analyse de certains tableaux rectangulairesdécomposés en blocs : généralisation des propriétés rencontrées dans l'analyse des correspondancesmultiples. IV Cas modèles. Les Cahiers de l'analyse des données. Vol. VI; n°2; pp. 135-143;1981 … Chouakria A.; Diday E.; Cazes P.Extension of Principal Components Analysis to intervaldata. NTTS '95 : New Techniques and Technologies for Statistics; Bonn; novembre 1995 …Chouakria A.; Cazes P.; Diday E.Extension de l'analyse factorielle des correspondances multiplesà des données de type intervalle et de type ensemble. SFC 96 : Actes de la 3ème …,Revue de Statistique appliquée,1997,176
Adaptive dissimilarity index for measuring time series proximity,Ahlame Douzal Chouakria; Panduranga Naidu Nagabhushan,Abstract The most widely used measures of time series proximity are the Euclidean distanceand dynamic time warping. The latter can be derived from the distance introduced byMaurice Fréchet in 1906 to account for the proximity between curves. The major limitation ofthese proximity measures is that they are based on the closeness of the values regardless ofthe similarity wrt the growth behavior of the time series. To alleviate this drawback wepropose a new dissimilarity index; based on an automatic adaptive tuning function; toinclude both proximity measures wrt values and wrt behavior. A comparative numericalanalysis between the proposed index and the classical distance measures is performed onthe basis of two datasets: a synthetic dataset and a dataset from a public health study.,Advances in Data Analysis and Classification,2007,83
Classification trees for time series,Ahlame Douzal-Chouakria; Cécile Amblard,Abstract This paper proposes an extension of classification trees to time series inputvariables. A new split criterion based on time series proximities is introduced. First; thecriterion relies on an adaptive (ie; parameterized) time series metric to cover both behaviorsand values proximities. The metrics parameters may change from one internal node toanother to achieve the best bisection of the set of time series. Second; the criterion involvesthe automatic extraction of the most discriminating subsequences. The proposed time seriesclassification tree is applied to a wide range of datasets: public and new; real and synthetic;univariate and multivariate data. We show; through the experiments performed in this study;that the proposed tree outperforms temporal trees using standard time series distances andperforms well compared to other competitive time series classifiers.,Pattern Recognition,2012,56
Extension des méthodes d'analyse factorielles à des données de type intervalle,Ahlame Douzal-Chouakria,L'analyse factorielle permet d'extraire; à partir de données nombreuses; les tendances lesplus marquantes. à l'aide de représentations graphiques; elle visualise des groupements;des oppositions; des tendances; impossibles à discerner directement sur un tableau dedonnées. L'objectif de ce travail est d'étendre; deux méthodes en analyse factorielle;l'analyse en composantes principales et l'analyse des correspondances multiples à desdonnées de type intervalle. Dans la première partie de ce travail; on présente une extensionde l'analyse en composantes principales à des données de type intervalle; munieséventuellement de contraintes. On propose deux nouvelles approches: la méthode dessommets et la méthode des centres correspondant; respectivement; à une analyse inter/intraet à une analyse inter. La visualisation ponctuelle des individus; dans les plans factoriels …,*,1998,55
Principal component analysis for interval‐valued observations,Ahlame Douzal‐Chouakria; Lynne Billard; Edwin Diday,Abstract One feature of contemporary datasets is that instead of the single point value in thep-dimensional space ℜ p seen in classical data; the data may take interval values thusproducing hypercubes in ℜ p. This paper studies the vertices principal componentsmethodology for interval-valued data; and provides enhancements to allow for so-called'trivial'intervals; and generalized weight functions. It also introduces the concept of vertexcontributions to the underlying principal components; a concept not possible for classicaldata; but one which provides a visualization method that further aids in the interpretation ofthe methodology. The method is illustrated in a dataset using measurements of facialcharacteristics obtained from a study of face recognition patterns for surveillance purposes.A comparison with analyses in which classical surrogates replace the intervals; shows …,Statistical Analysis and Data Mining: The ASA Data Science Journal,2011,41
Adaptive clustering for time series: application for identifying cell cycle expressed genes,Ahlame Douzal-Chouakria; Françoise Giroud,Abstract The biological problem of identifying the active genes during the cell divisionprocess is addressed. The cell division ensures the proliferation of cells; which is drasticallyaberrant in cancer cells. The studied genes are described by their expression profiles duringthe cell division cycle. Commonly; the identification process is a supervised approach basedon an a priori set of reference genes; assumed as well-characterizing the cell cycle phases.Each studied gene is then classified by its peak similarity to one pre-specified referencegene. This classical approach suffers from two limitations. On the one hand; there is noconsensus between biologists about the set of reference genes to consider for theidentification process. On the other hand; the proximity measures used for genes expressionprofiles are unjustified and mainly based on the expression values regardless of the …,Computational Statistics & Data Analysis,2009,33
An improved factorial representation of symbolic objects,A Chouakria; E Diday; P Cazes,*,Knowledge Extraction from Statistical Data,1998,30
Symbolic principal component analysis,A Chouakria; P Cazes; E Diday,*,Analysis of Symbolic Data; ed. HH Bock; and E. Diday,2000,27
Time series distance-based methods for non-intrusive load monitoring in residential buildings,Kaustav Basu; Vincent Debusschere; Ahlame Douzal-Chouakria; Seddik Bacha,Abstract Non-intrusive load monitoring (NILM) deals with the disaggregation of individualappliances from the total load at the smart meter level. This work proposes a genericmethodology using temporal sequence classification algorithms. It is based on a lowsampling rate unlike other approaches in this domain. An innovative time series distance-based approach in the temporal classification domain is compared with a standard NILMapplication based on the hidden Markov model (HMM) algorithm. The method is validatedover a data-set of 100 houses for a duration of 1 year (with a 10 min sampling rate). Aqualitative analysis of the database is also conducted; allowing to segment it into four majorclusters based on discussed features.,Energy and Buildings,2015,20
Compression technique preserving correlations of a multivariate temporal sequence,Ahlame Chouakria-Douzal,Abstract The application of Data Analysis methods to temporal sequences is limited becauseof the inherent high temporal dimension of the data. One promising solution consists inperforming dimensionality reduction before analysing the sequences. We propose a newtechnique that reduces the temporal dimension of a multivariate sequence while preservingcorrelations between the sequence's descriptive features; a highly important property formany Data Analysis process. We illustrate the effectiveness of the proposed technique for amultivariate temporal sequence of an intensive care unit application.,International Symposium on Intelligent Data Analysis,2003,17
Generalized k-means-based clustering for temporal data under weighted and kernel time warp,Saeid Soheily-Khah; Ahlame Douzal-Chouakria; Eric Gaussier,Abstract Temporal data naturally arise in various emerging applications; such as sensornetworks; human mobility or internet of things. Clustering is an important task; usuallyapplied a priori to pattern analysis tasks; for summarization; group and prototype extraction;it is all the more crucial for dimensionality reduction in a big data context. Clusteringtemporal data under time warp measures is challenging because it requires aligningmultiple temporal data simultaneously. To circumvent this problem; costly k-medoids andkernel k-means algorithms are generally used. This work investigates a different approach totemporal data clustering through weighted and kernel time warp measures and a tractableand fast estimation of the representative of the clusters that captures both global and localtemporal features. A wide range of 20 public and challenging datasets; encompassing …,Pattern Recognition Letters,2016,16
