Introduction to data mining,Pang-Ning Tan,*,*,2006,10141
Discovering rules for water demand prediction: an enhanced rough-set approach,Aijun An; Ning Shan; Christine Chan; Nick Cercone; Wojciech Ziarko,Abstract Prediction of consumer demands is a pre-requisite for optimal control of waterdistribution systems because minimum-cost pumping schedules can be computed if waterdemands are accurately estimated. This paper presents an enhanced rough-sets method forgenerating prediction rules from a set of observed data. The proposed method extends uponthe standard rough set model by making use of the statistical information inherent in the datato handle incomplete and ambiguous training samples. It also discusses some experimentalresults from using this method for discovering knowledge on water demand prediction.,Engineering Applications of Artificial Intelligence,1996,250
ARSA: a sentiment-aware model for predicting sales performance using blogs,Yang Liu; Xiangji Huang; Aijun An; Xiaohui Yu,Abstract Due to its high popularity; Weblogs (or blogs in short) present a wealth ofinformation that can be very helpful in assessing the general public's sentiments andopinions. In this paper; we study the problem of mining sentiment information from blogs andinvestigate ways to use such information for predicting product sales performance. Based onan analysis of the complex nature of sentiments; we propose Sentiment PLSA (S-PLSA); inwhich a blog entry is viewed as a document generated by a number of hidden sentimentfactors. Training an S-PLSA model on the blog data enables us to obtain a succinctsummary of the sentiment information embedded in the blogs. We then present ARSA; anautoregressive sentiment-aware model; to utilize the sentiment information captured by S-PLSA for predicting product sales performance. Extensive experiments were conducted …,Proceedings of the 30th annual international ACM SIGIR conference on Research and development in information retrieval,2007,245
Modeling and predicting the helpfulness of online reviews,Yang Liu; Xiangji Huang; Aijun An; Xiaohui Yu,Online reviews provide a valuable resource for potential customers to make purchasedecisions. However; the sheer volume of available reviews as well as the large variations inthe review quality present a big impediment to the effective use of the reviews; as the mosthelpful reviews may be buried in the large amount of low quality reviews. The goal of thispaper is to develop models and algorithms for predicting the helpfulness of reviews; whichprovides the basis for discovering the most helpful reviews for given products. We first showthat the helpfulness of a review depends on three important factors: the reviewer's expertise;the writing style of the review; and the timeliness of the review. Based on the analysis ofthose factors; we present a nonlinear regression model for helpfulness prediction. Ourempirical study on the IMDB movie reviews dataset demonstrates that the proposed …,Data mining; 2008. ICDM'08. Eighth IEEE international conference on,2008,209
A roadmap of clustering algorithms: finding a match for a biomedical application,Bill Andreopoulos; Aijun An; Xiaogang Wang; Michael Schroeder,Abstract Clustering is ubiquitously applied in bioinformatics with hierarchical clustering andk-means partitioning being the most popular methods. Numerous improvements of these twoclustering methods have been introduced; as well as completely different approaches suchas grid-based; density-based and model-based clustering. For improved bioinformaticsanalysis of data; it is important to match clusterings to the requirements of a biomedicalapplication. In this article; we present a set of desirable clustering features that are used asevaluation criteria for clustering algorithms. We review 40 different clustering algorithms ofall approaches and datatypes. We compare algorithms on the basis of desirable clusteringfeatures; and outline algorithms' benefits and drawbacks as a basis for matching them tobiomedical applications.,Briefings in Bioinformatics,2009,183
Mining online reviews for predicting sales performance: A case study in the movie domain,Xiaohui Yu; Yang Liu; Xiangji Huang; Aijun An,Posting reviews online has become an increasingly popular way for people to expressopinions and sentiments toward the products bought or services received. Analyzing thelarge volume of online reviews available would produce useful actionable knowledge thatcould be of economic values to vendors and other interested parties. In this paper; weconduct a case study in the movie domain; and tackle the problem of mining reviews forpredicting product sales performance. Our analysis shows that both the sentimentsexpressed in the reviews and the quality of the reviews have a significant impact on thefuture sales performance of products in question. For the sentiment factor; we proposeSentiment PLSA (S-PLSA); in which a review is considered as a document generated by anumber of hidden sentiment factors; in order to capture the complex nature of sentiments …,IEEE Transactions on Knowledge and Data engineering,2012,140
Boosting prediction accuracy on imbalanced datasets with SVM ensembles,Yang Liu; Aijun An; Xiangji Huang,Abstract Learning from imbalanced datasets is inherently difficult due to lack of informationabout the minority class. In this paper; we study the performance of SVMs; which havegained great success in many real applications; in the imbalanced data context. Throughempirical analysis; we show that SVMs suffer from biased decision boundaries; and thattheir prediction performance drops dramatically when the data is highly skewed. Wepropose to combine an integrated sampling technique with an ensemble of SVMs to improvethe prediction performance. The integrated sampling technique combines both over-sampling and under-sampling techniques. Through empirical study; we show that ourmethod outperforms individual SVMs as well as several other state-of-the-art classifiers.,Pacific-Asia Conference on Knowledge Discovery and Data Mining,2006,128
Discovering top-k teams of experts with/without a leader in social networks,Mehdi Kargar; Aijun An,Abstract We study the problem of discovering a team of experts from a social network. Givena project whose completion requires a set of skills; our goal is to find a set of experts thattogether have all of the required skills and also have the minimal communication costamong them. We propose two communication cost functions designed for two types ofcommunication structures. We show that the problem of finding the team of experts thatminimizes one of the proposed cost functions is NP-hard. Thus; an approximation algorithmwith an approximation ratio of two is designed. We introduce the problem of finding a team ofexperts with a leader. The leader is responsible for monitoring and coordinating the project;and thus a different communication cost function is used in this problem. To solve thisproblem; an exact polynomial algorithm is proposed. We show that the total number of …,Proceedings of the 20th ACM international conference on Information and knowledge management,2011,113
Dynamic web log session identification with statistical language models,Xiangji Huang; Fuchun Peng; Aijun An; Dale Schuurmans,Abstract We present a novel session identification method based on statistical languagemodeling. Unlike standard timeout methods; which use fixed time thresholds for sessionidentification; we use an information theoretic approach that yields more robust results foridentifying session boundaries. We evaluate our new approach by learning interestingassociation rules from the segmented session files. We then compare the performance ofour approach to three standard session identification methods—the standard timeoutmethod; the reference length method; and the maximal forward reference method—and findthat our statistical language modeling approach generally yields superior results. However;as with every method; the performance of our technique varies with changing parametersettings. Therefore; we also analyze the influence of the two key factors in our language …,Journal of the Association for Information Science and Technology,2004,102
Keyword search in graphs: Finding r-cliques,Mehdi Kargar; Aijun An,Abstract Keyword search over a graph finds a substructure of the graph containing all orsome of the input keywords. Most of previous methods in this area find connected minimaltrees that cover all the query keywords. Recently; it has been shown that finding subgraphsrather than trees can be more useful and informative for the users. However; the current treeor graph based methods may produce answers in which some content nodes (ie; nodes thatcontain input keywords) are not very close to each other. In addition; when searching foranswers; these methods may explore the whole graph rather than only the content nodes.This may lead to poor performance in execution time. To address the above problems; wepropose the problem of finding r-cliques in graphs. An r-clique is a group of content nodesthat cover all the input keywords and the distance between each two nodes is less than or …,Proceedings of the VLDB Endowment,2011,98
Rule quality measures for rule induction systems: Description and evaluation,Aijun An; Nick Cercone,Abstract A rule quality measure is important to a rule induction system for determining whento stop generalization or specialization. Such measures are also important to a rule-basedclassification procedure for resolving conflicts among rules. We describe a number ofstatistical and empirical rule quality formulas and present an experimental comparison ofthese formulas on a number of standard machine learning datasets. We also present a meta-learning method for generating a set of formula-behavior rules from the experimental resultswhich show the relationships between a formula's performance and the characteristics of adataset. These formula-behavior rules are combined into formula-selection rules that can beused in a rule induction system to select a rule quality formula before rule induction. We willreport the experimental results showing the effects of formula-selection on the predictive …,Computational Intelligence,2001,91
