Lipid-like material as the source of the uncharacterized organic carbon in the ocean?,Jeomshik Hwang; Ellen RM Druffel,The composition and formation mechanisms of the uncharacterized fraction of oceanicparticulate organic carbon (POC) are not well understood. We isolated biologically importantcompound classes and the acid-insoluble fraction; a proxy of the uncharacterized fraction;from sinking POC in the deep Northeast Pacific and measured carbon isotope ratios toconstrain the source (s) of the uncharacterized fraction. Stable carbon and radiocarbonisotope signatures of the acid-insoluble fraction were similar to those of the lipid fraction;implying that the acid-insoluble fraction might be composed of selectively accumulated lipid-like macromolecules.,Science,2003,72
Biological pump processes in the cryopelagic and hemipelagic Arctic Ocean: Canada Basin and Chukchi Rise,Susumu Honjo; Richard A Krishfield; Timothy I Eglinton; Steven J Manganini; John N Kemp; Kenneth Doherty; Jeomshik Hwang; Theresa K McKee; Takatoshi Takizawa,Abstract The object of this study was to clarify the characteristics of the biological pumpsystem operating in permanently or seasonally ice-covered ocean (cryopelagic) conditionsby examining the export of particulate organic carbon (POC) and other components ofoceanic particles in the Canada Basin at 120; 200; and 3067 m and in hemipelagic ChukchiRise waters at 120 m. The first time-series sediment trap (TS-trap); B96-200m; was tetheredto an Ice Ocean Environmental Buoy (IOEB) and deployed at 79.1° N; 132.2° E in March1996; it was recovered in July 1997 at 76.7° N; 131.8° E; having drifted exclusively in thecryopelagic environment. The second TS-trap; S97-120m; also tethered to an IOEB; waslaunched at 75.2° N; 142.5° E in October 1997 and recovered at 80.0° N 155.9° E; havingfirst traversed the cryopelagic Canada Basin to the west and then the hemipelagic …,*,2010,60
Sedimentary rocks as sources of ancient organic carbon to the ocean: An investigation through Δ14C and δ13C signatures of organic compound classes,Tomoko Komada; Ellen RM Druffel; Jeomshik Hwang,Abstract [1] Chemical and isotopic variability of particulate organic carbon (POC) wasexamined in samples from the Santa Clara River watershed and adjacent shelf toinvestigate the processing of fossil POC derived from bedrock. The Santa Clara is a smallcoastal river that drains mountainous terrain in southern California; United States. Organiccarbon in shale; river suspended sediment; and coastal marine sediment was separated intothree operationally defined organic compound classes: total extractable lipids; acidhydrolyzable material; and the nonhydrolyzable residue. In all samples; the nonhydrolyzablefraction was dominant (∼ 50% of POC); while lipids and acid hydrolyzable moieties wererelatively minor (≤ 22 and≤ 13%; respectively). The Δ 14 C and δ 13 C signatures of theisolated fractions varied dramatically; not only across different sample types; but also for a …,Global biogeochemical cycles,2005,51
Widespread influence of resuspended sediments on oceanic particulate organic carbon: Insights from radiocarbon and aluminum contents in sinking particles,Jeomshik Hwang; Ellen RM Druffel; Timothy I Eglinton,Abstract [1] Particulate organic carbon (POC) in the ocean often exhibits more depletedradiocarbon contents (lower Δ 14 C values) than expected if its sole source were POCrecently synthesized by primary production and export from the overlying surface waters. Anexamination of available Δ 14 C data sets for sinking POC show that this phenomenon isboth common and globally widespread. Also; a strong correlation is found to exist between Δ14 C values of organic carbon and aluminum content in sinking particles that is consistentover a range of oceanic settings. Together; these findings imply that aged organic carbonassociated with lithogenic material from sediment resuspension is responsible for theobserved low Δ 14 C values as opposed to other processes such as incorporation ofdissolved inorganic carbon or dissolved organic carbon into POC at depth. An estimate …,Global biogeochemical cycles,2010,35
Widespread influence of resuspended sediments on oceanic particulate organic carbon: Insights from radiocarbon and aluminum contents in sinking particles,Jeomshik Hwang; Ellen RM Druffel; Timothy I Eglinton,Abstract [1] Particulate organic carbon (POC) in the ocean often exhibits more depletedradiocarbon contents (lower Δ 14 C values) than expected if its sole source were POCrecently synthesized by primary production and export from the overlying surface waters. Anexamination of available Δ 14 C data sets for sinking POC show that this phenomenon isboth common and globally widespread. Also; a strong correlation is found to exist between Δ14 C values of organic carbon and aluminum content in sinking particles that is consistentover a range of oceanic settings. Together; these findings imply that aged organic carbonassociated with lithogenic material from sediment resuspension is responsible for theobserved low Δ 14 C values as opposed to other processes such as incorporation ofdissolved inorganic carbon or dissolved organic carbon into POC at depth. An estimate …,Global biogeochemical cycles,2010,35
Transport of organic carbon from the California coast to the slope region: A study of Δ14C and δ13C signatures of organic compound classes,Jeomshik Hwang; Ellen RM Druffel; Tomoko Komada,Abstract [1] Surface sediments along a transect from an abyssal site in the northeasternPacific (Station M; 34 50′ N; 123 00′ W) to a small mountainous river on the Californiacoast (Santa Clara River) were studied to investigate the sources and cycling of organicmatter on the continental margin. Sediment samples were separated into organic compoundfractions (extractable lipids; amino acids (THAA); carbohydrates (TCHO); and the acid-insoluble fraction); and their carbon isotope ratios were measured. The Δ 14 C values of allthe THAA and TCHO fractions were greater than− 100‰; indicating relatively modernorganic carbon (OC) source (s); and rapid cycling of these fractions. In contrast; the Δ 14 Cvalues of extractable lipids and the acid-insoluble fraction were distinctly lower than those ofthe THAA and TCHO fractions. The Δ 14 C values of source OC to the sediments were …,Global Biogeochemical Cycles,2005,35
Incorporation of aged dissolved organic carbon (DOC) by oceanic particulate organic carbon (POC): an experimental approach using natural carbon isotopes,Jeomshik Hwang; Ellen RM Druffel; James E Bauer,Abstract Incorporation of 14 C-depleted (old) dissolved organic carbon (DOC) on/intoparticulate organic carbon (POC) has been suggested as a possible mechanism to explainthe low Δ 14 C-POC values observed in the deep ocean [Druffel; ERM; Williams; PM; 1990.Identification of a deep marine source of particulate organic carbon using bomb 14 C.Nature; 347; 172–174.]. A shipboard incubation experiment was performed in the SargassoSea to test this hypothesis. Finely ground dried plankton was incubated in seawater samplesfrom the deep Sargasso Sea; both with and without a biological poison (HgCl 2). Changes inparameters such as biochemical composition and carbon isotopic signatures of bulk POCand its organic compound classes were examined to study the roles of sorptive processesand biotic activity on POC character. Following a 13-day incubation; the relative …,Marine Chemistry,2006,33
Lateral organic carbon supply to the deep Canada Basin,Jeomshik Hwang; Timothy I Eglinton; Richard A Krishfield; Steven J Manganini; Susumu Honjo,Abstract [1] Understanding the processes driving the carbon cycle in the Arctic Ocean isimportant for assessing the impacts of the predicted rapid and amplified climate change inthis region. We analyzed settling particle samples intercepted by a time-series sediment trapdeployed in the abyssal Canada Basin (at 3067 m) in order to examine carbon export to thedeep Arctic Ocean. Strikingly old radiocarbon ages (apparent mean 14 C age=∼ 1900years) of the organic carbon; abundant lithogenic material (∼ 80%); and mass fluxvariations temporally decoupled from the cycle of primary productivity in overlying surfacewaters together suggest that; unlike other ocean basins; the majority of the particulateorganic carbon entering the deep Canada Basin is supplied from the surrounding margins.,Geophysical Research Letters,2008,31
Blank correction for Δ 14 C measurements in organic compound classes of oceanic particulate matter,Jeomshik Hwang; Ellen RM Druffel,Abstract Contaminant carbon (blank carbon) was studied for its impact on the carbon isotopemeasurements (Δ 14 C and δ 13 C) of 3 organic compound classes of oceanic particulateorganic matter. Two methods of blank correction and associated uncertainties were studied.First; the carbon blanks were quantified manometrically and the isotope ratios of the blankcarbon were measured directly. Second; the isotope ratios of the blank carbon wereestimated using the standard dilution method from the difference in Δ 14 C values betweenunprocessed and processed standards. The 2 methods agreed within the uncertainties. Thestandard deviations of numerous Δ 14 C measurements made on processed standardcompounds were comparable to those of real samples. Blank correction using the standarddilution method is much less sensitive to the error in determination of blank carbon mass …,Radiocarbon,2005,23
High primary productivity and f-ratio in summer in the Ulleung basin of the East/Japan Sea,Jung Hyun Kwak; Jeomshik Hwang; Eun Jung Choy; Hyun Je Park; Dong-Jin Kang; Tongsup Lee; Kyung-Il Chang; Kyung-Ryul Kim; Chang-Keun Kang,Abstract To better understand the cause of high summer primary productivity in the UlleungBasin located in the southwest part of the East/Japan Sea; the spatial dynamics of primary;new; and regenerated productivities (PP; NP; and RP) were examined along the path of theTsushima Warm Current system in summer 2008. We compared hydrographic and chemicalparameters in the Ulleung Basin with those of the Kuroshio Current in the Western PacificOcean and the East China Sea. In summer; integrated primary productivity (IPP; 0.37–0.96 gC m− 2 d− 1) and integrated new productivity (INP; 26–221 mg N m− 2 d− 1) within theeuphotic zone in the Ulleung Basin were higher than those in the East China Sea and theWestern Pacific Ocean (0.17–0.28 g C m− 2 d− 1; 2− 5 mg N m− 2 d− 1; respectively). Incontrast; there was no pronounced spatial variation in integrated regenerated productivity …,Deep Sea Research Part I: Oceanographic Research Papers,2013,21
Sedimentary rocks as sources of ancient organic carbon to the ocean: An investigation through D14C and d13C signatures of organic compound classes,T Komada; ERM Druffel; J Hwang,[2] Small mountainous rivers draining tectonically active margins have recently receivedattention as previously overlooked systems that export significant quantities of sediment andparticulate organic carbon (POC) to the oceans [Milliman and Syvitski; 1992; Milliman et al.;1999; Lyons et al.; 2002].,Global Biogeochem. Cycles,2005,21
