The genome of the model beetle and pest Tribolium castaneum,Tribolium Genome Sequencing Consortium,Abstract Tribolium castaneum is a member of the most species-rich eukaryotic order; apowerful model organism for the study of generalized insect development; and an importantpest of stored agricultural products. We describe its genome sequence here. Thisomnivorous beetle has evolved the ability to interact with a diverse chemical environment;as shown by large expansions in odorant and gustatory receptors; as well as P450 andother detoxification enzymes. Development in Tribolium is more representative of otherinsects than is Drosophila; a fact reflected in gene content and function. For example;Tribolium has retained more ancestral genes involved in cell–cell communication thanDrosophila; some being expressed in the growth zone crucial for axial elongation in short-germ development. Systemic RNA interference in T. castaneum functions differently from …,Nature,2008,909
Liquid-mediated dense integration of graphene materials for compact capacitive energy storage,Xiaowei Yang; Chi Cheng; Yufei Wang; Ling Qiu; Dan Li,Porous yet densely packed carbon electrodes with high ion-accessible surface area and lowion transport resistance are crucial to the realization of high-density electrochemicalcapacitive energy storage but have proved to be very challenging to produce. Takingadvantage of chemically converted graphene's intrinsic microcorrugated two-dimensionalconfiguration and self-assembly behavior; we show that such materials can be readilyformed by capillary compression of adaptive graphene gel films in the presence of anonvolatile liquid electrolyte. This simple soft approach enables subnanometer scaleintegration of graphene sheets with electrolytes to form highly compact carbon electrodeswith a continuous ion transport network. Electrochemical capacitors based on the resultingfilms can obtain volumetric energy densities approaching 60 watt-hours per liter.,science,2013,875
2-hydroxyglutarate detection by magnetic resonance spectroscopy in IDH-mutated patients with gliomas,Changho Choi; Sandeep K Ganji; Ralph J DeBerardinis; Kimmo J Hatanpaa; Dinesh Rakheja; Zoltan Kovacs; Xiao-Li Yang; Tomoyuki Mashimo; Jack M Raisanen; Isaac Marin-Valencia; Juan M Pascual; Christopher J Madden; Bruce E Mickey; Craig R Malloy; Robert M Bachoo; Elizabeth A Maher,Abstract Mutations in isocitrate dehydrogenases 1 and 2 (IDH1 and IDH2) have been shownto be present in most World Health Organization grade 2 and grade 3 gliomas in adults.These mutations are associated with the accumulation of 2-hydroxyglutarate (2HG) in thetumor. Here we report the noninvasive detection of 2HG by proton magnetic resonancespectroscopy (MRS). We developed and optimized the pulse sequence with numerical andphantom analyses for 2HG detection; and we estimated the concentrations of 2HG usingspectral fitting in the tumors of 30 subjects. Detection of 2HG correlated with mutations inIDH1 or IDH2 and with increased levels of D-2HG by mass spectrometry of the resectedtumors. Noninvasive detection of 2HG may prove to be a valuable diagnostic and prognosticbiomarker.,Nature medicine,2012,383
STING-dependent cytosolic DNA sensing promotes radiation-induced type I interferon-dependent antitumor immunity in immunogenic tumors,Liufu Deng; Hua Liang; Meng Xu; Xuanming Yang; Byron Burnette; Ainhoa Arina; Xiao-Dong Li; Helena Mauceri; Michael Beckett; Thomas Darga; Xiaona Huang; Thomas F Gajewski; Zhijian J Chen; Yang-Xin Fu; Ralph R Weichselbaum,Summary Ionizing radiation-mediated tumor regression depends on type I interferon (IFN)and the adaptive immune response; but several pathways control I IFN induction. Here; wedemonstrate that adaptor protein STING; but not MyD88; is required for type I IFN-dependentantitumor effects of radiation. In dendritic cells (DCs); STING was required for IFN-βinduction in response to irradiated-tumor cells. The cytosolic DNA sensor cyclic GMP-AMP(cGAMP) synthase (cGAS) mediated sensing of irradiated-tumor cells in DCs. Moreover;STING was essential for radiation-induced adaptive immune responses; which relied ontype I IFN signaling on DCs. Exogenous IFN-β treatment rescued the cross-priming by cGASor STING-deficient DCs. Accordingly; activation of STING by a second messenger cGAMPadministration enhanced antitumor immunity induced by radiation. Thus radiation …,Immunity,2014,280
Analysis of tumor metabolism reveals mitochondrial glucose oxidation in genetically diverse human glioblastomas in the mouse brain in vivo,Isaac Marin-Valencia; Chendong Yang; Tomoyuki Mashimo; Steve Cho; Hyeonman Baek; Xiao-Li Yang; Kartik N Rajagopalan; Melissa Maddie; Vamsidhara Vemireddy; Zhenze Zhao; Ling Cai; Levi Good; Benjamin P Tu; Kimmo J Hatanpaa; Bruce E Mickey; José M Matés; Juan M Pascual; Elizabeth A Maher; Craig R Malloy; Ralph J DeBerardinis; Robert M Bachoo,Summary Dysregulated metabolism is a hallmark of cancer cell lines; but little is knownabout the fate of glucose and other nutrients in tumors growing in their nativemicroenvironment. To study tumor metabolism in vivo; we used an orthotopic mouse modelof primary human glioblastoma (GBM). We infused 13 C-labeled nutrients into mice bearingthree independent GBM lines; each with a distinct set of mutations. All three lines displayedglycolysis; as expected for aggressive tumors. They also displayed unexpected metaboliccomplexity; oxidizing glucose via pyruvate dehydrogenase and the citric acid cycle; andusing glucose to supply anaplerosis and other biosynthetic activities. Comparing the tumorsto surrounding brain revealed obvious metabolic differences; notably the accumulation of alarge glutamine pool within the tumors. Many of these same activities were conserved in …,Cell metabolism,2012,248
Vgram: Improving performance of approximate queries on string collections using variable-length grams,Chen Li; Bin Wang; Xiaochun Yang,Abstract Many applications need to solve the following problem of approximate stringmatching: from a collection of strings; how to find those similar to a given string; or the stringsin another (possibly the same) collection of strings? Many algorithms are developed usingfixed-length grams; which are substrings of a string used as signatures to identify similarstrings. In this paper we develop a novel technique; called VGRAM; to improve theperformance of these algorithms. Its main idea is to judiciously choose high-quality grams ofvariable lengths from a collection of strings to support queries on the collection. We give afull specification of this technique; including how to select high-quality grams from thecollection; how to generate variable-length grams for a string based on the preselectedgrams; and what is the relationship between the similarity of the gram sets of two strings …,Proceedings of the 33rd international conference on Very large data bases,2007,205
Leukocyte common antigen-related phosphatase is a functional receptor for chondroitin sulfate proteoglycan axon growth inhibitors,Daniel Fisher; Bin Xing; John Dill; Hui Li; Hai Hiep Hoang; Zhenze Zhao; Xiao-Li Yang; Robert Bachoo; Stephen Cannon; Frank M Longo; Morgan Sheng; Jerry Silver; Shuxin Li,Chondroitin sulfate proteoglycans (CSPGs) are a family of extracellular matrix moleculeswith various functions in regulating tissue morphogenesis; cell division; and axon guidance.A number of CSPGs are highly upregulated by reactive glial scar tissues after injuries andform a strong barrier for axonal regeneration in the adult vertebrate CNS. Although CSPGsmay negatively regulate axonal growth via binding and altering activity of other growth-regulating factors; the molecular mechanisms by which CSPGs restrict axonal elongationare not well understood. Here; we identified a novel receptor mechanism whereby CSPGsinhibit axonal growth via interactions with neuronal transmembrane leukocyte commonantigen-related phosphatase (LAR). CSPGs bind LAR with high affinity in transfected COS-7cells and coimmunoprecipitate with LAR expressed in various tissues including the brain …,Journal of Neuroscience,2011,188
Purification of a three-subunit ubiquinol-cytochrome c oxidoreductase complex from Paracoccus denitrificans.,XH Yang; BL Trumpower,Abstract A ubiquinol-cytochrome c oxidoreductase (cytochrome bc1) complex has beenpurified from the plasma membrane of aerobically grown Paracoccus denitrificans byextraction with dodecyl maltoside and ion exchange chromatography of the extract. Thepurified complex contains two spectrally and thermodynamically distinct b cytochromes;cytochrome c1; and a Rieske-type iron-sulfur protein. Optical spectra indicate absorptionpeaks at 553 nm for cytochrome c1 and at 560 and 566 nm for the high and low potentialhemes of cytochrome b. The spectrum of cytochrome b560 is shifted to longer wavelength byantimycin. The Paracoccus bc1 complex consists of only three polypeptide subunits. On thebasis of their relative electrophoretic mobilities; these have apparent molecular masses of62; 39; and 20 kDa. The 62-and 39-kDa subunits have been identified as cytochromes c1 …,Journal of Biological Chemistry,1986,152
Microwave assisted extraction of secondary metabolites from plants: current status and future directions,Hua-Feng Zhang; Xiao-Hua Yang; Ying Wang,Plant secondary metabolites are known to be an important source of foods; fragrances;pigment; drugs and so on. Extraction is one of the crucial steps for research anddevelopment of plant secondary metabolites. Over the past 25 years; a large number ofmanuscripts of microwave assisted extraction have been published and lots of remarkableresults have been achieved. However; there are still many theoretical and technical barriersin the area of microwave assisted extraction of plant secondary metabolites; which need tobe overcome. This paper reviews recent advances in microwave assisted extraction of plantsecondary metabolites; such as flavonoids; quinones; phenylpropanoids; terpenoids andalkaloids. Principles and mechanisms; apparatuses and equipment; advantages anddisadvantages of microwave assisted extraction are also summarized. The last part of the …,*,2011,146
Directed switch-mediated DNA recombination,*,A schematic of the general antibody structure is shown in FIG. 1. The light and heavy chainsare each composed of a variable region at the N-terminal end; and a constant region at theC-terminal end. In the light chain; the variable region (termed "V L J L ") is composed of a variable(V L ) region connected through the joining (J L ) region to the constant region (C L ). In the heavychain; the variable region (V H D H J H ) is composed of a variable (V H ) region linked througha combination of the diversity (D H ) region and the joining (J H ) region to the constant region(C H ). The V L J L and V H D H J H regions of the light and heavy chains; respectively; are associatedat the tips of the Y to form the antibody's antigen binding portion and determine antigen bindingspecificity … The (C H ) region defines the antibody's isotype; ie; its class or subclass. Antibodiesof different isotypes differ significantly in their effector functions; such as the ability to …,*,1998,134
Revisiting the capacitance of polyaniline by using graphene hydrogel films as a substrate: the importance of nano-architecturing,Yufei Wang; Xiaowei Yang; Ling Qiu; Dan Li,Polyaniline has long been explored as a potential candidate for supercapacitors. However;its limited rate capability and cyclability; along with large variation of reported capacitance;cast doubt on its potential for real-world applications. We use a recently developedgraphene hydrogel film as a substrate to revisit the capacitance of polyaniline; and revealthat if its nanostructure is properly engineered; polyaniline can provide a combination ofhigh capacitance; excellent rate performance and long cycling life and is promising for realapplications.,Energy & Environmental Science,2013,125
