Neural systems responding to degrees of uncertainty in human decision-making,Ming Hsu; Meghana Bhatt; Ralph Adolphs; Daniel Tranel; Colin F Camerer,Much is known about how people make decisions under varying levels of probability (risk).Less is known about the neural basis of decision-making when probabilities are uncertainbecause of missing information (ambiguity). In decision theory; ambiguity about probabilitiesshould not affect choices. Using functional brain imaging; we show that the level ofambiguity in choices correlates positively with activation in the amygdala and orbitofrontalcortex; and negatively with a striatal system. Moreover; striatal activity correlates positivelywith expected reward. Neurological subjects with orbitofrontal lesions were insensitive to thelevel of ambiguity and risk in behavioral choices. These data suggest a general neuralcircuit responding to degrees of uncertainty; contrary to decision theory.,Science,2005,1197
The right and the good: distributive justice and neural encoding of equity and efficiency,Ming Hsu; Cédric Anen; Steven R Quartz,Distributive justice concerns how individuals and societies distribute benefits and burdens ina just or moral manner. We combined distribution choices with functional magneticresonance imaging to investigate the central problem of distributive justice: the trade-offbetween equity and efficiency. We found that the putamen responds to efficiency; whereasthe insula encodes inequity; and the caudate/septal subgenual region encodes a unifiedmeasure of efficiency and inequity (utility). Notably; individual differences in inequityaversion correlate with activity in inequity and utility regions. Against utilitarianism; ourresults support the deontological intuition that a sense of fairness is fundamental todistributive justice but; as suggested by moral sentimentalists; is rooted in emotionalprocessing. More generally; emotional responses related to norm violations may underlie …,science,2008,309
Thinking like a trader selectively reduces individuals' loss aversion,Peter Sokol-Hessner; Ming Hsu; Nina G Curley; Mauricio R Delgado; Colin F Camerer; Elizabeth A Phelps,Abstract Research on emotion regulation has focused upon observers' ability to regulatetheir emotional reaction to stimuli such as affective pictures; but many other aspects of ouraffective experience are also potentially amenable to intentional cognitive regulation. In thedomain of decision-making; recent work has demonstrated a role for emotions in choice;although such work has generally remained agnostic about the specific role of emotion.Combining psychologically-derived cognitive strategies; physiological measurements ofarousal; and an economic model of behavior; this study examined changes in choices(specifically; loss aversion) and physiological correlates of behavior as the result of anintentional cognitive regulation strategy. Participants were on average more aroused perdollar to losses relative to gains; as measured with skin conductance response; and the …,Proceedings of the National Academy of Sciences,2009,280
The wick in the candle of learning: Epistemic curiosity activates reward circuitry and enhances memory,Min Jeong Kang; Ming Hsu; Ian M Krajbich; George Loewenstein; Samuel M McClure; Joseph Tao-yi Wang; Colin F Camerer,Curiosity has been described as a desire for learning and knowledge; but its underlyingmechanisms are not well understood. We scanned subjects with functional magneticresonance imaging while they read trivia questions. The level of curiosity when readingquestions was correlated with activity in caudate regions previously suggested to beinvolved in anticipated reward. This finding led to a behavioral study; which showed thatsubjects spent more scarce resources (either limited tokens or waiting time) to find outanswers when they were more curious. The functional imaging also showed that curiosityincreased activity in memory areas when subjects guessed incorrectly; which suggests thatcuriosity may enhance memory for surprising new information. This prediction about memoryenhancement was confirmed in a behavioral study: Higher curiosity in an initial session …,Psychological Science,2009,256
The wick in the candle of learning: Epistemic curiosity activates reward circuitry and enhances memory,Min Jeong Kang; Ming Hsu; Ian M Krajbich; George Loewenstein; Samuel M McClure; Joseph Tao-yi Wang; Colin F Camerer,Curiosity has been described as a desire for learning and knowledge; but its underlyingmechanisms are not well understood. We scanned subjects with functional magneticresonance imaging while they read trivia questions. The level of curiosity when readingquestions was correlated with activity in caudate regions previously suggested to beinvolved in anticipated reward. This finding led to a behavioral study; which showed thatsubjects spent more scarce resources (either limited tokens or waiting time) to find outanswers when they were more curious. The functional imaging also showed that curiosityincreased activity in memory areas when subjects guessed incorrectly; which suggests thatcuriosity may enhance memory for surprising new information. This prediction about memoryenhancement was confirmed in a behavioral study: Higher curiosity in an initial session …,Psychological Science,2009,256
Neural response to reward anticipation under risk is nonlinear in probabilities,Ming Hsu; Ian Krajbich; Chen Zhao; Colin F Camerer,A widely observed phenomenon in decision making under risk is the apparentoverweighting of unlikely events and the underweighting of nearly certain events. Thisviolates standard assumptions in expected utility theory; which requires that expected utilitybe linear (objective) in probabilities. Models such as prospect theory have relaxed thisassumption and introduced the notion of a “probability weighting function;” which capturesthe key properties found in experimental data. This study reports functional magneticresonance imaging (fMRI) data that neural response to expected reward is nonlinear inprobabilities. Specifically; we found that activity in the striatum during valuation of monetarygambles are nonlinear in probabilities in the pattern predicted by prospect theory;suggesting that probability distortion is reflected at the level of the reward encoding …,Journal of Neuroscience,2009,216
Explicit neural signals reflecting reward uncertainty,Wolfram Schultz; Kerstin Preuschoff; Colin Camerer; Ming Hsu; Christopher D Fiorillo; Philippe N Tobler; Peter Bossaerts,The acknowledged importance of uncertainty in economic decision making has stimulatedthe search for neural signals that could influence learning and inform decision mechanisms.Current views distinguish two forms of uncertainty; namely risk and ambiguity; depending onwhether the probability distributions of outcomes are known or unknown. Behaviouralneurophysiological studies on dopamine neurons revealed a risk signal; which covariedwith the standard deviation or variance of the magnitude of juice rewards and occurredseparately from reward value coding. Human imaging studies identified similarly distinct risksignals for monetary rewards in the striatum and orbitofrontal cortex (OFC); thus fulfilling arequirement for the mean variance approach of economic decision theory. The orbitofrontalrisk signal covaried with individual risk attitudes; possibly explaining individual …,*,2008,164
Dissociable neural representations of reinforcement and belief prediction errors underlie strategic learning,Lusha Zhu; Kyle E Mathewson; Ming Hsu,Abstract Decision-making in the presence of other competitive intelligent agents isfundamental for social and economic behavior. Such decisions require agents to behavestrategically; where in addition to learning about the rewards and punishments available inthe environment; they also need to anticipate and respond to actions of others competing forthe same rewards. However; whereas we know much about strategic learning at boththeoretical and behavioral levels; we know relatively little about the underlying neuralmechanisms. Here; we show using a multi-strategy competitive learning paradigm thatstrategic choices can be characterized by extending the reinforcement learning (RL)framework to incorporate agents' beliefs about the actions of their opponents. Furthermore;using this characterization to generate putative internal values; we used model-based …,Proceedings of the National Academy of Sciences,2012,68
Behavioral models of managerial decision-making,Avi Goldfarb; Teck-Hua Ho; Wilfred Amaldoss; Alexander L Brown; Yan Chen; Tony Haitao Cui; Alberto Galasso; Tanjim Hossain; Ming Hsu; Noah Lim; Mo Xiao; Botao Yang,Abstract This paper reviews the literature that applies behavioral economic models tomanagerial decisions. It organizes the literature into research that focuses on alternativeutility functions and research that focuses on non-equilibrium models. Generally; behavioralmodels have seen less application to manager decisions than to consumer decisions andtherefore there are many opportunities to develop new theoretical models; new laboratoryexperiments; and new field applications. The application of these models to field data isparticularly underdeveloped.,Marketing Letters,2012,47
Advancing consumer neuroscience,Ale Smidts; Ming Hsu; Alan G Sanfey; Maarten AS Boksem; Richard B Ebstein; Scott A Huettel; Joe W Kable; Uma R Karmarkar; Shinobu Kitayama; Brian Knutson; Israel Liberzon; Terry Lohrenz; Mirre Stallen; Carolyn Yoon,Abstract In the first decade of consumer neuroscience; strong progress has been made inunderstanding how neuroscience can inform consumer decision making. Here; we sketchthe development of this discipline and compare it to that of the adjacent field ofneuroeconomics. We describe three new frontiers for ongoing progress at both theoreticaland applied levels. First; the field will broaden its boundaries to include genetics andmolecular neuroscience; each of which will provide important new insights into individualdifferences in decision making. Second; recent advances in computational methods willimprove the accuracy and out-of-sample generalizability of predicting decisions from brainactivity. Third; sophisticated meta-analyses will help consumer neuroscientists to synthesizethe growing body of knowledge; providing evidence for consistency and specificity of …,Marketing Letters,2014,45
The neurobiological foundations of valuation in human decision making under uncertainty,Peter Bossaerts; Kerstin Preuschoff; Ming Hsu,This chapter focuses on valuation in the context of choice under uncertainty. When valuationis a pursuit distinct from choice; values revealed through choice may be different from thevaluations that emerge from the (choice-independent) computations. In many humanendeavors; valuation is performed even in the absence of any immediate necessity tochoose. Again; finance is a case in point; in part because financial valuation is oftencomplex and time-consuming; while good choice opportunities are rare and short-lived. Thecost of computing values provides a normative rationale for why valuation may be done inthe absence of free choice. In fact; the neurobiological choice model predicts choices betterthan a utility-index-based model estimated from the choices themselves. This demonstratesnot only that valuation is done during imperative trials; but that the resulting values are …,*,2009,37
