A case for end system multicast (keynote address),Yang-hua Chu; Sanjay G Rao; Hui Zhang,Abstract The conventional wisdom has been that IP is the natural protocol layer forimplementing multicast related functionality. However; ten years after its initial proposal; IPMulticast is still plagued with concerns pertaining to scalability; network management;deployment and support for higher layer functionality such as error; flow and congestioncontrol. In this paper; we explore an alternative architecture for small and sparse groups;where end systems implement all multicast related functionality including membershipmanagement and packet replication. We call such a scheme End System Multicast. Thisshifting of multicast support from routers to end systems has the potential to address mostproblems associated with IP Multicast. However; the key concern is the performance penaltyassociated with such a model. In particular; End System Multicast introduces duplicate …,ACM SIGMETRICS Performance Evaluation Review,2000,2470
A case for end system multicast,Yang-hua Chu; Sanjay G Rao; Srinivasan Seshan; Hui Zhang,The conventional wisdom has been that Internet protocol (IP) is the natural protocol layer forimplementing multicast related functionality. However; more than a decade after its initialproposal; IP multicast is still plagued with concerns pertaining to scalability; networkmanagement; deployment; and support for higher layer functionality such as error; flow; andcongestion control. We explore an alternative architecture that we term end system multicast;where end systems implement all multicast related functionality including membershipmanagement and packet replication. This shifting of multicast support from routers to endsystems has the potential to address most problems associated with IP multicast. However;the key concern is the performance penalty associated with such a model. In particular; endsystem multicast introduces duplicate packets on physical links and incurs larger end-to …,IEEE Journal on selected areas in communications,2002,964
Enabling conferencing applications on the internet using an overlay muilticast architecture,Yang Chu; Sanjay Rao; Srinivasan Seshan; Hui Zhang,Abstract In response to the serious scalability and deployment concerns with IP Multicast; weand other researchers have advocated an alternate architecture for supporting groupcommunication applications over the Internet where all multicast functionality is pushed tothe edge. We refer to such an architecture as End System Multicast. While End SystemMulticast has several potential advantages; a key concern is the performance penaltyassociated with such a design. While preliminary simulation results conducted in staticenvironments are promising; they have yet to consider the challenging performancerequirements of real world applications in a dynamic and heterogeneous Internetenvironment. In this paper; we explore how Internet environments and applicationrequirements can influence End System Multicast design. We explore these issues in the …,ACM SIGCOMM computer communication review,2001,760
Opportunities and challenges of peer-to-peer internet video broadcast,Jiangchuan Liu; Sanjay G Rao; Bo Li; Hui Zhang,There have been tremendous efforts and many technical innovations in supporting real-timevideo streaming in the past two decades; but cost-effective large-scale video broadcast hasremained an elusive goal. Internet protocol (IP) multicast represented an earlier attempt totackle this problem but failed largely due to concerns regarding scalability; deployment; andsupport for higher level functionality. Recently; peer-to-peer based broadcast has emergedas a promising technique; which has been shown to be cost effective and easy to deploy.This new paradigm brings a number of unique advantages such as scalability; resilience;and effectiveness in coping with dynamics and heterogeneity. While peer-to-peerapplications such as file download and voice-over-IP have gained tremendous popularity;video broadcast is still in its early stages; and its full potential remains to be seen. This …,Proceedings of the IEEE,2008,487
Cloudward bound: planning for beneficial migration of enterprise applications to the cloud,Mohammad Hajjat; Xin Sun; Yu-Wei Eric Sung; David Maltz; Sanjay Rao; Kunwadee Sripanidkulchai; Mohit Tawarmalani,Abstract In this paper; we tackle challenges in migrating enterprise services into hybrid cloud-based deployments; where enterprise operations are partly hosted on-premise and partly inthe cloud. Such hybrid architectures enable enterprises to benefit from cloud-basedarchitectures; while honoring application performance requirements; and privacy restrictionson what services may be migrated to the cloud. We make several contributions. First; wehighlight the complexity inherent in enterprise applications today in terms of their multi-tierednature; large number of application components; and interdependencies. Second; we havedeveloped a model to explore the benefits of a hybrid migration approach. Our model takesinto account enterprise-specific constraints; cost savings; and increased transaction delaysand wide-area communication costs that may result from the migration. Evaluations …,ACM SIGCOMM Computer Communication Review,2010,323
Youtube everywhere: Impact of device and infrastructure synergies on user experience,Alessandro Finamore; Marco Mellia; Maurizio M Munafò; Ruben Torres; Sanjay G Rao,Abstract In this paper we present a complete measurement study that compares YouTubetraffic generated by mobile devices (smart-phones; tablets) with traffic generated by commonPCs (desktops; notebooks; netbooks). We investigate the users' behavior and correlate itwith the system performance. Our measurements are performed using unique data setswhich are collected from vantage points in nation-wide ISPs and University campuses fromtwo countries in Europe and the US Our results show that the user access patterns aresimilar across a wide range of user locations; access technologies and user devices. Usersstick with default player configurations; eg; not changing video resolution or rarely enablingfull screen playback. Furthermore it is very common that users abort video playback; with60% of videos watched for no more than 20% of their duration.,Proceedings of the 2011 ACM SIGCOMM conference on Internet measurement conference,2011,303
Early Experience with an Internet Broadcast System Based on Overlay Multicast.,Yang-hua Chu; Aditya Ganjam; TS Eugene Ng; Sanjay G Rao; Kunwadee Sripanidkulchai; Jibin Zhan; Hui Zhang,Abstract In this paper; we report on experience in building and deploying an operationalInternet broadcast system based on Overlay Multicast. In over a year; the system has beenproviding a cost-effective alternative for Internet broadcast; used by over 4000 users spreadacross multiple continents in home; academic and commercial environments. Technicalconferences and special interest groups are the early adopters. Our experience confirmsthat Overlay Multicast can be easily deployed and can provide reasonably good applicationperformance. The experience has led us to identify first-order issues that are guiding ourfuture efforts and are of importance to any Overlay Multicast protocol or system. Our keycontributions are (i) enabling a real Overlay Multicast application and strengthening the casefor overlays as a viable architecture for enabling group communication applications on …,USENIX Annual Technical Conference; General Track,2004,250
Dissecting video server selection strategies in the youtube cdn,Ruben Torres; Alessandro Finamore; Jin Ryong Kim; Marco Mellia; Maurizio M Munafo; Sanjay Rao,In this paper; we conduct a detailed study of the YouTube CDN with a view to understandingthe mechanisms and policies used to determine which data centers users download videofrom. Our analysis is conducted using week-long datasets simultaneously collected from theedge of five networks-two university campuses and three ISP networks-located in threedifferent countries. We employ state-of-the-art delay-based geolocation techniques to findthe geographical location of YouTube servers. A unique aspect of our work is that weperform our analysis on groups of related YouTube flows. This enables us to infer keyaspects of the system design that would be difficult to glean by considering individual flowsin isolation. Our results reveal that while the RTT between users and data centers plays arole in the video server selection process; a variety of other factors may influence this …,Distributed Computing Systems (ICDCS); 2011 31st International Conference on,2011,171
Mercury: a scalable publish-subscribe system for internet games,Ashwin R Bharambe; Sanjay Rao; Srinivasan Seshan,Abstract Today's network games suffer from scalability and performance limitations causedby centralized client-server architectures and/or broadcast communication. In this paper; weargue that the communication between components of a game can be modeled as a publish-subscribe system. We present the design of M ERCURY; a completely distributed publish-subscribe system; which supports a content-based publish-subscribe model ofcommunication and performs distributed matching using a novel content-based routingprotocol. We also present preliminary simulation results identifying key design decisionsaffecting the scalability and network efficiency of the system.,Proceedings of the 1st workshop on Network and system support for games,2002,166
Measurement-based optimization techniques for bandwidth-demanding peer-to-peer systems,TS Eugene Ng; Y-H Chu; Sanjay G Rao; Kunwadee Sripanidkulchai; Hui Zhang,Measurement-based optimization is one important strategy to improve the performance ofbandwidth-demanding peer-to-peer systems. However; to date; we have little quantitativeknowledge of how well basic lightweight measurement-based techniques such as RTTprobing; 10KB TCP probing; and bottleneck bandwidth probing may work in practice in thepeer-to-peer environment. By conducting trace-based analyses; we find that the basictechniques can help achieve 40 to 50% optimal performance. To deepen our understanding;we analyze some of the intrinsic properties of these techniques. Our analyses reveal theinherent difficulty of the peer selection problem due to the extreme heterogeneity in the peer-to-peer environment; and that the basic techniques are limited because their primarystrength lies in eliminating the low-performance peers rather than reliably identifying the …,INFOCOM 2003. Twenty-Second Annual Joint Conference of the IEEE Computer and Communications. IEEE Societies,2003,133
Considering Priority in Overlay Multicast Protocols Under Heterogeneous Environments.,Michael A Bishop; Sanjay G Rao; Kunwadee Sripanidkulchai,Abstract—Hosts participating in overlay multicast applications have a wide range ofheterogeneity in bandwidth and participation characteristics. In this paper; we highlight andshow the need to systematically consider prioritization as a key criterion in the design ofprotocols for overlay multicast. We identify trade-offs in the design of prioritization heuristicsin two important contexts. The first part of the paper considers prioritization strategies in thecontext of heterogeneity in node outgoing bandwidth and node stay time durations; and alack of correlation between the two dimensions. The second part of the paper considersbandwidth allocation and prioritization policies with multi-tree data delivery in environmentswith heterogeneity in outgoing bandwidth and a certain degree of altruistic behavior. Weconduct a systematic study of the trade-offs using both real trace data; and sensitivity …,INFOCOM,2006,113
