Shore-MT: a scalable storage manager for the multicore era,Ryan Johnson; Ippokratis Pandis; Nikos Hardavellas; Anastasia Ailamaki; Babak Falsafi,Abstract Database storage managers have long been able to efficiently handle multipleconcurrent requests. Until recently; however; a computer contained only a few single-coreCPUs; and therefore only a few transactions could simultaneously access the storagemanager's internal structures. This allowed storage managers to use non-scalableapproaches without any penalty. With the arrival of multicore chips; however; this situation israpidly changing. More and more threads can run in parallel; stressing the internalscalability of the storage manager. Systems optimized for high performance at a limitednumber of cores are not assured similarly high performance at a higher core count; becauseunanticipated scalability obstacles arise. We benchmark four popular open-source storagemanagers (Shore; BerkeleyDB; MySQL; and PostgreSQL) on a modern multicore …,Proceedings of the 12th International Conference on Extending Database Technology: Advances in Database Technology,2009,196
Data-oriented transaction execution,Ippokratis Pandis; Ryan Johnson; Nikos Hardavellas; Anastasia Ailamaki,Abstract While hardware technology has undergone major advancements over the pastdecade; transaction processing systems have remained largely unchanged. The number ofcores on a chip grows exponentially; following Moore's Law; allowing for an ever-increasingnumber of transactions to execute in parallel. As the number of concurrently-executingtransactions increases; contended critical sections become scalability burdens. In typicaltransaction processing systems the centralized lock manager is often the first contendedcomponent and scalability bottleneck. In this paper; we identify the conventional thread-to-transaction assignment policy as the primary cause of contention. Then; we design DORA; asystem that decomposes each transaction to smaller actions and assigns actions to threadsbased on which data each action is about to access. DORA's design allows each thread …,Proceedings of the VLDB Endowment,2010,180
Impala: A modern; open-source SQL engine for Hadoop,MKABV Bittorf; Taras Bobrovytsky; Casey Ching Alan Choi Justin Erickson; Martin Grund Daniel Hecht; Matthew Jacobs Ishaan Joshi Lenni Kuff; Dileep Kumar Alex Leblang; Nong Li Ippokratis Pandis Henry Robinson; David Rorke Silvius Rus; John Russell Dimitris Tsirogiannis Skye Wanderman; Milne Michael Yoder,ABSTRACT Cloudera Impala is a modern; open-source MPP SQL engine architected fromthe ground up for the Hadoop data processing environment. Impala provides low latencyand high concurrency for BI/analytic read-mostly queries on Hadoop; not delivered by batchframeworks such as Apache Hive. This paper presents Impala from a user's perspective;gives an overview of its architecture and main components and briefly demonstrates itssuperior performance compared against other popular SQL-on-Hadoop systems.,Proceedings of the 7th Biennial Conference on Innovative Data Systems Research,2015,172
Database servers on chip multiprocessors: Limitations and opportunities,Nikos Hardavellas; Ippokratis Pandis; Ryan Johnson; Naju Mancheril; Anastassia Ailamaki; Babak Falsafi,ABSTRACT Prior research shows that database system performance is dominated by off-chip data stalls; resulting in a concerted effort to bring data into on-chip caches. At the sametime; high levels of integration have enabled the advent of chip multiprocessors andincreasingly large (and slow) on-chip caches. These two trends pose the imminent technicaland research challenge of adapting high-performance data management software to ashifting hardware landscape. In this paper we characterize the performance of a commercialdatabase server running on emerging chip multiprocessor technologies. We find that themajor bottleneck of current software is data cache stalls; with L2 hit stalls rising from oblivionto become the dominant execution time component in some cases. We analyze the sourceof this shift and derive a list of features for future database designs to attain maximum …,*,2007,171
DB2 with BLU acceleration: So much more than just a column store,Vijayshankar Raman; Gopi Attaluri; Ronald Barber; Naresh Chainani; David Kalmuk; Vincent KulandaiSamy; Jens Leenstra; Sam Lightstone; Shaorong Liu; Guy M Lohman; Tim Malkemus; Rene Mueller; Ippokratis Pandis; Berni Schiefer; David Sharpe; Richard Sidle; Adam Storm; Liping Zhang,Abstract DB2 with BLU Acceleration deeply integrates innovative new techniques fordefining and processing column-organized tables that speed read-mostly BusinessIntelligence queries by 10 to 50 times and improve compression by 3 to 10 times; comparedto traditional row-organized tables; without the complexity of defining indexes ormaterialized views on those tables. But DB2 BLU is much more than just a column store.Exploiting frequency-based dictionary compression and main-memory query processingtechnology from the Blink project at IBM Research-Almaden; DB2 BLU performs most SQLoperations-predicate application (even range predicates and IN-lists); joins; and grouping-on the compressed values; which can be packed bit-aligned so densely that multiple valuesfit in a register and can be processed simultaneously via SIMD (single-instruction …,Proceedings of the VLDB Endowment,2013,153
Aether: a scalable approach to logging,Ryan Johnson; Ippokratis Pandis; Radu Stoica; Manos Athanassoulis; Anastasia Ailamaki,Abstract The shift to multi-core hardware brings new challenges to database systems; as thesoftware parallelism determines performance. Even though database systems traditionallyaccommodate simultaneous requests; a multitude of synchronization barriers serializeexecution. Write-ahead logging is a fundamental; omnipresent component in ARIES-styleconcurrency and recovery; and one of the most important yet-to-be addressed potentialbottlenecks; especially in OLTP workloads making frequent small changes to data. In thispaper; we identify four logging-related impediments to database system scalability. Eachissue challenges different level in the software architecture:(a) the high volume of small-sized I/O requests may saturate the disk;(b) transactions hold locks while waiting for the logflush;(c) extensive context switching overwhelms the OS scheduler with threads executing …,Proceedings of the VLDB Endowment,2010,104
Agent based middleware infrastructure for autonomous context-aware ubiquitous computing services,John Soldatos; Ippokratis Pandis; Kostas Stamatis; Lazaros Polymenakos; James L Crowley,Abstract Middleware for ubiquitous and context-aware computing entails several challenges;including the need to balance between transparency and context-awareness and therequirement for a certain degree of autonomy. In this paper we outline most of thesechallenges; and highlight techniques for successfully confronting them. Accordingly; wepresent the design and implementation of a middleware infrastructure for ubiquitouscomputing services; which facilitates development of ubiquitous services; allowing theservice developer to focus on the service logic rather than the middleware implementation.In particular; this infrastructure provides mechanisms for controlling sensors and actuators;dynamically registering and invoking resources and infrastructure elements; as well asmodeling of composite contextual information. A core characteristic of this infrastructure is …,Computer Communications,2007,86
PLP: page latch-free shared-everything OLTP,Ippokratis Pandis; Pinar Tözün; Ryan Johnson; Anastasia Ailamaki,Abstract Scaling the performance of shared-everything transaction processing systems tohighly-parallel multicore hardware remains a challenge for database system designers.Recent proposals alleviate locking and logging bottlenecks in the system; leaving pagelatching as the next potential problem. To tackle the page latching problem; we proposephysiological partitioning (PLP). The PLP design applies logical-only partitioning;maintaining the desired properties of shared-everything designs; and introduces a multi-rooted B+ Tree index structure (MRBTree) which enables the partitioning of the accesses atthe physical page level. Logical partitioning and MRBTrees together ensure that allaccesses to a given index page come from a single thread and; hence; can be entirely latch-free; an extended design makes heap page accesses thread-private as well. Eliminating …,Proceedings of the VLDB Endowment,2011,82
NUMA-aware algorithms: the case of data shuffling.,Yinan Li; Ippokratis Pandis; Rene Mueller; Vijayshankar Raman; Guy M Lohman,ABSTRACT In recent years; a new breed of non-uniform memory access (NUMA) systemshas emerged: multi-socket servers of multicores. This paper makes the case that datamanagement systems need to employ designs that take into consideration thecharacteristics of modern NUMA hardware. To prove our point; we focus on a primitive that isused as the building block of numerous data management operations: data shuffling. Weperform a comparison of different data shuffling algorithms and show that a naıve datashuffling algorithm can be up to 3× slower than the highest performing; NUMA-aware one.To achieve the highest performance; we employ a combination of thread binding; NUMA-aware thread allocation; and relaxed global coordination among threads. The importance ofsuch NUMA-aware algorithm designs will only increase; as future server systems are …,CIDR,2013,77
Improving OLTP scalability using speculative lock inheritance,Ryan Johnson; Ippokratis Pandis; Anastasia Ailamaki,Abstract Transaction processing workloads provide ample request level concurrency whichhighly parallel architectures can exploit. However; the resulting heavy utilization of coredatabase services also causes resource contention within the database engine itself andlimits scalability. Meanwhile; many database workloads consist of short transactions whichaccess only a few database records each; often with stringent response time requirements.Performance of these short transactions is determined largely by the amount of overhead thedatabase engine imposes for services such as logging; locking; and transactionmanagement. This paper highlights the negative scalability impact of database locking; aneffect which is especially severe for short transactions running on highly concurrentmulticore hardware. We propose and evaluate Speculative Lock Inheritance; a technique …,Proceedings of the VLDB Endowment,2009,53
OLTP on hardware islands,Danica Porobic; Ippokratis Pandis; Miguel Branco; Pınar Tözün; Anastasia Ailamaki,Abstract Modern hardware is abundantly parallel and increasingly heterogeneous. Thenumerous processing cores have nonuniform access latencies to the main memory and tothe processor caches; which causes variability in the communication costs. Unfortunately;database systems mostly assume that all processing cores are the same and thatmicroarchitecture differences are not significant enough to appear in critical databaseexecution paths. As we demonstrate in this paper; however; hardware heterogeneity doesappear in the critical path and conventional database architectures achieve suboptimal andeven worse; unpredictable performance. We perform a detailed performance analysis ofOLTP deployments in servers with multiple cores per CPU (multicore) and multiple CPUsper server (multisocket). We compare different database deployment strategies where we …,Proceedings of the VLDB Endowment,2012,51
