Kernels for small molecules and the prediction of mutagenicity; toxicity and anti-cancer activity,S Joshua Swamidass; Jonathan Chen; Jocelyne Bruand; Peter Phung; Liva Ralaivola; Pierre Baldi,Abstract Motivation: Small molecules play a fundamental role in organic chemistry andbiology. They can be used to probe biological systems and to discover new drugs and otheruseful compounds. As increasing numbers of large datasets of small molecules becomeavailable; it is necessary to develop computational methods that can deal with molecules ofvariable size and structure and predict their physical; chemical and biological properties.Results: Here we develop several new classes of kernels for small molecules using their 1D;2D and 3D representations. In 1D; we consider string kernels based on SMILES strings. In2D; we introduce several similarity kernels based on conventional or generalizedfingerprints. Generalized fingerprints are derived by counting in different ways subpathscontained in the graph of bonds; using depth-first searches. In 3D; we consider similarity …,Bioinformatics,2005,173
ChemDB: a public database of small molecules and related chemoinformatics resources,Jonathan Chen; S Joshua Swamidass; Yimeng Dou; Jocelyne Bruand; Pierre Baldi,Abstract Motivation: The development of chemoinformatics has been hampered by the lackof large; publicly available; comprehensive repositories of molecules; in particular of smallmolecules. Small molecules play a fundamental role in organic chemistry and biology. Theycan be used as combinatorial building blocks for chemical synthesis; as molecular probes inchemical genomics and systems biology; and for the screening and discovery of new drugsand other useful compounds. Results: We describe ChemDB; a public database of smallmolecules available on the Web. ChemDB is built using the digital catalogs of over ahundred vendors and other public sources and is annotated with information derived fromthese sources as well as from computational methods; such as predicted solubility and three-dimensional structure. It supports multiple molecular formats and is periodically updated …,Bioinformatics,2005,148
ChemDB update—full-text search and virtual chemical space,Jonathan H Chen; Erik Linstead; S Joshua Swamidass; Dennis Wang; Pierre Baldi,Abstract ChemDB is a chemical database containing nearly 5M commercially availablesmall molecules; important for use as synthetic building blocks; probes in systems biologyand as leads for the discovery of drugs and other useful compounds. The data is publiclyavailable over the web for download and for targeted searches using a variety of powerfulmethods. The chemical data includes predicted or experimentally determinedphysicochemical properties; such as 3D structure; melting temperature and solubility.Recent developments include optimization of chemical structure (and substructure) retrievalalgorithms; enabling full database searches in less than a second. A text-based searchengine allows efficient searching of compounds based on over 65M annotations from over150 vendors. When searching for chemicals by name; fuzzy text matching capabilities …,Bioinformatics,2007,91
One-to four-dimensional kernels for virtual screening and the prediction of physical; chemical; and biological properties,Chloé-Agathe Azencott; Alexandre Ksikes; S Joshua Swamidass; Jonathan H Chen; Liva Ralaivola; Pierre Baldi,Many chemoinformatics applications; including high-throughput virtual screening; benefitfrom being able to rapidly predict the physical; chemical; and biological properties of smallmolecules to screen large repositories and identify suitable candidates. When training setsare available; machine learning methods provide an effective alternative to ab initio methodsfor these predictions. Here; we leverage rich molecular representations including 1DSMILES strings; 2D graphs of bonds; and 3D coordinates to derive efficient machinelearning kernels to address regression problems. We further expand the library of availablespectral kernels for small molecules developed for classification problems to include 2.5 Dsurface and 3D kernels using Delaunay tetrahedrization and other techniques fromcomputational geometry; 3D pharmacophore kernels; and 3.5 D or 4D kernels capable of …,Journal of chemical information and modeling,2007,70
Learning to predict chemical reactions,Matthew A Kayala; Chloé-Agathe Azencott; Jonathan H Chen; Pierre Baldi,Being able to predict the course of arbitrary chemical reactions is essential to the theory andapplications of organic chemistry. Approaches to the reaction prediction problems can beorganized around three poles corresponding to:(1) physical laws;(2) rule-based expertsystems; and (3) inductive machine learning. Previous approaches at these poles;respectively; are not high throughput; are not generalizable or scalable; and lack sufficientdata and structure to be implemented. We propose a new approach to reaction predictionutilizing elements from each pole. Using a physically inspired conceptualization; wedescribe single mechanistic reactions as interactions between coarse approximations ofmolecular orbitals (MOs) and use topological and physicochemical attributes as descriptors.Using an existing rule-based system (Reaction Explorer); we derive a restricted chemistry …,Journal of chemical information and modeling,2011,65
Distribution of opioids by different types of medicare prescribers,Jonathan H Chen; Keith Humphreys; Nigam H Shah; Anna Lembke,Methods We examined data from individual prescribers (eg; physicians; nurse practitioners;physician assistants; and dentists) from the 2013 Medicare Part D (prescription drugcoverage) claims data set created by the Centers for Medicare and Medicaid Services. 5Part D covers approximately 68% of the roughly 50 million people on Medicare; the federalinsurance program for Americans who have certain disabilities or are 65 years or older.,JAMA internal medicine,2016,48
No electron left behind: a rule-based expert system to predict chemical reactions and reaction mechanisms,Jonathan H Chen; Pierre Baldi,Predicting the course and major products of arbitrary reactions is a fundamental problem inchemistry; one that chemists must address in a variety of tasks ranging from synthesisdesign to reaction discovery. Described here is an expert system to predict organic chemicalreactions based on a knowledge base of over 1500 manually composed reactiontransformation rules. Novel rule extensions are introduced to enable robust predictions anddescribe detailed reaction mechanisms at the level of electron flows in elementary reactionsteps; ensuring that all reactions are properly balanced and atom-mapped. The corereaction prediction functionalities of this expert system are illustrated with applicationsincluding:(1) prediction of detailed reaction mechanisms;(2) computer-based learning inorganic chemistry;(3) retrosynthetic analysis; and (4) combinatorial library design. Select …,Journal of chemical information and modeling,2009,38
Functional census of mutation sequence spaces: the example of p53 cancer rescue mutants,Samuel A Danziger; S Joshua Swamidass; Jue Zeng; Lawrence R Dearth; Qiang Lu; Jonathan H Chen; Jianlin Cheng; Vinh P Hoang; Hiroto Saigo; Ray Luo; Pierre Baldi; Rainer K Brachmann; Richard H Lathrop,Many biomedical problems relate to mutant functional properties across a sequence spaceof interest; eg; flu; cancer; and HIV. Detailed knowledge of mutant properties and functionimproves medical treatment and prevention. A functional census of p53 cancer rescuemutants would aid the search for cancer treatments from p53 mutant rescue. We devised ageneral methodology for conducting a functional census of a mutation sequence space bychoosing informative mutants early. The methodology was tested in a double-blindpredictive test on the functional rescue property of 71 novel putative p53 cancer rescuemutants iteratively predicted in sets of three (24 iterations). The first double-blind 15-pointmoving accuracy was 47 percent and the last was 86 percent; r= 0.01 before an epiphanic16th iteration and r= 0.92 afterward. Useful mutants were chosen early (overall r= 0.80) …,IEEE/ACM transactions on computational biology and bioinformatics,2006,32
Machine learning and prediction in medicine-beyond the peak of inflated expectations,Jonathan H Chen; Steven M Asch,Big data; we have all heard; promise to transform health care with the widespread capture ofelectronic health records and high-volume data streams from sources ranging frominsurance claims and registries to personal genomics and biosensors. 1 Artificial-intelligence and machinelearning predictive algorithms; which can already automaticallydrive cars; recognize spoken language; and detect credit card fraud; are the keys tounlocking the data that can precisely inform real-time decisions. But in the “hype cycle” ofemerging technologies; machine learning now rides atop the “peak of inflated expectations.”2 Prediction is not new to medicine. From risk scores to guide anticoagulation (CHADS2)and the use of cholesterol medications (ASCVD) to risk stratification of patients in theintensive care unit (APACHE); data-driven clinical predictions are routine in medical …,N Engl J Med,2017,28
Synthesis explorer: a chemical reaction tutorial system for organic synthesis design and mechanism prediction,Jonathan H Chen; Pierre Baldi,Synthesis Explorer is an interactive tutorial system for organic chemistry that enablesstudents to learn chemical reactions in ways previously unrealized. Accessible onlinethrough a user-friendly Web interface; Synthesis Explorer delivers a rich learning experienceincluding dynamic generation of customized multi-step synthesis design and mechanismprediction problems; context-specific feedback; and support for inquiry-based learningthrough experimentation and interactive dialogue with the system. The system is foundedupon a reaction expert system based on over 80 reagent models and 1500 manually-composed reaction patterns; representing the undergraduate organic chemistry curriculum.These reaction models confer the system inherent predictive powers enabling it to generatea virtually limitless number of problems and to answer common questions of reactivity …,Journal of chemical education,2008,27
OrderRex: clinical order decision support and outcome predictions by data-mining electronic medical records,Jonathan H Chen; Tanya Podchiyska; Russ B Altman,Abstract Objective: To answer a “grand challenge” in clinical decision support; the authorsproduced a recommender system that automatically data-mines inpatient decision supportfrom electronic medical records (EMR); analogous to Netflix or Amazon. com's productrecommender. Materials and Methods: EMR data were extracted from 1 year ofhospitalizations (> 18K patients with> 5.4 M structured items including clinical orders; labresults; and diagnosis codes). Association statistics were counted for the∼ 1.5 K mostcommon items to drive an order recommender. The authors assessed the recommender'sability to predict hospital admission orders and outcomes based on initial encounter datafrom separate validation patients. Results: Compared to a reference benchmark of using theoverall most common orders; the recommender using temporal relationships improves …,Journal of the American Medical Informatics Association,2015,14
Automated physician order recommendations and outcome predictions by data-mining electronic medical records,Jonathan H Chen; Russ B Altman,Abstract The meaningful use of electronic medical records (EMR) will come from effectiveclinical decision support (CDS) applied to physician orders; the concrete manifestation ofclinical decision making. CDS development is currently limited by a top-down approach;requiring manual production and limited end-user awareness. A statistical data-miningalternative automatically extracts expertise as association statistics from structured EMRdata (> 5.4 M data elements from> 19K inpatient encounters). This powers an orderrecommendation system analogous to commercial systems (eg; Amazon. com's “Customerswho bought this…”). Compared to a standard benchmark; the association method improvesorder prediction precision from 26% to 37%(p< 0.01). Introducing an inverse frequencyweighted recall metric demonstrates a quantifiable improvement from 3% to 17%(p< 0.01) …,AMIA Summits on Translational Science proceedings,2014,12
Development and Evaluation of an Electronic Health Record–Based Best-Practice Discharge Checklist for Hospital Patients,Trit Garg; Jonathan Y Lee; Kambria H Evans; Jonathan Chen; Lisa Shieh,Article-at-a-Glance Background Checklists may help reduce discharge errors; however;current paper checklists have limited functionality. In 2013 a best-practice dischargechecklist using the electronic health record (EHR) was developed and evaluated at StanfordUniversity Medical Center (Stanford; California) in a cluster randomized trial to evaluate itsusage; user satisfaction; and impact on physicians' work flow. Methods The study wasdivided into four phases. Results In Phase I; on the survey (N= 76); most of the participants(54.0%) reported using memory to remember discharge tasks. On a 0–100 scale; perceptionof checklists as being useful was strong (mean; 66.4; standard deviation [SD]; 21.2); as wasinterest in EHR checklists (64.5; 26.6). In Phase II; the checklist consisted of 15 taskscategorized by admission; hospitalization; and discharge-planning. In Phase III; the …,Joint Commission journal on quality and patient safety,2015,7
Why providers transfuse blood products outside recommended guidelines in spite of integrated electronic best practice alerts,Jonathan H Chen; Daniel Z Fang; Lawrence Tim Goodnough; Kambria H Evans; Martina Lee Porter; Lisa Shieh,Best practice alerts (BPAs) provide clinical decision support (CDS) at the point of care to reduceunnecessary blood product transfusions; yet substantial transfusions continue outside of recommendedguidelines … To understand why providers order blood transfusions outside of recommendedguidelines despite interruptive alerts … Provider-BPA interaction data were collected from January2011 to August 2012 from the hospital electronic medical record … Provider (free-text) responsesto blood transfusion BPA prompts were independently reviewed and categorized by 2 licensedphysicians; with agreement assessed by χ 2 analysis and kappa scoring … Rationale for overridingblood transfusion BPAs was highly diverse; acute bleeding being the most common (>34%);followed by protocolized behaviors on specialty services (up to 26%); to “symptomatic” anemia(11%–12%). Many providers transfused in anticipation of surgical or procedural …,Journal of hospital medicine,2015,7
Fulfilling outpatient medicine responsibilities during internal medicine residency: a quantitative study of housestaff participation with between visit tasks,Jason Hom; Ilana Richman; Jonathan H Chen; Baldeep Singh; Casey Crump; Jeffrey Chi,Internal Medicine residents experience conflict between inpatient and outpatient medicineresponsibilities. Outpatient “between visit” responsibilities such as reviewing lab andimaging data; responding to medication refill requests and replying to patient inquiriescompete for time and attention with inpatient duties. By examining Electronic Health Record(EHR) audits; our study quantitatively describes this balance between competingresponsibilities; focusing on housestaff participation with “between visit” outpatientresponsibilities. We examined EHR log-in data from 2012–2013 for 41 residents (R1 to R3)assigned to a large academic center's continuity clinic. From the EHR log-in data; weexamined housestaff compliance with “between visit” tasks; based on official clinicstandards. We used generalized estimating equations to evaluate housestaff compliance …,BMC medical education,2016,6
Use of opioid agonist therapy for medicare patients in 2013,Anna Lembke; Jonathan H Chen,Methods We examined data from individual prescribers from the 2013 Medicare Part Dclaims data set created by the Centers for Medicare and Medicaid Services. Part D coversapproximately 68% of the roughly 55 million people on Medicare. For each of the included808 020 prescriber National Provider Identifier numbers; the data identify each drugprescribed; number of beneficiaries; total number of claims; and total costs. Each NationalProvider Identifier includes location and specialty of practice. The data represent 1 188 393892 claims that cost $80 941 763 731. We focused on buprenorphine-naloxone and how theprescription of buprenorphine-naloxone compares with the prescription of Schedule II opioidpainkillers. Institutional review board approval and patient consent were waived becausethe data were deidentified and publicly available. Results We found 6707 prescribers with …,JAMA psychiatry,2016,6
Mining for clinical expertise in (undocumented) order sets to power an order suggestion system,Jonathan H Chen; Russ B Altman,Abstract Physician orders; the concrete manifestation of clinical decision making; areenhanced by the distribution of clinical expertise in the form of order sets and corollaryorders. Conventional order sets are top-down distributed by committees of experts; limitedby the cost of manual development; maintenance; and limited end-user awareness. Analternative explored here applies statistical data-mining to physician order data (> 330Korder instances from> 1.4 K inpatient encounters) to extract clinical expertise from the bottom-up. This powers a corollary order suggestion engine using techniques analogous tocommercial product recommendation systems (eg; Amazon. com's “Customers who boughtthis…” feature). Compared to a simple benchmark; the item-based association methodillustrated here improves order prediction precision from 13% to 18% and further to 28 …,AMIA Summits on Translational Science Proceedings,2013,6
Patient outcomes when Housestaff exceed 80 hours per week,David Ouyang; Jonathan H Chen; Gomathi Krishnan; Jason Hom; Ronald Witteles; Jeffrey Chi,Abstract Background It has been posited that high workload and long work hours for traineescould affect the quality and efficiency of patient care. Duty hour restrictions seek to balancepatient care and resident education by limiting resident work hours. Through a retrospectivecohort study; we investigated whether patient care on an inpatient general medicine serviceat a large academic medical center is impacted when housestaff work more than 80 hoursper week. Methods We identified all admissions to a housestaff-run general medicineservice between June 25; 2013 and June 29; 2014. Each hospitalization was classified bywhether the patient was admitted by housestaff who have worked more than 80 hours perweek during their hospitalization. Housestaff computer activity and duty hours werecalculated by institutional electronic heath record audit; as well as length of stay and a …,The American journal of medicine,2016,4
