Roles of continuous neurogenesis in the structural and functional integrity of the adult forebrain,Itaru Imayoshi; Masayuki Sakamoto; Toshiyuki Ohtsuka; Keizo Takao; Tsuyoshi Miyakawa; Masahiro Yamaguchi; Kensaku Mori; Toshio Ikeda; Shigeyoshi Itohara; Ryoichiro Kageyama,Abstract Neurogenesis occurs continuously in the forebrain of adult mammals; but thefunctional importance of adult neurogenesis is still unclear. Here; using a genetic labelingmethod in adult mice; we found that continuous neurogenesis results in the replacement ofthe majority of granule neurons in the olfactory bulb and a substantial addition of granuleneurons to the hippocampal dentate gyrus. Genetic ablation of newly formed neurons inadult mice led to a gradual decrease in the number of granule cells in the olfactory bulb;inhibition of increases in the granule cell number in the dentate gyrus and impairment ofbehaviors in contextual and spatial memory; which are known to depend on hippocampus.These results suggest that continuous neurogenesis is required for the maintenance andreorganization of the whole interneuron system in the olfactory bulb; the modulation and …,Nature neuroscience,2008,833
NFAT dysregulation by increased dosage of DSCR1 and DYRK1A on chromosome 21,Joseph R Arron; Monte M Winslow; Alberto Polleri; Ching-Pin Chang; Hai Wu; Xin Gao; Joel R Neilson; Lei Chen; Jeremy J Heit; Seung K Kim; Nobuyuki Yamasaki; Tsuyoshi Miyakawa; Uta Francke; Isabella A Graef; Gerald R Crabtree,Abstract Trisomy 21 results in Down's syndrome; but little is known about how a 1.5-foldincrease in gene dosage produces the pleiotropic phenotypes of Down's syndrome. Herewe report that two genes; DSCR1 and DYRK1A; lie within the critical region of humanchromosome 21 and act synergistically to prevent nuclear occupancy of NFATc transcriptionfactors; which are regulators of vertebrate development. We use mathematical modelling topredict that autoregulation within the pathway accentuates the effects of trisomy of DSCR1and DYRK1A; leading to failure to activate NFATc target genes under specific conditions.Our observations of calcineurin-and Nfatc-deficient mice; Dscr1-and Dyrk1a–overexpressingmice; mouse models of Down's syndrome and human trisomy 21 are consistent with thesepredictions. We suggest that the 1.5-fold increase in dosage of DSCR1 and DYRK1A …,Nature,2006,571
Forebrain-specific calcineurin knockout selectively impairs bidirectional synaptic plasticity and working/episodic-like memory,Hongkui Zeng; Sumantra Chattarji; Michaela Barbarosie; Laure Rondi-Reig; Benjamin D Philpot; Tsuyoshi Miyakawa; Mark F Bear; Susumu Tonegawa,Abstract Calcineurin is a calcium-dependent protein phosphatase that has been implicatedin various aspects of synaptic plasticity. By using conditional gene-targeting techniques; wecreated mice in which calcineurin activity is disrupted specifically in the adult forebrain. Athippocampal Schaffer collateral-CA1 synapses; LTD was significantly diminished; and therewas a significant shift in the LTD/LTP modification threshold in mutant mice. Strikingly;although performance was normal in hippocampus-dependent reference memory tasks;including contextual fear conditioning and the Morris water maze; the mutant mice wereimpaired in hippocampus-dependent working and episodic-like memory tasks; including thedelayed matching-to-place task and the radial maze task. Our results define a critical role forcalcineurin in bidirectional synaptic plasticity and suggest a novel mechanistic distinction …,Cell,2001,440
Conditional calcineurin knockout mice exhibit multiple abnormal behaviors related to schizophrenia,Tsuyoshi Miyakawa; Lorene M Leiter; David J Gerber; Raul R Gainetdinov; Tatyana D Sotnikova; Hongkui Zeng; Marc G Caron; Susumu Tonegawa,Abstract Calcineurin (CN); a calcium-and calmodulin-dependent protein phosphatase; playsa significant role in the central nervous system. Previously; we reported that forebrain-specific CN knockout mice (CN mutant mice) have impaired working memory. To furtheranalyze the behavioral effects of CN deficiency; we subjected CN mutant mice to acomprehensive behavioral test battery. Mutant mice showed increased locomotor activity;decreased social interaction; and impairments in prepulse inhibition and latent inhibition. Inaddition; CN mutant mice displayed an increased response to the locomotor stimulatingeffects of MK-801. Collectively; the abnormalities of CN mutant mice are strikingly similar tothose described for schizophrenia. We propose that alterations affecting CN signaling couldcomprise a contributing factor in schizophrenia pathogenesis.,PNAS,2003,421
Mice lacking the M3 muscarinic acetylcholine receptor are hypophagic and lean,Masahisa Yamada; Tsuyoshi Miyakawa; Alokesh Duttaroy; Akihiro Yamanaka; Toru Moriguchi; Ryosuke Makita; Masaharu Ogawa; Chieh J Chou; Bing Xia; Jacqueline N Crawley; Christian C Felder; Chu-Xia Deng; Jürgen Wess,Abstract Members of the muscarinic acetylcholine receptor family (M1–M5) have centralroles in the regulation of many fundamental physiological functions 1; 2. Identifying thespecific receptor subtype (s) that mediate the diverse muscarinic actions of acetylcholine isof considerable therapeutic interest; but has proved difficult primarily because of a lack ofsubtype-selective ligands 3. Here we show that mice deficient in the M3 muscarinic receptor(M3R-/-mice) display a significant decrease in food intake; reduced body weight andperipheral fat deposits; and very low levels of serum leptin and insulin. Paradoxically;hypothalamic messenger RNA levels of melanin-concentrating hormone (MCH); which arenormally upregulated in fasted animals leading to an increase in food intake 4; 5; aresignificantly reduced in M3R-/-mice. Intra-cerebroventricular injection studies show that …,Nature,2001,367
Hyperactivity and intact hippocampus-dependent learning in mice lacking the M1 muscarinic acetylcholine receptor,Tsuyoshi Miyakawa; Masahisa Yamada; Alokesh Duttaroy; Jürgen Wess,Members of the muscarinic acetylcholine receptor family are thought to play key roles in theregulation of a large number of important functions of the CNS. However; the precise roles ofthe individual muscarinic receptor subtypes in modulating these processes are not wellunderstood at present; primarily because of the lack of ligands with sufficient receptorsubtype selectivity. To investigate the behavioral significance of the M 1 muscarinic receptor(M 1 R); which is abundantly expressed in the forebrain; we subjected M 1 receptor-deficientmice (M 1 R−/− mice) to a battery of behavioral tests. M 1 R−/− mice showed no significantimpairments in neurological reflexes; motor coordination; pain sensitivity; and prepulseinhibition. Strikingly; however; M 1 R−/− mice consistently exhibited a pronounced increasein locomotor activity in various tests; including open field; elevated plus maze; and light …,Journal of Neuroscience,2001,336
Abnormal behavior in a chromosome-engineered mouse model for human 15q11-13 duplication seen in autism,Jin Nakatani; Kota Tamada; Fumiyuki Hatanaka; Satoko Ise; Hisashi Ohta; Kiyoshi Inoue; Shozo Tomonaga; Yasuhito Watanabe; Yeun Jun Chung; Ruby Banerjee; Kazuya Iwamoto; Tadafumi Kato; Makoto Okazawa; Kenta Yamauchi; Koichi Tanda; Keizo Takao; Tsuyoshi Miyakawa; Allan Bradley; Toru Takumi,Substantial evidence suggests that chromosomal abnormalities contribute to the risk ofautism. The duplication of human chromosome 15q11-13 is known to be the most frequentcytogenetic abnormality in autism. We have modeled this genetic change in mice by usingchromosome engineering to generate a 6.3 Mb duplication of the conserved linkage groupon mouse chromosome 7. Mice with a paternal duplication display poor social interaction;behavioral inflexibility; abnormal ultrasonic vocalizations; and correlates of anxiety. Anincreased MBII52 snoRNA within the duplicated region; affecting the serotonin 2c receptor(5-HT2cR); correlates with altered intracellular Ca2+ responses elicited by a 5-HT2cRagonist in neurons of mice with a paternal duplication. This chromosome-engineered mousemodel for autism seems to replicate various aspects of human autistic phenotypes and …,Cell,2009,313
Fyn-kinase as a determinant of ethanol sensitivity: relation to NMDA-receptor function,Tsuyoshi Miyakawa; Takeshi Yagi; Hiromasa Kitazawa; Masahiro Yasuda; Nobufumi Kawai; Kenta Tsuboi; Hiroaki Niki,Animals vary in their sensitivity to ethanol; a trait at least partly determined by genetic factors.In order to identify possible responsible genes; mice lacking Fyn; a non–receptor typetyrosine kinase; were investigated. These mice were hypersensitive to the hypnotic effect ofethanol. The administration of ethanol enhanced tyrosine phosphorylation of theN-methyl-d-aspartate receptor (NMDAR) in the hippocampus of control mice but not in Fyn-deficientmice. An acute tolerance to ethanol inhibition of NMDAR-mediated excitatory postsynapticpotentials in hippocampal slices developed in control mice but not in Fyn-deficient mice.These results indicate that Fyn affects behavioral; biochemical; and physiological responsesto ethanol.,Science,1997,304
Hippocampal neurogenesis regulates forgetting during adulthood and infancy,Katherine G Akers; Alonso Martinez-Canabal; Leonardo Restivo; Adelaide P Yiu; Antonietta De Cristofaro; Hwa-Lin Liz Hsiang; Anne L Wheeler; Axel Guskjolen; Yosuke Niibori; Hirotaka Shoji; Koji Ohira; Blake A Richards; Tsuyoshi Miyakawa; Sheena A Josselyn; Paul W Frankland,Throughout life; new neurons are continuously added to the dentate gyrus. As thiscontinuous addition remodels hippocampal circuits; computational models predict thatneurogenesis leads to degradation or forgetting of established memories. Consistent withthis; increasing neurogenesis after the formation of a memory was sufficient to induceforgetting in adult mice. By contrast; during infancy; when hippocampal neurogenesis levelsare high and freshly generated memories tend to be rapidly forgotten (infantile amnesia);decreasing neurogenesis after memory formation mitigated forgetting. In precocial species;including guinea pigs and degus; most granule cells are generated prenatally. Consistentwith reduced levels of postnatal hippocampal neurogenesis; infant guinea pigs and degusdid not exhibit forgetting. However; increasing neurogenesis after memory formation …,Science,2014,282
Evidence for association of schizophrenia with genetic variation in the 8p21. 3 gene; PPP3CC; encoding the calcineurin gamma subunit,David J Gerber; Diana Hall; Tsuyoshi Miyakawa; Sandra Demars; Joseph A Gogos; Maria Karayiorgou; Susumu Tonegawa,Abstract Schizophrenia is a severe psychiatric disorder characterized by a complex mode ofinheritance. Forebrain-specific CNB knockout mice display a spectrum of behavioralabnormalities related to altered behaviors observed in schizophrenia patients. To examinewhether calcineurin dysfunction is involved in schizophrenia etiology; we undertook studiesof an initial subset of calcineurin-related genes; prioritizing ones that map to loci previouslyimplicated in schizophrenia by linkage studies. Transmission disequilibrium studies in alarge sample of affected families detected association of the PPP3CC gene; which encodesthe calcineurin γ catalytic subunit; with disease. Our results identify PPP3CC; located at8p21. 3; as a potential schizophrenia susceptibility gene and support the proposal thatalterations in calcineurin signaling contribute to schizophrenia pathogenesis.,PNAS,2003,276
Genomic responses in mouse models greatly mimic human inflammatory diseases,Keizo Takao; Tsuyoshi Miyakawa,Abstract The use of mice as animal models has long been considered essential in modernbiomedical research; but the role of mouse models in research was challenged by a recentreport that genomic responses in mouse models poorly mimic human inflammatorydiseases. Here we reevaluated the same gene expression datasets used in the previousstudy by focusing on genes whose expression levels were significantly changed in bothhumans and mice. Contrary to the previous findings; the gene expression levels in themouse models showed extraordinarily significant correlations with those of the humanconditions (Spearman's rank correlation coefficient: 0.43–0.68; genes changed in the samedirection: 77–93%; P= 6.5× 10− 11 to 1.2× 10− 35). Moreover; meta-analysis of thosedatasets revealed a number of pathways/biogroups commonly regulated by multiple …,Proceedings of the National Academy of Sciences,2015,250
Smaller dendritic spines; weaker synaptic transmission; but enhanced spatial learning in mice lacking Shank1,Albert Y Hung; Kensuke Futai; Carlo Sala; Juli G Valtschanoff; Jubin Ryu; Mollie A Woodworth; Fleur L Kidd; Clifford C Sung; Tsuyoshi Miyakawa; Mark F Bear; Richard J Weinberg; Morgan Sheng,Experience-dependent changes in the structure of dendritic spines may contribute tolearning and memory. Encoded by three genes; the Shank family of postsynaptic scaffoldproteins are abundant and enriched in the postsynaptic density (PSD) of central excitatorysynapses. When expressed in cultured hippocampal neurons; Shank promotes thematuration and enlargement of dendritic spines. Recently; Shank3 has been geneticallyimplicated in human autism; suggesting an important role for Shank proteins in normalcognitive development. Here; we report the phenotype of Shank1 knock-out mice. Shank1mutants showed altered PSD protein composition; reduced size of dendritic spines; smaller;thinner PSDs; and weaker basal synaptic transmission. Standard measures of synapticplasticity were normal. Behaviorally; they had increased anxiety-related behavior and …,Journal of Neuroscience,2008,250
Schizophrenia-relevant behavioral testing in rodent models: a uniquely human disorder?,Craig M Powell; Tsuyoshi Miyakawa,Animal models are extremely useful tools in defining pathogenesis and treatment of humandisease. Creating adequate animal models of complex neuropsychiatric disorders such asschizophrenia represents a particularly difficult challenge. In the case of schizophrenia; littleis certain regarding the etiology or pathophysiology of the human disease. In addition; manysymptoms of the disorder are difficult to measure directly in rodents. These challenges havenot daunted neuroscientists who are capitalizing on even subtle overlaps between thisuniquely human disorder and rodent behavior. In this perspective; we detail the features ofideal animal models of schizophrenia; the potential utility of such models; and the rodentbehaviors used to model certain aspects of schizophrenia. The development of such modelswill provide critical tools to understand the pathogenesis of schizophrenia and novel …,Biological psychiatry,2006,248
