Processes of technological innovation,Louis G Tornatzky; Mitchell Fleischer; Alok K Chakrabarti,*,*,1990,3449
Generic knowledge strategies in the US pharmaceutical industry,Paul Bierly; Alok Chakrabarti,Summary The purpose of this study is to identify groups of firms with similar genericknowledge strategies; determine how these strategies change over time; and compare profitmargins of the groups. Knowledge strategies of 21 US pharmaceutical firms are analyzedfrom 1977 to 1991. Cluster analysis is used to group firms over different time periods basedon:(a) balance between internal and external learning;(b) preference for radical orincremental learning;(c) learning speed; and (d) breadth of knowledge base. Our findingsindicate that there are four generic knowledge strategy groups:'Explorers';'Exploiters';'Loners'; and 'Innovators'. Most firms remain in the same knowledge group over time. The firms inthe 'Innovator'and 'Explorer'groups tend to be more profitable than the firms in the'Exploiter'and 'Loner'groups.,*,1999,1358
Innovation speed: A conceptual model of context; antecedents; and outcomes,Eric H Kessler; Alok K Chakrabarti,Abstract There is a growing recognition that innovation speed is important to a firm's creatingand sustaining competitive advantage amidst rapidly changing business environments.However; there has been little theoretical advancement or model building regarding wheninnovation speed is appropriate; what factors speed up innovations; and how differences inspeed affect project outcomes. In this article; we organize and integrate the innovationspeed literature; develop a conceptual framework of innovation speed; and offerresearchable propositions relating to the need for and antecedents and outcomes ofinnovation speed. Specifically; we argue that innovation speed (a) is most appropriate inenvironments characterized by competitive intensity; technological and market dynamism;and low regulatory restrictiveness;(b) can be positively or negatively affected by strategic …,Academy of Management Review,1996,919
Firm size and technology centrality in industry–university interactions,Michael D Santoro; Alok K Chakrabarti,Abstract University research centers can be beneficial to industrial firms by providing firmswith a number of relationship alternatives that facilitate the advancement of knowledge andnew technologies. This multi-method field study indicates that larger more mechanistic firmsespecially those in resource intense industrial sectors use knowledge transfer and researchsupport relationships to build competencies in non-core technological areas. In contrast;smaller more organic firms particularly those in high tech industrial sectors focus more onproblem solving in core technological areas through technology transfer and cooperativeresearch relationships. We also found that champions at the firm play a key role in thesedynamics. Implications for industry and universities are discussed.,Research policy,2002,596
Computer anxiety and attitudes towards microcomputer use,Magid Igbaria; Alok Chakrabarti,Abstract Survey data gathered from 187 participants were used to examine the relationshipbetween demographic variables; computer training and experience; management supportand system quality and computer anxiety; and attitudes toward microcomputers. Results ofhierarchical multiple regression analysis showed that the quality of the computer-basedinformation system which represents the interface and the interaction between theparticipants and the system has a strong positive effect on attitudes toward microcomputers;and a significant reduction on computer anxiety. Computer training contributes strongly todecrease in computer anxiety and has an indirect effect on attitudes toward microcomputers.However; computer experience and management support were found to affect the attitudestoward microcomputers directly. Among the demographic variables; gender was the only …,Behaviour & Information Technology,1990,591
The role of champion in product innovation,Alok K Chakrabarti,In observing that the primary reasons for lack of innovation in organizations are (I) inertia inputting forth the idea;(2) fear of criticism if the idea is offered;(3) feeling of futility about thelikelihood that the idea will be well received or acted on;(4) lack of attention paid to the ideaat early stages; Marvin Bower; Managing Director ofMcKinsey & Company advocated thatsuccessful innovation requires attention of the top management and a nurturing atmosphere.I From his experiences as the Chief Executive of Bell and Howell; Peter G. Petersonconcluded that the following three conditions are necessary for successful innovations in anorganization:(I) some amount of flexible structure is necessary for defining the problem andneed ofthe organization;(2) a minimum number of people to prevent mangling the idea; and(3) a moderate amount of humility toward intellectual ability is needed to generate some …,California management review,1974,467
Factors influencing innovation success at the project level,Albert H Rubenstein; Alok K Chakrabarti; Robert D O'Keefe; William E Souder; HC Young,The project covered by this paper was aimed at: 1) identifying those barriers and facilitatorswhich are actually encountered in the innovation process in US industrial organizations atthe project level; 2) assessing the type and range of these factors; and 3) attempting toassess their impact on the research and development (RD/1) process. There have been anumber of studies of the RD/1 process at the organizational level; including the oneconducted by AD Little and the Industrial Research Institute; which have yielded sets ofbarriers perceived as inhibiting the process (1). Prior studies have served to identify factorsbelieved to be potentially relevant for industrial RD/1 in general. This study attempted tocarry our understanding one step further by investigating how these factors enter into theongoing RD/1 process at the points where decisions are being made and the work is …,Research management,1976,375
Speeding up the pace of new product development,Eric H Kessler; Alok K Chakrabarti,Abstract This study empirically investigates a wide array of factors that have been argued todifferentiate fast from slow innovation processes from the perspective of the research anddevelopment organization. We test the effects of strategic orientation (criteria-and scope-related variables) and organizational capability (staffing-and structuring-related variables)on the speed of 75 new product development projects from ten large firms in severalindustries. Backward-elimination regression analysis revealed that (a) clear time-goals;longer tenure among team members; and parallel development increased speed; whereas(b) design for manufacturability; frequent product testing; and computer-aided designsystems decreased speed. However; when projects were sorted by magnitude of change;different factors were found to influence the speed of radical and incremental projects …,Journal of product innovation management,1999,365
Arbeitsteilung im Innovationsmanagement,Jürgen Hauschildt; Alok K Chakrabarti,Zusammenfassung Entgegen weit verbreiteten Vorstellungen war es Joseph Schumpeter;der darauf aufmerksam machte; daß Innovation; das “Durchsetzen neuer Kombinationen”;das Zusammenwirken höchst unterschiedlicher Menschen erfordert:“Und die Funktion desDurchführens neuer Kombinationen und die der Erweiterung unsrer Erkenntnis; dieFunktion des Unternehmers und die Funktion des Erfinders sind ganz verschiedene Dinge.Der Unternehmer ist weder prinzipiell selbst Erfinder—wo er es ist; liegt eine zufälligeVereinigung verschiedener Funktionen vor—; noch ist er der Handlanger undOrdonnanzoffizier des Erfinders; so daß der Erfmder der eigentliche Unternehmer wäre.”(1.Aufl.; 1912; S. 178).,*,1999,345
Innovation and the productivity crisis,Martin Neil Baily; Alok K Chakrabarti,The collapse of US productivity growth since the late 1960s has been the most severe andpersistent of recent economic problems. This volume reviews the extent of the growthslowdown; evaluates several contributing factors; and suggests strategies for improvement.The authors find that inflation; recessions; oil price fluctuations; and other economicdisruptions in the 1970s had an averse effect on economic performance; but; they suggest; aslowing in the pace of innovation and a failure to exploit the benefits of innovation alsocontributed to the weakness in productivity. Baily and Chakrabarti provide a comprehensiveassessment of US technology policy and its importance to growth. They argue for continuedsupport of basic science; even though strength in this area does not give the US economyan immediate competitive advantage; and advocate increased support for" middle ground …,*,2011,306
Marketing high technology,William H Davidow,THE FREE PRESS A Division of Simon & Schuster Inc. 1230 Avenue of the Americas NewYork; NY10020 www.SimonandSchuster.com Copyright© 1986by William H.Davidow All rightsreserved; including the right of reproduction in whole or in part inanyform. THE FREEPRESSand colophon are trademarks of Simon& Schuster Inc. Manufactured in theUnited StatesofAmerica20 Library of Congress CataloginginPublication Data Davidow; William H. Marketing hightechnology. Includes index. 1. High technology—Marketing. 2. Marketing. I. Title. HC79.H53D381986 621.381′7′ 06888528061 ISBN 002907990X ISBN: 9780029079904 eISBN:9781439107553 … To Sonja the Perceiver; Carolyn the Creator; and Becky the Analyzer; whosesupport; ideas; and insights have helped so much … Contents Foreword AcknowledgmentsIntroduction 1. Crush the Competition 2. The Winning Strategy 3 …,*,1986,268
