RQL: a declarative query language for RDF,Gregory Karvounarakis; Sofia Alexaki; Vassilis Christophides; Dimitris Plexousakis; Michel Scholl,Abstract Real-scale Semantic Web applications; such as Knowledge Portals and E-Marketplaces; require the management of large volumes of metadata; ie; informationdescribing the available Web content and services. Better knowledge about their meaning;usage; accessibility or quality will considerably facilitate an automated processing of Webresources. The Resource Description Framework (RDF) enables the creation and exchangeof metadata as normal Web data. Although voluminous RDF descriptions are alreadyappearing; sufficiently expressive declarative languages for querying both RDF descriptionsand schemas are still missing. In this paper; we propose a new RDF query language calledRQL. It is a typed functional language (a la OQL) and relies on a formal model for directedlabeled graphs permitting the interpretation of superimposed resource descriptions by …,Proceedings of the 11th international conference on World Wide Web,2002,709
From structured documents to novel query facilities,Vassilis Christophides; Serge Abiteboul; Sophie Cluet; Michel Scholl,Abstract Structured documents (eg; SGML) can benefit a lot from database support and morespecifically from object-oriented database (OODB) management systems. This paperdescribes a natural mapping from SGML documents into OODB's and a formal extension oftwo OODB query languages (one SQL-like and the other calculus) in order to deal withSGML document retrieval. Although motivated by structured documents; the extensions ofquery languages that we present are general and useful for a variety of other OODBapplications. A key element is the introduction of paths as first class citizens. The newfeatures allow to query data (and to some extent schema) without exact knowledge of theschema in a simple and homogeneous fashion.,ACM SIGMOD Record,1994,496
The ICS-FORTH RDFSuite: Managing Voluminous RDF Description Bases.,Sofia Alexaki; Vassilis Christophides; Gregory Karvounarakis; Dimitris Plexousakis; Karsten Tolle,ABSTRACT Metadata are widely used in order to fully exploit information resourcesavailable on corporate intranets or the Internet. The Resource Description Framework (RDF)aims at facilitating the creation and exchange of metadata as any other Web data. Thegrowing number of available information resources and the proliferation of descriptionservices in various user communities; lead nowadays to large volumes of RDF metadata.Managing such RDF resource descriptions and schemas with existing low-level APIs andfile-based implementations does not ensure fast deployment and easy maintenance of real-scale RDF applications. In this paper; we advocate the use of database technology tosupport declarative access; as well as; logical and physical independence for voluminousRDF description bases. We present RDFSuite; a suite of tools for RDF validation; storage …,SemWeb,2001,364
E-services: a look behind the curtain,Richard Hull; Michael Benedikt; Vassilis Christophides; Jianwen Su,Abstract The emerging paradigm of electronic services promises to bring to distributedcomputation and services the flexibility that the web has brought to the sharing ofdocuments. An understanding of fundamental properties of e-service composition isrequired in order to take full advantage of the paradigm. This paper examines proposals andstandards for e-services from the perspectives of XML; data management; workflow; andprocess models. Key areas for study are identified; including behavioral service signatures;verification and synthesis techniques for composite services; analysis of service datamanipulation commands; and XML analysis applied to service specifications. We give asample of the relevant results and techniques in each of these areas.,Proceedings of the twenty-second ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2003,316
On wrapping query languages and efficient XML integration,Vassilis Christophides; Sophie Cluet; Jérǒme Simèon,Abstract Modern applications (Web portals; digital libraries; etc.) require integrated access tovarious information sources (from traditional DBMS to semistructured Web repositories); fastdeployment and low maintenance cost in a rapidly evolving environment. Because of itsflexibility; there is an increasing interest in using XML as a middleware model for suchapplications. XML enables fast wrapping and declarative integration. However; queryprocessing in XML-based integration systems is still penalized by the lack of an algebra withadequate optimization properties and the difficulty to understand source query capabilities.In this paper; we propose an algebraic approach to support efficient XML query evaluation.We define a general purpose algebra suitable for semistructured on XML query languages.We show how this algebra can be used; with appropriate type information; to also wrap …,ACM SIGMOD Record,2000,257
Querying documents in object databases,Serge Abiteboul; Sophie Cluet; Vassilis Christophides; Tova Milo; Guido Moerkotte; Jérôme Siméon,structuring schemas that consist in grammars annotated with database programs. To querydocuments; we introduce an extension of OQL; the ODMG standard query language forobject databases. Our extension (named OQL-doc) allows us to query documents without aprecise knowledge of their structure using in particular generalized path expressions andpattern matching. This allows us to introduce in a declarative language (in the style of SQLor OQL); navigational and information retrieval styles of accessing data. Query processing inthe context of documents and path expressions leads to challenging implementation issues.We extend an object algebra with new operators to deal with generalized path expressions.We then consider two essential complementary optimization techniques. We show thatalmost standard database optimization techniques can be used to answer queries without …,International Journal on Digital Libraries,1997,223
Benchmarking database representations of RDF/S stores,Yannis Theoharis; Vassilis Christophides; Grigoris Karvounarakis,Abstract In this paper we benchmark three popular database representations of RDF/Sschemata and data:(a) a schema-aware (ie; one table per RDF/S class or property) withexplicit (ISA) or implicit (NOISA) storage of subsumption relationships;(b) a schema-oblivious (ie; a single table with triples of the form); using (ID) or not (URI) identifiers torepresent resources and (c) a hybrid of the schema-aware and schema-obliviousrepresentations (ie; one table per RDF/S meta-class by distinguishing also the range type ofproperties). Furthermore; we benchmark two common approaches for evaluating taxonomicqueries either on-the-fly (ISA; NOISA; Hybrid); or by precomputing the transitive closure ofsubsumption relationships (MatView; URI; ID). The main conclusion drawn from ourexperiments is that the evaluation of taxonomic queries is most efficient over RDF/S …,International Semantic Web Conference,2005,147
Evaluating queries with generalized path expressions,Vassilis Christophides; Sophie Cluet; Guido Moerkotte,Abstract In the past few years; query languages featuring generalized path expressionshave been proposed. These languages allow the interrogation of both data and structure.They are powerful and essential for a number of applications. However; until now; theirevaluation has relied on a rather naive and inefficient algorithm. In this paper; we extend anobject algebra with two new operators and present some interesting rewriting techniques forqueries featuring generalized path expressions. We also show how a query optimizer canintegrate the new techniques.,ACM SIGMOD Record,1996,140
On labeling schemes for the semantic web,Vassilis Christophides; Dimitris Plexousakis; Michel Scholl; Sotirios Tourtounis,Abstract This paper focuses on the optimization of the navigation through voluminoussubsumption hierarchies of topics employed by Portal Catalogs like Netscape OpenDirectory (ODP). We advocate for the use of labeling schemes for modeling thesehierarchies in order to efficiently answer queries such as subsumption check; descendants;ancestors or nearest common ancestor; which usually require costly transitive closurecomputations. We first give a qualitative comparison of three main families of schemes;namely bit vector; prefix and interval based schemes. We then show that two labelingschemes are good candidates for an efficient implementation of label querying usingstandard relational DBMS; namely; the Dewey Prefix scheme [6] and an Interval scheme byAgrawal; Borgida and Jagadish [1]. We compare their storage and query evaluation …,Proceedings of the 12th international conference on World Wide Web,2003,134
A survey on ontology tools,Asun G Perez; Juergen Angele; Mariano F Lopez; V Christophides; Athur Stutt; York Sure,Search all the public and authenticated articles in CiteULike. Include unauthenticated resultstoo (may include "spam") Enter a search phrase. You can also specify a CiteULike article id(123456);. a DOI (doi:10.1234/12345678). or a PubMed ID (pmid:12345678). Click Help foradvanced usage. CiteULike; Group: CDG; Search; Register; Log in …,*,2002,122
Generating on the fly queries for the semantic web: The ics-forth graphical rql interface (grql),Nikos Athanasis; Vassilis Christophides; Dimitris Kotzinos,Abstract Building user-friendly GUIs for browsing and filtering RDF/S description bases whileexploiting in a transparent way the expressiveness of declarative query/view languages isvital for various Semantic Web applications (eg; e-learning; e-science). In this paper wepresent a novel interface; called GRQL; which relies on the full power of the RDF/S datamodel for constructing on the fly queries expressed in RQL. More precisely; a user cannavigate graphically through the individual RDF/S class and property definitions andgenerate transparently the RQL path expressions required to access the resources ofinterest. These expressions capture accurately the meaning of its navigation steps throughthe class (or property) subsumption and/or associations. Additionally; users can enrich thegenerated queries with filtering conditions on the attributes of the currently visited class …,International Semantic Web Conference,2004,114
