Tail reconnection triggering substorm onset,Vassilis Angelopoulos; James P McFadden; Davin Larson; Charles W Carlson; Stephen B Mende; Harald Frey; Tai Phan; David G Sibeck; Karl-Heinz Glassmeier; Uli Auster; Eric Donovan; Ian R Mann; I Jonathan Rae; Christopher T Russell; Andrei Runov; Xu-Zhi Zhou; Larry Kepko,Magnetospheric substorms explosively release solar wind energy previously stored inEarth9s magnetotail; encompassing the entire magnetosphere and producing spectacularauroral displays. It has been unclear whether a substorm is triggered by a disruption of theelectrical current flowing across the near-Earth magnetotail; at∼ 10 RE (RE: Earth radius; or6374 kilometers); or by the process of magnetic reconnection typically seen farther out in themagnetotail; at∼ 20 to 30 R E. We report on simultaneous measurements in the magnetotailat multiple distances; at the time of substorm onset. Reconnection was observed at 20 RE; atleast 1.5 minutes before auroral intensification; at least 2 minutes before substormexpansion; and about 3 minutes before near-Earth current disruption. These resultsdemonstrate that substorms are likely initiated by tail reconnection.,Science,2008,370
The upgraded CARISMA magnetometer array in the THEMIS era,IR Mann; DK Milling; IJ Rae; LG Ozeke; A Kale; ZC Kale; KR Murphy; A Parent; M Usanova; DM Pahud; E-A Lee; V Amalraj; DD Wallis; V Angelopoulos; K-H Glassmeier; CT Russell; H-U Auster; HJ Singer,Abstract This review describes the infrastructure and capabilities of the expanded andupgraded Canadian Array for Realtime InvestigationS of Magnetic Activity (CARISMA)magnetometer array in the era of the THEMIS mission. Formerly operated as the CanadianAuroral Network for the OPEN Program Unified Study (CANOPUS) magnetometer array until2003; CARISMA capabilities have been extended with the deployment of additional fluxgatemagnetometer stations (to a total of 28); the upgrading of the fluxgate magnetometercadence to a standard data product of 1 sample/s (raw sampled 8 samples/s data streamavailable on request); and the deployment of a new network of 8 pairs of induction coils (100samples per second). CARISMA data; GPS-timed and backed up at remote field stations; iscollected using Very Small Aperture Terminal (VSAT) satellite internet in real-time …,Space Science Reviews,2008,161
Evolution and characteristics of global Pc5 ULF waves during a high solar wind speed interval,IJ Rae; EF Donovan; IR Mann; FR Fenrich; CEJ Watt; DK Milling; M Lester; B Lavraud; James A Wild; HJ Singer; H Reme; A Balogh,Abstract [1] We present an interval of extremely long-lasting narrow-band Pc5 pulsationsduring the recovery phase of a large geomagnetic storm. These pulsations occurredcontinuously for many hours and were observed throughout the magnetosphere and in thedusk-sector ionosphere. The subject of this paper is the favorable radial alignment of theCluster; Polar; and geosynchronous satellites in the dusk sector during a 3-hour subset ofthis interval that allows extensive analysis of the global nature of the pulsations and thetracing of their energy transfer from the solar wind to the ground. Virtually monochromaticlarge-amplitude pulsations were observed by the CANOPUS magnetometer chain at duskfor several hours; during which the Cluster spacecraft constellation traversed the duskmagnetopause. The solar wind conditions were very steady; the solar wind speed was …,Journal of Geophysical Research: Space Physics,2005,91
Multipoint observations of magnetospheric compression‐related EMIC Pc1 waves by THEMIS and CARISMA,ME Usanova; IR Mann; IJ Rae; ZC Kale; V Angelopoulos; JW Bonnell; K‐H Glassmeier; HU Auster; HJ Singer,Abstract [1] Following a long interval (many days) of sustained very quiet geomagneticconditions; electromagnetic ion cyclotron (EMIC) wave activity was seen by the CARISMAarray (www. carisma. ca) on the ground for several hours simultaneously with enhancedsolar wind density and related magnetic compression seen at GOES 12 on 29th June 2007.The THEMIS C; D; and E satellites were outbound in a “string-of-pearls” configuration andeach observed EMIC waves on L-shells ranging from 5 to 6.5. THEMIS resolved some of thespatial-temporal ambiguity and defined the radial extent of EMIC activity to be∼ 1.3 Re. Theband-limited EMIC waves were seen slightly further out in radial distance by eachsubsequent THEMIS satellite; but in each case were bounded at high-L by a decrease indensity as monitored by spacecraft potential. The EMIC wave activity appears to be …,Geophysical Research Letters,2008,88
Simultaneous THEMIS in situ and auroral observations of a small substorm,E Donovan; W Liu; J Liang; E Spanswick; I Voronkov; M Connors; M Syrjäsuo; G Baker; B Jackel; T Trondsen; M Greffen; V Angelopoulos; CT Russell; SB Mende; HU Frey; A Keiling; CW Carlson; JP McFadden; K‐H Glassmeier; U Auster; K Hayashi; K Sakaguchi; K Shiokawa; JA Wild; IJ Rae,Abstract [1] We present ground-based and in situ observations from March 13; 2007. TheTHEMIS satellites were in the evening sector conjugate to THEMIS ground-based imagers.At∼ 0507 UT there was an optical onset on inner CPS field lines. This involved near-simultaneous brightening of 1 MLT hour longitudinal segment of the onset arc. The part ofthe arc that brightened was that closest to the equatorward boundary of the diffuse (proton)aurora. Within one minute; a dipolarization front moved across four THEMIS satellites. Basedon their locations; the order in which they detected the dipolarization front; and the auroralevolution; we assert that the expansion phase began earthward of the four satellites andevolved radially outwards. We conclude that this onset occurred in an azimuthally localizedregion of highly stretched field lines.,Geophysical Research Letters,2008,77
ULF wave derived radiation belt radial diffusion coefficients,Louis G Ozeke; Ian R Mann; Kyle R Murphy; I Jonathan Rae; David K Milling; Scot R Elkington; Anthony A Chan; Howard J Singer,Abstract [1] Waves in the ultra-low-frequency (ULF) band have frequencies which can bedrift resonant with electrons in the outer radiation belt; suggesting the potential for stronginteractions and enhanced radial diffusion. Previous radial diffusion coefficient models suchas those presented by Brautigam and Albert (2000) have typically used semiempiricalrepresentations for both the ULF wave's electric and magnetic field power spectral densities(PSD) in space in the magnetic equatorial plane. In contrast; here we use ground-and space-based observations of ULF wave power to characterize the electric and magnetic diffusioncoefficients. Expressions for the electric field power spectral densities are derived fromground-based magnetometer measurements of the magnetic field PSD; and in situ AMPTEand GOES spacecraft measurements are used to derive expressions for the …,Journal of Geophysical Research: Space Physics,2012,60
Conjugate ground and multisatellite observations of compression‐related EMIC Pc1 waves and associated proton precipitation,ME Usanova; IR Mann; ZC Kale; IJ Rae; RD Sydora; M Sandanger; F Søraas; K‐H Glassmeier; K‐H Fornacon; H Matsui; PA Puhl‐Quinn; A Masson; X Vallières,Abstract [1] We present coordinated ground satellite observations of solar wind compression-related dayside electromagnetic ion cyclotron (EMIC) waves from 25 September 2005. Onthe ground; dayside structured EMIC wave activity was observed by the CARISMA andSTEP magnetometer arrays for several hours during the period of maximum compression.The EMIC waves were also registered by the Cluster satellites for half an hour; as theyconsecutively crossed the conjugate equatorial plasmasphere on their perigee passes atL∼ 5. Simultaneously; conjugate to Cluster; NOAA 17 passed through field lines supportingEMIC wave activity and registered a localized enhancement of precipitating protons withenergies> 30 keV. Our observations suggest that generation of the EMIC waves andconsequent loss of energetic protons may last for several hours while the magnetosphere …,Journal of Geophysical Research: Space Physics,2010,53
Response to comment on “Tail reconnection triggering substorm onset”,Vassilis Angelopoulos; James P McFadden; Davin Larson; Charles W Carlson; Stephen B Mende; Harald Frey; Tai Phan; David G Sibeck; Karl-Heinz Glassmeier; Uli Auster; Eric Donovan; Ian R Mann; I Jonathan Rae; Christopher T Russell; Andrei Runov; Xu-Zhi Zhou; Larry Kepko,Lui challenges our conclusion that magnetic reconnection triggered the onset of amagnetospheric substorm. However; Lui incorrectly uses the auroral electrojet index insteadof ground auroral and magnetic field pulsation signatures to determine substorm onset;single velocity and magnetic field components instead of full vectors and particledistributions to identify reconnection onset; and preliminary auroral electrojet–low index (AL)instead of ground magnometer; auroral; and magnetotail data to claim pre-existing activity.,Science,2009,52
Near‐Earth initiation of a terrestrial substorm,I Jonathan Rae; Ian R Mann; Vassilis Angelopoulos; Kyle R Murphy; David K Milling; Andy Kale; Harald U Frey; Gordon Rostoker; Christopher T Russell; Clare EJ Watt; Mark J Engebretson; Mark B Moldwin; Stephen B Mende; Howard J Singer; Eric F Donovan,Abstract [1] Despite the characterization of the auroral substorm more than 40 years ago;controversy still surrounds the processes triggering substorm onset initiation. That stretchingof the Earth's magnetotail following the addition of new nightside magnetic flux from daysidereconnection powers the substorm is well understood; the trigger for explosive energyrelease at substorm expansion phase onset is not. Using ground-based data sets withunprecedented combined spatial and temporal coverage; we report the discovery of newlocalized and contemporaneous magnetic wave and small azimuthal scale auroral signatureof substorm onset. These local auroral arc undulations and magnetic field signatures rapidlyevolve on second time scales for several minutes in advance of the release of the auroralsurge. We also present evidence from a conjugate geosynchronous satellite of the …,Journal of Geophysical Research: Space Physics,2009,51
Timing and localization of ionospheric signatures associated with substorm expansion phase onset,I Jonathan Rae; Ian R Mann; Kyle R Murphy; David K Milling; Adrienne Parent; Vassilis Angelopoulos; Harald U Frey; Andy Kale; Clare EJ Watt; Stephen B Mende; Christopher T Russell,Abstract [1] In this paper; we present case studies of the optical and magnetic signatures ofthe characteristics of the first minute of substorm expansion phase onset observed in theionosphere. We find that for two isolated substorms; the onset of magnetic pulsations in the24–96 s period wavelet band are colocated in time and space with the formation anddevelopment of small-scale optical undulations along the most equatorward preexistingauroral arc prior to auroral breakup. These undulations undergo an inverse spatial cascadeinto vortices prior to the release of the westward traveling surge. We also present a casestudy of a multiple activation substorm; whereby discrete onsets of ULF wave power above apredetermined quiet time threshold are shown to be associated with specific opticalintensifications and brightenings. Moreover; in the multiple activation substorm event; we …,Journal of Geophysical Research: Space Physics,2009,41
Self‐consistent electron acceleration due to inertial Alfvén wave pulses,CEJ Watt; R Rankin; IJ Rae; DM Wright,Abstract [1] We present self-consistent kinetic simulations of the electron response to finiteduration shear Alfvén wave pulses in a magnetized plasma. In Earth's magnetosphere; theevidence suggests that parallel electric fields in inertial scale shear Alfvén waves canaccelerate electrons in the geomagnetic field-aligned direction. Here; we study large-amplitude wave forms as they travel through ambient plasma at phase velocities which areconsistent with resonant electron acceleration predicted by linear kinetic theory. Our self-consistent simulations reveal that the wave potential evolves nonlinearly as shear Alfvénwave pulses travel through the simulation domain. The evolution of the wave pulse from asymmetrical to a nonsymmetrical potential structure; and the large perturbation in thedistribution function required to carry the parallel current of the pulse; leads to …,Journal of Geophysical Research: Space Physics,2005,41
