Highly uniform and reproducible surface-enhanced Raman scattering from DNA-tailorable nanoparticles with 1-nm interior gap,Dong-Kwon Lim; Ki-Seok Jeon; Jae-Ho Hwang; Hyoki Kim; Sunghoon Kwon; Yung Doug Suh; Jwa-Min Nam,Abstract An ideal surface-enhanced Raman scattering (SERS) nanostructure for sensingand imaging applications should induce a high signal enhancement; generate areproducible and uniform response; and should be easy to synthesize. Many SERS-activenanostructures have been investigated; but they suffer from poor reproducibility of the SERS-active sites; and the wide distribution of their enhancement factor values results in anunquantifiable SERS signal. Here; we show that DNA on gold nanoparticles facilitates theformation of well-defined gold nanobridged nanogap particles (Au-NNP) that generate ahighly stable and reproducible SERS signal. The uniform and hollow gap (∼ 1 nm) betweenthe gold core and gold shell can be precisely loaded with a quantifiable amount of Ramandyes. SERS signals generated by Au-NNPs showed a linear dependence on probe …,Nature nanotechnology,2011,571
Structural colour printing using a magnetically tunable and lithographically fixable photonic crystal,Hyoki Kim; Jianping Ge; Junhoi Kim; Sung-eun Choi; Hosuk Lee; Howon Lee; Wook Park; Yadong Yin; Sunghoon Kwon,Abstract Many creatures in nature; such as butterflies and peacocks; display unique brilliantcolours; known as 'structural colours'; which result from the interaction of light with periodicnanostructures on their surfaces. Mimicking such nanostructures found in nature; however;requires state-of-the-art nanofabrication techniques that are slow; expensive and notscalable. Herein; we demonstrate high-resolution patterning of multiple structural colourswithin seconds; based on successive tuning and fixing of colour using a single materialalong with a maskless lithography system. We have invented a material called 'M-Ink'; thecolour of which is tunable by magnetically changing the periodicity of the nanostructure andfixable by photochemically immobilizing those structures in a polymer network. We alsodemonstrate a flexible photonic crystal for the realization of structural colour printing. The …,Nature Photonics,2009,336
Guided and fluidic self-assembly of microstructures using railed microfluidic channels,Su Eun Chung; Wook Park; Sunghwan Shin; Seung Ah Lee; Sunghoon Kwon,Abstract Fluidic self-assembly is a promising pathway for parallel fabrication of devicesmade up of many small components. Here; we introduce 'railed microfluidics' as an agilemethod to guide and assemble microstructures inside fluidic channels. The guidedmovement of microstructures in microfluidic channels was achieved by fabricating grooves('rails') on the top surface of the channels and also creating complementary polymericmicrostructures that fit with the grooves. Using the rails as a guiding mechanism; we builtcomplex one-and two-dimensional microsystems in which all the microstructures initiallyinvolved in the fabrication method were incorporated as components in the final product.Complex structures composed of more than 50 microstructures (each sized smaller than 50μm) were fluidically self-assembled with zero error. Furthermore; we were able to use the …,Nature materials,2008,253
Surface‐Enhanced Raman Scattering of Small Molecules from Silver‐Coated Silicon Nanopores,Selena Chan; Sunghoon Kwon; T‐W Koo; Luke P Lee; Andrew A Berlin,Abstract New ways of detecting low concentrations of analytes; which could be used as partof integrated on-chip devices; are offered by surface-enhanced Raman-scattering substratesfabricated on the nanoscale. The ability of metal surfaces to amplify a Raman-scatteringsignal (see Figure) is combined with an enlarged substrate surface area; allowing orders ofmagnitude enhancement for the detection of rhodamine 6G and adenine.,Advanced Materials,2003,251
Colour-barcoded magnetic microparticles for multiplexed bioassays,Howon Lee; Junhoi Kim; Hyoki Kim; Jiyun Kim; Sunghoon Kwon,Abstract Encoded particles have a demonstrated value for multiplexed high-throughputbioassays such as drug discovery and clinical diagnostics 1; 2. In diverse samples; theability to use a large number of distinct identification codes on assay particles is important toincrease throughput 3. Proper handling schemes are also needed to readout these codeson free-floating probe microparticles. Here we create vivid; free-floating structural colouredparticles with multi-axis rotational control using a colour-tunable magnetic material and anew printing method 4. Our colour-barcoded magnetic microparticles offer a coding capacityeasily into the billions with distinct magnetic handling capabilities including activepositioning for code readouts and active stirring for improved reaction kinetics in microscaleenvironments 5. A DNA hybridization assay is done using the colour-barcoded magnetic …,Nature materials,2010,205
Magnetochromatic microspheres: rotating photonic crystals,Jianping Ge; Howon Lee; Le He; Junhoi Kim; Zhenda Lu; Hyoki Kim; James Goebl; Sunghoon Kwon; Yadong Yin,Magnetochromatic microspheres have been fabricated through instant assembly ofsuperparamagnetic (SPM) colloidal particles inside emulsion droplets of UV curable resinfollowed by an immediate UV curing process to polymerize the droplets and fix the orderedstructures. When dispersed in the liquid droplets; superparamagnetic Fe3O4@ SiO2core/shell particles self-organize under the balanced interaction of repulsive and attractiveforces to form one-dimensional chains; each of which contains periodically arrangedparticles diffracting visible light and displaying field-tunable colors. UV initiatedpolymerization of the oligomers of the resin fixes the periodic structures inside the dropletmicrospheres and retains the diffraction property. Because the superparamagnetic chainstend to align themselves along the field direction; it is very convenient to control the …,Journal of the American Chemical Society,2009,173
Optofluidic maskless lithography system for real-time synthesis of photopolymerized microstructures in microfluidic channels,Su Eun Chung; Wook Park; Hyunsung Park; Kyoungsik Yu; Namkyoo Park; Sunghoon Kwon,The authors propose an optofluidic maskless lithography technique that can dynamicallysynthesize free-floating polymeric microstructures inside microfluidic channels by selectivelypolymerizing photocurable resin with high-speed two-dimensional spatial light modulators.The combination of programable optical projection and microfluidic devices allows one toprecisely control the timing and location of the photopolymerization process formicrostructure fabrication. Real-time generation of microparticles with various shapes; sizes;ordering; and material contents are experimentally demonstrated. Long polymeric structuresof which size is not limited by the exposure field of view can also be fabricated.,Applied Physics Letters,2007,159
Programming magnetic anisotropy in polymeric microactuators,Jiyun Kim; Su Eun Chung; Sung-Eun Choi; Howon Lee; Junhoi Kim; Sunghoon Kwon,Abstract Polymeric microcomponents are widely used in microelectromechanical systems(MEMS) and lab-on-a-chip devices; but they suffer from the lack of complex motion; effectiveaddressability and precise shape control 1; 2. To address these needs; we fabricatedpolymeric nanocomposite microactuators driven by programmable heterogeneous magneticanisotropy. Spatially modulated photopatterning 3 was applied in a shape-independentmanner to microactuator components by successive confinement of self-assembledmagnetic nanoparticles in a fixed polymer matrix. By freely programming the rotational axisof each component; we demonstrate that the polymeric microactuators can undergopredesigned; complex two-and three-dimensional motion.,Nature materials,2011,131
Effect of electric currents on bacterial detachment and inactivation,Seok Hoon Hong; Joonseon Jeong; Soojin Shim; Heekyoung Kang; Sunghoon Kwon; Kyung Hyun Ahn; Jeyong Yoon,Abstract Since biofilms show strong resistance to conventional disinfectants andantimicrobials; control of initial bacterial adhesion is generally accepted as one of the mosteffective strategies for preventing biofilm formation. Although electrical methods have beenwidely studied; the specific properties of cathodic; anodic; and block currents that influencethe bacterial detachment and inactivation remained largely unclear. This study investigatedthe specific role of electric currents in the detachment and inactivation of bacteria adhered toan electrode surface. A real-time bacterial adhesion observation and control system wasemployed that consisted of Pseudomonas aeruginosa PAO1 (PAO1) with green fluorescentprotein as the indicator microorganism and a flow cell reactor mounted on a fluorescentmicroscope. The results suggest that the bacteria that remained on the electrode surface …,Biotechnology and bioengineering,2008,93
Metal coated nanocrystalline silicon as an active surface enhanced raman spectroscopy (SERS) substrate,*,The disclosed methods and apparatus concern Raman spectroscopy using metal coatednanocrystalline porous silicon substrates. Porous silicon substrates may be formed byanodic etching in dilute hydrofluoric acid. A thin coating of a Raman active metal; such asgold or silver; may be coated onto the porous silicon by cathodic electromigration or anyknown technique. In certain alternatives; the metal coated porous silicon substratecomprises a plasma-oxidized; dip and decomposed porous silicon substrate. The metal-coated substrate provides an extensive; metal rich environment for SERS; SERRS; hyper-Raman and/or CARS Raman spectroscopy. In certain alternatives; metal nanoparticles maybe added to the metal-coated substrate to further enhance the Raman signals. Ramanspectroscopy may be used to detect; identify and/or quantify a wide variety of analytes …,*,2006,92
Tuning and maximizing the single-molecule surface-enhanced Raman scattering from DNA-tethered nanodumbbells,Jung-Hoon Lee; Jwa-Min Nam; Ki-Seok Jeon; Dong-Kwon Lim; Hyoki Kim; Sunghoon Kwon; Haemi Lee; Yung Doug Suh,We extensively study the relationships between single-molecule surface-enhanced Ramanscattering (SMSERS) intensity; enhancement factor (EF) distribution over many particles;interparticle distance; particle size/shape/composition and excitation laser wavelength usingthe single-particle AFM-correlated Raman measurement method and theoreticalcalculations. Two different single-DNA-tethered Au–Ag core–shell nanodumbbell (GSND)designs with an engineerable nanogap were used in this study: the GSND-I with variousinterparticle nanogaps from∼ 4.8 nm to< 1 nm or with no gap and the GSND-II with the fixedinterparticle gap size and varying particle size from a 23–30 nm pair to a 50–60 nm pair.From the GSND-I; we learned that synthesizing a< 1 nm gap is a key to obtain strongSMSERS signals with a narrow EF value distribution. Importantly; in the case of the GSND …,ACS nano,2012,86
Fabrication of large number density platinum nanowire arrays by size reduction lithography and nanoimprint lithography,X-M Yan; S Kwon; AM Contreras; J Bokor; GA Somorjai,Large number density Pt nanowires with typical dimensions of 12 μm× 20 nm× 5 nm(length× width× height) are fabricated on planar oxide supports. First sub-20 nm singlecrystalline silicon nanowires are fabricated by size reduction lithography; and then the Sinanowire pattern is replicated to produce a large number of Pt nanowires by nanoimprintlithography. The width and height of the Pt nanowires are uniform and are controlled withnanometer precision. The nanowire number density is 4× 104 cm-1; resulting in a Pt surfacearea larger than 2 cm2 on a 5× 5 cm2 oxide substrate. Bimodal nanowires with differentwidth have been generated by using a Pt shadow deposition technique. Using thistechnique; alternating 10 and 19 nm wide nanowires are produced.,Nano letters,2005,83
Large-displacement vertical microlens scanner with low driving voltage,Sunghoon Kwon; Veljko Milanovic; Luke P Lee,We have designed; fabricated; and demonstrated large vertical displacement verticalmicrolens scanners with low (< 10 V) driving voltage using silicon-on-insulator technology.The unique isolated and pre-engaged vertical comb-drive sets and the coupled-torsionflexure design provide both upward and downward piston motions; as well as low drivingvoltages. Single-directional devices demonstrate maximum static downward displacement of8/spl mu/m at 10 V/sub dc/. Bidirectional devices demonstrate vertical actuation from-6.5 to+9/spl mu/m at max 12 V/sub dc/; and a vertical displacement of up to 55/spl mu/m peak-to-peak is achieved at the resonance near 400 Hz. The lens motion shows piston motion with asmall tilt angle of less than 0.034/spl deg/and the compensation of the tilt using an isolatedcomb bank is demonstrated.,IEEE Photonics Technology Letters,2002,82
