Jaql: A scripting language for large scale semistructured data analysis,Kevin S Beyer; Vuk Ercegovac; Rainer Gemulla; Andrey Balmin; Mohamed Eltabakh; Carl-Christian Kanne; Fatma Ozcan; Eugene J Shekita,ABSTRACT This paper describes Jaql; a declarative scripting language for analyzing largesemistructured datasets in parallel using Hadoop's MapReduce framework. Jaql is currentlyused in IBM's InfoS-phere BigInsights [5] and Cognos Consumer Insight [9] products. Jaql'sdesign features are:(1) a flexible data model;(2) reusability;(3) varying levels of abstraction;and (4) scalability. Jaql's data model is inspired by JSON and can be used to representdatasets that vary from flat; relational tables to collections of semistructured documents. AJaql script can start without any schema and evolve over time from a partial to a rigidschema. Reusability is provided through the use of higher-order functions and by packagingrelated functions into modules. Most Jaql scripts work at a high level of abstraction forconcise specification of logical operations (eg; join); but Jaql's notion of physical …,Proceedings of VLDB conference,2011,221
CoHadoop: flexible data placement and its exploitation in Hadoop,Mohamed Y Eltabakh; Yuanyuan Tian; Fatma Özcan; Rainer Gemulla; Aljoscha Krettek; John McPherson,Abstract Hadoop has become an attractive platform for large-scale data analytics. In thispaper; we identify a major performance bottleneck of Hadoop: its lack of ability to colocaterelated data on the same set of nodes. To overcome this bottleneck; we introduceCoHadoop; a lightweight extension of Hadoop that allows applications to control where dataare stored. In contrast to previous approaches; CoHadoop retains the flexibility of Hadoop inthat it does not require users to convert their data to a certain format (eg; a relationaldatabase or a specific file format). Instead; applications give hints to CoHadoop that someset of files are related and may be processed jointly; CoHadoop then tries to colocate thesefiles for improved efficiency. Our approach is designed such that the strong fault toleranceproperties of Hadoop are retained. Colocation can be used to improve the efficiency of …,Proceedings of the VLDB Endowment,2011,216
A framework for using materialized XPath views in XML query processing,Andrey Balmin; Fatma Özcan; Kevin S Beyer; Roberta J Cochrane; Hamid Pirahesh,Abstract XML languages; such as XQuery; XSLT and SQL/XML; employ XPath as the searchand extraction language. XPath expressions often define complicated navigation; resultingin expensive query processing; especially when executed over large collections ofdocuments. In this paper; we propose a framework for exploiting materialized XPath views toexpedite processing of XML queries. We explore a class of materialized XPath views; whichmay contain XML fragments; typed data values; full paths; node references or anycombination thereof. We develop an XPath matching algorithm to determine when suchviews can be used to answer a user query containing XPath expressions. We use the matchinformation to identify the portion of an XPath expression in the user query which is notcovered by the XPath view. Finally; we construct; possibly multiple; compensation …,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,205
System RX: one part relational; one part XML,Kevin Beyer; Roberta J Cochrane; Vanja Josifovski; Jim Kleewein; George Lapis; Guy Lohman; Bob Lyle; Fatma Özcan; Hamid Pirahesh; Normen Seemann; Tuong Truong; Bert Van der Linden; Brian Vickery; Chun Zhang,Abstract This paper describes the overall architecture and design aspects of a hybridrelational and XML database system called System RX. We believe that such a system isfundamental in the evolution of enterprise data management solutions: XML and relationaldata will co-exist and complement each other in enterprise solutions. Furthermore; asuccessful XML repository requires much of the same infrastructure that already exists in arelational database management system. Finally; XML query languages have considerableconceptual and functional overlap with relational dataflow engines. System RX is the firsttruly hybrid system that comingles XML and relational data; giving them equal footing. Thenew support for XML includes native support for storage and indexing as well as querycompilation and evaluation support for the latest industry-standard query languages; SQL …,Proceedings of the 2005 ACM SIGMOD international conference on Management of data,2005,162
IMPACT: A platform for collaborating agents,Khaled A Arisha; Fatma Ozcan; Robert Ross; VS Subrahmanian; Thomas Eiter; Sarit Kraus,The paper discusses the Impact platform (Interactive Maryland Platform) for collaborativeagents. Impact agents consist of software code with an associated wrapper that agentizesthe code. A set of specialized servers facilitate agent interoperability in an application-independent manner.,IEEE Intelligent Systems and Their Applications,1999,143
Cost models do matter: Providing cost information for diverse data sources in a federated system,Mary Tork Roth; Laura M Haas; Fatma Ozcan,Abstract An important issue for federated systems of diverse data sources is how to optimizecross-source queries; without building knowledge of individual sources into the optimizer.Garlic is a federated system with an emphasis on extensibility and diverse sources. Toachieve these goals; data sources are attached to Garlic by means of a wrapper. Wrappersparticipate in query planning; telling Garlic what parts of a query a data source can do andhow much it will cost. This paper describes a framework through which wrappers provide thenecessary cost and cardinality information for optimization; and the facilities Garlic providesto make this task easier. Our framework makes it easy for wrappers to provide costinformation; requires few changes to a conventional bottomup optimizer and is easilyextensible to a broad range of sources. We believe that our framework for costing is the …,*,1999,141
XPath containment for index and materialized view matching,*,A method for using pre-computed information stored in auxiliary structures to speed upprocessing of expensive queries on hierarchical documents such as XML documents beingqueried using XPath. The invention defines a taxonomy of such structures such as indexesand materialized views for storing pre-computed XPath results (PXRs); determines whatportion of the query can be evaluated by the structures; and computes the compensation forthe results generated by the structures. The invention detects all structures applicable to thequery and rewrites the query to use such structures; speeding up the performance of thequeries. The invention identifies the matching structures by detecting containment mappingsbetween XPath expressions in the query and the structure. The invention also includes anew representation for XPath expressions that is rich enough to express all features of …,*,2008,121
Extending XQuery for analytics,Kevin Beyer; Don Chambérlin; Latha S Colby; Fatma Özcan; Hamid Pirahesh; Yu Xu,Abstract XQuery is a query language under development by the W3C XML Query WorkingGroup. The language contains constructs for navigating; searching; and restructuring XMLdata. With XML gaining importance as the standard for representing business data; XQuerymust support the types of queries that are common in business analytics. One such class ofqueries is OLAP-style aggregation queries. Although these queries are expressible inXQuery Version 1; the lack of explicit grouping constructs makes the construction of thesequeries non-intuitive and places a burden on the XQuery engine to recognize and optimizethe implicit grouping constructs. Furthermore; although the flexibility of the XML data modelprovides an opportunity for advanced forms of grouping that are not easily represented inrelational systems; these queries are difficult to express using the current XQuery syntax …,Proceedings of the 2005 ACM SIGMOD international conference on Management of data,2005,103
Sql-on-hadoop: Full circle back to shared-nothing database architectures,Avrilia Floratou; Umar Farooq Minhas; Fatma Özcan,Abstract SQL query processing for analytics over Hadoop data has recently gainedsignificant traction. Among many systems providing some SQL support over Hadoop; Hive isthe first native Hadoop system that uses an underlying framework such as MapReduce orTez to process SQL-like statements. Impala; on the other hand; represents the newemerging class of SQL-on-Hadoop systems that exploit a shared-nothing parallel databasearchitecture over Hadoop. Both systems optimize their data ingestion via columnar storage;and promote different file formats: ORC and Parquet. In this paper; we compare theperformance of these two systems by conducting a set of cluster experiments using a TPC-Hlike benchmark and two TPC-DS inspired workloads. We also closely study the I/O efficiencyof their columnar formats using a set of micro-benchmarks. Our results show that Impala is …,Proceedings of the VLDB Endowment,2014,93
Clash of the titans: Mapreduce vs. spark for large scale data analytics,Juwei Shi; Yunjie Qiu; Umar Farooq Minhas; Limei Jiao; Chen Wang; Berthold Reinwald; Fatma Özcan,Abstract MapReduce and Spark are two very popular open source cluster computingframeworks for large scale data analytics. These frameworks hide the complexity of taskparallelism and fault-tolerance; by exposing a simple programming API to users. In thispaper; we evaluate the major architectural components in MapReduce and Sparkframeworks including: shuffle; execution model; and caching; by using a set of importantanalytic workloads. To conduct a detailed analysis; we developed two profiling tools:(1) Wecorrelate the task execution plan with the resource utilization for both MapReduce andSpark; and visually present this correlation;(2) We provide a break-down of the taskexecution time for in-depth analysis. Through detailed experiments; we quantify theperformance differences between MapReduce and Spark. Furthermore; we attribute …,Proceedings of the VLDB Endowment,2015,77
Multidatabase query optimization,Cem Evrendilek; Asuman Dogac; Sena Nural; Fatma Ozcan,Abstract A multidatabase system (MDBS) allows the users to simultaneously accessheterogeneous; and autonomous databases using an integrated schema and a singleglobal query language. The query optimization problem in MDBSs is quite different from thequery optimization problem in distributed homogeneous databases due to schemaheterogeneity and autonomy of local database systems. In this work; we consider theoptimization of query distribution in case of data replication and the optimization of intersitejoins; that is; the join of the results returned by the local sitesin response to the globalsubqueries. The algorithms presented for the optimization of intersite joins try to maximizethe parallelism in execution and take the federated nature of the problem into account. It hasalso been shown through a comparativeperformance study that the proposed intersite …,Distributed and Parallel Databases,1997,67
