Structure; function and diversity of the healthy human microbiome,Curtis Huttenhower; Dirk Gevers; Rob Knight; Sahar Abubucker; Jonathan H Badger; Asif T Chinwalla; Heather H Creasy; Ashlee M Earl; Michael G FitzGerald; Robert S Fulton; Michelle G Giglio; Kymberlie Hallsworth-Pepin; Elizabeth A Lobos; Ramana Madupu; Vincent Magrini; John C Martin; Makedonka Mitreva; Donna M Muzny; Erica J Sodergren; James Versalovic; Aye M Wollam; Kim C Worley; Jennifer R Wortman; Sarah K Young; Qiandong Zeng; Kjersti M Aagaard; Olukemi O Abolude; Emma Allen-Vercoe; Eric J Alm; Lucia Alvarado; Gary L Andersen; Scott Anderson; Elizabeth Appelbaum; Harindra M Arachchi; Gary Armitage; Cesar A Arze; Tulin Ayvaz; Carl C Baker; Lisa Begg; Tsegahiwot Belachew; Veena Bhonagiri; Monika Bihan; Martin J Blaser; Toby Bloom; Vivien Bonazzi; J Paul Brooks; Gregory A Buck; Christian J Buhay; Dana A Busam; Joseph L Campbell; Shane R Canon; Brandi L Cantarel; Patrick SG Chain; I-Min A Chen; Lei Chen; Shaila Chhibba; Ken Chu; Dawn M Ciulla; Jose C Clemente; Sandra W Clifton; Sean Conlan; Jonathan Crabtree; Mary A Cutting; Noam J Davidovics; Catherine C Davis; Todd Z DeSantis; Carolyn Deal; Kimberley D Delehaunty; Floyd E Dewhirst; Elena Deych; Yan Ding; David J Dooling; Shannon P Dugan; Wm Michael Dunne; A Scott Durkin; Robert C Edgar; Rachel L Erlich; Candace N Farmer; Ruth M Farrell; Karoline Faust; Michael Feldgarden; Victor M Felix; Sheila Fisher; Anthony A Fodor; Larry J Forney; Leslie Foster; Valentina Di Francesco; Jonathan Friedman; Dennis C Friedrich; Catrina C Fronick; Lucinda L Fulton; Hongyu Gao; Nathalia Garcia; Georgia Giannoukos; Christina Giblin; Maria Y Giovanni; Jonathan M Goldberg; Johannes Goll; Antonio Gonzalez; Allison Griggs; Sharvari Gujja; Susan Kinder Haake; Brian J Haas; Holli A Hamilton; Emily L Harris; Theresa A Hepburn; Brandi Herter; Diane E Hoffmann; Michael E Holder; Clinton Howarth; Katherine H Huang; Susan M Huse; Jacques Izard; Janet K Jansson; Huaiyang Jiang; Catherine Jordan; Vandita Joshi; James A Katancik; Wendy A Keitel; Scott T Kelley; Cristyn Kells; Nicholas B King; Dan Knights; Heidi H Kong; Omry Koren; Sergey Koren; Karthik C Kota; Christie L Kovar; Nikos C Kyrpides; Patricio S La Rosa; Sandra L Lee; Katherine P Lemon; Niall Lennon; Cecil M Lewis; Lora Lewis; Ruth E Ley; Kelvin Li; Konstantinos Liolios; Bo Liu; Yue Liu; Chien-Chi Lo; Catherine A Lozupone; R Dwayne Lunsford; Tessa Madden; Anup A Mahurkar; Peter J Mannon; Elaine R Mardis; Victor M Markowitz; Konstantinos Mavromatis; Jamison M McCorrison,Abstract Studies of the human microbiome have revealed that even healthy individuals differremarkably in the microbes that occupy habitats such as the gut; skin and vagina. Much ofthis diversity remains unexplained; although diet; environment; host genetics and earlymicrobial exposure have all been implicated. Accordingly; to characterize the ecology ofhuman-associated microbial communities; the Human Microbiome Project has analysed thelargest cohort and set of distinct; clinically relevant body habitats so far. We found thediversity and abundance of each habitat's signature microbes to vary widely even amonghealthy subjects; with strong niche specialization both within and among individuals. Theproject encountered an estimated 81–99% of the genera; enzyme families and communityconfigurations occupied by the healthy Western microbiome. Metagenomic carriage of …,Nature,2012,3070
Metagenomic biomarker discovery and explanation,Nicola Segata; Jacques Izard; Levi Waldron; Dirk Gevers; Larisa Miropolsky; Wendy S Garrett; Curtis Huttenhower,This study describes and validates a new method for metagenomic biomarker discovery byway of class comparison; tests of biological consistency and effect size estimation. Thisaddresses the challenge of finding organisms; genes; or pathways that consistently explainthe differences between two or more microbial communities; which is a central problem tothe study of metagenomics. We extensively validate our method on several microbiomesand a convenient online interface for the method is provided at http://huttenhower. sph.harvard. edu/lefse/.,Genome biology,2011,1362
A framework for human microbiome research,Barbara A Methé; Karen E Nelson; Mihai Pop; Heather H Creasy; Michelle G Giglio; Curtis Huttenhower; Dirk Gevers; Joseph F Petrosino; Sahar Abubucker; Jonathan H Badger; Asif T Chinwalla; Ashlee M Earl; Michael G FitzGerald; Robert S Fulton; Kymberlie Hallsworth-Pepin; Elizabeth A Lobos; Ramana Madupu; Vincent Magrini; John C Martin; Makedonka Mitreva; Donna M Muzny; Erica J Sodergren; James Versalovic; Aye M Wollam; Kim C Worley; Jennifer R Wortman; Sarah K Young; Qiandong Zeng; Kjersti M Aagaard; Olukemi O Abolude; Emma Allen-Vercoe; Eric J Alm; Lucia Alvarado; Gary L Andersen; Scott Anderson; Elizabeth Appelbaum; Harindra M Arachchi; Gary Armitage; Cesar A Arze; Tulin Ayvaz; Carl C Baker; Lisa Begg; Tsegahiwot Belachew; Veena Bhonagiri; Monika Bihan; Martin J Blaser; Toby Bloom; Vivien R Bonazzi; Paul Brooks; Gregory A Buck; Christian J Buhay; Dana A Busam; Joseph L Campbell; Shane R Canon; Brandi L Cantarel; Patrick S Chain; I-Min A Chen; Lei Chen; Shaila Chhibba; Ken Chu; Dawn M Ciulla; Jose C Clemente; Sandra W Clifton; Sean Conlan; Jonathan Crabtree; Mary A Cutting; Noam J Davidovics; Catherine C Davis; Todd Z DeSantis; Carolyn Deal; Kimberley D Delehaunty; Floyd E Dewhirst; Elena Deych; Yan Ding; David J Dooling; Shannon P Dugan; W Michael Dunne Jr; A Scott Durkin; Robert C Edgar; Rachel L Erlich; Candace N Farmer; Ruth M Farrell; Karoline Faust; Michael Feldgarden; Victor M Felix; Sheila Fisher; Anthony A Fodor; Larry Forney; Leslie Foster; Valentina Di Francesco; Jonathan Friedman; Dennis C Friedrich; Catrina C Fronick; Lucinda L Fulton; Hongyu Gao; Nathalia Garcia; Georgia Giannoukos; Christina Giblin; Maria Y Giovanni; Jonathan M Goldberg; Johannes Goll; Antonio Gonzalez; Allison Griggs; Sharvari Gujja; Brian J Haas; Holli A Hamilton; Emily L Harris; Theresa A Hepburn; Brandi Herter; Diane E Hoffmann; Michael E Holder; Clinton Howarth; Katherine H Huang; Susan M Huse; Jacques Izard; Janet K Jansson; Huaiyang Jiang; Catherine Jordan; Vandita Joshi; James A Katancik; Wendy A Keitel; Scott T Kelley; Cristyn Kells; Susan Kinder-Haake; Nicholas B King; Rob Knight; Dan Knights; Heidi H Kong; Omry Koren; Sergey Koren; Karthik C Kota; Christie L Kovar; Nikos C Kyrpides; Patricio S La Rosa; Sandra L Lee; Katherine P Lemon; Niall Lennon; Cecil M Lewis; Lora Lewis; Ruth E Ley; Kelvin Li; Konstantinos Liolios; Bo Liu; Yue Liu; Chien-Chi Lo; Catherine A Lozupone; R Dwayne Lunsford; Tessa Madden; Anup A Mahurkar; Peter J Mannon,Abstract A variety of microbial communities and their genes (the microbiome) existthroughout the human body; with fundamental roles in human health and disease. TheNational Institutes of Health (NIH)-funded Human Microbiome Project Consortium hasestablished a population-scale framework to develop metagenomic protocols; resulting in abroad range of quality-controlled resources and data including standardized methods forcreating; processing and interpreting distinct types of high-throughput metagenomic dataavailable to the scientific community. Here we present resources from a population of 242healthy adults sampled at 15 or 18 body sites up to three times; which have generated 5;177microbial taxonomic profiles from 16S ribosomal RNA genes and over 3.5 terabases ofmetagenomic sequence so far. In parallel; approximately 800 reference strains isolated …,Nature,2012,960
Metagenomic microbial community profiling using unique clade-specific marker genes,Nicola Segata; Levi Waldron; Annalisa Ballarini; Vagheesh Narasimhan; Olivier Jousson; Curtis Huttenhower,Abstract Metagenomic shotgun sequencing data can identify microbes populating amicrobial community and their proportions; but existing taxonomic profiling methods areinefficient for increasingly large data sets. We present an approach that uses clade-specificmarker genes to unambiguously assign reads to microbial clades more accurately and> 50×faster than current approaches. We validated our metagenomic phylogenetic analysis tool;MetaPhlAn; on terabases of short reads and provide the largest metagenomic profiling todate of the human gut. It can be accessed at http://huttenhower. sph. harvard.edu/metaphlan/.,Nature methods,2012,618
Microbial co-occurrence relationships in the human microbiome,Karoline Faust; J Fah Sathirapongsasuti; Jacques Izard; Nicola Segata; Dirk Gevers; Jeroen Raes; Curtis Huttenhower,The healthy microbiota show remarkable variability within and among individuals. Inaddition to external exposures; ecological relationships (both oppositional and symbiotic)between microbial inhabitants are important contributors to this variation. It is thus of interestto assess what relationships might exist among microbes and determine their underlyingreasons. The initial Human Microbiome Project (HMP) cohort; comprising 239 individualsand 18 different microbial habitats; provides an unprecedented resource to detect; catalog;and analyze such relationships. Here; we applied an ensemble method based on multiplesimilarity measures in combination with generalized boosted linear models (GBLMs) totaxonomic marker (16S rRNA gene) profiles of this cohort; resulting in a global network of3;005 significant co-occurrence and co-exclusion relationships between 197 clades …,PLoS computational biology,2012,516
Expansion of intestinal Prevotella copri correlates with enhanced susceptibility to arthritis,Jose U Scher; Andrew Sczesnak; Randy S Longman; Nicola Segata; Carles Ubeda; Craig Bielski; Tim Rostron; Vincenzo Cerundolo; Eric G Pamer; Steven B Abramson; Curtis Huttenhower; Dan R Littman,Abstract Rheumatoid arthritis (RA) is a prevalent systemic autoimmune disease; caused by acombination of genetic and environmental factors. Animal models suggest a role forintestinal bacteria in supporting the systemic immune response required for jointinflammation. Here we performed 16S sequencing on 114 stool samples from rheumatoidarthritis patients and controls; and shotgun sequencing on a subset of 44 such samples. Weidentified the presence of Prevotella copri as strongly correlated with disease in new-onsetuntreated rheumatoid arthritis (NORA) patients. Increases in Prevotella abundancecorrelated with a reduction in Bacteroides and a loss of reportedly beneficial microbes inNORA subjects. We also identified unique Prevotella genes that correlated with disease.Further; colonization of mice revealed the ability of P. copri to dominate the intestinal …,elife,2013,497
Metabolic reconstruction for metagenomic data and its application to the human microbiome,Sahar Abubucker; Nicola Segata; Johannes Goll; Alyxandria M Schubert; Jacques Izard; Brandi L Cantarel; Beltran Rodriguez-Mueller; Jeremy Zucker; Mathangi Thiagarajan; Bernard Henrissat; Owen White; Scott T Kelley; Barbara Methé; Patrick D Schloss; Dirk Gevers; Makedonka Mitreva; Curtis Huttenhower,Microbial communities carry out the majority of the biochemical activity on the planet; andthey play integral roles in processes including metabolism and immune homeostasis in thehuman microbiome. Shotgun sequencing of such communities' metagenomes providesinformation complementary to organismal abundances from taxonomic markers; but theresulting data typically comprise short reads from hundreds of different organisms and are atbest challenging to assemble comparably to single-organism genomes. Here; we describean alternative approach to infer the functional and metabolic potential of a microbialcommunity metagenome. We determined the gene families and pathways present or absentwithin a community; as well as their relative abundances; directly from short sequencereads. We validated this methodology using a collection of synthetic metagenomes …,PLoS computational biology,2012,463
Composition of the adult digestive tract bacterial microbiome based on seven mouth surfaces; tonsils; throat and stool samples,Nicola Segata; Susan Kinder Haake; Peter Mannon; Katherine P Lemon; Levi Waldron; Dirk Gevers; Curtis Huttenhower; Jacques Izard,To understand the relationship between our bacterial microbiome and health; it is essentialto define the microbiome in the absence of disease. The digestive tract includes diversehabitats and hosts the human body's greatest bacterial density. We describe the bacterialcommunity composition of ten digestive tract sites from more than 200 normal adultsenrolled in the Human Microbiome Project; and metagenomically determined metabolicpotentials of four representative sites. The microbiota of these diverse habitats formed fourgroups based on similar community compositions: buccal mucosa; keratinized gingiva; hardpalate; saliva; tongue; tonsils; throat; sub-and supra-gingival plaques; and stool. Phylainitially identified from environmental samples were detected throughout this population;primarily TM7; SR1; and Synergistetes. Genera with pathogenic members were well …,Genome biology,2012,313
A metagenomic approach to characterization of the vaginal microbiome signature in pregnancy,Kjersti Aagaard; Kevin Riehle; Jun Ma; Nicola Segata; Toni-Ann Mistretta; Cristian Coarfa; Sabeen Raza; Sean Rosenbaum; Ignatia Van den Veyver; Aleksandar Milosavljevic; Dirk Gevers; Curtis Huttenhower; Joseph Petrosino; James Versalovic,While current major national research efforts (ie; the NIH Human Microbiome Project) willenable comprehensive metagenomic characterization of the adult human microbiota; howand when these diverse microbial communities take up residence in the host and duringreproductive life are unexplored at a population level. Because microbial abundance anddiversity might differ in pregnancy; we sought to generate comparative metagenomicsignatures across gestational age strata. DNA was isolated from the vagina (introitus;posterior fornix; midvagina) and the V5V3 region of bacterial 16S rRNA genes weresequenced (454FLX Titanium platform). Sixty-eight samples from 24 healthy gravidae (18 to40 confirmed weeks) were compared with 301 non-pregnant controls (60 subjects).Generated sequence data were quality filtered; taxonomically binned; normalized; and …,PloS one,2012,281
A guide to enterotypes across the human body: meta-analysis of microbial community structures in human microbiome datasets,Omry Koren; Dan Knights; Antonio Gonzalez; Levi Waldron; Nicola Segata; Rob Knight; Curtis Huttenhower; Ruth E Ley,Recent analyses of human-associated bacterial diversity have categorized individuals into'enterotypes' or clusters based on the abundances of key bacterial genera in the gutmicrobiota. There is a lack of consensus; however; on the analytical basis for enterotypesand on the interpretation of these results. We tested how the following factors influenced thedetection of enterotypes: clustering methodology; distance metrics; OTU-pickingapproaches; sequencing depth; data type (whole genome shotgun (WGS) vs. 16S rRNAgene sequence data); and 16S rRNA region. We included 16S rRNA gene sequences fromthe Human Microbiome Project (HMP) and from 16 additional studies and WGS sequencesfrom the HMP and MetaHIT. In most body sites; we observed smooth abundance gradientsof key genera without discrete clustering of samples. Some body habitats displayed …,PLoS computational biology,2013,277
Relating the metatranscriptome and metagenome of the human gut,Eric A Franzosa; Xochitl C Morgan; Nicola Segata; Levi Waldron; Joshua Reyes; Ashlee M Earl; Georgia Giannoukos; Matthew R Boylan; Dawn Ciulla; Dirk Gevers; Jacques Izard; Wendy S Garrett; Andrew T Chan; Curtis Huttenhower,Abstract Although the composition of the human microbiome is now well-studied; themicrobiota's> 8 million genes and their regulation remain largely uncharacterized. Thisknowledge gap is in part because of the difficulty of acquiring large numbers of samplesamenable to functional studies of the microbiota. We conducted what is; to our knowledge;one of the first human microbiome studies in a well-phenotyped prospective cohortincorporating taxonomic; metagenomic; and metatranscriptomic profiling at multiple bodysites using self-collected samples. Stool and saliva were provided by eight healthy subjects;with the former preserved by three different methods (freezing; ethanol; and RNAlater) tovalidate self-collection. Within-subject microbial species; gene; and transcript abundanceswere highly concordant across sampling methods; with only a small fraction of transcripts …,Proceedings of the National Academy of Sciences,2014,188
