Synthesizing an integrated ontology,Domenico Beneventano; Sonia Bergamaschi; Francesco Guerra; Maurizio Vincini,The Semantic Web exploits semantic markups to provide Web pages with machine-readabledenitions. It thus relies on the a priori existence of ontologies that represent the domains associatedwith the given information sources. This approach relies on the selected reference ontologysaccuracy; but we nd that most ontologies in common use are generic and that the annotationphase (in which semantic annotations connect Web page parts to ontology items) causes a lossof semantics. By involving the sources themselves; our approach builds an ontology that moreprecisely represents the domain. Moreover; the GVV is annotated according to a lexicalontology; which provides an easily understandable meaning to content … In this article; weuse Web documents as a representative information source to describe the Momis methodologysgeneral application. We explore the frameworks main elements and discuss how the …,IEEE Internet Computing,2003,127
Keyword search over relational databases: a metadata approach,Sonia Bergamaschi; Elton Domnori; Francesco Guerra; Raquel Trillo Lado; Yannis Velegrakis,Abstract Keyword queries offer a convenient alternative to traditional SQL in queryingrelational databases with large; often unknown; schemas and instances. The challenge inanswering such queries is to discover their intended semantics; construct the SQL queriesthat describe them and used them to retrieve the respective tuples. Existing approachestypically rely on indices built a-priori on the database content. This seriously limits theirapplicability if a-priori access to the database content is not possible. Examples include theon-line databases accessed through web interface; or the sources in information integrationsystems that operate behind wrappers with specific query capabilities. Furthermore; existingliterature has not studied to its full extend the inter-dependencies across the ways thedifferent keywords are mapped into the database values and schema elements. In this …,Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,2011,100
The MOMIS approach to information integration,Domenico Beneventano; Sonia Bergamaschi; Francesco Guerra; Maurizio Vincini,Abstract Introduction The web explosion; both at internet and intranet level; has transformedthe electronic information system from single isolated node to an entry points into aworldwide network of information exchange and business transactions. Business andcommerce has taken the opportunity of the new technologies to define the e-commerceactivity. An electronic marketplace represents a virtual place where buyers and sellers meetto exchange goods and services; by sharing information that is often obtained as hypertextcatalogs from different companies. Companies have equipped themselves with data storingsystems building up informative systems containing data which are related one another; butwhich are often redundant; heterogeneous and not always substantial. The problems thathave to be faced in this field are mainly due to both structural and application …,*,2001,98
An information integration framework for e-commerce,Hario Benetti; Domenico Beneventano; Sonia Bergamaschi; Francesco Guerra; Maurizio Vincini,One of the main challenges for e-commerce infrastructure designers is to retrieve data fromdifferent sources and create a unified view that overcomes contradictions and redundancies.Virtual catalogs; such as the Momis project; can help synthesize data and present it in aunified manner to the customer.,IEEE Intelligent Systems,2002,71
A data integration framework for e-commerce product classification,Sonia Bergamaschi; Francesco Guerra; Maurizio Vincini,Abstract A marketplace is the place in which the demand and supply of buyers and vendorsparticipating in a business process may meet. Therefore; electronic marketplaces are virtualcommunities in which buyers may meet proposals of several suppliers and make the bestchoice. In the electronic commerce world; the comparison between different products isblocked due to the lack of standards (on the contrary; the proliferation of standards)describing and classifying them. Therefore; the need for B2B and B2C marketplaces is toreclassify products and goods according to different standardization models. This paperaims to face this problem by suggesting the use of a semi-automatic methodology;supported by a tool (SI-Designer); to define the mapping among different e-commerceproduct classification standards. This methodology was developed for the MOMIS system …,International Semantic Web Conference,2002,49
Keymantic: semantic keyword-based searching in data integration systems,Sonia Bergamaschi; Elton Domnori; Francesco Guerra; Mirko Orsini; Raquel Trillo Lado; Yannis Velegrakis,Abstract We propose the demonstration of Keymantic; a system for keyword-basedsearching in relational databases that does not require a-priori knowledge of instances heldin a database. It finds numerous applications in situations where traditional keyword-basedsearching techniques are inapplicable due to the unavailability of the database contents forthe construction of the required indexes.,Proceedings of the VLDB Endowment,2010,38
Guest editors' introduction: Information overload,Sonia Bergamaschi; Francesco Guerra; Barry Leiba,Information overload occurs when the information available exceeds the user's ability toprocess it. To manage information overload; a user is required to discriminate among useful;redundant; incorrect; and meaningless information. From a computer science perspective;this means we must provide users with a combination of techniques and tools for collecting;grouping; classifying; selecting; indexing; ranking; and filtering useful information. Thearticles in this special issue show four different facets of the information overload problem;by providing the readers with a big picture of the main research outcomes in this topic.,IEEE Internet Computing,2010,34
A Web Service based framework for the semantic mapping between product classification schemas,Domenico Beneventano; Francesco Guerra; Stefania Magnani; Maurizio Vincini,ABSTRACT A marketplace is the place where the demands and offers of buyers and sellersparticipating in a business transaction may meet. Therefore; electronic marketplaces arevirtual communities in which buyers may receive proposals from several suppliers and makethe best choice. In the electronic commerce world; the comparison between differentproducts is not possible due to the lack of common standards; used by the community;describing and classifying them. Therefore; B2B and B2C marketplaces have to reclassifyproducts and goods according to different standardization models. In this paper; we proposea semi-automatic methodology; supported by a web service based framework; to definesemantic mappings amongst different product classification schemas (ecommerce standardsand catalogues) and we provide the ability to be able to search and navigate these …,Journal of Electronic Commerce Research,2004,34
QUEST: a keyword search system for relational data based on semantic and machine learning techniques,Sonia Bergamaschi; Francesco Guerra; Matteo Interlandi; Raquel Trillo-Lado; Yannis Velegrakis,Abstract We showcase QUEST (QUEry generator for STructured sources); a search enginefor relational databases that combines semantic and machine learning techniques fortransforming keyword queries into meaningful SQL queries. The search engine relies on twoapproaches: the forward; providing mappings of keywords into database terms (names oftables and attributes; and domains of attributes); and the backward; computing the pathsjoining the data structures identified in the forward step. The results provided by the twoapproaches are combined within a probabilistic framework based on the Dempster-ShaferTheory. We demonstrate QUEST capabilities; and we show how; thanks to the flexibilityobtained by the probabilistic combination of different techniques; QUEST is able to computehigh quality results even with few training data and/or with hidden data sources such as …,Proceedings of the VLDB Endowment,2013,32
A semantic approach to ETL technologies,Sonia Bergamaschi; Francesco Guerra; Mirko Orsini; Claudio Sartori; Maurizio Vincini,Abstract Data warehouse architectures rely on extraction; transformation and loading (ETL)processes for the creation of an updated; consistent and materialized view of a set of datasources. In this paper; we support these processes by proposing a tool that:(1) allows thesemi-automatic definition of inter-attribute semantic mappings; by identifying the parts of thedata source schemas which are related to the data warehouse schema; thus supporting theextraction process; and (2) groups the attribute values semantically related thus defining atransformation function for populating with homogeneous values the data warehouse. Ourproposal couples and extends the functionalities of two previously developed systems: theMOMIS integration system and the RELEVANT data analysis system. The system has beenexperimented within a real scenario concerning the creation of a data warehouse for …,Data & Knowledge Engineering,2011,31
Extracting relevant attribute values for improved search,Sonia Bergamaschi; Claudio Sartori; Francesco Guerra; Mirko Orsini,A new kind of metadata offers a synthesized view of an attribute's values for a user to exploitwhen creating or refining a search query in data-integration systems. The extractiontechnique that obtains these values is automatic and independent of an attribute domain butparameterized with various metrics for similarity measures. The authors describe a fullyimplemented prototype and some experimental results to show the effectiveness of" relevantvalues" when searching a knowledge base.,IEEE Internet Computing,2007,31
