Analysis and visualization of temporal changes in bloggers' activities and interests,Masahiko Itoh; Naoki Yoshinaga; Masashi Toyoda; Masaru Kitsuregawa,Social media such as blogs and microblogs enable users to easily and rapidly publishinformation on their personal activities and interests. They are considered to providevaluable information from the viewpoints of sociology; linguistics; and marketing. This paperproposes a novel system for analyzing temporal changes in the activities and interests ofbloggers through a 3D visualization of phrase dependency structures in sentences. We firstextract events that represent bloggers' activities and interests through analyzing the phrasedependencies of sentences in a blog archive. We roughly categorize the retrieved eventsaccording to the thematic roles (such as the experiencer; agent; and location) of the nounwithin the events; and then store them in a dependency database so that we can retrieveevents that involve a given topic. Second; we present a 3D visualization framework for …,Visualization Symposium (PacificVis); 2012 IEEE Pacific,2012,26
文の構造を考慮した評判抽出手法,藤村滋， 豊田正史， 喜連川優,Abstract It is important to specify evaluation expression which is a reason of reputations soas to deal with reputations on the Web; In recent researches; features which are made bywords of adjectives and adjective verbs are often adopted. However; word-level features areinadequate to understand the reason of reputations. In other way; features using arbitrarystructure of sentence are often adopted too. But these features cause decrease of coverage.In this paper; we propose features which are made by only main words in meaning ofsentences. We also propose the method of classifying reputations using proposed featuresand evaluate this method. At the end; we describe application of classifier to extractingreputations.,電子情報通信学会第 16 回データ工学ワークショップ; 6C-i8,2005,25
Hyper mochi sheet: a predictive focusing interface for navigating and editing nested networks through a multi-focus distortion-oriented view,Masashi Toyoda; Etsuya Shibayama,Abstract Multi-focus distortion-oriented views are useful in viewing large information on asmall screen; but still have problems in managing multiple foci during editing. The user mayhave to navigate information space by focusing and defocusing multiple parts to obtain multi-focus layouts that change according to various editing situations. As a result; it becomeshaphazard to navigate and edit large nested networks such as hypertexts. We propose auser interface for quickly obtaining desirable layouts. The interface uses two techniques:focus size prediction and predictive focus selection. These techniques are based on a usertest and experiences in applications. We also describe two example applications.,Proceedings of the SIGCHI conference on Human factors in computing systems,1999,25
Supporting design patterns in a visual parallel data-flow programming environment,Masashi Toyoda; Buntarou Shizuki; Shin Takahashi; Satoshi Matsuoka; Etsuya Shibayama,We propose the notion of a visual design pattern (VDP); which is a visual abstractionrepresenting design aspects in parallel data-flow programs. VDP serves as a flexible andhigh-level structure of reuse for visual parallel programming. We introduced the support forthis notion into the visual parallel programming environment; KLIEG; allowing definition anduse of patterns with a simple and easy to use interface.,Visual Languages; 1997. Proceedings. 1997 IEEE Symposium on,1997,23
Socio-Sense: A system for analysing the societal behavior from long term web archive,Masaru Kitsuregawa; Takayuki Tamura; Masashi Toyoda; Nobuhiro Kaji,Abstract We introduce Socio-Sense Web analysis system. The system applies structural andtemporal analysis methods to long term Web archive to obtain insight into the real society.We present an overview of the system and core methods followed by excerpts from casestudies on consumer behavior analyses.,Asia-Pacific Web Conference,2008,21
Finding neighbor communities in the web using inter-site graph,Yasuhito Asano; Hiroshi Imai; Masashi Toyoda; Masaru Kitsuregawa,Abstract In recent years; link-based information retrieval methods from the Web aredeveloped. A framework of these methods is a Web graph using pages as vertices and Web-links as edges. In the last year; the authors have claimed that an inter-site graph using sitesas vertices and global-links (links between sites) as edges is more natural and useful as aframework for link-based information retrieval than a Web graph. They have proposeddirectory-based sites as a new model of Web sites and established a method of identifyingthem from URL and Web-link data. They have examined that this method can identifydirectory-based sites almost correctly by using data of URLs and links in. jp domain. In thispaper; we show that this framework is also useful for information retrieval in response touser's query. We develop a system called Neighbor Community Finder (NCF; for short) …,International Conference on Database and Expert Systems Applications,2003,20
Extracting user behavior by web communities technology on global web logs,Shingo Otsuka; Masashi Toyoda; Jun Hirai; Masaru Kitsuregawa,Abstract A lot of work has been done on extracting the model of web user behavior. Most ofthem target server-side logs that cannot track user behavior outside of the server. Recently;a novel way has been developed to collect web browsing histories; using the same methodfor determining TV audience ratings; ie; by collecting data from randomly selected userscalled panels. The logs collected from panels (called panel logs) cover an extremely broadURL-space; and it is difficult to capture the global behaviors of the users. Here we utilizemining results of web community to group those URLs into easily understandable topics. Wealso use search keywords in search engine sites because user behavior is deeply related tosearch keyword according to preliminary experiments on panel logs. We develop aprototype system to extract user access patterns from the panel logs and to capture the …,International Conference on Database and Expert Systems Applications,2004,18
A reputation extraction method considering structure of sentence,S Fujimura; M Toyoda; M Kitsuregawa,*,Institute of Electronics; Information and Communication Engineers; Data Engineering Wordkshop,2005,17
University of Tokyo/RICOH at NTCIR-3 Web Retrieval Task.,Masashi Toyoda; Masaru Kitsuregawa; Hiroko Mano; Hideo Itoh; Yasushi Ogawa,Abstract In NTCIR-3 Web Task; we introduced new approaches in (1) similarity retrievalusing one known relevant document and pseudo-relevance feedback and (2) topic andtarget retrieval incorporating link analysis. The experiments showed that both approacheswere promising.,NTCIR,2002,17
Discovering Recurring Patterns in Time Series.,R Uday Kiran; Haichuan Shang; Masashi Toyoda; Masaru Kitsuregawa,ABSTRACT Partial periodic patterns are an important class of regularities that exist in a timeseries. A key property of these patterns is that they can start; stop; and restart anywherewithin a series. We classify partial periodic patterns into two types:(i) regular patterns−patterns exhibiting periodic behavior throughout a series with some exceptions and (ii)recurring patterns− patterns exhibiting periodic behavior only for particular time intervalswithin a series. Past studies on partial periodic search have been primarily focused onfinding regular patterns. One cannot ignore the knowledge pertaining to recurring patterns.This is because they provide useful information pertaining to seasonal or temporalassociations between events. Finding recurring patterns is a non-trivial task because of twomain reasons.(i) Each recurring pattern is associated with temporal information pertaining …,EDBT,2015,15
Identifying spam link generators for monitoring emerging web spam,Young-joo Chung; Masashi Toyoda; Masaru Kitsuregawa,Abstract In this paper; we address the question of how we can identify hosts that willgenerate links to web spam. Detecting such spam link generators is important becausealmost all new spam links are created by them. By monitoring spam link generators; we canquickly find emerging web spam that can be used for updating existing spam filters. In orderto classify spam link generators; we investigate various linkbased features includingmodified PageRank scores based on white and spam seeds; and these scores ofneighboring hosts. An online learning algorithm is used to handle large scale data; and theeffectiveness of various features is examined. Experiments on three yearly archives ofJapanese Web show that we can predict spam link generators with a reasonableperformance.,Proceedings of the 4th workshop on Information credibility,2010,15
ウェブコミュニティを用いた大域ウェブアクセスログ解析法の一提案,大塚真吾， 豊田正史， 喜連川優,ウェブページを閲覧する人々の行動モデルの抽出は重要であり多くの研究が行われている.既存の研究のほとんどはウェブサーバのログを用いたものであり; 当該サイト上での挙動は把握できるものの; サイト外を含めたユーザの行動を解析することは容易でない. 最近;テレビ視聴率調査と同様; 統計的に偏りなく抽出された人 (パネル) を対象に URL履歴の収集を行う事業が登場している. パネルから集められたログ (パネルログ) の解析により;パネルが訪れたすべてのウェブページ (URL) を収集できる. ウェブサーバに対する従来のログ解析では解析対象となるページ空間が狭いのに対し; パネルログではきわめて広大なページ空間を対象とするため; 個々のページの参照履歴から大域的な行動の把握は容易でない. 本論文では類似したウェブページを抽出するウェブコミュニティ手法を用いたパネルログ解析システムを提案し; URLを基にした解析ではとらえ難い大域的なユーザの行動パターン抽出例を紹介する.,情報処理学会論文誌データベース (TOD),2003,15
Visual fusion of mega-city big data: an application to traffic and tweets data analysis of metro passengers,Masahiko Itoh; Daisaku Yokoyama; Masashi Toyoda; Yoshimitsu Tomita; Satoshi Kawamura; Masaru Kitsuregawa,Transportation systems in mega-cities are often affected by various kinds of events such asnatural disasters; accidents; and public gatherings. Highly dense and complicated networksin the transportation systems propagate confusion in the network because they offer variouspossible transfer routes to passengers. Visualization is one of the most important techniquesfor examining such cascades of unusual situations in the huge networks. This paperproposes visual integration of traffic analysis and social media analysis using two forms ofbig data: smart card data on the Tokyo Metro and social media data on Twitter. Our systemprovides multiple coordinated views to visually; intuitively; and simultaneously explorechanges in passengers' behavior and abnormal situations extracted from smart card dataand situational explanations from real voices of passengers such as complaints about …,Big Data (Big Data); 2014 IEEE International Conference on,2014,14
Mining communities on the web using a max-flow and a site-oriented framework,Yasuhito Asano; Takao Nishizeki; Masashi Toyoda; Masaru Kitsuregawa,There are several methods for mining communities on the Web using hyperlinks. One of thewell-known ones is a max-flow based method proposed by Flake et al. The method adopts apage-oriented framework; that is; it uses a page on the Web as a unit of information; likeother methods including HITS and trawling. Recently; Asano et al. built a site-orientedframework which uses a site as a unit of information; and they experimentally showed thattrawling on the site-oriented framework often outputs significantly better communities thantrawling on the page-oriented framework. However; it has not been known whether the site-oriented framework is effective in mining communities through the max-flow based method.In this paper; we first point out several problems of the max-flow based method; mainlyowing to the page-oriented framework; and then propose solutions to the problems by …,IEICE transactions on information and systems,2006,14
電子掲示板からの評価表現; および評判情報の抽出,藤村滋， 豊田正史， 喜連川優,Recently the power of Web communities is much attentioned. Many people check reputationof products which they want by BBS. So; companies cannot ignore reputation on the BBS. Andthey precisely check their product's reputation. Thus; automatically extraction of reputation andpositive/negative classification has been getting more attention. This paper describes a reputationclassifying method based on statistic extracting keywords. Some experimental results in classifyingdocuments show the effect of the proposed method. Then; extracting opinions which includein reputation can be also realized by expansion of this method … 連絡先:藤村滋，東京大学生産技術研究所喜連川研究室， 目黒区駒場 4-6-1，03-5452-6256，fujimura@tkl.iis.u-tokyo.ac.jp … Making P/N dictionary Making P/N dictionary … Classify factsor opinions Classify facts or opinions … Classify positive or negative Classify positive or …,人工知能学会全国大会論文集 2004 年度人工知能学会全国大会 (第 18 回) 論文集,2004,14
Applying site information to information retrieval from the Web,Yasuhito Asano; Hiroshi Imai; Masashi Toyoda; Masaru Kitsuregawa,In recent years; several information retrieval methods using information about Web-linkshave been developed; such as HITS and trawling. In order to analyze Web-links dividing intolinks inside each Web site (local-links) and links between Web sites (global-links) forinformation retrieval; a proper model of the Web site is required. In existing research; a Webserver is used as a model of the Web site. This idea works relatively well when a Web sitecorresponds to a server; as is the case for public Web sites; but works poorly when multipleWeb sites correspond to a server; as is the case for private Web sites on rental Web servers.We propose a new model of the Web site;" directory-based site"; to handle typical privatesites; and a method to identify them using information about the URL and Web-links. Weverify the method can approximately identify; at a rate of 66% of over 110;000 servers …,Web Information Systems Engineering; 2002. WISE 2002. Proceedings of the Third International Conference on,2002,14
The history of web archiving,Masashi Toyoda; Masaru Kitsuregawa,This paper describes the history and the current challenges of archiving massive andextremely diverse amounts of user-generated data in an international environment on theWorld Wide Web and the technologies required for interoperability between serviceproviders and for preserving their contents in the future.,Proceedings of the IEEE,2012,13
Finding neighbor communities in the Web using an inter-site graph,Yasuhito Asano; Hiroshi Imai; Masashi Toyoda; Masaru Kitsuregawa,In this paper; we present Neighbor Community Finder (NCF; for short); a tool for finding Webcommunities related to given URLs. While existing link-based methods of findingcommunities; such as HITS; trawling; and Companion; use algorithms running on a Webgraph whose vertices are pages and edges are links on the Web; NCF uses an algorithmrunning on an inter-site graph whose vertices are sites and edges are global-links (linksbetween sites). Since the phrase,IEICE transactions on information and systems,2004,13
Visual exploration of changes in passenger flows and tweets on mega-city metro network,Masahiko Itoh; Daisaku Yokoyama; Masashi Toyoda; Yoshimitsu Tomita; Satoshi Kawamura; Masaru Kitsuregawa,Transportation systems in mega-cities are often affected by various kinds of events such asnatural disasters; accidents; and public gatherings. Highly dense and complicated networksin the transportation systems propagate confusion in the network because they offer variouspossible transfer routes to passengers. Visualization is one of the most important techniquesfor examining such cascades of unusual situations in the huge networks. This paperproposes visual integration of traffic analysis and social media analysis using two forms ofbig data: smart card data on the Tokyo Metro and social media data on Twitter. Our systemprovides multiple coordinated views to visually; intuitively; and simultaneously explorechanges in passengers' behavior and abnormal situations extracted from smart card dataand situational explanations from real voices of passengers such as complaints about …,IEEE Transactions on Big Data,2016,12
Finding common fixed points of a countable family of nonexpansive mappings in a Banach space,KOJI Aoyama; YASUNORI Kimura; WATARU Takahashi; MASASHI Toyoda,Abstract. The main purpose of this paper is to study an iteration procedure for finding acommon fixed point of a countable family of nonexpansive mappings in Banach spaces. Weintroduce a Mann type iteration procedure. Then we prove that such a sequence convergesweakly to a common fixed point of a countable family of nonexpansive mappings. Moreover;we apply our result to the problem of finding a common fixed point of a pair of nonexpansivemappings and the problem of finding a common solution of the fixed point problem and thevariational inequality problem.,Scientiae Mathematicae Japonicae,2007,12
WWW における関連コミュニティ群の発見,豊田正史,ニティを検索することができる. 例えば; ある野球チームの応援ページを 1 つ与えると;まずその野球チームの応援ページコミュニテイを; 次に各野球チームの公式ページコミュニテイを発見する. この検索は与えられた web ページの周辺における; ハイパーリンクの解析を基に行う.シードに関連するコミュニテイを 1 つだけ出力する従来手法に比べて; 本手法はシードに関連する複数のコミュニティをユーザに提供することができる点で優れている.,情報処理学会研究報告データベースシステム (DBS),2000,12
Web からの評判および評価表現抽出に関する一考察,藤村滋， 豊田正史， 喜連川優,要 旨 Web 上の膨大な情報の中から評判を自動的に抽出することで; 企業においてはマーケティングやクレーム処理; 個人においては意思決定支援等への応用が期待されている. しかし;評判は主観的な情報であり; その抽出にはテキストの意味を取り扱う必要性が生じ;容易には抽出ができない. そこで; 本報告ではあらかじめ収集した肯定的な評判と否定的な評判をコーパスとし; このコーパスから統計的に評価表現を抽出する手法を示す. 次に; 肯定・否定への文書分類を基にして; 評判の抽出へと拡張する手法について紹介する. また; 一連の手法を用いて Webからの評判抽出を行う簡単なシステムを構築したので紹介する. 最後に; その結果得られた課題についての考察を報告する.,情報処理学会研究報告データベースシステム (DBS),2004,11
ウェブコミュニティチャート―膨大なウェブページを関連する話題を通して閲覧可能にするツール―,豊田正史， 吉田聡， 喜連川優,同じ話題に関心をもつ人々や組織によって作成されたウェブページの集合を自動的に抽出できるリンク解析の手法が; これまでに数多く提案されている. ウェブコミュニティと呼ばれるこれらの集合を用いて; ウェブ上に存在する話題を把握することが可能である. しかし既存の研究では; 個々のウェブコミュニティの抽出に重きが置かれ; ウェブコミュニティ間の関連については考慮されてこなかった.本論文では; 大規模なウェブアーカイブからウェブコミュニティを抽出し; 関連するウェブコミュニティ同士を辺で結んだグラフを作成する手法を提案する. これをウェブコミュニティチャートと呼ぶ.我々の手法は; 与えられたシードページに関連するページをリンク解析によって算出する関連ページアルゴリズムに基づいている. まず我々は; 既存の関連ページアルゴリズムの精度を改善して;ユーザテストによる評価を行う. 次に; 改良版アルゴリズムを用いて; 大規模な日本のウェブアーカイブからウェブコミュニティチャートの作成実験を行う. 更に; 完成したチャートについて …,電子情報通信学会論文誌 D,2004,11
Real-time top-r topic detection on twitter with topic hijack filtering,Kohei Hayashi; Takanori Maehara; Masashi Toyoda; Ken-ichi Kawarabayashi,Abstract Twitter is a" what's-happening-right-now" tool that enables interested parties tofollow thoughts and commentary of individual users in nearly real-time. While it is a valuablesource of information for real-time topic detection and tracking; Twitter data are not cleanbecause of noisy messages and users; which significantly diminish the reliability of obtainedresults. In this paper; we integrate both the extraction of meaningful topics and the filtering ofmessages over the Twitter stream. We develop a streaming algorithm for a sequence ofdocument-frequency tables; our algorithm enables real-time monitoring of the top-10 topicsfrom approximately 25% of all Twitter messages; while automatically filtering noisy andmeaningless topics. We apply our proposed streaming algorithm to the Japanese Twitterstream and successfully demonstrate that; compared with other online nonnegative matrix …,Proceedings of the 21th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,2015,10
A framework for large-scale train trip record analysis and its application to passengers’ flow prediction after train accidents,Daisaku Yokoyama; Masahiko Itoh; Masashi Toyoda; Yoshimitsu Tomita; Satoshi Kawamura; Masaru Kitsuregawa,Abstract We have constructed a framework for analyzing passenger behaviors in publictransportation systems as understanding these variables is a key to improving the efficiencyof public transportation. It uses a large-scale dataset of trip records created from smart carddata to estimate passenger flows in a complex metro network. Its interactive flowvisualization function enables various unusual phenomena to be observed. We propose apredictive model of passenger behavior after a train accident. Evaluation showed that it canaccurately predict passenger flows after a major train accident. The proposed framework isthe first step towards real-time observation and prediction for public transportation systems.,Pacific-Asia Conference on Knowledge Discovery and Data Mining,2014,10
The Analysis of Users Behavior Using Global Web Access Logs,Shingo Otsuka,*,*,2004,10
Smart browsing among multiple aspects of data-flow visual program execution; using visual patterns and multi-focus fisheye views,Buntarou Shizuki; Masashi Toyoda; Etsuya Shibayama; Shin Takahashi,Abstract This paper presents a scalable visualization technique for automatic animation ofdata-flow visual program execution; and a software architecture to provide a scalableinterface for debugging programs; which exploits a multi-focus fisheye viewing algorithm inconjunction with a semantic zooming interface to show various kinds of information atruntime. The architecture also supports users' browsing with the interface by automaticallyassigning proper focal points; based on information embedded in the debugged programs.Thus; it is possible to provide scalable views and intelligent assistance for browsingdynamically created data-flow networks. We have incorporated these ideas into the visualtracer of the KLIEG visual parallel programming environment.,Journal of Visual Languages & Computing,2000,10
Visual patterns+ multi-Focus fisheye view: an automatic scalable visualization technique of data-Flow visual program execution,Buntarou Shizuki; Masashi Toyoda; Etsuya Shibayama; Shin Takahashi,We present a scalable visualization technique for automatic animation of data-flow visualprogram execution. We also show a framework to assist programmers' browsing tasks byautomatically producing the views of execution that highlight significant aspects of theprogram. The techniques described in this paper are based on the visual design patterns(VDPs) proposed in our VL'97 paper which serve as a flexible and high-level structure forreuse of visual parallel programming. This paper shows that VDPs also serve as a basis forrepresenting aspects of the program; with which it is possible to provide scalable views andintelligent assistance for browsing dynamically created data-flow networks. We haveincorporated these ideas into the visual tracer of the KLIEG visual parallel programmingenvironment.,Visual Languages; 1998. Proceedings. 1998 IEEE Symposium on,1998,10
オンライン上の対話における聞き手の感情の予測と喚起,長谷川貴之， 鍜治伸裕， 吉永直樹， 豊田正史,抄録 While there have been many attempts to estimate the emotion of a speaker from her/hisutterance; few studies have explored how her/his utterance affects the emotion of thelistener. This has motivated us to investigate two novel tasks: predicting the emotion of thelistener and generating a response that evokes a specific emotion in the listener's mind. Wetarget Japanese Twitter posts as a source of dialogue data and automatically build trainingdata for learning the predictors and generators. The feasibility of our approaches isassessed by using 1099 utterance-response pairs that are built by five human workers.,人工知能学会論文誌,2014,9
Visualizing time-varying topics via images and texts for inter-media analysis,Masahiko Itoh; Masashi Toyoda; Masaru Kitsuregawa,This paper proposes a system for analyzing societal behaviors by visualizing time-varyingtopics in multiple media. Various types of content such as text; images; and videos havespread throughout multiple media; such as TV and the Web; that have complementaryinformation and influence one another. It is important to compare how these media react toreal world events to understand recent societal behaviors and how each medium reacts toother media. Our system visualizes flows of content in multiple media in 3D space enablingus to simultaneously explore them. We present two example applications using our system.The first involves the visualization of inter-media events comparing the exposure of topics inTV news and the activities of bloggers. The second example application is a system forvisualizing visual trends on social media that chronologically displays extracted clusters …,Information Visualisation (IV); 2013 17th International Conference,2013,9
Visualization of passenger flows on metro,Masahiko Itoh; Daisaku Yokoyama; Masashi Toyoda; Yoshimitsu Tomita; Satoshi Kawamura; Masaru Kitsuregawa,ABSTRACT Visualization is one of the most important techniques for examining influencesof various kinds of phenomenon such as natural disasters; public gatherings; or accidentson changes in behavior of Metro system passengers. In this paper; we visualize thepropagation of the effect of troubles and changes in transportation flows in a wide area usingdata on the Tokyo Metro extracted from a smart card system from March 2011 to April 2013.Our system enables us to not only explore changes in passengers' actions after accidents ordisasters but also to discover unusual and unexpected phenomena and explore their detailsand reasons.,IEEE Conference on Visual Analytics Science and Technology; VAST,2013,9
Characterizing topic-specific hashtag cascade in twitter based on distributions of user influence,Geerajit Rattanaritnont; Masashi Toyoda; Masaru Kitsuregawa,Abstract As online social networks become extremely popular in these days; peoplecommunicate and exchange information for various purposes. In this paper; we investigatepatterns of information diffusion and behaviors of participating users in Twitter; which wouldbe useful to verify the effectiveness of marketing and publicity campaigns. We characterizeTwitter hashtag cascades corresponding to different topics by exploiting distributions of userinfluence; cascade ratio and tweet ratio. The cascade ratio indicates an ability of users tospread information to their neighborhoods; and the tweet ratio measures how much eachuser participates in each topic. We examined these two measures on a real Twitter datasetand found three major diffusion patterns over four topics.,Asia-Pacific Web Conference,2012,9
Sentiment classification in resource-scarce languages by using label propagation,Yong Ren; Nobuhiro Kaji; Naoki Yoshinaga; Masashi Toyoda; Masaru Kitsuregawa,Abstract. With the advent of consumer generated media (eg; Amazon reviews; Twitter; etc.);sentiment classification becomes a heated topic. Previous work heavily relies on a largeamount of linguistic resources; which are difficult to obtain in resource-scarce languages. Toovercome this problem; we investigate the usefulness of label propagation; which is a graph-based semi-supervised learning method. Extensive experimental evaluation on three realdatasets demonstrated that label propagation performs more stable than support vectormachines (SVMs) and transductive support vector machines (TSVMs) in a document-levelsentiment classification task for resource-scarce languages (Chinese in our case).,Proceedings of the 25th Pacific Asia conference on language; information and computation,2011,9
