Illustrated Field Guide to 100 Red listed medicinal plants of conservation concern in Southern India,K Ravikumar; DK Ved; R Vijayasankar; PS Udayan,*,*,2000,226
Conservation Assessment and Management Prioritisation (CAMP) for the Medicinal Plants of Jammu & Kashmir; Himachal Pradesh & Uttaranchal,DK Ved; GA Kinhal; K Ravikumar; V Prabhakaran; U Ghate; R Vijayasankar; JH Indresha,*,Workshop; Shimla; Himachal Pradesh. FRLHT; Bangalore; India,2003,107
Conservation assessment and management prioritization for the medicinal plants of Jammu & Kashmir,DK Ved; GA Kinhal; K Ravikumar; V Prabhakaran; U Ghate; RV Sankar; JH Indresha,*,Himachal Pradesh & Uttaranchal,2003,85
TDZ-induced high frequency plant regeneration through direct shoot organogenesis in Stevia rebaudiana Bertoni: an important medicinal plant and a natural sweete...,Hemant Lata; Suman Chandra; Yan-Hong Wang; Vijayasankar Raman; Ikhlas A Khan,ABSTRACT An efficient high frequency plant regeneration protocol through directorganogenesis was developed for Sevia rebaudiana Bert. Nodal segments containingaxillary buds were used as an explant and inoculated on Murashige and Skoog's (MS)medium containing 3%(w/v) sucrose; 0.8%(w/v) agar supplemented with variousconcentrations of benzyladenine (BA); kinetin (Kn) and thidiazuron (TDZ) ranging from 1.00to 9.00 µM. Maximum multiple shoots (96%) were obtained in MS medium supplementedwith 1.0 µM TDZ with an average of 60 shoots per culture; having an average shoot length of6.0 cm. The best in vitro root induction (89%) was achieved on half strength MS mediumwithout any growth regulator with an average of 24 roots per culture and root length of 7 cm.The rooted plantlets were successfully established in soil and grown to maturity at the …,American Journal of Plant Sciences,2013,33
An integrated approach utilising chemometrics and GC/MS for classification of chamomile flowers; essential oils and commercial products,Mei Wang; Bharathi Avula; Yan-Hong Wang; Jianping Zhao; Cristina Avonto; Jon F Parcher; Vijayasankar Raman; Jerry A Zweigenbaum; Philip L Wylie; Ikhlas A Khan,Abstract As part of an ongoing research program on authentication; safety and biologicalevaluation of phytochemicals and dietary supplements; an in-depth chemical investigation ofdifferent types of chamomile was performed. A collection of chamomile samples includingauthenticated plants; commercial products and essential oils was analysed by GC/MS.Twenty-seven authenticated plant samples representing three types of chamomile; viz.German chamomile; Roman chamomile and Juhua were analysed. This set of data wasemployed to construct a sample class prediction (SCP) model based on stepwise reductionof data dimensionality followed by principle component analysis (PCA) and partial leastsquares discriminant analysis (PLS-DA). The model was cross-validated with samplesincluding authenticated plants and commercial products. The model demonstrated 100.0 …,Food chemistry,2014,21
Conservation Assessment and Management Prioritisation (CAMP) for wild medicinal plants of North-East India.,DK Ved; GA Kinhal; K Ravikumar; R Vijayasankar; K Haridasan,Abstract: Results are presented of a CAMP (Conservation Assessment and ManagementPrioritization) workshop for medicinal plants of North-East Indian states of ArunachalPradesh; Assam; Meghalaya and Sikkim; held at Guwahati (Assam) during 27 February to 1March 2003. The 50 assessed taxa belong to 45 genera from 33 flowering plant families;while one taxon is a non flowering plant (a tree fern). Orchidaceae is the most representedfamily (6 species); followed by Piperaceae (4 species); Valerianaceae and Ranunculaceae(3 species each). Among the assessed taxa; the highest number is of herbs (25 species)followed by trees (15 species); climbers (6 species) and shrubs (4 species). Of the 50 taxa;46 have been assigned threat categories for one or more states and 7 of these arethreatened globally being endemic or nearly so. These are Amentotaxus asammica …,Medicinal Plant Conservation,2005,21
Floristic wealth of Javvadhu Hills; Eastern Ghats; with special emphasis on threatened plants,R Vijayasankar; K Ravikumar; Goraya GS,*,*,2008,19
Iontophoretic Drug Delivery for the Treatment of Scars,Prashanth Manda; Muralikrishnan Angamuthu; Shobharani R Hiremath; Vijayasankar Raman; S Narasimha Murthy,ABSTRACT Topical treatment of hypertrophic scars is challenging because of poorpenetrability of drugs into the scar tissue. The objective of the study was to investigate theeffectiveness of iontophoresis to deliver medicaments across the scar epidermis. Initially;biophysical studies were performed to investigate the differences between scar and normalskin epidermis obtained from cadaver. In case of scar skin epidermis; the transepidermalwater loss was not significantly different from the normal skin epidermis; whereas theelectrical resistivity was significantly higher. The passive permeation flux of sodiumfluorescein was approximately one-third of that across the normal skin epidermis. Scanningelectron microscopy studies revealed that the two membranes were alike except that thescar skin epidermis lacked follicles. Cathodal iontophoresis enhanced the delivery of …,Journal of pharmaceutical sciences,2014,18
Ethnobotany of Malayali tribes in Melpattu village; Juvvadhu hills of Eastern Ghats; Tiruvannamalai district; Tamil Nadu,K Ravikumar; R Vijayasankar,*,*,2003,18
Comparative Investigation of Umbellularia californica and Laurus nobilis Leaf Essential Oils and Identification of Constituents Active against Aedes aegypti,Nurhayat Tabanca; Cristina Avonto; Mei Wang; Jon F Parcher; Abbas Ali; Betul Demirci; Vijayasankar Raman; Ikhlas A Khan,Umbellularia californica (California bay laurel) and Laurus nobilis (Mediterranean baylaurel) leaves may be mistaken or used as a substitute on the market due to theirmorphological similarity. In this study; a comparison of anatomical and chemical featuresand biological activity of both plants is presented. L. nobilis essential oil biting deterrent andlarvicidal activity were negligible. On the other hand; U. californica leaf oil showed bitingdeterrent activity against Aedes aegypti. The identified active repellents was thymol; alongwith (−)-umbellulone; 1; 8-cineole; and (−)-α-terpineol. U. californica essential oil alsodemonstrated good larvicidal activity against 1-day-old Ae. aegypti larvae with a LD50 valueof 52.6 ppm. Thymol (LD50= 17.6 ppm); p-cymene;(−)-umbellulone; and methyleugenolwere the primary larvicidal in this oil. Umbellulone was found as the principal compound …,Journal of agricultural and food chemistry,2013,15
Diclofenac sodium ion exchange resin complex loaded melt cast films for sustained release ocular delivery,Goutham R Adelli; Sai Prachetan Balguri; Prakash Bhagav; Vijayasankar Raman; Soumyajit Majumdar,Abstract Purpose: The goal of the present study is to develop polymeric matrix films loadedwith a combination of free diclofenac sodium (DFSfree) and DFS: Ion exchange resincomplexes (DFS: IR) for immediate and sustained release profiles; respectively. Methods:Effect of ratio of DFS and IR on the DFS: IR complexation efficiency was studied using batchprocessing. DFS: IR complex; DFSfree; or a combination of DFSfree+ DFS: IR loaded matrixfilms were prepared by melt-cast technology. DFS content was 20% w/w in these matrixfilms. In vitro transcorneal permeability from the film formulations were compared againstDFS solution; using a side-by-side diffusion apparatus; over a 6 h period. Ocular dispositionof DFS from the solution; films and corresponding suspensions were evaluated in consciousNew Zealand albino rabbits; 4 h and 8 h post-topical administration. All in vivo studies …,Drug Delivery,2017,14
