A generic framework for monitoring continuous spatial queries over moving objects,Haibo Hu; Jianliang Xu; Dik Lun Lee,Abstract This paper proposes a generic framework for monitoring continuous spatial queriesover moving objects. The framework distinguishes itself from existing work by being the firstto address the location update issue and to provide a common interface for monitoringmixed types of queries. Based on the notion of safe region; the client location updatestrategy is developed based on the queries being monitored. Thus; it significantly reducesthe wireless communication and query reevaluation costs required to maintain the up-to-date query results. We propose algorithms for query evaluation/reevaluation and for saferegion computation in this framework. Enhancements are also proposed to take advantageof two practical mobility assumptions: maximum speed and steady movement. Theexperimental results show that our framework substantially outperforms the traditional …,Proceedings of the 2005 ACM SIGMOD international conference on Management of data,2005,336
Top-k monitoring in wireless sensor networks,Minji Wu; Jianliang Xu; Xueyan Tang; Wang-Chien Lee,Top-k monitoring is important to many wireless sensor applications. This paper exploits thesemantics of top-k query and proposes an energy-efficient monitoring approach called FILA.The basic idea is to install a filter at each sensor node to suppress unnecessary sensorupdates. Filter setting and query reevaluation upon updates are two fundamental issues tothe correctness and efficiency of the FILA approach. We develop a query reevaluationalgorithm that is capable of handling concurrent sensor updates. In particular; we presentoptimization techniques to reduce the probing cost. We design a skewed filter settingscheme; which aims to balance energy consumption and prolong network lifetime.Moreover; two filter update strategies; namely; eager and lazy; are proposed to favordifferent application scenarios. We also extend the algorithms to several variants of top-k …,IEEE Transactions on Knowledge and Data Engineering,2007,260
Data management in location-dependent information services,Dik Lun Lee; Jianliang Xu; Baihua Zheng; Wang-Chien Lee,Location-dependent information services have great promise for mobile and pervasivecomputing environments. They can provide local and nonlocal news; weather; and trafficreports as well as directory services. Before they can be implemented on a large scale;however; several research issues must be addressed.,IEEE Pervasive computing,2002,257
Extending Network Lifetime for Precision-Constrained Data Aggregation in Wireless Sensor Networks.,Xueyan Tang; Jianliang Xu,Abstract—This paper exploits the tradeoff between data qual-ity and energy consumption toextend the lifetime of wireless sensor networks. We consider the applications that requiresome aggregate form of sensed data with precision guarantees. Our key idea is todifferentiate the precisions of data collected from different sensor nodes to balance theirenergy consumption. This is achieved by partitioning the precision constraint of dataaggregation and allocating error bounds to individual sensor nodes in a coordinatedfashion. Three factors affecting the lifetime of sensor nodes are identified:(1) the changingpattern of sensor readings;(2) the residual energy of sensor nodes; and (3) thecommunication cost between the sensor nodes and the base station. We analyze theoptimal precision allocation in terms of network lifetime and propose an adaptive …,INFOCOM,2006,201
Cache invalidation and replacement strategies for location-dependent data in mobile environments,Baihua Zheng; Jianliang Xu; Dik Lun Lee,Mobile location-dependent information services (LDISs) have become increasingly popularin recent years. However; data caching strategies for LDISs have thus far received littleattention. In this paper; we study the issues of cache invalidation and cache replacement forlocation-dependent data under a geometric location model. We introduce a newperformance criterion; called caching efficiency; and propose a generic method for location-dependent cache invalidation strategies. In addition; two cache replacement policies; PAand PAID; are proposed. Unlike the conventional replacement policies; PA and PAID takeinto consideration the valid scope area of a data value. We conduct a series of simulationexperiments to study the performance of the proposed caching schemes. The experimentalresults show that the proposed location-dependent invalidation scheme is very effective …,IEEE Transactions on computers,2002,200
Time-critical on-demand data broadcast: Algorithms; analysis; and performance evaluation,Jianliang Xu; Xueyan Tang; Wang-Chien Lee,On-demand broadcast is an effective wireless data dissemination technique to enhancesystem scalability and deal with dynamic user access patterns. With the rapid growth of time-critical information services in emerging applications; there is an increasing need for thesystem to support timely data dissemination. This paper investigates online schedulingalgorithms for time-critical on-demand data broadcast. We propose a novel schedulingalgorithm called SIN-/spl alpha/that takes the urgency and number of outstanding requestsinto consideration. An efficient implementation of SIN-/spl alpha/is presented. We alsoanalyze the theoretical bound of request drop rate when the request arrival rate rises towardinfinity. Trace-driven experiments show that SIN-/spl alpha/significantly outperforms existingalgorithms over a wide range of workloads and approaches the analytical bound at high …,IEEE Transactions on parallel and distributed systems,2006,189
Processing private queries over untrusted data cloud through privacy homomorphism,Haibo Hu; Jianliang Xu; Chushi Ren; Byron Choi,Query processing that preserves both the data privacy of the owner and the query privacy ofthe client is a new research problem. It shows increasing importance as cloud computingdrives more businesses to outsource their data and querying services. However; mostexisting studies; including those on data outsourcing; address the data privacy and queryprivacy separately and cannot be applied to this problem. In this paper; we propose aholistic and efficient solution that comprises a secure traversal framework and an encryptionscheme based on privacy homomorphism. The framework is scalable to large datasets byleveraging an index-based approach. Based on this framework; we devise secure protocolsfor processing typical queries such as k-nearest-neighbor queries (kNN) on R-tree index.Moreover; several optimization techniques are presented to improve the efficiency of the …,Data Engineering (ICDE); 2011 IEEE 27th International Conference on,2011,188
Proxy caching for media streaming over the Internet,Jiangchuan Liu; Jianliang Xu,Streaming media has contributed to a significant amount of today's Internet traffic. Likeconventional Web objects (eg; HTML pages and images); media objects can benefit fromproxy caching; but their unique features such as huge size and high bandwidth demandimply that conventional proxy caching strategies have to be substantially revised. This articlediscusses the critical issues and challenges of cache management for proxy-assisted mediastreaming. We survey; classify; and compare the state-of-the-art solutions. We alsoinvestigate advanced issues of combining multicast with caching; cooperating amongproxies; and leveraging proxy caching in overlay networks.,IEEE Communications magazine,2004,168
Protecting location privacy against location-dependent attacks in mobile services,Xiao Pan; Jianliang Xu; Xiaofeng Meng,Privacy protection has recently received considerable attention in location-based services. Alarge number of location cloaking algorithms have been proposed for protecting the locationprivacy of mobile users. In this paper; we consider the scenario where different location-based query requests are continuously issued by mobile users while they are moving. Weshow that most of the existing k-anonymity location cloaking algorithms are concerned withsnapshot user locations only and cannot effectively prevent location-dependent attackswhen users' locations are continuously updated. Therefore; adopting both the location k-anonymity and cloaking granularity as privacy metrics; we propose a new incremental clique-based cloaking algorithm; called ICliqueCloak; to defend against location-dependentattacks. The main idea is to incrementally maintain maximal cliques needed for location …,IEEE Transactions on Knowledge and Data Engineering,2012,161
Performance evaluation of an optimal cache replacement policy for wireless data dissemination,Jianliang Xu; Qinglong Hu; Wang-Chien Lee; Dik Lun Lee,Data caching at mobile clients is an important technique for improving the performance ofwireless data dissemination systems. However; variable data sizes; data updates; limitedclient resources; and frequent client disconnections make cache management a challenge.We propose a gain-based cache replacement policy; Min-SAUD; for wireless datadissemination when cache consistency must be enforced before a cached item is used. Min-SAUD considers several factors that affect cache performance; namely; access probability;update frequency; data size; retrieval delay; and cache validation cost. The paper employsstretch as the major performance metric since it accounts for the data service time and; thus;is fair when items have different sizes. We prove that Min-SAUD achieves optimal stretchunder some standard assumptions. Moreover; a series of simulation experiments have …,IEEE Transactions on knowledge and Data Engineering,2004,158
QoS-aware replica placement for content distribution,Xueyan Tang; Jianliang Xu,The rapid growth of new information services and business-oriented applications entails theconsideration of quality of service (QoS) in content distribution. This paper investigates theQoS-aware replica placement problems for responsiveness QoS requirements. We considertwo classes of service models: replica-aware services and replica-blind services. In replica-aware services; the servers are aware of the locations of replicas and can therefore optimizerequest routing to improve responsiveness. We show that the QoS-aware placementproblem for replica-aware services is NP-complete. Several heuristic algorithms for fastcomputation of good solutions are proposed and experimentally evaluated. In replica-blindservices; the servers are not aware of the locations of replicas or even their existence. As aresult; each replica only serves the requests flowing through it under some given routing …,IEEE Transactions on parallel and distributed systems,2005,144
