Children's geographies: Playing; living; learning,Sarah L Holloway; Gill Valentine,*,*,2000,1175
Children’s geographies and the new social studies of childhood,Sarah L Holloway; Gill Valentine,Children's Geographies presents an overview of a rapidly expanding area of research.Drawing on original research in Europe; North and South America; Africa and Asia; thisvolume provides an analysis of children's experiences of playing; living and learning. Thecase studies are diverse; ranging from an historical analysis of gender relations innineteenth-century North American playgrounds; through children's experiences of after-school care in contemporary Britain; to street cultures amongst homeless children inIndonesia at the end of the twentieth century. Threaded through this empirical diversity is acommon engagement with current debates about the nature of childhood. The individualchapters draw on contemporary sociological understandings of children's competence associal actors. In so doing they not only illustrate the importance of such an approach to …,Childhood: Critical concepts in sociology,2005,641
Cyberkids: Children in the information age,Sarah L Holloway; Gill Valentine,As Tony Blair has said;" Technology has revolutionised the way we work and is now set totransform education. Children cannot be effective in tomorrow's world if they are trained inyesterday's skills." Cyberkids draws together research in the sociology of childhood andsocial studies of technology to explore children's experiences in the Information Age. Thebook addresses key policy debates about social inclusion and exclusion; children'sidentities and friendships in on-line and off-line worlds and their relationships with familiesand teachers. It counters contemporary moral panics about children's risk from dangerousstrangers on-line; about corruption and lost innocence from adult-centred material on theweb and about the addiction to life on the screen. Instead; by showing how children use ICTin balanced and sophisticated ways; the book draws out the importance of everyday uses …,*,2003,586
Cyberkids: Children in the information age,Sarah L Holloway; Gill Valentine,As Tony Blair has said;" Technology has revolutionised the way we work and is now set totransform education. Children cannot be effective in tomorrow's world if they are trained inyesterday's skills." Cyberkids draws together research in the sociology of childhood andsocial studies of technology to explore children's experiences in the Information Age. Thebook addresses key policy debates about social inclusion and exclusion; children'sidentities and friendships in on-line and off-line worlds and their relationships with familiesand teachers. It counters contemporary moral panics about children's risk from dangerousstrangers on-line; about corruption and lost innocence from adult-centred material on theweb and about the addiction to life on the screen. Instead; by showing how children use ICTin balanced and sophisticated ways; the book draws out the importance of everyday uses …,*,2003,551
Spatiality and the new social studies of childhood,Sarah L Holloway; Gill Valentine,Abstract The past two decades have seen rapid changes in the ways in which sociologiststhink about children; and a growing cross-fertilisation of ideas between researchers in avariety of social science disciplines. This paper builds upon these developments byexploring what three inter-related ways of thinking about spatiality might contribute to thenew social studies of childhood. Specifically; we identify the importance of progressiveunderstandings of place in overcoming the split between global and local approaches tochildhood; we discuss the ways in which children's identities are constituted in and throughparticular spaces; and we examine the ways in which our understandings of childhood canshape the meaning of spaces and places. These ideas are illustrated by reference to ourcurrent research on children's use of the internet as well as a range of wider studies.,Sociology,2000,391
Cyberkids? Exploring children’s identities and social networks in on-line and off-line worlds,Gill Valentine; Sarah L Holloway,In the first rush of academic and popular commentaries on cyberspace; a stark oppositionhas been drawn between off-line and on-line worlds—the “real” and “virtual.” Suchunderstandings of the relationship between these spaces are now increasingly subject tocritique; yet relatively little is known about how people actually employ information andcommunication technologies (ICT) within the context of their everyday lives. In this article; bydrawing on research with children aged 11–16; we provide primary empirical materialdemonstrating how on-line spaces are used; encountered; and interpreted within the contextof young people's off-line everyday lives. In doing so we consider both how children's “real”worlds are incorporated into their “virtual” worlds and how their “virtual” worlds areincorporated into their “real” worlds. In other words; we demonstrate how the real and the …,Annals of the association of American Geographers,2002,328
Geographies of education and the significance of children; youth and families,Sarah L Holloway; Phil Hubbard; Heike Jöns; Helena Pimlott-Wilson,This paper engages with Hanson Thiem's (2009) critique of geographies of education.Accepting the premise that education warrants fuller attention by geographers; the papernonetheless argues that engaging with research on children; youth and families reshapesunderstanding of what has been; and might be; achieved. Foregrounding young people asthe subjects rather than objects of education demands that attention be paid to their currentand future life-worlds; in both inward and outward looking geographies of education. It alsorequires a broadening of our spatial lens; in terms of what 'count'as educational spaces; andthe places where we study these.,Progress in Human Geography,2010,177
Drunk and disorderly: alcohol; urban life and public space,Mark Jayne; Sarah L Holloway; Gill Valentine,This paper shows that; despite receiving significant attention; the relationship betweenalcohol; drunkenness and public space has been undertheorized. We show that wheredrinking has been considered it has generally been as a peripheral concern of political-economy accounts that have sought to conceptualize the development of the modern city; ormore recently the impact of global economic restructuring on urban life and public space.Moreover; such work has posited the relationship between drinking and the political;economic; social; cultural and spatial practices and processes bound up with; for example;social control in modern city or with contemporary gentrification; corporatization;fragmentation and regulation of the night-time economy; public space and revanchist urbanpolicy in very general terms. While drawing on evidence from around the world; this paper …,Progress in Human Geography,2006,175
Local childcare cultures: moral geographies of mothering and the social organisation of pre-school education,Sarah L Holloway,Child-rearing has not been a major focus of research in geography despite the fact that itsorganisation is both spatially and temporally variable. Geographical work on pre-schoolchildcare provision in the 1970s and 1980s tended to focus on the implementation andimplications of government policy; more recently there has been a growth of feminist work onchild-rearing which has employed a diversity of approaches. These studies have made avaluable contribution to our understanding of how mothers organise the care of theirchildren; often whilst undertaking paid employment; nevertheless they can not alwaysexplain how a wide range of mothers negotiate specific aspects of'maternal responsibility'.This article draws on an empirical investigation of pre-school childcare cultures in two areasof Sheffield; UK; in order to analyse the ways in which mothers' attitudes to their children's …,Gender; Place and Culture: A Journal of Feminist Geography,1998,174
Geographies of new femininities,Nina Laurie; Claire Dwyer; Sarah L Holloway; Fiona Smith,*,*,1999,159
Emotional; embodied and affective geographies of alcohol; drinking and drunkenness,Mark Jayne; Gill Valentine; Sarah L Holloway,Abstract This paper develops dialogue between geographers' engagement with emotion;embodiment and affect; and geographical research on alcohol; drinking and drunkenness.In doing so; we focus on the long-running 'moral panic'relating to alcohol-related violence;disorder and drunken behaviour in urban public space. We argue there has been anontological and epistemological impasse in 'alcohol studies' between approaches that haveconsidered the biological; physiological and psychological impacts of alcohol consumptionand those focused on social and cultural practices. While there has been an artificialseparation; and hence under-theorisation of the relationships between emotions;embodiment; affect and everyday uses of alcohol; we develop an argument that signals thepossibilities of a more nuanced and sophisticated approach. We present empirical …,Transactions of the Institute of British Geographers,2010,141
Key concepts in geography,Sarah L Holloway; S.P Rice; G Valentine,*,*,2003,134
Geographies of alcohol; drinking and drunkenness: a review of progress,Mark Jayne; Gill Valentine; Sarah L Holloway,This paper explores geographical contributions to the study of alcohol; drinking anddrunkenness. We argue that where alcohol studies have engaged with geographical issuesresearch has been dominated by a case study approach that has undertheorized therelationship between practices and processes relating to alcohol; drinking and drunkennessand the people and places being studied. We then go on to show the ways in which humangeographers are approaching alcohol; drinking and drunkenness via complexinterpenetrations of political; economic; social; cultural and spatial issues and unpackingconnections; similarities; differences and mobilities between supranational; national;regional and local spatial scales. We argue that such an approach represents aconceptually and empirically important contribution to alcohol studies research. The …,Progress in Human Geography,2008,131
On‐line Dangers?: Geographies of Parents’ Fears for Children's Safety in Cyberspace,Gill Valentine; Sarah Holloway,Abstract Children are considered particularly important in debates about the possibilitiesand dangers of information and communication technologies (ICT). Discourses on ICTcontain paradoxical representations of childhood. On the one hand; unlike most otherunderstandings of child/adult relations; these discourses assume children to be equally; ifnot more; technologically competent than adults. On the other hand; children's verycompetence at using ICT is alleged to be putting them “at risk” of abuse or corruption. Thispaper addresses these moral panics about children and ICT by exploring to what extent andwhy parents are concerned about their children's safety in on-line space. In doing so thepaper reflects on the extent to which anxieties about children in cyberspace replicateconcerns about public outdoor space and the way networked computers emerge as …,The Professional Geographer,2001,122
Institutionalising technologies: masculinities; femininities; and the heterosexual economy of the IT classroom,Sarah L Holloway; Gill Valentine; Nick Bingham,Geographers' renewed interest in institutions reflects traditional concerns with the wayinstitutions can shape geographies and a more recent interest in the ways geographies areimportant in shaping institutions. In this paper the authors build on this second strand of workand are specifically concerned with children's use of new information and communicationstechnologies in schools. The authors suggest that multilayered institutional cultures; whichare shaped by official school policy; teacher practice; and pupil culture; are exceedinglyimportant in shaping distinct cultures of computing in (and within) the case-study schools.The highly gendered character of these institutional cultures is reflected in the very differentattitudes of male and female pupils to computers and in the patterns of use which generallyfavour boys rather than girls. These are negotiated through competing masculinities and …,Environment and Planning A,2000,115
Corked Hats and Coronation Street,Sarah L Holloway; Gill Valentine,This article contributes to the developing literature on childhood and national identity byconsidering the ways in which children imagine other nations. Focusing in particular on on-line interactions between children in 12 British and 12 New Zealand schools; the articleexplores their imaginative geographies of each other; and assesses the ways these visionsare endorsed or contested by the children to whom they refer. The article not only illustratesthe sources and importance of stereotypical understandings of landscape; people andpatterns of daily life in other nations; but also the ways these may be contested through on-line contact.,Childhood,2000,104
Drinking places: Young people and cultures of alcohol consumption in rural environments,Gill Valentine; Sarah Holloway; Charlotte Knell; Mark Jayne,Abstract This paper focuses on the contemporary British moral panic about young peopleand the consumption of alcohol in public space. Most of this public debate has focused onbinge drinking in urban areas as a social problem. Here; we consider instead the role ofalcohol in rural communities; and in particular alcohol consumption in domestic and informalspaces; as well as the formal drinking landscape of pubs and bars. Drawing on empiricalwork (including a survey; interviews and participant observation) in rural Cumbria; UK weexplore the specific socio-spatial nature of local attitudes to alcohol consumption and itsregulation. In doing so; we reflect on the nature of rural lifestyles; community spaces andintergenerational relations. The paper concludes by highlighting some of the implications forhealth promotion professionals of the generally positive attitude towards young people's …,Journal of Rural Studies,2008,91
The digital generation?: Children; ICT and the everyday nature of social exclusion,Gill Valentine; Sarah Holloway; Nick Bingham,Abstract In this paper we explore the potentially inclusionary and exclusionary implicationsof Information Communication Technologies (ICT) for children through an examination ofICT policies and practices within UK schools. We begin by outlining the rhetoric of inclusionevident in UK government policy and by reflecting on how these discourses are mobilised inthree case-study schools. We go on to consider issues of social exclusion; demonstratingthat both material and social factors can prevent access to appropriate computer technology.In particular; we emphasise the importance of the way that children negotiate the meaningsand use of computers through their everyday practices within the classroom. The paperconcludes by arguing that only when we recognise that children's use of computers is aboutnot only the broad-scale distribution of resources but also children's everyday social …,Antipode,2002,88
Alcohol; drinking; drunkeness:(Dis) orderly spaces,Mark Jayne; Gill Valentine; Sarah L Holloway,Designed as a reference text; this book represents the first systematic overview ofgeographies of alcohol; drinking and drunkenness. Each chapter blends conceptualmaterial with empirical case studies to analyse drinking in public and private; urban andrural drinking patterns and practices; gender; life course; and emotional and embodiedgeographies.,*,2011,87
Burning issues: Whiteness; rurality and the politics of difference,Sarah L Holloway,Abstract In the past decade geographers have critiqued the exclusivity of idyllicrepresentations of rurality and sought to explore the diverse experiences of Other socialgroups in the countryside. This paper builds upon that small but significant strand ofresearch which has highlighted the whiteness of representations of rurality and theconsequences of this for racialised minorities. These debates have been crucially importantin forwarding our understanding of racially-exclusive constructions of idyllic country living;however; it is important that academics neither assume that such ideas are forever fixed; northat they affect all minority ethnic groups in the same ways. This paper takes both thepotential power and frailty of these ideas seriously; as it examines how the concepts of race;racism and rurality are deployed by different commentators as they debate the place of …,Geoforum,2007,83
'It's only as stupid as you are': children's and adults' negotiation of ICT competence at home and at school,Sarah L Holloway; Gill Valentine,Contemporary discourses about children's use of information and communicationtechnologies (ICT)—which both celebrate children's command of a technology which is seento be our future; and raise fears that this technology is putting children's emotional well-being at risk—are problematic; resting as they do on essentialist ideas about children; andovert technological determinism. Drawing instead on work within the new social studies ofchildhood; and the sociology of science and technology; we identify a need for researchwhich examines how children and technology come together in diverse communities ofpractice. The communities of practice we study are the home-and school-based ICT usageof British school children in the late 1990s. Our research identifies the different ways inwhich children and adults negotiate children's technical and emotional competence in …,Social & Cultural Geography,2001,78
Changing children's geographies,Sarah L Holloway,This keynote explores the changing nature of children's geographies as an academicproject. It proceeds in four parts. Part 1 considers the shift away from research on children'sspatial cognition which envisaged the child in largely biological terms; and contemplatescontemporary efforts to rework the nature/culture dualism. Part 2 traces the incorporation ofnew social studies of childhood into geography; emphasising the importance of children'svoices; their positioning within axes of power; and the need for quantitative and qualitativemethods. Part 3 explores how feminist research led to interest in parents; educators andother actors/institutions which shape; and are shaped by; children's lives. Part 4 ponderswhat children's geographies might add to; and learn from; broader interdisciplinary debates;and the benefits and pitfalls of research impact. The conclusion argues that a well …,Children's Geographies,2014,74
Children’s interventions in the new public sphere,Gill Valentine; Sarah L Holloway; Nick Bingham,Information technology is one of the fasting growing sectors of the economy. Over 40 percent of US households now own a home personal computer (PC)(Vanderkay andBlumenthal) while the recent UK Government's IT for All survey (UK Government) found that34 per cent of UK respondents claimed to have a PC at home even if they did not use it.Families with children have the highest levels of ownership. Although the domestic PCmarket which started in the 1970s was initially the domain of hobbyists; in the early 1980sUS and UK government initiatives to put computers into schools inspired the computercompanies to target the consumer market (Murdock; Hartman and Gray 1992). Whilecomputer games; entertainment packages and the opportunity to surf the Internet hookedchildren's interest; companies also picked up on government discourses about the …,Children's geographies: Playing; living; learning,2000,73
‘Sainsbury's is my local’: English alcohol policy; domestic drinking practices and the meaning of home,Sarah L Holloway; Mark Jayne; Gill Valentine,Abstract Drinking in England is an issue of public and policy concern. The Government hasfocused on the city centre in pursuing its twin policy aims of urban regeneration and publicorder and health. This paper challenges the silences in such debate by focusing on thedomestic drinking practices in two case-study locations. Drawing on insights from widergeographies of home; the empirical sections of the paper explore domestic drinking as awidespread; socially sanctioned practice; which is shaped through diverse social relations;and the home's connections to other time/spaces. The ideological power of home works toobscure the problems that domestic drinking can sometimes cause.,Transactions of the Institute of British Geographers,2008,72
A window on the wider world? Rural children's use of information and communication technologies,Gill Valentine; Sarah L Holloway,Abstract The possibilities which information and communication technologies (ICT) offerpeople (or groups) to overcome the friction of distance and the constraints of materialitymean that these technologies are seen to have particular relevance in rural areas whichhave been historically characterised in terms of their economic and social perpheriality. Inthis paper; we draw on empirical research with children and their teachers and parents; toexplore the opportunities which ICT are seen to offer young people living in rural areas. First;we examine the information that children access on-line and how young people make senseof this expanded terrain. Second we focus on communication; by considering children's useof email and chat rooms. Third; we explore how this information and these modes ofcommunication may be shaping young people's sense of place in the world. Our findings …,Journal of Rural Studies,2001,70
Fluid boundaries—British binge drinking and European civility: alcohol and the production and consumption of public space,Mark Jayne; Gill Valentine; Sarah L Holloway,Abstract During the past few years; debate surrounding depictions of a 'British disease'ofbinge drinking in contrast to civil European drinking cultures has been a central feature ofpopular and political debate in the UK. This paper investigates the ways in which thesedrinking categories have been constructed and identifies how they have become keyelements in the production and consumption of public space. Empirical findings arepresented from a city in the UK to show how these labels are being translated into policyagendas through the construction of models of citizenship and ways of behaviour andoperationalised through the designation and regulation of particular spaces via exclusionzones; quartering; planning and policing. The paper also highlights the ways in whichdiscourses relating to British binge-and European-drinking are being adopted and …,Space and Polity,2008,68
