Learning influence probabilities in social networks,Amit Goyal; Francesco Bonchi; Laks VS Lakshmanan,Abstract Recently; there has been tremendous interest in the phenomenon of influencepropagation in social networks. The studies in this area assume they have as input to theirproblems a social graph with edges labeled with probabilities of influence between users.However; the question of where these probabilities come from or how they can be computedfrom real social network data has been largely ignored until now. Thus it is interesting to askwhether from a social graph and a log of actions by its users; one can build models ofinfluence. This is the main problem attacked in this paper. In addition to proposing modelsand algorithms for learning the model parameters and for testing the learned models tomake predictions; we also develop techniques for predicting the time by which a user maybe expected to perform an action. We validate our ideas and techniques using the Flickr …,Proceedings of the third ACM international conference on Web search and data mining,2010,815
Never walk alone: Uncertainty for anonymity in moving objects databases,Osman Abul; Francesco Bonchi; Mirco Nanni,Preserving individual privacy when publishing data is a problem that is receiving increasingattention. According to the k-anonymity principle; each release of data must be such thateach individual is indistinguishable from at least k-1 other individuals. In this paper we studythe problem of anonymity preserving data publishing in moving objects databases. Wepropose a novel concept of k-anonymity based on co-localization that exploits the inherentuncertainty of the moving object's whereabouts. Due to sampling and positioning systems(eg; GPS) imprecision; the trajectory of a moving object is no longer a polyline in a three-dimensional space; instead it is a cylindrical volume; where its radius¿ represents thepossible location imprecision: we know that the trajectory of the moving object is within thiscylinder; but we do not know exactly where. If another object moves within the same …,Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,396
The query-flow graph: model and applications,Paolo Boldi; Francesco Bonchi; Carlos Castillo; Debora Donato; Aristides Gionis; Sebastiano Vigna,Abstract Query logs record the queries and the actions of the users of search engines; andas such they contain valuable information about the interests; the preferences; and thebehavior of the users; as well as their implicit feedback to search engine results. Mining thewealth of information available in the query logs has many important applications includingquery-log analysis; user profiling and personalization; advertising; query recommendation;and more. In this paper we introduce the query-flow graph; a graph representation of theinteresting knowledge about latent querying behavior. Intuitively; in the query-flow graph adirected edge from query qi to query qj means that the two queries are likely to be part of thesame" search mission". Any path over the query-flow graph may be seen as a searchingbehavior; whose likelihood is given by the strength of the edges along the path.,Proceedings of the 17th ACM conference on Information and knowledge management,2008,334
A data-based approach to social influence maximization,Amit Goyal; Francesco Bonchi; Laks VS Lakshmanan,Abstract Influence maximization is the problem of finding a set of users in a social network;such that by targeting this set; one maximizes the expected spread of influence in thenetwork. Most of the literature on this topic has focused exclusively on the social graph;overlooking historical data; ie; traces of past action propagations. In this paper; we studyinfluence maximization from a novel data-based perspective. In particular; we introduce anew model; which we call credit distribution; that directly leverages available propagationtraces to learn how influence flows in the network and uses this to estimate expectedinfluence spread. Our approach also learns the different levels of influence-ability of users;and it is time-aware in the sense that it takes the temporal nature of influence into account.We show that influence maximization under the credit distribution model is NP-hard and …,Proceedings of the VLDB Endowment,2011,298
Social network analysis and mining for business applications,Francesco Bonchi; Carlos Castillo; Aristides Gionis; Alejandro Jaimes,Abstract Social network analysis has gained significant attention in recent years; largely dueto the success of online social networking and media-sharing sites; and the consequentavailability of a wealth of social network data. In spite of the growing interest; however; thereis little understanding of the potential business applications of mining social networks. Whilethere is a large body of research on different problems and methods for social networkmining; there is a gap between the techniques developed by the research community andtheir deployment in real-world applications. Therefore the potential business impact of thesetechniques is still largely unexplored. In this article we use a business process classificationframework to put the research topics in a business context and provide an overview of whatwe consider key problems and techniques in social network analysis and mining from the …,ACM Transactions on Intelligent Systems and Technology (TIST),2011,240
Fast shortest path distance estimation in large networks,Michalis Potamias; Francesco Bonchi; Carlos Castillo; Aristides Gionis,Abstract In this paper we study approximate landmark-based methods for point-to-pointdistance estimation in very large networks. These methods involve selecting a subset ofnodes as landmarks and computing offline the distances from each node in the graph tothose landmarks. At runtime; when the distance between a pair of nodes is needed; it can beestimated quickly by combining the precomputed distances. We prove that selecting theoptimal set of landmarks is an NP-hard problem; and thus heuristic solutions need to beemployed. We therefore explore theoretical insights to devise a variety of simple methodsthat scale well in very large networks. The efficiency of the suggested techniques is testedexperimentally using five real-world graphs having millions of edges. While theoreticalbounds support the claim that random landmarks work well in practice; our extensive …,Proceedings of the 18th ACM conference on Information and knowledge management,2009,226
Mining graph evolution rules,Michele Berlingerio; Francesco Bonchi; Björn Bringmann; Aristides Gionis,Abstract In this paper we introduce graph-evolution rules; a novel type of frequency-basedpattern that describe the evolution of large networks over time; at a local level. Given asequence of snapshots of an evolving graph; we aim at discovering rules describing thelocal changes occurring in it. Adopting a definition of support based on minimum image westudy the problem of extracting patterns whose frequency is larger than a minimum supportthreshold. Then; similar to the classical association rules framework; we derive graph-evolution rules from frequent patterns that satisfy a given minimum confidence constraint.We discuss merits and limits of alternative definitions of support and confidence; justifyingthe chosen framework. To evaluate our approach we devise GERM (Graph Evolution RuleMiner); an algorithm to mine all graph-evolution rules whose support and confidence are …,joint European conference on machine learning and knowledge discovery in databases,2009,169
Discovering leaders from community actions,Amit Goyal; Francesco Bonchi; Laks VS Lakshmanan,Abstract We introduce a novel frequent pattern mining approach to discover leaders andtribes in social networks. In particular; we consider social networks where users performactions. Actions may be as simple as tagging resources (urls) as in del. icio. us; rating songsas in Yahoo! Music; or movies as in Yahoo! Movies; or users buying gadgets such ascameras; handhelds; etc. and blogging a review on the gadgets. The assumption is thatactions performed by a user can be seen by their network friends. Users seeing their friends'actions are sometimes tempted to perform those actions. We are interested in the problem ofstudying the propagation of such" influence"; and on this basis; identifying which users areleaders when it comes to setting the trend for performing various actions. We consideralternative definitions of leaders based on frequent patterns and develop algorithms for …,Proceedings of the 17th ACM conference on Information and knowledge management,2008,166
Query suggestions using query-flow graphs,Paolo Boldi; Francesco Bonchi; Carlos Castillo; Debora Donato; Sebastiano Vigna,Abstract The query-flow graph [Boldi et al.; CIKM 2008] is an aggregated representation ofthe latent querying behavior contained in a query log. Intuitively; in the query-flow graph adirected edge from query qi to query qj means that the two queries are likely to be part of thesame search mission. Any path over the query-flow graph may be seen as a possible searchtask; whose likelihood is given by the strength of the edges along the path. An edge (qi; qj) isalso labelled with some information: eg; the probability that user moves from qi to qj; or thetype of the transition; for instance; the fact that qj is a specialization of q i. In this paper wepropose; and experimentally study; query recommendations based on short random walkson the query-flow graph. Our experiments show that these methods can match in precision;and often improve; recommendations based on query-click graphs; without using users' …,Proceedings of the 2009 workshop on Web Search Click Data,2009,150
Anonymizing moving objects: How to hide a mob in a crowd?,Roman Yarovoy; Francesco Bonchi; Laks VS Lakshmanan; Wendy Hui Wang,Abstract Moving object databases (MOD) have gained much interest in recent years due tothe advances in mobile communications and positioning technologies. Study of MOD canreveal useful information (eg; traffic patterns and congestion trends) that can be used inapplications for the common benefit. In order to mine and/or analyze the data; MOD must bepublished; which can pose a threat to the location privacy of a user. Indeed; based on priorknowledge of a user's location at several time points; an attacker can potentially associatethat user to a specific moving object (MOB) in the published database and learn her positioninformation at other time points. In this paper; we study the problem of privacy-preservingpublishing of moving object database. Unlike in microdata; we argue that in MOD; theredoes not exist a fixed set of quasi-identifier (QID) attributes for all the MOBs …,Proceedings of the 12th International Conference on Extending Database Technology: Advances in Database Technology,2009,140
Cold start link prediction,Vincent Leroy; B Barla Cambazoglu; Francesco Bonchi,Abstract In the traditional link prediction problem; a snapshot of a social network is used as astarting point to predict; by means of graph-theoretic measures; the links that are likely toappear in the future. In this paper; we introduce cold start link prediction as the problem ofpredicting the structure of a social network when the network itself is totally missing whilesome other information regarding the nodes is available. We propose a two-phase methodbased on the bootstrap probabilistic graph. The first phase generates an implicit socialnetwork under the form of a probabilistic graph. The second phase applies probabilisticgraph-based measures to produce the final prediction. We assess our method empiricallyover a large data collection obtained from Flickr; using interest groups as the initialinformation. The experiments confirm the effectiveness of our approach.,Proceedings of the 16th ACM SIGKDD international conference on Knowledge discovery and data mining,2010,136
